date,time,reservoir_storage
1990-01-01,0,574200.0
1990-01-08,0,573925.0
1990-01-15,0,594288.0
1990-01-22,0,603735.0
1990-01-24,0,604514.0
1990-01-25,0,604727.0
1990-01-26,0,604584.0
1990-01-27,0,604266.0
1990-01-28,0,604301.0
1990-01-29,0,605259.0
1990-02-05,0,611381.0
1990-02-12,0,618871.0
1990-02-19,0,626310.0
1990-02-26,0,632125.0
1990-03-05,0,667351.0
1990-03-12,0,694679.0
1990-03-14,0,700542.0
1990-03-15,0,702568.0
1990-03-16,0,705184.0
1990-03-17,0,708198.0
1990-03-18,0,711574.0
1990-03-19,0,715118.0
1990-03-20,0,718635.0
1990-03-21,0,722201.0
1990-03-22,0,725897.0
1990-03-23,0,728886.0
1990-03-24,0,732885.0
1990-03-25,0,737099.0
1990-03-26,0,739797.0
1990-03-27,0,743026.0
1990-03-28,0,746385.0
1990-03-29,0,749389.0
1990-03-30,0,752033.0
1990-03-31,0,754276.0
1990-04-01,0,757465.0
1990-04-02,0,760743.0
1990-04-03,0,764114.0
1990-04-04,0,767947.0
1990-04-05,0,771752.0
1990-04-06,0,775943.0
1990-04-07,0,780023.0
1990-04-08,0,783616.0
1990-04-09,0,786715.0
1990-04-10,0,789678.0
1990-04-11,0,792473.0
1990-04-12,0,794709.0
1990-04-13,0,797033.0
1990-04-14,0,800250.0
1990-04-15,0,802881.0
1990-04-16,0,804923.0
1990-04-17,0,807009.0
1990-04-18,0,809184.0
1990-04-19,0,810893.0
1990-04-20,0,812048.0
1990-04-21,0,812262.0
1990-04-22,0,815390.0
1990-04-23,0,818956.0
1990-04-24,0,822490.0
1990-04-25,0,824477.0
1990-04-26,0,826381.0
1990-04-27,0,827160.0
1990-04-28,0,830414.0
1990-04-29,0,832326.0
1990-04-30,0,832239.0
1990-05-01,0,831587.0
1990-05-02,0,831804.0
1990-05-03,0,832674.0
1990-05-04,0,832674.0
1990-05-05,0,832891.0
1990-05-06,0,834460.0
1990-05-07,0,834460.0
1990-05-08,0,834460.0
1990-05-09,0,834634.0
1990-05-10,0,834677.0
1990-05-11,0,834808.0
1990-05-12,0,834634.0
1990-05-13,0,834634.0
1990-05-14,0,833980.0
1990-05-15,0,833109.0
1990-05-16,0,831196.0
1990-05-17,0,828244.0
1990-05-18,0,826769.0
1990-05-19,0,823785.0
1990-05-20,0,823267.0
1990-05-21,0,823051.0
1990-05-22,0,822102.0
1990-05-23,0,823181.0
1990-05-24,0,822102.0
1990-05-25,0,821930.0
1990-05-26,0,822102.0
1990-05-27,0,826554.0
1990-05-28,0,832282.0
1990-05-29,0,835462.0
1990-05-30,0,840575.0
1990-05-31,0,852584.0
1990-06-01,0,860742.0
1990-06-02,0,865509.0
1990-06-03,0,867698.0
1990-06-04,0,870742.0
1990-06-05,0,871459.0
1990-06-06,0,872805.0
