date,time,reservoir_storage
2007-04-30,0,296868.0
2007-05-28,0,307970.0
2007-05-29,0,307363.0
2007-05-30,0,309340.0
2007-05-31,0,308926.0
2007-06-01,0,308557.0
2007-06-02,0,308666.0
2007-06-03,0,305977.0
2007-06-04,0,303131.0
2007-06-05,0,302250.0
2007-06-06,0,303281.0
2007-06-07,0,304681.0
2007-06-08,0,302099.0
2007-06-09,0,299872.0
2007-06-10,0,297463.0
2007-06-11,0,294918.0
2007-06-12,0,295341.0
2007-06-13,0,296953.0
2007-06-14,0,296889.0
2007-06-15,0,294178.0
2007-06-16,0,291396.0
2007-06-17,0,288798.0
2007-06-18,0,286213.0
2007-06-19,0,283394.0
2007-06-20,0,282877.0
2007-06-21,0,284884.0
2007-06-22,0,282815.0
2007-06-23,0,279934.0
2007-06-24,0,277070.0
2007-06-25,0,274304.0
2007-07-02,0,268400.0
2007-07-03,0,269625.0
2007-07-04,0,266578.0
2007-07-05,0,268561.0
2007-07-06,0,268661.0
2007-07-07,0,266658.0
2007-07-08,0,264028.0
2007-07-09,0,264485.0
2007-07-10,0,265142.0
2007-07-11,0,265202.0
2007-07-12,0,267118.0
2007-07-13,0,267438.0
2007-07-14,0,266738.0
2007-07-15,0,263789.0
2007-07-16,0,263213.0
2007-07-17,0,264246.0
2007-07-18,0,264147.0
2007-07-19,0,265361.0
2007-07-20,0,266798.0
2007-07-21,0,265381.0
2007-07-22,0,262519.0
2007-08-01,0,267278.0
2007-08-02,0,269605.0
2007-08-03,0,271858.0
2007-08-04,0,272766.0
2007-08-05,0,270108.0
2007-08-06,0,269686.0
2007-08-07,0,271696.0
2007-08-08,0,272908.0
2007-08-09,0,274041.0
2007-08-10,0,275177.0
2007-08-11,0,277478.0
2007-08-12,0,275116.0
2007-08-13,0,275279.0
2007-08-14,0,277050.0
2007-08-15,0,279012.0
2007-08-16,0,280899.0
2007-08-17,0,282836.0
2007-08-18,0,285964.0
2007-08-19,0,283890.0
2007-08-20,0,284366.0
2007-08-21,0,286608.0
2007-08-22,0,288443.0
2007-08-23,0,290368.0
2007-08-24,0,292469.0
2007-08-25,0,292069.0
2007-08-26,0,289970.0
2007-08-27,0,289614.0
2007-08-28,0,291712.0
2007-08-29,0,293396.0
2007-08-30,0,295256.0
2007-08-31,0,296189.0
2007-09-01,0,295786.0
2007-09-02,0,293417.0
2007-09-03,0,292975.0
2007-09-04,0,293734.0
2007-09-05,0,294664.0
2007-09-06,0,296019.0
2007-09-07,0,297804.0
2007-09-08,0,297825.0
2007-09-09,0,295701.0
2007-09-10,0,295172.0
2007-09-11,0,296189.0
2007-09-12,0,296783.0
2007-09-13,0,297463.0
2007-09-14,0,298656.0
2007-09-15,0,300193.0
2007-09-16,0,300043.0
2007-09-17,0,299616.0
2007-09-18,0,300878.0
2007-09-19,0,301649.0
2007-09-20,0,302937.0
2007-09-21,0,304681.0
2007-09-22,0,307190.0
2007-09-23,0,305631.0
2007-09-24,0,304250.0
2007-09-25,0,305264.0
2007-09-26,0,307081.0
2007-09-27,0,308818.0
2007-09-28,0,310560.0
2007-09-29,0,312220.0
2007-09-30,0,313096.0
2007-10-01,0,312921.0
2007-10-02,0,313535.0
2007-10-03,0,314589.0
2007-10-04,0,315293.0
2007-10-05,0,315843.0
2007-10-06,0,313996.0
2007-10-07,0,311892.0
2007-10-08,0,311433.0
2007-10-09,0,311870.0
2007-10-10,0,312308.0
2007-10-11,0,311455.0
2007-10-12,0,310844.0
2007-10-13,0,309013.0
2007-10-14,0,306215.0
2007-10-15,0,305286.0
2007-10-16,0,305891.0
2007-10-17,0,307190.0
2007-10-18,0,307775.0
2007-10-19,0,308905.0
2007-10-20,0,307190.0
2007-10-21,0,305372.0
2007-10-22,0,303217.0
2007-10-23,0,303647.0
2007-10-24,0,302937.0
2007-10-25,0,303539.0
2007-10-26,0,304250.0
2007-10-27,0,302014.0
2007-10-28,0,299936.0
2007-10-29,0,297740.0
2007-10-30,0,297548.0
2007-10-31,0,296889.0
2007-11-01,0,297378.0
2007-11-02,0,296974.0
2007-11-03,0,295023.0
2007-11-04,0,292574.0
2007-11-05,0,292996.0
2007-11-06,0,290976.0
2007-11-07,0,288881.0
2007-11-08,0,286879.0
2007-11-09,0,284967.0
2007-11-10,0,283063.0
2007-11-11,0,281167.0
2007-11-12,0,279114.0
2007-11-13,0,277070.0
2007-11-14,0,275116.0
2007-11-15,0,273171.0
2007-11-16,0,271233.0
2007-11-17,0,269223.0
2007-11-18,0,267218.0
2007-11-19,0,265281.0
2007-11-20,0,265780.0
2007-11-21,0,266079.0
2007-11-22,0,266339.0
2007-11-23,0,266259.0
2007-11-24,0,264266.0
2007-11-25,0,262361.0
2007-11-26,0,263869.0
2007-11-27,0,261806.0
2007-11-28,0,263710.0
2007-11-29,0,263849.0
2007-11-30,0,264167.0
2007-12-01,0,262262.0
2007-12-02,0,260463.0
2007-12-03,0,258887.0
2007-12-04,0,257297.0
2007-12-05,0,255595.0
2007-12-06,0,255966.0
2007-12-07,0,256690.0
2007-12-08,0,255283.0
2007-12-09,0,253802.0
2007-12-10,0,252326.0
2007-12-11,0,250855.0
2007-12-12,0,249465.0
2007-12-13,0,249986.0
2007-12-14,0,250005.0
2007-12-15,0,248541.0
2007-12-16,0,247082.0
2007-12-17,0,245551.0
2007-12-18,0,246603.0
2007-12-19,0,250295.0
2007-12-20,0,253316.0
2007-12-21,0,254581.0
2007-12-22,0,253491.0
2007-12-23,0,252481.0
2007-12-24,0,253627.0
2007-12-25,0,255888.0
2007-12-26,0,257317.0
2007-12-27,0,260285.0
2007-12-28,0,260384.0
2007-12-29,0,258887.0
2007-12-30,0,257317.0
2007-12-31,0,259359.0
2008-01-01,0,262024.0
