date,time,reservoir_storage
2005-01-07,0,110039.0
2005-01-08,0,113698.0
2005-01-09,0,141996.0
2005-01-10,0,190171.0
2005-01-11,0,192573.0
2005-01-12,0,193160.0
2005-01-13,0,194523.0
2005-01-14,0,197649.0
2005-01-15,0,196365.0
2005-01-16,0,193253.0
2005-01-17,0,192449.0
2005-01-18,0,192635.0
2005-01-19,0,192665.0
2005-01-20,0,192789.0
2005-01-21,0,193005.0
2005-01-23,0,192882.0
2005-01-24,0,190477.0
2005-01-25,0,188122.0
2005-01-26,0,188000.0
2005-01-27,0,188091.0
2005-01-28,0,188091.0
2005-01-29,0,188030.0
2005-01-30,0,188489.0
2005-02-01,0,189345.0
2005-02-02,0,189804.0
2005-02-03,0,190263.0
2005-02-04,0,190691.0
2005-02-06,0,191553.0
2005-02-07,0,191985.0
2005-02-08,0,192418.0
2005-02-09,0,192573.0
2005-02-10,0,192665.0
2005-02-11,0,192851.0
2005-02-12,0,193036.0
2005-02-13,0,193160.0
2005-02-14,0,193315.0
2005-02-16,0,191522.0
2005-02-17,0,191584.0
2005-02-18,0,192140.0
2005-02-19,0,192820.0
2005-02-20,0,187788.0
2005-02-21,0,189712.0
2005-02-22,0,192882.0
2005-02-23,0,189070.0
2005-02-24,0,188152.0
2005-02-25,0,188642.0
2005-02-26,0,187697.0
2005-02-27,0,187274.0
2005-02-28,0,188397.0
2005-03-01,0,189529.0
2005-03-02,0,190110.0
2005-03-03,0,190110.0
2005-03-04,0,190263.0
2005-03-05,0,190508.0
2005-03-06,0,190508.0
2005-03-07,0,191120.0
2005-03-08,0,191707.0
2005-03-09,0,192171.0
2005-03-10,0,192573.0
2005-03-11,0,192882.0
2005-03-12,0,193191.0
2005-03-13,0,193315.0
2005-03-14,0,193500.0
2005-03-15,0,193685.0
2005-03-17,0,193840.0
2005-03-18,0,191398.0
2005-03-19,0,189131.0
2005-03-20,0,187909.0
2005-03-21,0,187909.0
2005-03-22,0,187909.0
2005-03-23,0,190508.0
2005-03-24,0,192511.0
2005-03-25,0,192325.0
2005-03-26,0,192511.0
2005-03-28,0,192944.0
2005-03-29,0,193067.0
2005-03-30,0,193160.0
2005-03-31,0,193222.0
2005-04-01,0,193160.0
2005-04-02,0,193129.0
2005-04-03,0,193098.0
2005-04-04,0,193067.0
2005-04-06,0,193036.0
2005-04-07,0,192975.0
2005-04-08,0,192820.0
2005-04-09,0,192758.0
2005-04-10,0,192696.0
2005-04-11,0,192820.0
2005-04-12,0,193067.0
2005-04-13,0,193315.0
2005-04-14,0,193562.0
2005-04-15,0,193902.0
2005-04-16,0,194180.0
2005-04-17,0,194461.0
2005-04-18,0,194711.0
2005-04-19,0,194929.0
2005-04-20,0,195117.0
2005-04-21,0,195366.0
2005-04-22,0,195554.0
2005-04-23,0,195585.0
2005-04-24,0,195585.0
2005-04-25,0,195616.0
2005-04-26,0,195616.0
2005-04-27,0,195647.0
2005-04-29,0,195928.0
2005-04-30,0,195960.0
2005-05-01,0,195928.0
2005-05-02,0,195928.0
2005-05-03,0,195835.0
2005-05-04,0,195772.0
2005-05-05,0,195679.0
2005-05-06,0,195803.0
2005-05-07,0,195928.0
2005-05-08,0,195960.0
2005-05-09,0,195991.0
2005-05-10,0,195866.0
2005-05-11,0,195803.0
2005-05-12,0,195679.0
2005-05-15,0,195304.0
2005-05-16,0,195148.0
2005-05-17,0,195023.0
2005-05-18,0,194961.0
2005-05-19,0,194929.0
2005-05-20,0,194961.0
2005-05-24,0,195085.0
2005-05-25,0,195117.0
2005-05-26,0,195117.0
