date,time,reservoir_storage
1990-01-01,0,175230.0
1990-01-08,0,178440.0
1990-01-15,0,182170.0
1990-01-22,0,185460.0
1990-01-24,0,186380.0
1990-01-25,0,186820.0
1990-01-28,0,188240.0
1990-01-29,0,188780.0
1990-02-12,0,189370.0
1990-02-19,0,188240.0
1990-02-26,0,187360.0
1990-03-12,0,194530.0
1990-03-18,0,198760.0
1990-03-19,0,199170.0
1990-03-20,0,199780.0
1990-03-21,0,200440.0
1990-03-22,0,201100.0
1990-03-25,0,202430.0
1990-03-26,0,202230.0
1990-03-27,0,201820.0
1990-03-28,0,201460.0
1990-03-29,0,201100.0
1990-04-01,0,199980.0
1990-04-02,0,199570.0
1990-04-04,0,198810.0
1990-04-05,0,198360.0
1990-04-08,0,196890.0
1990-04-09,0,196640.0
1990-04-10,0,196190.0
1990-04-11,0,195730.0
1990-04-12,0,195430.0
1990-04-15,0,194230.0
1990-04-16,0,193780.0
1990-04-17,0,193380.0
1990-04-18,0,192880.0
1990-04-19,0,192440.0
1990-04-22,0,191340.0
1990-04-23,0,191100.0
1990-04-24,0,190700.0
1990-04-25,0,190360.0
1990-04-26,0,190210.0
1990-04-29,0,190210.0
1990-04-30,0,190210.0
1990-05-01,0,189810.0
1990-05-02,0,189710.0
1990-05-03,0,189710.0
1990-05-06,0,189470.0
1990-05-07,0,189220.0
1990-05-08,0,188980.0
1990-05-09,0,188730.0
1990-05-10,0,188480.0
1990-05-13,0,187950.0
1990-05-14,0,187800.0
1990-05-15,0,187650.0
1990-05-16,0,187550.0
1990-05-17,0,187210.0
1990-05-20,0,186720.0
1990-05-21,0,186720.0
1990-05-22,0,186430.0
1990-05-23,0,186430.0
1990-05-24,0,186230.0
1990-05-28,0,186670.0
1990-05-29,0,186870.0
1990-05-30,0,187020.0
1990-05-31,0,187160.0
1990-06-03,0,187800.0
1990-06-04,0,187950.0
1990-06-05,0,188040.0
1990-06-06,0,188090.0
1990-06-07,0,188090.0
1990-06-10,0,187900.0
1990-06-11,0,187750.0
1990-06-12,0,187600.0
1990-06-14,0,186670.0
1990-06-17,0,185850.0
1990-06-18,0,185600.0
1990-06-19,0,185460.0
1990-06-20,0,185360.0
1990-06-21,0,185020.0
1990-06-24,0,185020.0
1990-06-25,0,185120.0
1990-06-26,0,185210.0
1990-06-27,0,185210.0
1990-06-28,0,185310.0
1990-07-01,0,185850.0
1990-07-02,0,185940.0
1990-07-04,0,185700.0
1990-07-05,0,185500.0
1990-07-08,0,184920.0
1990-07-09,0,184730.0
1990-07-10,0,184630.0
1990-07-11,0,184490.0
1990-07-12,0,184340.0
1990-07-15,0,183470.0
1990-07-16,0,183130.0
1990-07-17,0,182750.0
1990-07-18,0,182460.0
1990-07-22,0,181400.0
1990-07-23,0,181070.0
1990-07-24,0,180730.0
1990-07-25,0,180440.0
1990-07-30,0,179250.0
1990-08-01,0,178780.0
1990-08-02,0,178590.0
1990-08-05,0,177870.0
1990-08-06,0,177680.0
1990-08-07,0,177490.0
1990-08-08,0,177350.0
1990-08-09,0,177210.0
1990-08-12,0,176640.0
1990-08-13,0,176360.0
1990-08-14,0,175980.0
1990-08-15,0,175700.0
1990-08-16,0,175420.0
1990-08-19,0,174810.0
1990-08-20,0,174580.0
1990-08-21,0,174390.0
1990-08-22,0,174200.0
1990-08-23,0,174060.0
1990-08-26,0,173270.0
1990-08-27,0,173130.0
1990-08-29,0,172900.0
1990-08-30,0,172850.0
1990-09-03,0,172520.0
1990-09-04,0,172710.0
1990-09-05,0,172660.0
1990-09-06,0,172620.0
1990-09-24,0,172200.0
1990-10-09,0,174010.0
1990-10-10,0,174240.0
1990-10-11,0,174440.0
1990-10-14,0,175000.0
1990-10-15,0,175090.0
1990-10-16,0,174860.0
1990-10-17,0,174620.0
1990-10-18,0,174440.0
1990-10-21,0,173730.0
1990-10-22,0,173550.0
1990-10-23,0,173410.0
1990-10-24,0,173220.0
1990-10-25,0,172850.0
1990-10-28,0,171360.0
1990-10-29,0,170990.0
1990-10-30,0,170490.0
1990-10-31,0,170070.0
1990-11-01,0,169430.0
1990-11-04,0,167320.0
1990-11-05,0,166640.0
1990-11-06,0,165860.0
1990-11-07,0,165180.0
1990-11-08,0,164550.0
1990-11-12,0,161950.0
1990-11-13,0,161280.0
1990-11-14,0,160610.0
1990-11-19,0,158920.0
1990-11-20,0,158610.0
1990-11-25,0,157640.0
1990-11-26,0,157340.0
1990-11-27,0,157120.0
1990-11-28,0,156900.0
1990-11-29,0,156680.0
1990-12-02,0,155980.0
1990-12-03,0,155930.0
1990-12-04,0,155720.0
1990-12-05,0,155580.0
1990-12-06,0,155370.0
1990-12-09,0,154760.0
1990-12-10,0,154540.0
1990-12-11,0,154500.0
1990-12-12,0,154370.0
1990-12-13,0,154100.0
1990-12-16,0,153500.0
1990-12-17,0,153240.0
1990-12-18,0,153070.0
1990-12-19,0,152810.0
1990-12-20,0,152500.0
1990-12-25,0,151260.0
1990-12-26,0,151080.0
1990-12-27,0,150870.0
1990-12-30,0,150190.0
1991-01-01,0,149800.0
1991-01-02,0,149800.0
1991-01-03,0,149630.0
1991-01-06,0,149080.0
1991-01-07,0,149030.0
1991-01-08,0,148910.0
1991-01-09,0,148740.0
1991-01-10,0,148400.0
1991-01-13,0,147840.0
1991-01-14,0,147670.0
1991-01-15,0,147340.0
1991-01-16,0,147210.0
1991-01-17,0,147000.0
1991-01-21,0,146240.0
1991-01-24,0,145570.0
1991-01-27,0,144940.0
1991-01-28,0,144730.0
1991-01-29,0,144520.0
1991-01-30,0,144310.0
1991-01-31,0,144140.0
1991-02-03,0,143720.0
1991-02-04,0,143810.0
1991-02-05,0,143770.0
1991-02-06,0,143600.0
1991-02-07,0,143310.0
1991-02-10,0,142770.0
1991-02-12,0,142440.0
1991-02-13,0,142230.0
1991-02-14,0,142100.0
1991-02-18,0,141900.0
1991-02-20,0,140820.0
1991-02-21,0,140620.0
1991-02-24,0,140040.0
1991-02-25,0,139880.0
1991-02-26,0,139630.0
1991-02-27,0,139550.0
1991-02-28,0,139630.0
1991-03-03,0,139590.0
1991-03-04,0,139830.0
1991-03-05,0,139670.0
1991-03-06,0,139470.0
1991-03-07,0,139340.0
1991-03-10,0,138730.0
1991-03-11,0,138520.0
1991-03-12,0,138400.0
1991-03-13,0,138400.0
1991-03-17,0,137630.0
1991-03-18,0,137460.0
1991-03-19,0,137300.0
1991-03-21,0,137340.0
1991-03-24,0,138520.0
1991-03-25,0,138850.0
1991-03-26,0,139830.0
1991-03-27,0,140160.0
1991-03-31,0,139750.0
1991-04-01,0,139380.0
1991-04-02,0,139220.0
1991-04-03,0,139010.0
1991-04-07,0,138160.0
1991-04-08,0,138160.0
1991-04-09,0,137710.0
1991-04-10,0,137220.0
1991-04-11,0,136900.0
1991-04-14,0,136050.0
1991-04-15,0,135680.0
1991-04-16,0,135280.0
1991-04-17,0,134960.0
1991-04-18,0,134590.0
1991-04-21,0,133590.0
1991-04-22,0,133590.0
1991-04-23,0,132870.0
1991-04-24,0,132510.0
1991-04-25,0,132190.0
1991-04-29,0,130960.0
1991-04-30,0,130610.0
1991-05-01,0,130060.0
1991-05-02,0,129620.0
1991-05-05,0,128450.0
1991-05-06,0,128020.0
1991-05-07,0,127510.0
1991-05-08,0,126960.0
1991-05-09,0,126340.0
1991-05-12,0,124800.0
1991-05-13,0,124300.0
1991-05-14,0,123950.0
1991-05-15,0,123490.0
1991-05-16,0,122990.0
1991-05-19,0,121590.0
1991-05-20,0,121130.0
1991-05-21,0,120710.0
1991-05-22,0,120220.0
1991-05-27,0,117710.0
1991-05-28,0,117160.0
1991-05-29,0,116600.0
1991-05-30,0,116010.0
1991-06-02,0,114350.0
1991-06-03,0,113920.0
1991-06-04,0,114130.0
1991-06-05,0,114390.0
1991-06-06,0,114570.0
1991-06-09,0,115350.0
1991-06-10,0,115570.0
1991-06-11,0,115710.0
1991-06-12,0,115790.0
1991-06-13,0,115790.0
1991-06-16,0,115860.0
1991-06-17,0,115900.0
1991-06-18,0,115900.0
1991-06-19,0,115900.0
1991-06-20,0,115860.0
1991-06-23,0,115900.0
1991-06-24,0,115930.0
1991-06-25,0,115930.0
1991-06-26,0,115930.0
1991-06-27,0,115900.0
1991-06-30,0,116230.0
1991-07-01,0,116420.0
1991-07-02,0,116600.0
1991-07-04,0,116640.0
1991-07-07,0,116450.0
1991-07-08,0,116380.0
1991-07-09,0,116190.0
1991-07-10,0,116160.0
1991-07-11,0,116160.0
1991-07-14,0,115970.0
1991-07-15,0,115900.0
1991-07-16,0,115820.0
1991-07-17,0,115820.0
1991-07-18,0,115790.0
1991-07-22,0,115640.0
1991-07-23,0,115570.0
1991-07-24,0,115420.0
1991-07-25,0,115270.0
1991-07-28,0,114870.0
1991-07-29,0,114650.0
1991-07-30,0,114500.0
1991-07-31,0,114280.0
1991-08-01,0,114210.0
1991-08-04,0,113550.0
1991-08-05,0,113330.0
1991-08-06,0,113190.0
1991-08-07,0,112930.0
1991-08-08,0,112710.0
1991-08-11,0,112030.0
1991-08-12,0,111950.0
1991-08-13,0,111660.0
1991-08-14,0,111480.0
1991-08-15,0,111340.0
1991-08-18,0,111450.0
1991-08-19,0,111520.0
1991-08-20,0,111560.0
1991-08-21,0,111560.0
1991-08-22,0,111630.0
1991-08-25,0,111880.0
1991-08-26,0,111880.0
1991-08-27,0,111990.0
1991-08-28,0,112060.0
1991-08-29,0,112240.0
1991-09-02,0,112860.0
1991-09-05,0,113150.0
1991-09-09,0,113000.0
1991-09-10,0,113190.0
1991-09-12,0,113370.0
1991-09-15,0,113510.0
1991-09-16,0,113510.0
1991-09-17,0,113660.0
1991-09-18,0,113660.0
1991-09-19,0,113660.0
1991-09-22,0,113700.0
1991-09-23,0,113700.0
1991-09-24,0,113660.0
1991-09-25,0,113700.0
1991-09-26,0,113700.0
1991-09-29,0,113730.0
1991-09-30,0,113730.0
1991-10-01,0,113700.0
1991-10-02,0,113810.0
1991-10-03,0,114030.0
1991-10-06,0,114100.0
1991-10-07,0,114280.0
1991-10-08,0,114320.0
1991-10-09,0,114320.0
1991-10-10,0,114460.0
1991-10-14,0,114500.0
1991-10-15,0,114540.0
1991-10-16,0,114610.0
1991-10-17,0,114650.0
1991-10-20,0,114830.0
1991-10-21,0,115420.0
1991-10-22,0,115930.0
1991-10-23,0,116450.0
1991-10-24,0,117120.0
1991-10-27,0,119660.0
1991-10-28,0,120150.0
1991-10-30,0,121020.0
1991-10-31,0,121130.0
1991-11-03,0,120070.0
1991-11-04,0,119250.0
1991-11-05,0,118420.0
1991-11-06,0,117900.0
1991-11-07,0,117380.0
1991-11-11,0,114320.0
1991-11-12,0,114650.0
1991-11-13,0,114170.0
1991-11-14,0,113920.0
1991-11-17,0,112320.0
1991-11-18,0,112350.0
1991-11-19,0,111740.0
1991-11-20,0,111520.0
1991-11-21,0,111200.0
1991-11-24,0,109580.0
1991-11-25,0,109400.0
1991-11-26,0,109080.0
1991-11-28,0,108302.0
1991-12-01,0,106570.0
1991-12-02,0,106820.0
1991-12-03,0,108130.0
1991-12-04,0,109760.0
1991-12-05,0,110760.0
1991-12-08,0,112420.0
1991-12-09,0,112530.0
1991-12-10,0,112610.0
1991-12-11,0,112860.0
1991-12-12,0,113000.0
1991-12-15,0,114060.0
1991-12-16,0,114430.0
1991-12-18,0,115270.0
1991-12-19,0,115600.0
1991-12-22,0,116450.0
1991-12-23,0,116860.0
1991-12-25,0,116640.0
1991-12-26,0,117420.0
1991-12-29,0,119170.0
1991-12-30,0,119400.0
1992-01-01,0,118570.0
1992-01-02,0,118160.0
1992-01-05,0,118090.0
1992-01-06,0,117530.0
1992-01-07,0,117570.0
1992-01-08,0,117790.0
1992-01-09,0,118420.0
1992-01-12,0,119920.0
1992-01-13,0,120190.0
1992-01-14,0,120790.0
1992-01-15,0,120870.0
1992-01-20,0,120680.0
1992-01-21,0,120220.0
1992-01-22,0,119620.0
1992-01-23,0,119210.0
1992-01-26,0,117750.0
1992-01-27,0,117750.0
1992-01-28,0,117120.0
1992-01-29,0,117010.0
1992-01-30,0,116490.0
1992-02-02,0,115460.0
1992-02-03,0,114900.0
1992-02-04,0,114570.0
1992-02-05,0,114790.0
1992-02-06,0,114540.0
1992-02-09,0,113080.0
1992-02-10,0,112970.0
1992-02-12,0,113770.0
1992-02-13,0,114210.0
1992-02-17,0,118870.0
1992-02-18,0,120000.0
1992-02-19,0,121090.0
1992-02-20,0,122040.0
1992-02-24,0,123190.0
1992-02-27,0,124870.0
1992-03-01,0,126130.0
1992-03-03,0,125650.0
1992-03-04,0,125720.0
1992-03-05,0,126230.0
1992-03-08,0,129940.0
1992-03-09,0,130810.0
1992-03-10,0,133030.0
1992-03-11,0,135040.0
1992-03-12,0,136900.0
1992-03-15,0,140700.0
1992-03-16,0,141850.0
1992-03-17,0,142730.0
1992-03-18,0,143220.0
1992-03-19,0,143680.0
1992-03-22,0,146070.0
1992-03-23,0,146870.0
1992-03-24,0,147210.0
1992-03-25,0,147550.0
1992-03-26,0,147720.0
1992-03-29,0,148010.0
1992-03-30,0,148010.0
1992-03-31,0,147460.0
1992-04-01,0,147170.0
1992-04-02,0,146910.0
1992-04-05,0,146200.0
1992-04-06,0,145990.0
1992-04-07,0,145780.0
1992-04-08,0,145360.0
1992-04-09,0,144730.0
1992-04-13,0,142560.0
1992-04-14,0,141900.0
1992-04-15,0,141230.0
1992-04-16,0,140820.0
1992-04-19,0,139790.0
1992-04-20,0,139470.0
1992-04-21,0,139140.0
1992-04-23,0,138400.0
1992-04-27,0,136730.0
1992-04-28,0,136250.0
1992-04-29,0,135720.0
1992-04-30,0,135120.0
1992-05-03,0,133190.0
1992-05-04,0,132630.0
1992-05-05,0,132230.0
1992-05-06,0,131680.0
1992-05-07,0,131040.0
1992-05-10,0,128840.0
1992-05-11,0,128250.0
1992-05-12,0,127660.0
1992-05-13,0,127040.0
1992-05-14,0,126420.0
1992-05-17,0,124600.0
1992-05-18,0,124030.0
1992-05-19,0,123450.0
1992-05-21,0,122270.0
1992-05-25,0,199890.0
1992-05-26,0,199250.0
1992-05-27,0,198650.0
1992-05-28,0,118050.0
1992-05-31,0,116160.0
1992-06-01,0,115570.0
1992-06-02,0,115310.0
1992-06-03,0,115420.0
1992-06-04,0,115490.0
1992-06-07,0,114720.0
1992-06-08,0,114540.0
1992-06-09,0,115090.0
1992-06-10,0,115090.0
1992-06-11,0,114980.0
1992-06-14,0,113950.0
1992-06-15,0,114130.0
1992-06-16,0,114500.0
1992-06-17,0,114870.0
1992-06-18,0,115200.0
1992-06-21,0,114720.0
1992-06-22,0,114680.0
1992-06-23,0,115050.0
1992-06-24,0,115380.0
1992-06-25,0,115710.0
1992-06-28,0,115050.0
1992-06-29,0,115350.0
1992-06-30,0,115710.0
1992-07-01,0,116080.0
1992-07-05,0,115050.0
1992-07-06,0,115530.0
1992-07-07,0,115970.0
1992-07-08,0,116560.0
1992-07-09,0,117490.0
1992-07-13,0,117450.0
1992-07-19,0,115900.0
1992-07-20,0,116970.0
1992-07-21,0,117270.0
1992-07-22,0,117530.0
1992-07-23,0,117490.0
1992-07-26,0,115380.0
1992-07-27,0,115820.0
1992-07-28,0,115310.0
1992-07-29,0,115490.0
1992-07-30,0,115530.0
1992-08-02,0,114720.0
1992-08-03,0,115010.0
1992-08-04,0,115640.0
1992-08-05,0,116010.0
1992-08-06,0,116340.0
1992-08-09,0,115530.0
1992-08-10,0,115530.0
1992-08-11,0,115710.0
1992-08-12,0,116050.0
1992-08-13,0,116530.0
1992-08-16,0,115380.0
1992-08-17,0,114940.0
1992-08-18,0,114610.0
1992-08-20,0,114060.0
1992-08-23,0,113730.0
1992-08-24,0,113550.0
1992-08-25,0,113300.0
1992-08-26,0,113040.0
1992-08-27,0,112610.0
1992-08-30,0,112570.0
