date,time,reservoir_storage
1990-01-01,0,3110.0
1990-01-02,0,2950.0
1990-01-03,0,2316.0
1990-01-04,0,2316.0
1990-01-05,0,2316.0
1990-01-06,0,2316.0
1990-01-07,0,2316.0
1990-01-08,0,2316.0
1990-01-09,0,2316.0
1990-01-10,0,2316.0
1990-01-11,0,2316.0
1990-01-13,0,3119.0
1990-01-14,0,3119.0
1990-01-15,0,3119.0
1990-01-16,0,3119.0
1990-01-17,0,3119.0
1990-01-18,0,3119.0
1990-01-19,0,3119.0
1990-01-20,0,3119.0
1990-01-21,0,3119.0
1990-01-22,0,3050.0
1990-01-23,0,3041.0
1990-01-24,0,3026.0
1990-01-25,0,3041.0
1990-01-26,0,3005.0
1990-01-27,0,2996.0
1990-01-28,0,2996.0
1990-01-29,0,2980.0
1990-01-30,0,3020.0
1990-01-31,0,3041.0
1990-02-01,0,3026.0
1990-02-02,0,3011.0
1990-02-03,0,3074.0
1990-02-04,0,3011.0
1990-02-05,0,3050.0
1990-02-06,0,2996.0
1990-02-07,0,2956.0
1990-02-08,0,3005.0
1990-02-11,0,2996.0
1990-02-13,0,2926.0
1990-02-14,0,2926.0
1990-02-15,0,2956.0
1990-02-16,0,3119.0
1990-02-17,0,3213.0
1990-02-18,0,3179.0
1990-02-19,0,3119.0
1990-02-20,0,3143.0
1990-02-21,0,3119.0
1990-02-22,0,3110.0
1990-02-23,0,3104.0
1990-02-24,0,3080.0
1990-02-25,0,3074.0
1990-02-26,0,3089.0
1990-02-27,0,3104.0
1990-02-28,0,3119.0
1990-03-01,0,3149.0
1990-03-02,0,3164.0
1990-03-03,0,3204.0
1990-03-04,0,3213.0
1990-03-06,0,3204.0
1990-03-07,0,3204.0
1990-03-08,0,3234.0
1990-03-09,0,3273.0
1990-03-10,0,3352.0
1990-03-11,0,3367.0
1990-03-12,0,3397.0
1990-03-13,0,3428.0
1990-03-14,0,3476.0
1990-03-15,0,3482.0
1990-03-27,0,4706.0
1990-03-28,0,4818.0
1990-03-29,0,4915.0
1990-03-30,0,5018.0
1990-04-01,0,5260.0
1990-04-02,0,5395.0
1990-04-03,0,5518.0
1990-04-04,0,5613.0
1990-04-05,0,5711.0
1990-04-06,0,5810.0
1990-04-07,0,5940.0
1990-04-08,0,6077.0
1990-04-09,0,6224.0
1990-04-10,0,6406.0
1990-04-11,0,6570.0
1990-04-12,0,6744.0
1990-04-13,0,6957.0
1990-04-14,0,7174.0
1990-04-15,0,7398.0
1990-04-16,0,7558.0
1990-04-17,0,7715.0
1990-04-18,0,7865.0
1990-04-19,0,8026.0
1990-04-20,0,8187.0
1990-04-21,0,8270.0
1990-04-22,0,8237.0
1990-04-23,0,8355.0
1990-04-24,0,8286.0
1990-04-25,0,8210.0
1990-04-26,0,8102.0
1990-04-27,0,8016.0
1990-04-28,0,7908.0
1990-04-29,0,7783.0
1990-04-30,0,7633.0
1990-05-01,0,7483.0
1990-05-02,0,7447.0
1990-05-03,0,7499.0
1990-05-04,0,7591.0
1990-05-05,0,7698.0
1990-05-06,0,7774.0
1990-05-07,0,7833.0
1990-05-08,0,7901.0
1990-05-09,0,7967.0
1990-05-10,0,8026.0
1990-05-11,0,8052.0
1990-05-12,0,8112.0
1990-05-13,0,8168.0
1990-05-14,0,8210.0
1990-05-15,0,8237.0
1990-05-16,0,8270.0
1990-05-17,0,8303.0
1990-05-18,0,8322.0
1990-05-19,0,8339.0
