date,time,reservoir_storage
1990-01-01,0,7002.0
1990-01-02,0,7019.0
1990-01-03,0,7034.0
1990-01-04,0,7052.0
1990-01-05,0,7069.0
1990-01-06,0,7076.0
1990-01-07,0,7098.0
1990-01-08,0,7112.0
1990-01-09,0,7130.0
1990-01-10,0,7148.0
1990-01-11,0,7163.0
1990-01-12,0,7199.0
1990-01-13,0,7253.0
1990-01-14,0,7407.0
1990-01-15,0,7496.0
1990-01-16,0,7570.0
1990-01-17,0,7656.0
1990-01-18,0,7702.0
1990-01-19,0,7736.0
1990-01-20,0,7770.0
1990-01-21,0,7804.0
1990-01-22,0,7831.0
1990-01-24,0,7885.0
1990-01-25,0,7912.0
1990-01-26,0,7935.0
1990-01-27,0,7962.0
1990-01-28,0,7985.0
1990-01-29,0,8012.0
1990-01-30,0,8043.0
1990-02-01,0,8110.0
1990-02-02,0,8145.0
1990-02-03,0,8188.0
1990-02-05,0,8303.0
1990-02-06,0,8343.0
1990-02-07,0,8379.0
1990-02-08,0,8415.0
1990-02-09,0,8443.0
1990-02-10,0,8476.0
1990-02-11,0,8500.0
1990-02-12,0,8532.0
1990-02-13,0,8557.0
1990-02-14,0,8585.0
1990-02-15,0,8618.0
1990-02-16,0,8655.0
1990-02-17,0,8655.0
1990-02-18,0,8803.0
1990-02-19,0,8865.0
1990-02-20,0,8911.0
1990-02-21,0,8961.0
1990-02-22,0,9007.0
1990-02-23,0,9054.0
1990-02-24,0,9092.0
1990-02-25,0,9151.0
1990-02-26,0,9206.0
1990-02-27,0,9270.0
1990-03-02,0,9469.0
1990-03-03,0,9543.0
1990-03-04,0,9640.0
1990-03-05,0,9755.0
1990-03-06,0,9857.0
1990-03-07,0,9929.0
1990-03-08,0,10005.0
1990-03-09,0,10064.0
1990-03-10,0,10136.0
1990-03-11,0,10228.0
1990-03-12,0,10338.0
1990-03-13,0,10412.0
1990-03-14,0,10482.0
1990-03-15,0,10547.0
1990-03-16,0,10622.0
1990-03-17,0,10697.0
1990-03-18,0,10768.0
1990-03-19,0,10844.0
1990-03-20,0,10925.0
1990-03-21,0,11012.0
1990-03-22,0,11108.0
1990-03-23,0,11205.0
1990-03-24,0,11303.0
1990-03-25,0,11401.0
1990-03-26,0,11500.0
1990-03-27,0,11594.0
1990-03-28,0,11689.0
1990-03-29,0,11769.0
1990-03-30,0,11845.0
1990-04-01,0,11982.0
1990-04-02,0,12053.0
1990-04-03,0,12135.0
1990-04-04,0,12212.0
1990-04-05,0,12289.0
1990-04-06,0,12367.0
1990-04-07,0,12440.0
1990-04-08,0,12518.0
1990-04-09,0,12602.0
1990-04-10,0,12676.0
1990-04-11,0,12745.0
1990-04-12,0,12825.0
1990-04-13,0,12899.0
1990-04-14,0,12979.0
1990-04-15,0,13060.0
1990-04-16,0,13146.0
1990-04-17,0,13228.0
1990-04-18,0,13309.0
1990-04-19,0,13375.0
1990-04-20,0,13441.0
1990-04-21,0,13485.0
1990-04-22,0,13534.0
1990-04-23,0,13634.0
1990-04-24,0,13706.0
1990-04-25,0,13773.0
1990-04-26,0,13834.0
1990-04-27,0,13884.0
1990-04-28,0,13924.0
1990-04-29,0,13963.0
1990-04-30,0,14002.0
1990-05-01,0,14036.0
1990-05-02,0,14076.0
1990-05-03,0,14115.0
1990-05-04,0,14149.0
1990-05-05,0,14178.0
1990-05-06,0,14212.0
1990-05-07,0,14240.0
1990-05-08,0,14269.0
1990-05-09,0,14292.0
1990-05-10,0,14320.0
1990-05-11,0,14343.0
1990-05-12,0,14372.0
1990-05-13,0,14395.0
1990-05-14,0,14412.0
1990-05-15,0,14435.0
1990-05-16,0,14452.0
1990-05-17,0,14470.0
1990-05-18,0,14481.0
1990-05-19,0,14493.0
1990-05-20,0,14504.0
1990-05-21,0,14516.0
1990-05-22,0,14533.0
1990-05-23,0,14568.0
1990-05-24,0,14579.0
1990-05-25,0,14602.0
1990-05-26,0,14631.0
1990-05-27,0,14684.0
1990-05-28,0,14794.0
1990-05-29,0,14917.0
1990-05-30,0,14982.0
1990-05-31,0,15023.0
1990-06-01,0,15065.0
1990-06-02,0,15106.0
1990-06-03,0,15136.0
1990-06-04,0,15160.0
1990-06-05,0,15177.0
1990-06-06,0,15195.0
1990-06-07,0,15207.0
1990-06-08,0,15225.0
1990-06-09,0,15237.0
1990-06-10,0,15243.0
1990-06-11,0,15249.0
1990-06-12,0,15249.0
1990-06-13,0,15249.0
1990-06-14,0,15249.0
