date,time,reservoir_storage
1990-01-02,0,26720.0
1990-01-03,0,26735.0
1990-01-04,0,26740.0
1990-01-05,0,26750.0
1990-01-06,0,26740.0
1990-01-07,0,26875.0
1990-01-08,0,27045.0
1990-01-09,0,27155.0
1990-01-10,0,27220.0
1990-01-11,0,27270.0
1990-01-12,0,27340.0
1990-01-13,0,27455.0
1990-01-14,0,27515.0
1990-01-15,0,27555.0
1990-01-16,0,27630.0
1990-01-17,0,27515.0
1990-01-18,0,27575.0
1990-01-19,0,27600.0
1990-01-20,0,27620.0
1990-01-21,0,27650.0
1990-01-22,0,27680.0
1990-01-23,0,27695.0
1990-01-29,0,27825.0
1990-01-30,0,27905.0
1990-01-31,0,27945.0
1990-02-01,0,27980.0
1990-02-02,0,28000.0
1990-02-03,0,28055.0
1990-02-04,0,28085.0
1990-02-05,0,28105.0
1990-02-07,0,28175.0
1990-02-08,0,28190.0
1990-02-09,0,28205.0
1990-02-10,0,28225.0
1990-02-11,0,28250.0
1990-02-12,0,28270.0
1990-02-13,0,28678.0
1990-02-14,0,28320.0
1990-02-15,0,28335.0
1990-02-16,0,28455.0
1990-02-17,0,28526.0
1990-02-18,0,28565.0
1990-02-19,0,28592.0
1990-02-20,0,28620.0
1990-02-21,0,28642.0
1990-02-22,0,28675.0
1990-02-26,0,28812.0
1990-02-27,0,28862.0
1990-03-01,0,28972.0
1990-03-02,0,29065.0
1990-03-03,0,29181.0
1990-03-04,0,29291.0
1990-03-05,0,29351.0
1990-03-06,0,29412.0
1990-03-07,0,29467.0
1990-03-08,0,29593.0
1990-03-09,0,29709.0
1990-03-10,0,29797.0
1990-03-12,0,29868.0
1990-03-13,0,29918.0
1990-03-14,0,29967.0
1990-03-15,0,30017.0
1990-03-16,0,30061.0
1990-03-17,0,30121.0
1990-03-18,0,30204.0
1990-03-19,0,30314.0
1990-03-20,0,30457.0
1990-03-21,0,30622.0
1990-03-22,0,30798.0
1990-03-23,0,30974.0
1990-03-24,0,31177.0
1990-03-25,0,31403.0
1990-03-26,0,31628.0
1990-03-27,0,31844.0
1990-03-28,0,32048.0
1990-03-30,0,32396.0
1990-03-31,0,32588.0
1990-04-01,0,32816.0
1990-04-02,0,33074.0
1990-04-03,0,332.0
1990-04-04,0,33008.0
1990-04-05,0,32906.0
1990-04-06,0,32870.0
1990-04-07,0,32732.0
1990-04-08,0,32582.0
1990-04-09,0,32372.0
1990-04-10,0,32426.0
1990-04-11,0,32324.0
1990-04-12,0,32186.0
1990-04-13,0,32198.0
1990-04-14,0,32228.0
1990-04-15,0,32390.0
1990-04-16,0,32600.0
1990-04-17,0,32582.0
1990-04-18,0,32792.0
1990-04-19,0,33134.0
1990-04-20,0,33440.0
1990-04-21,0,33740.0
1990-04-22,0,33998.0
1990-04-23,0,34508.0
1990-04-24,0,34863.0
1990-04-25,0,35188.0
1990-04-26,0,35545.0
1990-04-27,0,35935.0
1990-04-28,0,36338.0
1990-04-29,0,36676.0
1990-04-30,0,36910.0
1990-05-01,0,37092.0
1990-05-02,0,37293.0
1990-05-03,0,37553.0
1990-05-04,0,37820.0
1990-05-05,0,38119.0
1990-05-06,0,384.0
1990-05-07,0,38632.0
1990-05-08,0,38847.0
1990-05-09,0,39042.0
1990-05-10,0,39237.0
1990-05-11,0,39393.0
1990-05-12,0,39529.0
1990-05-13,0,39659.0
1990-05-14,0,39789.0
1990-05-15,0,39900.0
1990-05-16,0,40010.0
1990-05-17,0,40127.0
1990-05-18,0,40225.0
1990-05-19,0,40316.0
1990-05-20,0,40433.0
1990-05-21,0,40550.0
1990-05-22,0,40641.0
1990-05-23,0,40829.0
1990-05-24,0,40966.0
1990-05-25,0,41102.0
1990-05-26,0,41291.0
1990-05-27,0,41668.0
1990-05-28,0,42045.0
1990-05-29,0,42298.0
1990-05-30,0,42649.0
1990-05-31,0,43020.0
1990-06-01,0,43280.0
1990-06-02,0,43566.0
1990-06-03,0,43877.0
1990-06-04,0,44157.0
1990-06-05,0,44402.0
1990-06-06,0,44612.0
1990-06-07,0,44801.0
1990-06-08,0,44836.0
1990-06-09,0,44836.0
1990-06-10,0,44836.0
1990-06-11,0,44815.0
1990-06-12,0,44808.0
1990-06-13,0,44766.0
1990-06-14,0,44717.0
1990-06-15,0,44668.0
1990-06-16,0,44752.0
1990-06-17,0,44836.0
1990-06-18,0,44948.0
1990-06-19,0,44948.0
1990-06-20,0,44990.0
1990-06-21,0,45046.0
1990-06-22,0,45116.0
1990-06-23,0,45193.0
1990-06-24,0,45268.0
1990-06-25,0,45200.0
1990-06-26,0,45060.0
1990-06-27,0,44913.0
1990-06-28,0,44752.0
1990-06-29,0,44773.0
1990-06-30,0,72770.0
1990-07-01,0,72658.0
1990-07-02,0,44878.0
1990-07-03,0,44913.0
1990-07-04,0,44934.0
1990-07-05,0,44948.0
1990-07-06,0,44969.0
1990-07-07,0,44976.0
1990-07-08,0,44983.0
1990-07-09,0,44990.0
1990-07-10,0,44997.0
1990-07-11,0,44864.0
1990-07-12,0,44668.0
1990-07-13,0,44493.0
1990-07-14,0,44437.0
1990-07-15,0,44486.0
1990-07-16,0,44507.0
1990-07-17,0,44521.0
1990-07-18,0,44444.0
1990-07-19,0,44444.0
1990-07-20,0,44157.0
1990-07-21,0,44150.0
1990-07-22,0,44136.0
1990-07-23,0,44129.0
1990-07-24,0,44108.0
1990-07-25,0,44094.0
1990-07-26,0,44045.0
1990-07-27,0,44024.0
1990-07-28,0,44017.0
1990-07-29,0,43996.0
1990-07-30,0,43975.0
1990-07-31,0,43961.0
1990-08-01,0,43933.0
1990-08-02,0,43912.0
1990-08-03,0,43891.0
1990-08-04,0,43870.0
1990-08-05,0,43849.0
1990-08-06,0,43566.0
1990-08-07,0,43286.0
1990-08-08,0,43052.0
1990-08-09,0,42708.0
1990-08-10,0,42350.0
1990-08-11,0,42012.0
1990-08-12,0,41928.0
1990-08-13,0,41830.0
1990-08-14,0,41817.0
1990-08-15,0,41798.0
1990-08-24,0,40829.0
1990-08-25,0,40803.0
1990-08-26,0,40790.0
1990-08-30,0,39906.0
1990-08-31,0,39887.0
1990-09-01,0,39867.0
1990-09-02,0,39848.0
1990-09-03,0,39828.0
1990-09-04,0,39802.0
1990-09-05,0,39776.0
1990-09-06,0,39763.0
1990-09-07,0,39731.0
1990-09-08,0,39711.0
1990-09-09,0,39698.0
1990-09-10,0,39490.0
1990-09-11,0,39373.0
1990-09-12,0,39354.0
1990-09-13,0,39321.0
1990-09-14,0,39302.0
1990-09-15,0,39282.0
1990-09-16,0,39263.0
1990-09-17,0,39243.0
1990-09-18,0,39224.0
1990-09-19,0,39204.0
1990-09-20,0,39191.0
1990-09-21,0,39159.0
1990-09-22,0,39152.0
