date,time,reservoir_storage
1990-01-02,0,33649.0
1990-01-03,0,33501.0
1990-01-04,0,33194.0
1990-01-05,0,32935.0
1990-01-06,0,32820.0
1990-01-07,0,32887.0
1990-01-08,0,33682.0
1990-01-09,0,34031.0
1990-01-10,0,34031.0
1990-01-11,0,33968.0
1990-01-12,0,34063.0
1990-01-13,0,34296.0
1990-01-14,0,34508.0
1990-01-15,0,34614.0
1990-01-16,0,34699.0
1990-01-17,0,34614.0
1990-01-18,0,34508.0
1990-01-19,0,34180.0
1990-01-20,0,34233.0
1990-01-21,0,34243.0
1990-01-22,0,34286.0
1990-01-23,0,34127.0
1990-01-29,0,33156.0
1990-01-30,0,33321.0
1990-01-31,0,33374.0
1990-02-01,0,33438.0
1990-02-02,0,33385.0
1990-02-03,0,33342.0
1990-02-04,0,33262.0
1990-02-05,0,33262.0
1990-02-07,0,33185.0
1990-02-08,0,32772.0
1990-02-09,0,32647.0
1990-02-10,0,32542.0
1990-02-11,0,32551.0
1990-02-12,0,32390.0
1990-02-13,0,32570.0
1990-02-14,0,32359.0
1990-02-15,0,32388.0
1990-02-16,0,32551.0
1990-02-17,0,32695.0
1990-02-18,0,32762.0
1990-02-19,0,32782.0
1990-02-20,0,32801.0
1990-02-21,0,32839.0
1990-02-22,0,32839.0
1990-02-26,0,32916.0
1990-02-27,0,32974.0
1990-03-01,0,32935.0
1990-03-02,0,33089.0
1990-03-03,0,33321.0
1990-03-04,0,33597.0
1990-03-05,0,33756.0
1990-03-06,0,33851.0
1990-03-07,0,33947.0
1990-03-08,0,33682.0
1990-03-09,0,33745.0
1990-03-10,0,33883.0
1990-03-12,0,33894.0
1990-03-13,0,33862.0
1990-03-14,0,33925.0
1990-03-15,0,34000.0
1990-03-16,0,34063.0
1990-03-17,0,34190.0
1990-03-18,0,34392.0
1990-03-19,0,34678.0
1990-03-20,0,35007.0
1990-03-21,0,35367.0
1990-03-22,0,35812.0
1990-03-23,0,36236.0
1990-03-24,0,36692.0
1990-03-25,0,37190.0
1990-03-26,0,37731.0
1990-03-27,0,38187.0
1990-03-28,0,38632.0
1990-03-29,0,39010.0
1990-03-30,0,39345.0
1990-03-31,0,39669.0
1990-04-01,0,40090.0
1990-04-02,0,40609.0
1990-04-03,0,41203.0
1990-04-04,0,41732.0
1990-04-05,0,42348.0
1990-04-06,0,42747.0
1990-04-07,0,43309.0
1990-04-08,0,43764.0
1990-04-09,0,44108.0
1990-04-10,0,44612.0
1990-04-11,0,44984.0
1990-04-12,0,45344.0
1990-04-13,0,45908.0
1990-04-14,0,46496.0
1990-04-15,0,47180.0
1990-04-16,0,47804.0
1990-04-17,0,48248.0
1990-04-18,0,48644.0
1990-04-19,0,49124.0
1990-04-20,0,49904.0
1990-04-21,0,50718.0
1990-04-22,0,51361.0
1990-04-23,0,52394.0
1990-04-24,0,53188.0
1990-04-25,0,53730.0
1990-04-26,0,54284.0
1990-04-27,0,54939.0
1990-04-28,0,55771.0
