date,time,reservoir_storage
1990-01-01,0,162386.0
1990-01-02,0,162115.0
1990-01-03,0,163251.0
1990-01-04,0,163127.0
1990-01-05,0,163700.0
1990-01-06,0,163700.0
1990-01-07,0,163868.0
1990-01-08,0,164438.0
1990-01-09,0,164812.0
1990-01-10,0,164912.0
1990-01-11,0,165286.0
1990-01-12,0,165400.0
1990-01-13,0,168600.0
1990-01-14,0,170900.0
1990-01-15,0,171863.0
1990-01-16,0,173348.0
1990-01-17,0,174168.0
1990-01-18,0,175252.0
1990-01-19,0,176200.0
1990-01-20,0,176726.0
1990-01-21,0,176829.0
1990-01-22,0,177976.0
1990-01-23,0,178472.0
1990-01-24,0,179020.0
1990-01-25,0,179412.0
1990-01-26,0,180400.0
1990-01-27,0,180600.0
1990-01-28,0,181805.0
1990-01-29,0,182493.0
1990-01-30,0,183130.0
1990-01-31,0,183800.0
1990-02-01,0,184086.0
1990-02-02,0,184400.0
1990-02-03,0,184600.0
1990-02-04,0,185000.0
1990-02-05,0,185526.0
1990-02-06,0,186330.0
1990-02-07,0,187026.0
1990-02-08,0,188051.0
1990-02-09,0,189200.0
1990-02-10,0,189600.0
1990-02-11,0,190165.0
1990-02-12,0,190685.0
1990-02-13,0,191532.0
1990-02-14,0,192052.0
1990-02-15,0,193038.0
1990-02-16,0,194638.0
1990-02-17,0,196298.0
1990-02-18,0,197996.0
1990-02-19,0,198862.0
1990-02-20,0,200096.0
1990-02-21,0,200770.0
1990-02-22,0,201813.0
1990-02-23,0,202000.0
1990-02-24,0,202200.0
1990-02-25,0,202500.0
1990-02-26,0,203058.0
1990-02-27,0,203794.0
1990-02-28,0,204700.0
1990-03-01,0,205700.0
1990-03-02,0,207422.0
1990-03-03,0,209236.0
1990-03-04,0,211061.0
1990-03-05,0,212658.0
1990-03-06,0,214005.0
1990-03-07,0,215645.0
1990-03-08,0,216619.0
1990-03-09,0,217900.0
1990-03-10,0,219100.0
1990-03-11,0,220800.0
1990-03-12,0,222593.0
1990-03-13,0,224244.0
1990-03-14,0,225845.0
1990-03-15,0,227056.0
1990-03-16,0,228200.0
1990-03-17,0,228700.0
1990-03-18,0,229950.0
1990-03-19,0,231698.0
