date,time,reservoir_storage
1990-01-01,0,186820.0
1990-01-08,0,186260.0
1990-01-15,0,186470.0
1990-01-22,0,185470.0
1990-01-24,0,185910.0
1990-01-25,0,186030.0
1990-01-28,0,186200.0
1990-01-29,0,186090.0
1990-02-05,0,186880.0
1990-02-12,0,188470.0
1990-02-19,0,191210.0
1990-02-26,0,195040.0
1990-03-12,0,196120.0
1990-03-18,0,193570.0
1990-03-19,0,193120.0
1990-03-20,0,192650.0
1990-03-21,0,192350.0
1990-03-22,0,192030.0
1990-03-25,0,191570.0
1990-03-26,0,191480.0
1990-03-27,0,191500.0
1990-03-28,0,191630.0
1990-03-29,0,191740.0
1990-04-01,0,191400.0
1990-04-02,0,191330.0
1990-04-04,0,191080.0
1990-04-05,0,191060.0
1990-04-08,0,190550.0
1990-04-09,0,190590.0
1990-04-10,0,190950.0
1990-04-11,0,191380.0
1990-04-12,0,191670.0
1990-04-15,0,192710.0
1990-04-16,0,193100.0
1990-04-17,0,193480.0
1990-04-18,0,193890.0
1990-04-19,0,194310.0
1990-04-22,0,195190.0
1990-04-23,0,195790.0
1990-04-24,0,196380.0
1990-04-25,0,196890.0
1990-04-26,0,196920.0
1990-04-29,0,194890.0
1990-04-30,0,194890.0
1990-05-01,0,193220.0
1990-05-02,0,192500.0
1990-05-03,0,191820.0
1990-05-06,0,190150.0
1990-05-07,0,189900.0
1990-05-08,0,189580.0
1990-05-09,0,189180.0
1990-05-10,0,188830.0
1990-05-13,0,188340.0
1990-05-14,0,188390.0
1990-05-15,0,188470.0
1990-05-16,0,188340.0
1990-05-17,0,188220.0
1990-05-20,0,188760.0
1990-05-21,0,188760.0
1990-05-22,0,189020.0
1990-05-23,0,189290.0
1990-05-24,0,189580.0
1990-05-28,0,190740.0
1990-05-29,0,191080.0
1990-05-30,0,191310.0
1990-05-31,0,191520.0
1990-06-03,0,192290.0
1990-06-04,0,192610.0
1990-06-05,0,192800.0
1990-06-06,0,193010.0
1990-06-07,0,193160.0
1990-06-10,0,193400.0
1990-06-11,0,193500.0
1990-06-12,0,193310.0
1990-06-14,0,193400.0
1990-06-17,0,191570.0
1990-06-18,0,191380.0
1990-06-19,0,191740.0
1990-06-20,0,191720.0
1990-06-21,0,191840.0
1990-06-24,0,190950.0
1990-06-25,0,190570.0
1990-06-26,0,190050.0
1990-06-27,0,189620.0
1990-06-28,0,189160.0
1990-07-01,0,187780.0
1990-07-02,0,187340.0
1990-07-04,0,186740.0
1990-07-05,0,186680.0
1990-07-08,0,184420.0
1990-07-09,0,184250.0
1990-07-10,0,184320.0
1990-07-11,0,184250.0
1990-07-12,0,184290.0
1990-07-15,0,184290.0
1990-07-16,0,184270.0
1990-07-17,0,184270.0
1990-07-18,0,184320.0
1990-07-22,0,184320.0
1990-07-23,0,184290.0
1990-07-24,0,184340.0
1990-07-25,0,184230.0
1990-07-30,0,184050.0
1990-08-01,0,183780.0
1990-08-02,0,183530.0
1990-08-05,0,181160.0
1990-08-06,0,180800.0
1990-08-07,0,180800.0
1990-08-08,0,180740.0
1990-08-09,0,180720.0
1990-08-12,0,180610.0
1990-08-13,0,180650.0
1990-08-14,0,180860.0
1990-08-15,0,180840.0
1990-08-16,0,180780.0
1990-08-19,0,180820.0
1990-08-20,0,180800.0
1990-08-21,0,180840.0
1990-08-22,0,180860.0
1990-08-23,0,180760.0
1990-08-26,0,178770.0
1990-08-27,0,177750.0
1990-08-29,0,177450.0
1990-08-30,0,177650.0
1990-09-03,0,177630.0
1990-09-04,0,177690.0
1990-09-05,0,177750.0
1990-09-06,0,177670.0
1990-09-24,0,173460.0
1990-10-09,0,171950.0
1990-10-10,0,171810.0
1990-10-11,0,171910.0
1990-10-14,0,171690.0
1990-10-15,0,171730.0
1990-10-16,0,171650.0
1990-10-17,0,171540.0
1990-10-18,0,171620.0
1990-10-21,0,171600.0
1990-10-22,0,171540.0
1990-10-23,0,171600.0
1990-10-24,0,171630.0
1990-10-25,0,171600.0
1990-10-28,0,171710.0
1990-10-29,0,171620.0
1990-10-30,0,171690.0
1990-10-31,0,172140.0
1990-11-01,0,172650.0
1990-11-04,0,172950.0
1990-11-05,0,172790.0
1990-11-06,0,172650.0
1990-11-07,0,172460.0
1990-11-08,0,172240.0
1990-11-12,0,170740.0
1990-11-13,0,170350.0
1990-11-14,0,169860.0
1990-11-19,0,167620.0
1990-11-20,0,167180.0
1990-11-25,0,164800.0
1990-11-26,0,164570.0
1990-11-27,0,164190.0
1990-11-28,0,163870.0
1990-11-29,0,163470.0
1990-12-02,0,162320.0
1990-12-03,0,161830.0
1990-12-04,0,161420.0
1990-12-05,0,161090.0
1990-12-06,0,160600.0
1990-12-09,0,159470.0
1990-12-10,0,159260.0
1990-12-11,0,159560.0
1990-12-12,0,159870.0
1990-12-13,0,160190.0
1990-12-16,0,159540.0
1990-12-17,0,159430.0
1990-12-18,0,159650.0
1990-12-19,0,160040.0
1990-12-20,0,160230.0
1990-12-25,0,159220.0
1990-12-26,0,158840.0
1990-12-27,0,158390.0
1990-12-30,0,157380.0
1991-01-01,0,156700.0
1991-01-02,0,156350.0
1991-01-03,0,156010.0
1991-01-06,0,154770.0
1991-01-07,0,154390.0
1991-01-08,0,153990.0
1991-01-09,0,153680.0
1991-01-10,0,153320.0
1991-01-13,0,152210.0
1991-01-14,0,151850.0
1991-01-15,0,151440.0
1991-01-16,0,150970.0
1991-01-17,0,150720.0
1991-01-21,0,148660.0
1991-01-24,0,147320.0
1991-01-27,0,145820.0
1991-01-28,0,145480.0
1991-01-29,0,145000.0
1991-01-30,0,144530.0
1991-01-31,0,144010.0
1991-02-03,0,142900.0
1991-02-04,0,142690.0
1991-02-05,0,142440.0
1991-02-06,0,142540.0
1991-02-07,0,142590.0
1991-02-10,0,141680.0
1991-02-12,0,141150.0
1991-02-13,0,141050.0
1991-02-14,0,141050.0
1991-02-18,0,140940.0
1991-02-20,0,138960.0
1991-02-21,0,138840.0
1991-02-24,0,137910.0
1991-02-25,0,137410.0
1991-02-26,0,137070.0
1991-02-27,0,136890.0
1991-02-28,0,136800.0
1991-03-03,0,137860.0
1991-03-04,0,139280.0
1991-03-05,0,141240.0
1991-03-06,0,141630.0
1991-03-07,0,141480.0
1991-03-10,0,140890.0
1991-03-11,0,140740.0
1991-03-12,0,140470.0
1991-03-13,0,140950.0
1991-03-17,0,141100.0
1991-03-18,0,141300.0
1991-03-19,0,141530.0
1991-03-21,0,141990.0
1991-03-24,0,143510.0
1991-03-25,0,144890.0
1991-03-26,0,146510.0
1991-03-27,0,147390.0
1991-03-31,0,149490.0
1991-04-01,0,150420.0
1991-04-02,0,151130.0
1991-04-03,0,151960.0
1991-04-07,0,155770.0
1991-04-08,0,155770.0
1991-04-09,0,157530.0
1991-04-10,0,158260.0
1991-04-11,0,158760.0
1991-04-14,0,160410.0
1991-04-15,0,160600.0
1991-04-16,0,160950.0
1991-04-17,0,161070.0
1991-04-18,0,161180.0
1991-04-21,0,161550.0
1991-04-22,0,161550.0
1991-04-23,0,161480.0
1991-04-24,0,161500.0
1991-04-25,0,161680.0
1991-04-29,0,162210.0
1991-04-30,0,162210.0
1991-05-01,0,162450.0
1991-05-02,0,162890.0
1991-05-05,0,163410.0
1991-05-06,0,163660.0
1991-05-07,0,164380.0
1991-05-08,0,165160.0
1991-05-09,0,165810.0
1991-05-12,0,166210.0
1991-05-13,0,166650.0
1991-05-14,0,166900.0
1991-05-15,0,167300.0
1991-05-16,0,167800.0
1991-05-19,0,168510.0
1991-05-20,0,168680.0
1991-05-21,0,169300.0
1991-05-22,0,169670.0
1991-05-27,0,172870.0
1991-05-28,0,173320.0
1991-05-29,0,174010.0
1991-05-30,0,174700.0
1991-06-02,0,176910.0
1991-06-03,0,177910.0
1991-06-04,0,178510.0
1991-06-05,0,178940.0
1991-06-06,0,179340.0
1991-06-09,0,181770.0
1991-06-10,0,182820.0
1991-06-11,0,183490.0
1991-06-12,0,184210.0
1991-06-13,0,185160.0
1991-06-16,0,185000.0
1991-06-17,0,184810.0
1991-06-18,0,184480.0
1991-06-19,0,184250.0
1991-06-20,0,184130.0
1991-06-23,0,183330.0
1991-06-24,0,182940.0
1991-06-25,0,182750.0
1991-06-26,0,182430.0
1991-06-27,0,181960.0
1991-06-30,0,179660.0
1991-07-01,0,179560.0
1991-07-02,0,179480.0
1991-07-04,0,179080.0
1991-07-07,0,178980.0
1991-07-08,0,179040.0
1991-07-09,0,179060.0
1991-07-10,0,179060.0
1991-07-11,0,179040.0
1991-07-14,0,179140.0
1991-07-15,0,179120.0
1991-07-16,0,179080.0
1991-07-17,0,178610.0
1991-07-18,0,177650.0
1991-07-22,0,177170.0
1991-07-23,0,177230.0
1991-07-24,0,177270.0
1991-07-25,0,177230.0
1991-07-28,0,177190.0
1991-07-29,0,177170.0
1991-07-30,0,177150.0
1991-07-31,0,177030.0
1991-08-01,0,176890.0
1991-08-04,0,176870.0
1991-08-05,0,176730.0
1991-08-06,0,176690.0
1991-08-07,0,176670.0
1991-08-08,0,176650.0
1991-08-11,0,175440.0
1991-08-12,0,175470.0
1991-08-13,0,175890.0
1991-08-14,0,176190.0
1991-08-15,0,176410.0
1991-08-18,0,176370.0
1991-08-19,0,176250.0
1991-08-20,0,176050.0
1991-08-21,0,175970.0
1991-08-22,0,175970.0
1991-08-25,0,175120.0
1991-08-26,0,174680.0
1991-08-27,0,174560.0
1991-08-28,0,173790.0
1991-08-29,0,173120.0
1991-09-02,0,171480.0
1991-09-05,0,170310.0
1991-09-09,0,168990.0
1991-09-10,0,168970.0
1991-09-12,0,169050.0
1991-09-15,0,169630.0
1991-09-16,0,169730.0
1991-09-17,0,170040.0
1991-09-18,0,170270.0
1991-09-19,0,170430.0
1991-09-22,0,171210.0
1991-09-23,0,171320.0
1991-09-24,0,171260.0
1991-09-25,0,171500.0
1991-09-26,0,171650.0
1991-09-29,0,171460.0
1991-09-30,0,171650.0
1991-10-01,0,171950.0
1991-10-02,0,172120.0
1991-10-03,0,172320.0
1991-10-06,0,172990.0
1991-10-07,0,173260.0
1991-10-08,0,173480.0
1991-10-09,0,173770.0
1991-10-10,0,173870.0
1991-10-14,0,173600.0
1991-10-15,0,174050.0
1991-10-16,0,174370.0
1991-10-17,0,174640.0
1991-10-20,0,175300.0
1991-10-21,0,175080.0
1991-10-22,0,174640.0
1991-10-23,0,174090.0
1991-10-24,0,172790.0
1991-10-27,0,173400.0
1991-10-28,0,173280.0
1991-10-30,0,172970.0
1991-10-31,0,173520.0
1991-11-03,0,174720.0
1991-11-04,0,175140.0
1991-11-05,0,175490.0
1991-11-06,0,175910.0
1991-11-07,0,176250.0
1991-11-11,0,177430.0
1991-11-12,0,178310.0
1991-11-13,0,178940.0
1991-11-14,0,179540.0
1991-11-17,0,181850.0
1991-11-18,0,182630.0
1991-11-19,0,183390.0
1991-11-20,0,184170.0
1991-11-21,0,184950.0
1991-11-24,0,187030.0
1991-11-25,0,187840.0
1991-11-26,0,188570.0
1991-11-28,0,190024.0
1991-12-01,0,192100.0
1991-12-02,0,192180.0
1991-12-03,0,191310.0
1991-12-04,0,190380.0
1991-12-05,0,189370.0
1991-12-08,0,188620.0
1991-12-09,0,188700.0
1991-12-10,0,188870.0
1991-12-11,0,188970.0
1991-12-12,0,189160.0
1991-12-15,0,188970.0
1991-12-16,0,188970.0
1991-12-18,0,188950.0
1991-12-19,0,189020.0
1991-12-22,0,188780.0
1991-12-23,0,188640.0
1991-12-25,0,189120.0
1991-12-26,0,189140.0
1991-12-29,0,188300.0
1991-12-30,0,188160.0
1992-01-01,0,188620.0
1992-01-02,0,189020.0
1992-01-05,0,191720.0
1992-01-06,0,192500.0
1992-01-07,0,193200.0
1992-01-08,0,192820.0
1992-01-09,0,192480.0
1992-01-12,0,190830.0
1992-01-13,0,190280.0
1992-01-14,0,189940.0
1992-01-15,0,189480.0
1992-01-20,0,1896906.0
1992-01-21,0,189790.0
1992-01-22,0,190130.0
1992-01-23,0,190320.0
1992-01-26,0,190510.0
1992-01-27,0,190510.0
1992-01-28,0,191190.0
1992-01-29,0,191550.0
1992-01-30,0,192030.0
1992-02-02,0,192760.0
1992-02-03,0,192880.0
1992-02-04,0,192800.0
1992-02-05,0,193120.0
1992-02-06,0,193370.0
1992-02-09,0,194440.0
1992-02-10,0,194850.0
1992-02-12,0,196960.0
1992-02-13,0,198500.0
1992-02-17,0,199930.0
1992-02-18,0,198950.0
1992-02-19,0,198170.0
1992-02-20,0,198670.0
1992-02-24,0,199430.0
1992-02-27,0,199020.0
1992-03-01,0,200460.0
1992-03-03,0,201550.0
1992-03-04,0,201880.0
1992-03-05,0,202170.0
1992-03-08,0,201800.0
1992-03-09,0,201380.0
1992-03-10,0,200390.0
1992-03-11,0,199410.0
1992-03-12,0,198230.0
1992-03-15,0,196330.0
1992-03-16,0,196420.0
1992-03-17,0,196310.0
1992-03-18,0,196310.0
1992-03-19,0,196310.0
1992-03-22,0,195090.0
1992-03-23,0,194640.0
1992-03-24,0,194660.0
1992-03-25,0,194590.0
1992-03-26,0,194610.0
1992-03-29,0,194270.0
1992-03-30,0,194270.0
1992-03-31,0,194720.0
1992-04-01,0,195170.0
1992-04-02,0,195410.0
1992-04-05,0,195210.0
1992-04-06,0,195090.0
1992-04-07,0,195020.0
1992-04-08,0,195240.0
1992-04-09,0,195360.0
1992-04-13,0,195750.0
1992-04-14,0,196290.0
1992-04-15,0,196810.0
1992-04-16,0,196810.0
1992-04-19,0,197180.0
1992-04-20,0,197050.0
1992-04-21,0,196980.0
1992-04-23,0,196890.0
1992-04-27,0,196530.0
1992-04-28,0,196720.0
1992-04-29,0,196550.0
1992-04-30,0,196440.0
1992-05-03,0,195790.0
1992-05-04,0,195670.0
1992-05-05,0,195920.0
1992-05-06,0,196070.0
1992-05-07,0,196310.0
1992-05-10,0,196740.0
1992-05-11,0,197000.0
1992-05-12,0,197000.0
1992-05-13,0,197260.0
1992-05-14,0,197370.0
1992-05-17,0,197690.0
1992-05-18,0,197720.0
1992-05-19,0,197670.0
1992-05-21,0,197910.0
1992-05-25,0,197930.0
1992-05-26,0,197980.0
1992-05-27,0,198020.0
1992-05-28,0,198040.0
1992-05-31,0,198220.0
1992-06-01,0,198220.0
1992-06-02,0,197950.0
1992-06-03,0,197240.0
1992-06-04,0,196510.0
1992-06-07,0,195490.0
1992-06-09,0,193440.0
1992-06-10,0,192050.0
1992-06-11,0,190700.0
1992-06-14,0,187590.0
1992-06-15,0,186470.0
1992-06-16,0,185330.0
1992-06-17,0,183800.0
1992-06-18,0,182730.0
1992-06-21,0,181450.0
1992-06-22,0,180860.0
1992-06-23,0,179620.0
1992-06-24,0,178890.0
1992-06-25,0,178470.0
1992-06-28,0,178270.0
1992-06-29,0,178130.0
1992-06-30,0,177950.0
1992-07-01,0,177270.0
1992-07-05,0,176750.0
1992-07-06,0,176330.0
1992-07-07,0,175750.0
1992-07-08,0,175180.0
1992-07-09,0,173950.0
1992-07-13,0,173480.0
1992-07-19,0,172910.0
1992-07-20,0,172550.0
1992-07-21,0,172030.0
1992-07-22,0,171420.0
1992-07-23,0,171260.0
1992-07-26,0,170060.0
1992-07-27,0,169280.0
1992-07-28,0,169130.0
1992-07-29,0,168720.0
1992-07-30,0,168300.0
1992-08-02,0,168320.0
1992-08-03,0,167720.0
1992-08-04,0,166930.0
1992-08-05,0,166050.0
1992-08-06,0,165650.0
1992-08-09,0,165920.0
1992-08-10,0,165500.0
1992-08-11,0,164890.0
1992-08-12,0,164700.0
1992-08-13,0,164300.0
1992-08-16,0,164910.0
1992-08-17,0,165310.0
1992-08-18,0,165520.0
1992-08-20,0,165310.0
1992-08-23,0,155370.0
1992-08-24,0,165330.0
1992-08-25,0,165040.0
1992-08-26,0,165010.0
1992-08-27,0,165060.0
1992-08-30,0,164020.0
1992-08-31,0,163510.0
1992-09-01,0,163300.0
1992-09-02,0,162830.0
1992-09-03,0,162700.0
1992-09-07,0,160950.0
1992-09-09,0,160470.0
1992-09-10,0,160300.0
1992-09-13,0,159610.0
1992-09-14,0,159610.0
1992-09-15,0,159480.0
1992-09-16,0,159280.0
1992-09-17,0,158980.0
1992-09-20,0,158470.0
1992-09-21,0,158340.0
1992-09-22,0,158240.0
1992-09-23,0,158230.0
1992-09-24,0,157930.0
1992-09-27,0,157600.0
1992-09-28,0,157620.0
1992-09-29,0,157620.0
1992-09-30,0,157470.0
1992-10-01,0,157360.0
1992-10-04,0,156520.0
1992-10-05,0,155990.0
1992-10-06,0,155820.0
1992-10-07,0,155710.0
1992-10-12,0,153700.0
1992-10-13,0,153720.0
1992-10-14,0,153700.0
1992-10-15,0,153500.0
1992-10-18,0,150990.0
1992-10-21,0,145010.0
1992-10-22,0,147590.0
1992-10-25,0,145210.0
1992-10-26,0,144770.0
1992-10-27,0,145080.0
1992-10-28,0,145270.0
1992-10-29,0,145240.0
1992-11-01,0,145620.0
1992-11-02,0,146030.0
1992-11-03,0,146370.0
1992-11-04,0,146640.0
1992-11-08,0,146810.0
1992-11-09,0,146600.0
1992-11-11,0,147180.0
1992-11-15,0,147370.0
1992-11-16,0,147370.0
1992-11-18,0,147550.0
1992-11-19,0,147740.0
1992-11-22,0,147600.0
1992-11-23,0,147390.0
1992-11-29,0,146480.0
1992-11-30,0,146340.0
1992-12-01,0,146130.0
1992-12-02,0,145960.0
1992-12-03,0,145940.0
1992-12-06,0,145850.0
1992-12-07,0,146110.0
1992-12-08,0,146360.0
1992-12-09,0,147850.0
1992-12-10,0,148840.0
1992-12-13,0,149870.0
1992-12-14,0,149670.0
1992-12-15,0,149650.0
1992-12-16,0,149920.0
1992-12-17,0,150200.0
1992-12-20,0,150650.0
1992-12-21,0,150900.0
1992-12-22,0,151330.0
1992-12-23,0,151690.0
1992-12-27,0,153410.0
1992-12-28,0,154520.0
1992-12-29,0,156170.0
1993-01-03,0,159410.0
1993-01-04,0,159520.0
1993-01-10,0,165420.0
1993-01-11,0,164990.0
1993-01-12,0,165060.0
1993-01-13,0,167760.0
1993-01-14,0,170660.0
1993-01-18,0,176930.0
1993-01-20,0,177670.0
1993-01-21,0,180860.0
1993-01-24,0,187680.0
1993-01-25,0,187650.0
1993-01-26,0,187170.0
1993-01-28,0,186340.0
1993-01-31,0,183990.0
1993-02-01,0,183060.0
1993-02-02,0,181770.0
1993-02-03,0,180740.0
1993-02-04,0,179620.0
1993-02-07,0,176520.0
1993-02-08,0,176170.0
1993-02-10,0,177330.0
1993-02-15,0,175710.0
1993-02-16,0,175240.0
1993-02-17,0,174680.0
1993-02-18,0,174580.0
1993-02-21,0,177350.0
1993-02-22,0,177670.0
1993-02-23,0,178370.0
1993-02-24,0,179260.0
1993-02-25,0,179780.0
1993-02-28,0,179820.0
1993-03-01,0,179700.0
1993-03-02,0,179360.0
1993-03-03,0,178980.0
1993-03-04,0,178960.0
1993-03-06,0,178000.0
1993-03-07,0,178000.0
1993-03-08,0,178010.0
1993-03-09,0,177930.0
1993-03-14,0,177590.0
1993-03-15,0,177830.0
1993-03-16,0,178090.0
1993-03-18,0,183230.0
1993-03-21,0,187600.0
1993-03-22,0,187590.0
1993-03-23,0,185020.0
1993-03-24,0,191500.0
1993-03-28,0,192520.0
1993-03-29,0,193400.0
1993-04-04,0,190050.0
1993-04-05,0,190190.0
1993-04-11,0,189180.0
1993-04-12,0,189520.0
1993-04-13,0,189330.0
1993-04-14,0,189480.0
1993-04-19,0,190190.0
1993-04-20,0,190260.0
1993-04-25,0,190240.0
1993-04-26,0,190130.0
1993-04-27,0,190070.0
1993-05-06,0,192010.0
1993-05-26,0,193090.0
1993-05-27,0,195730.0
1993-05-31,0,191210.0
1993-06-01,0,194720.0
1993-06-02,0,194720.0
1993-06-03,0,193250.0
1993-06-06,0,190260.0
1993-06-07,0,191020.0
1993-06-08,0,193180.0
1993-06-09,0,195150.0
1993-06-13,0,198020.0
1993-06-14,0,197870.0
1993-06-15,0,197240.0
1993-06-16,0,198080.0
1993-06-17,0,198670.0
1993-06-20,0,200630.0
1993-06-21,0,201140.0
1993-06-23,0,201600.0
1993-06-24,0,201510.0
1993-06-27,0,204200.0
1993-06-28,0,204200.0
1993-06-29,0,205380.0
1993-06-30,0,205640.0
1993-07-01,0,205070.0
1993-07-07,0,206710.0
1993-07-08,0,206980.0
1993-07-11,0,205000.0
1993-07-12,0,203960.0
1993-07-13,0,202960.0
1993-07-14,0,201770.0
1993-07-15,0,200350.0
1993-07-18,0,196610.0
1993-07-19,0,196150.0
1993-07-20,0,194440.0
1993-07-21,0,192590.0
1993-07-22,0,190640.0
1993-07-25,0,185530.0
1993-07-26,0,184400.0
1993-07-28,0,185260.0
1993-07-29,0,186300.0
1993-07-31,0,189460.0
1993-08-01,0,189460.0
1993-08-02,0,189960.0
1993-08-03,0,190190.0
1993-08-04,0,190210.0
1993-08-05,0,189980.0
1993-08-08,0,188830.0
1993-08-09,0,188340.0
1993-08-11,0,187320.0
1993-08-15,0,185580.0
1993-08-16,0,185000.0
1993-08-17,0,184420.0
1993-08-18,0,183920.0
1993-08-19,0,182530.0
1993-08-22,0,180490.0
1993-08-23,0,179940.0
1993-08-24,0,179560.0
1993-08-25,0,179280.0
1993-08-26,0,178390.0
1993-08-29,0,177870.0
1993-08-30,0,177530.0
1993-09-01,0,176590.0
1993-09-02,0,176730.0
1993-09-05,0,177700.0
1993-09-06,0,177670.0
1993-09-07,0,177950.0
1993-09-09,0,178190.0
1993-09-12,0,178940.0
1993-09-13,0,178940.0
1993-09-14,0,179480.0
1993-09-15,0,179740.0
1993-09-16,0,180110.0
1993-09-19,0,182390.0
1993-09-20,0,182390.0
1993-09-21,0,181960.0
1993-09-22,0,181630.0
1993-09-23,0,181100.0
1993-09-26,0,179700.0
1993-09-27,0,179240.0
1993-09-28,0,178730.0
1993-09-29,0,177950.0
1993-09-30,0,177170.0
1993-10-03,0,175690.0
1993-10-04,0,175180.0
1993-10-05,0,174720.0
1993-10-06,0,174330.0
1993-10-07,0,173850.0
1993-10-10,0,174230.0
1993-10-11,0,174230.0
1993-10-12,0,174460.0
1993-10-13,0,174460.0
1993-10-14,0,174560.0
1993-10-17,0,174680.0
1993-10-18,0,174660.0
1993-10-19,0,174700.0
1993-10-20,0,174720.0
1993-10-21,0,174900.0
1993-10-24,0,174880.0
1993-10-25,0,174920.0
1993-10-26,0,174940.0
1993-10-27,0,174880.0
1993-10-28,0,174880.0
1993-10-31,0,173500.0
1993-11-01,0,173050.0
1993-11-02,0,172770.0
1993-11-03,0,172870.0
1993-11-04,0,172380.0
1993-11-07,0,172280.0
1993-11-09,0,172030.0
1993-11-11,0,172280.0
1993-11-14,0,172540.0
1993-11-15,0,172100.0
1993-11-16,0,171850.0
1993-11-17,0,171990.0
1993-11-18,0,172200.0
1993-11-21,0,171710.0
1993-11-22,0,171620.0
1993-11-23,0,171600.0
1993-11-28,0,171240.0
1993-11-29,0,171630.0
1993-11-30,0,171930.0
1993-12-01,0,172010.0
1993-12-02,0,171930.0
1993-12-05,0,171060.0
1993-12-06,0,171670.0
1993-12-07,0,171090.0
1993-12-08,0,170700.0
1993-12-09,0,170910.0
1993-12-12,0,171750.0
1993-12-13,0,172180.0
1993-12-14,0,172850.0
1993-12-15,0,173260.0
1993-12-16,0,173730.0
1993-12-19,0,174640.0
1993-12-20,0,174920.0
1993-12-21,0,175300.0
1993-12-22,0,175690.0
1993-12-26,0,176950.0
1993-12-27,0,177410.0
1993-12-28,0,177210.0
1993-12-29,0,177430.0
1994-01-02,0,178750.0
1994-01-03,0,179160.0
1994-01-04,0,179480.0
1994-01-05,0,179920.0
1994-01-06,0,180270.0
1994-01-09,0,180590.0
1994-01-10,0,180840.0
1994-01-11,0,181060.0
1994-01-12,0,181510.0
1994-01-13,0,181750.0
1994-01-15,0,181750.0
1994-01-16,0,181750.0
1994-01-17,0,182530.0
1994-01-18,0,182280.0
1994-01-19,0,182350.0
1994-01-20,0,182530.0
1994-01-22,0,182530.0
1994-01-23,0,182570.0
1994-01-24,0,182900.0
1994-01-25,0,183430.0
1994-01-26,0,183760.0
1994-01-27,0,184070.0
1994-01-30,0,184360.0
1994-01-31,0,184500.0
1994-02-01,0,184360.0
1994-02-02,0,184210.0
1994-02-03,0,184090.0
1994-02-06,0,183160.0
1994-02-07,0,183160.0
1994-02-08,0,183330.0
1994-02-09,0,183270.0
1994-02-10,0,183310.0
1994-02-13,0,183310.0
1994-02-14,0,183210.0
1994-02-15,0,183180.0
1994-02-16,0,182900.0
1994-02-17,0,183290.0
1994-02-20,0,182590.0
1994-02-21,0,182590.0
1994-02-22,0,184870.0
1994-02-23,0,184980.0
1994-02-24,0,184690.0
1994-02-27,0,184730.0
1994-02-28,0,185040.0
1994-03-01,0,184870.0
1994-03-02,0,184790.0
1994-03-03,0,185060.0
