date,time,reservoir_storage
2007-04-30,0,166770.0
2007-05-28,0,165118.0
2007-05-29,0,164409.0
2007-05-30,0,162559.0
2007-05-31,0,161345.0
2007-06-01,0,162333.0
2007-06-02,0,162296.0
2007-06-03,0,162546.0
2007-06-04,0,161733.0
2007-06-05,0,161795.0
2007-06-06,0,160897.0
2007-06-07,0,158973.0
2007-06-08,0,155854.0
2007-06-09,0,158011.0
2007-06-10,0,160897.0
2007-06-11,0,159803.0
2007-06-12,0,159072.0
2007-06-13,0,159072.0
2007-06-14,0,157175.0
2007-06-15,0,155964.0
2007-06-16,0,157212.0
2007-06-17,0,161520.0
2007-06-18,0,160822.0
2007-06-19,0,160275.0
2007-06-20,0,159939.0
2007-06-21,0,159184.0
2007-06-22,0,158665.0
2007-06-23,0,160635.0
2007-06-24,0,163778.0
2007-06-25,0,163363.0
2007-07-02,0,162571.0
2007-07-03,0,159815.0
2007-07-04,0,160735.0
2007-07-05,0,160001.0
2007-07-06,0,157802.0
2007-07-07,0,158726.0
2007-07-08,0,163476.0
2007-07-09,0,163338.0
2007-07-10,0,163816.0
2007-07-11,0,161733.0
2007-07-12,0,160275.0
2007-07-13,0,158294.0
2007-07-14,0,159035.0
2007-07-15,0,162283.0
2007-07-16,0,162810.0
2007-07-17,0,163136.0
2007-07-18,0,163136.0
2007-07-19,0,160312.0
2007-07-20,0,159728.0
2007-07-21,0,161470.0
2007-07-22,0,163929.0
2007-08-01,0,160088.0
2007-08-02,0,159456.0
2007-08-03,0,157827.0
2007-08-04,0,158986.0
2007-08-05,0,163048.0
2007-08-06,0,161558.0
2007-08-07,0,163099.0
2007-08-08,0,163665.0
2007-08-09,0,163262.0
2007-08-10,0,162321.0
2007-08-11,0,163514.0
2007-08-12,0,166260.0
2007-08-13,0,165447.0
2007-08-14,0,164068.0
2007-08-15,0,163728.0
2007-08-16,0,163023.0
2007-08-17,0,161009.0
2007-08-18,0,161308.0
2007-08-19,0,163929.0
2007-08-20,0,162446.0
2007-08-21,0,162810.0
2007-08-22,0,161995.0
2007-08-23,0,160237.0
2007-08-24,0,158184.0
2007-08-25,0,161483.0
2007-08-26,0,163073.0
2007-08-27,0,163993.0
