date,time,reservoir_storage
1990-01-01,0,8284.0
1990-01-02,0,8410.0
1990-01-03,0,8497.0
1990-01-04,0,8570.0
1990-01-05,0,8629.0
1990-01-06,0,8694.0
1990-01-07,0,8759.0
1990-01-08,0,8824.0
1990-01-09,0,8890.0
1990-01-10,0,8956.0
1990-01-11,0,9027.0
1990-01-12,0,9113.0
1990-01-13,0,9257.0
1990-01-14,0,9536.0
1990-01-15,0,9715.0
1990-01-16,0,9881.0
1990-01-17,0,10085.0
1990-01-18,0,10126.0
1990-01-19,0,10075.0
1990-01-20,0,10034.0
1990-01-21,0,9998.0
1990-01-22,0,9927.0
1990-01-24,0,9978.0
1990-01-25,0,9968.0
1990-01-26,0,9998.0
1990-01-27,0,10029.0
1990-01-28,0,10116.0
1990-01-29,0,10080.0
1990-01-30,0,10090.0
1990-02-01,0,10111.0
1990-02-02,0,10096.0
1990-02-03,0,10075.0
1990-02-04,0,10090.0
1990-02-05,0,10080.0
1990-02-06,0,10075.0
1990-02-07,0,10096.0
1990-02-08,0,10075.0
1990-02-09,0,10019.0
1990-02-10,0,9983.0
1990-02-11,0,9917.0
1990-02-12,0,10034.0
1990-02-13,0,10168.0
1990-02-14,0,10282.0
1990-02-15,0,10376.0
1990-02-16,0,10486.0
1990-02-17,0,10678.0
1990-02-18,0,10931.0
1990-02-19,0,11123.0
1990-02-20,0,11266.0
1990-02-21,0,11406.0
1990-02-22,0,11535.0
1990-02-23,0,11671.0
1990-02-24,0,11820.0
1990-02-25,0,11993.0
1990-02-26,0,12173.0
1990-02-27,0,12368.0
1990-03-02,0,12963.0
1990-03-03,0,13197.0
1990-03-04,0,13458.0
1990-03-05,0,13774.0
1990-03-06,0,14024.0
1990-03-07,0,14251.0
1990-03-08,0,14473.0
1990-03-09,0,14639.0
1990-03-10,0,14805.0
1990-03-11,0,15094.0
1990-03-12,0,15298.0
1990-03-13,0,15449.0
1990-03-14,0,15524.0
1990-03-15,0,15559.0
1990-03-16,0,15621.0
1990-03-17,0,15704.0
1990-03-18,0,15816.0
1990-03-19,0,15949.0
1990-03-20,0,16096.0
1990-03-21,0,16217.0
1990-03-22,0,16323.0
1990-03-23,0,16459.0
1990-03-24,0,16610.0
1990-03-25,0,16849.0
1990-03-26,0,17119.0
1990-03-27,0,17385.0
1990-03-28,0,17616.0
1990-03-29,0,17826.0
1990-03-30,0,18008.0
1990-04-01,0,18328.0
1990-04-02,0,18482.0
1990-04-03,0,18637.0
1990-04-04,0,18800.0
1990-04-05,0,18949.0
1990-04-06,0,19090.0
1990-04-07,0,19256.0
1990-04-08,0,19423.0
1990-04-09,0,19582.0
1990-04-10,0,19727.0
1990-04-11,0,19719.0
1990-04-12,0,19671.0
1990-04-13,0,19598.0
1990-04-14,0,19510.0
1990-04-15,0,19423.0
1990-04-16,0,19319.0
1990-04-17,0,19248.0
1990-04-18,0,19130.0
1990-04-19,0,18988.0
1990-04-20,0,18870.0
1990-04-21,0,18792.0
1990-04-22,0,18816.0
1990-04-23,0,19004.0
1990-04-24,0,19224.0
1990-04-25,0,19407.0
1990-04-26,0,19566.0
1990-04-27,0,19735.0
1990-04-28,0,19904.0
1990-04-29,0,20066.0
1990-04-30,0,20205.0
1990-05-01,0,20327.0
1990-05-02,0,20442.0
1990-05-03,0,20550.0
1990-05-04,0,20649.0
1990-05-05,0,20740.0
1990-05-06,0,20765.0
1990-05-07,0,20698.0
1990-05-08,0,20632.0
1990-05-09,0,20566.0
1990-05-10,0,20467.0
1990-05-11,0,20377.0
1990-05-12,0,20287.0
1990-05-13,0,20197.0
1990-05-14,0,20123.0
1990-05-15,0,20115.0
1990-05-16,0,20156.0
1990-05-17,0,20197.0
1990-05-18,0,20221.0
1990-05-19,0,20254.0
1990-05-20,0,20278.0
1990-05-21,0,20278.0
1990-05-22,0,20303.0
1990-05-23,0,20327.0
1990-05-24,0,20360.0
1990-05-25,0,20401.0
1990-05-26,0,20410.0
1990-05-27,0,20459.0
1990-05-28,0,20998.0
1990-05-29,0,21478.0
1990-05-30,0,21777.0
1990-05-31,0,22017.0
1990-06-01,0,22250.0
1990-06-02,0,22451.0
1990-06-03,0,22424.0
1990-06-04,0,22277.0
1990-06-05,0,22017.0
1990-06-06,0,21734.0
1990-06-07,0,21453.0
1990-06-08,0,21149.0
1990-06-09,0,20840.0
1990-06-10,0,20541.0
1990-06-11,0,20295.0
1990-06-12,0,20180.0
1990-06-13,0,20180.0
1990-06-14,0,20180.0
1990-06-15,0,20180.0
1990-06-16,0,20188.0
1990-06-17,0,20197.0
1990-06-18,0,20164.0
1990-06-19,0,20123.0
1990-06-20,0,20083.0
1990-06-21,0,20026.0
1990-06-25,0,19775.0
1990-06-26,0,19703.0
1990-06-27,0,19614.0
1990-06-28,0,19558.0
1990-06-29,0,19510.0
1990-06-30,0,19391.0
1990-07-01,0,19098.0
1990-07-02,0,18753.0
1990-07-03,0,18374.0
1990-07-04,0,17993.0
1990-07-05,0,17608.0
1990-07-06,0,17237.0
1990-07-07,0,16856.0
1990-07-08,0,16452.0
1990-07-09,0,16068.0
1990-07-10,0,15732.0
1990-07-11,0,15684.0
1990-07-12,0,15635.0
1990-07-13,0,15587.0
1990-07-14,0,15538.0
1990-07-16,0,15305.0
1990-07-17,0,15114.0
1990-07-18,0,14892.0
1990-07-19,0,14659.0
1990-07-20,0,14388.0
1990-07-21,0,14114.0
1990-07-22,0,13844.0
1990-07-23,0,13584.0
1990-07-24,0,13477.0
1990-07-25,0,13421.0
1990-07-26,0,13365.0
1990-07-27,0,13315.0
1990-07-28,0,13271.0
1990-07-29,0,13203.0
1990-07-30,0,12969.0
1990-07-31,0,12690.0
1990-08-01,0,12433.0
1990-08-02,0,12179.0
1990-08-03,0,11923.0
1990-08-04,0,11688.0
1990-08-05,0,11462.0
1990-08-06,0,11228.0
1990-08-07,0,11046.0
1990-08-08,0,10882.0
1990-08-09,0,10796.0
1990-08-10,0,10747.0
1990-08-11,0,10705.0
1990-08-12,0,10667.0
1990-08-13,0,10539.0
1990-08-14,0,10329.0
1990-08-15,0,10085.0
1990-08-16,0,9856.0
1990-08-18,0,9408.0
1990-08-19,0,9214.0
1990-08-20,0,9037.0
1990-08-21,0,8984.0
1990-08-22,0,8951.0
1990-08-23,0,8923.0
1990-08-24,0,8890.0
1990-08-25,0,8862.0
1990-08-26,0,8838.0
1990-08-27,0,8759.0
1990-08-28,0,8666.0
1990-08-29,0,8574.0
1990-08-30,0,8483.0
1990-08-31,0,8388.0
1990-09-01,0,8293.0
1990-09-02,0,8204.0
1990-09-03,0,8116.0
1990-09-04,0,7980.0
1990-09-05,0,7816.0
1990-09-06,0,7645.0
1990-09-07,0,7457.0
1990-09-08,0,7259.0
1990-09-23,0,6058.0
1990-09-24,0,6000.0
1990-09-25,0,5933.0
1990-09-26,0,5866.0
1990-09-27,0,5796.0
1990-09-28,0,5768.0
1990-09-29,0,5658.0
1990-09-30,0,5593.0
1990-10-01,0,5542.0
1990-10-02,0,5529.0
1990-10-03,0,5512.0
1990-10-05,0,5482.0
1990-10-06,0,5465.0
1990-10-07,0,5425.0
1990-10-08,0,5346.0
1990-10-09,0,5277.0
1990-10-11,0,5131.0
1990-10-12,0,5061.0
1990-10-13,0,4992.0
1990-10-14,0,4907.0
1990-10-15,0,4873.0
1990-10-16,0,4855.0
1990-10-17,0,4839.0
1990-10-18,0,4821.0
1990-10-19,0,4803.0
1990-10-20,0,4775.0
1990-10-21,0,4726.0
1990-10-22,0,4663.0
1990-10-23,0,4603.0
1990-10-24,0,4544.0
1990-10-25,0,4500.0
1990-10-26,0,4447.0
1990-10-27,0,4392.0
1990-10-28,0,4318.0
1990-10-29,0,4283.0
1990-10-30,0,4269.0
1990-11-01,0,4238.0
1990-11-02,0,4232.0
1990-11-03,0,4235.0
1990-11-04,0,4241.0
1990-11-05,0,4244.0
1990-11-06,0,4241.0
1990-11-07,0,4241.0
1990-11-08,0,4238.0
1990-11-09,0,4202.0
1990-11-10,0,4162.0
1990-11-11,0,4121.0
1990-11-12,0,4079.0
1990-11-13,0,4044.0
1990-11-14,0,4011.0
1990-11-15,0,3981.0
1990-11-16,0,3973.0
1990-11-17,0,3976.0
1990-11-18,0,3981.0
1990-11-19,0,3987.0
1990-11-20,0,3992.0
1990-11-21,0,4011.0
1990-11-22,0,4022.0
1990-11-23,0,4030.0
1990-11-24,0,4044.0
1990-11-25,0,4071.0
1990-11-26,0,4101.0
1990-11-27,0,4137.0
1990-11-28,0,4168.0
1990-11-29,0,4196.0
1990-12-03,0,4306.0
1990-12-04,0,4335.0
1990-12-05,0,4361.0
1990-12-06,0,4386.0
1990-12-07,0,4412.0
1990-12-08,0,4441.0
1990-12-09,0,4471.0
1990-12-10,0,4500.0
1990-12-11,0,4526.0
1990-12-12,0,4556.0
1990-12-13,0,4585.0
