date,time,reservoir_storage
2004-06-01,0,132503.0
2004-06-02,0,132279.0
2004-06-03,0,131981.0
2004-06-04,0,131734.0
2004-06-05,0,131461.0
2004-06-06,0,131116.0
2004-06-07,0,130770.0
2004-06-08,0,130401.0
2004-06-09,0,130178.0
2004-06-10,0,129761.0
2004-06-11,0,129419.0
2004-06-12,0,129002.0
2004-06-13,0,128563.0
2004-06-14,0,128173.0
2004-06-15,0,127978.0
2004-06-16,0,127857.0
2004-06-17,0,127662.0
2004-06-18,0,127468.0
2004-06-19,0,127250.0
2004-06-20,0,127033.0
2004-06-21,0,126863.0
2004-06-22,0,126694.0
2004-06-23,0,126524.0
2004-06-24,0,126332.0
2004-06-25,0,126162.0
2004-06-26,0,125994.0
2004-06-27,0,125826.0
2004-06-28,0,125705.0
2004-06-29,0,125537.0
2004-06-30,0,125345.0
2004-07-01,0,125201.0
2004-07-02,0,125009.0
2004-07-03,0,124817.0
2004-07-04,0,124627.0
2004-07-05,0,124435.0
2004-07-06,0,124220.0
2004-07-07,0,123934.0
2004-07-08,0,123601.0
2004-07-09,0,123220.0
2004-07-10,0,122817.0
2004-07-11,0,122438.0
2004-07-12,0,122014.0
2004-07-13,0,121542.0
2004-07-14,0,121095.0
2004-07-15,0,120579.0
2004-07-16,0,120112.0
2004-07-17,0,119645.0
2004-07-19,0,118669.0
2004-07-20,0,118161.0
2004-07-21,0,117721.0
2004-07-22,0,117261.0
2004-07-23,0,116755.0
2004-07-24,0,116274.0
2004-07-25,0,115795.0
2004-07-26,0,115294.0
2004-07-27,0,114816.0
2004-07-28,0,114340.0
2004-07-29,0,113820.0
2004-07-30,0,113370.0
2004-07-31,0,112943.0
2004-08-01,0,112539.0
2004-08-02,0,112070.0
2004-08-03,0,111735.0
2004-08-04,0,111468.0
2004-08-05,0,111200.0
2004-08-06,0,110956.0
2004-08-07,0,110757.0
2004-08-08,0,110535.0
2004-08-09,0,110336.0
2004-08-10,0,110181.0
2004-08-11,0,110049.0
2004-08-12,0,109939.0
2004-08-13,0,109850.0
2004-08-14,0,109762.0
2004-08-15,0,109652.0
2004-08-17,0,109432.0
2004-08-18,0,109344.0
2004-08-19,0,109300.0
2004-08-20,0,109233.0
2004-08-21,0,109168.0
2004-08-22,0,109059.0
2004-08-23,0,108992.0
2004-08-24,0,108904.0
2004-08-25,0,108817.0
2004-08-26,0,108708.0
2004-08-27,0,108599.0
2004-08-28,0,108555.0
2004-08-29,0,108511.0
2004-08-30,0,108445.0
2004-08-31,0,108380.0
2004-09-01,0,108313.0
2004-09-02,0,108226.0
2004-09-03,0,108117.0
2004-09-04,0,108009.0
2004-09-05,0,107965.0
2004-09-06,0,107921.0
2004-09-07,0,107855.0
2004-09-08,0,107790.0
2004-09-09,0,107703.0
2004-09-10,0,107616.0
2004-09-11,0,107573.0
2004-09-12,0,107486.0
2004-09-13,0,107399.0
2004-09-14,0,107312.0
2004-09-15,0,107247.0
2004-09-16,0,107225.0
2004-09-17,0,107203.0
2004-09-18,0,107138.0
2004-09-19,0,107030.0
2004-09-20,0,107008.0
