date,time,reservoir_storage
1990-01-01,0,8867.0
1990-01-02,0,8923.0
1990-01-03,0,8964.0
1990-01-04,0,8981.0
1990-01-05,0,8994.0
1990-01-06,0,9004.0
1990-01-07,0,9014.0
1990-01-08,0,9031.0
1990-01-09,0,9052.0
1990-01-10,0,9079.0
1990-01-11,0,9096.0
1990-01-12,0,9130.0
1990-01-13,0,9250.0
1990-01-14,0,9658.0
1990-01-15,0,9863.0
1990-01-16,0,10068.0
1990-01-17,0,10280.0
1990-01-18,0,10280.0
1990-01-19,0,10135.0
1990-01-20,0,9950.0
1990-01-21,0,9751.0
1990-01-22,0,9562.0
1990-01-24,0,9358.0
1990-01-25,0,9326.0
1990-01-26,0,9323.0
1990-01-27,0,9351.0
1990-01-28,0,9396.0
1990-01-29,0,9516.0
1990-01-30,0,9686.0
1990-02-01,0,10068.0
1990-02-02,0,10258.0
1990-02-03,0,10431.0
1990-02-04,0,10665.0
1990-02-05,0,10867.0
1990-02-06,0,11073.0
1990-02-07,0,11318.0
1990-02-08,0,11432.0
1990-02-09,0,11423.0
1990-02-10,0,11403.0
1990-02-11,0,11310.0
1990-02-12,0,11145.0
1990-02-13,0,10954.0
1990-02-14,0,10719.0
1990-02-15,0,10443.0
1990-02-16,0,10213.0
1990-02-17,0,10061.0
1990-02-18,0,9939.0
1990-02-19,0,9754.0
1990-02-20,0,9852.0
1990-02-21,0,10101.0
1990-02-22,0,10352.0
1990-02-23,0,10634.0
1990-02-24,0,10954.0
1990-02-25,0,11293.0
1990-02-26,0,11637.0
1990-02-27,0,11989.0
1990-03-02,0,13132.0
1990-03-03,0,13641.0
1990-03-04,0,14141.0
1990-03-05,0,14685.0
1990-03-06,0,15108.0
1990-03-07,0,15493.0
1990-03-08,0,15938.0
1990-03-09,0,16377.0
1990-03-10,0,16842.0
1990-03-11,0,17408.0
1990-03-12,0,17900.0
1990-03-13,0,18315.0
1990-03-14,0,18653.0
1990-03-15,0,19026.0
1990-03-16,0,19490.0
1990-03-17,0,20058.0
1990-03-18,0,20721.0
1990-03-19,0,21393.0
1990-03-20,0,21920.0
1990-03-21,0,22634.0
1990-03-22,0,22924.0
1990-03-23,0,23782.0
1990-03-24,0,24750.0
1990-03-25,0,25745.0
1990-03-26,0,26475.0
1990-03-27,0,27290.0
1990-03-28,0,28041.0
1990-03-29,0,28676.0
1990-03-30,0,29231.0
