day_of_year,reservoir_storage
1,16323.39
2,16387.9883333
3,16411.6366667
4,16445.135
5,16442.9833333
6,16421.0416667
7,16412.6
8,16403.5357143
9,16399.4214286
10,16408.2071429
11,16409.7928571
12,16407.5285714
13,16414.1392857
14,16433.8
15,16450.4416667
16,16467.2333333
17,16490.325
18,16515.4166667
19,16529.8583333
20,16544.55
21,16561.31875
22,16573.1375
23,16588.0276786
24,16609.8178571
25,16626.8080357
26,16637.8482143
27,16658.8383929
28,16667.4285714
29,16678.15
30,16681.65
31,16692.55
32,16702.1
33,16728.45
34,16754.8833333
35,16769.3166667
36,16779.3
37,16802.8
38,16826.85
39,16849.375
40,16802.1
41,16897.7
42,16919.2
43,16930.5
44,16943.55
45,16969.2
46,16977.65
47,17002.8
48,17052.0
49,17082.1666667
50,17116.3833333
51,17129.35
52,17149.35
53,17165.25
54,17189.3
55,17219.2
56,17256.7
57,17288.15
58,17342.35
59,17382.8
60,17397.95
61,17434.65
62,17490.65
63,17514.15
64,17548.1
65,17657.5
66,17683.15
67,17766.45
68,17810.5
69,17901.9
70,17943.85
71,17989.75
72,18034.65
73,18104.45
74,18173.65
75,18261.4
76,18357.15
77,18447.525
78,18543.975
79,18654.6
80,18743.9833333
81,18844.3666667
82,18948.55
83,19045.45
84,19152.15
85,19271.55
86,19367.975
87,19474.9
88,19575.075
89,19665.75
90,19763.25
91,19871.7
92,19978.8
93,20082.8
94,20185.16
95,20296.72
96,20380.33
97,20460.84
98,20580.25
99,20588.4
100,20648.05
101,20728.45
102,20827.25
103,20891.25
104,20946.05
105,21013.3
106,21053.6
107,21120.9
108,21170.35
109,21218.65
110,21273.85
111,21461.35
112,21645.0
113,21724.6
114,21803.725
115,21876.3
116,21920.7
117,21975.7
118,21982.2
119,22091.9
120,22109.85
121,22173.85
122,22172.4
123,22180.7
124,22187.55
125,22187.65
126,22194.5
127,22216.35
128,22216.05
129,22212.15
130,22193.8
131,22196.7
132,22195.2
133,22184.05
134,22169.0
135,22167.6
136,22172.35
137,22199.4
138,22225.075
139,22242.1
140,22224.25
141,22198.5
142,22177.725
143,22194.6
144,22149.9
145,22116.9333333
146,22088.1166667
147,22052.55
148,22024.95
149,22080.35
150,22065.3
151,22080.2
152,22056.25
153,22049.55
154,22033.975
155,22025.15
156,22006.0
157,21987.3
158,21948.65
159,21924.9
160,21903.2
161,21889.0
162,21865.325
163,21838.2
164,21807.075
165,21778.9
166,21758.55
167,21749.75
168,21716.75
169,21680.7625
170,21646.275
171,21523.3875
172,21573.65
173,21548.0666667
174,21523.6333333
175,21496.75
176,21463.325
177,21433.1
178,21412.1
179,21385.05
180,21353.65
181,21325.475
182,21294.75
183,21260.65
184,21228.2
185,21191.25
186,21160.05
187,21126.45
188,21089.7
189,21052.25
190,21019.2
191,20980.15
192,20946.15
193,20902.55
194,20870.65
195,20831.1
196,20797.4
197,20754.1
198,20708.8
199,20681.6
200,20643.0
201,20601.1
202,20562.35
203,20523.6
204,20478.75
205,20440.5
206,20398.25
207,20357.75
208,20318.45
209,20280.2
210,20232.1
211,20188.5
212,20144.25
213,20093.6
214,20055.05
215,20005.9
216,19962.9
217,19916.15
218,19871.15
219,19824.6166667
220,19781.2833333
221,19735.0
222,19689.425
223,19644.2916667
224,19599.4333333
225,19561.35
226,19517.3625
227,19475.2375
228,19431.5625
229,19388.2875
230,19344.6
231,19295.3
232,19236.2
233,19190.6
234,19148.95
235,19125.025
236,19075.45
237,19027.35
238,18954.3
239,18917.6
240,18877.4
241,18837.8
242,18796.55
243,18758.75
244,18736.6
245,18691.5
246,18595.55
247,18605.5
248,18539.15
249,18496.5
250,18453.65
251,18411.45
252,18373.9
253,18326.3
254,18286.85
255,18246.8
256,18207.55
257,18159.55
258,18119.85
259,18083.1
260,18043.4
261,18001.25
262,17964.35
263,17929.25
264,17888.5166667
265,17848.9833333
266,17810.9
267,17773.4
268,17734.05
269,17702.05
270,17666.6
271,17635.5
272,17602.1
273,17567.1
274,17530.05
275,17491.95
276,17449.95
277,17414.25
278,17383.75
279,17348.95
280,17310.075
281,17278.65
282,17239.45
283,17207.7
284,17168.85
285,17133.7
286,17097.9
287,17054.15
288,17026.9
289,16989.0
290,16952.9
291,16924.65
292,16899.55
293,16870.15
294,16842.15
295,16807.45
296,16772.6
297,16743.35
298,16714.9
299,16689.2
300,16663.8
301,16640.15
302,16608.05
303,16598.25
304,16562.35
305,16532.9
306,16509.05
307,16498.65
308,16462.75
309,16438.55
310,16417.575
311,16405.85
312,16388.45
313,16371.95
314,16345.7
315,16324.425
316,16304.8
317,16279.6
318,16259.45
319,16232.3
320,16210.25
321,16191.95
322,16171.75
323,16166.1
324,16149.6
325,16136.5
326,16115.3
327,16111.55
328,16095.65
329,16085.95
330,16070.9
331,16051.8
332,16037.3
333,16018.7
334,16007.7
335,16027.15
336,16016.2
337,16015.05
338,16000.3
339,15981.85
340,15993.5
341,16015.5
342,16005.85
343,15995.85
344,15991.45
345,16000.8
346,16028.8
347,16043.5
348,16055.05
349,16054.55
350,16050.35
351,16040.65
352,16034.7
353,16027.25
354,16019.4
355,16033.55
356,16083.3
357,16096.75
358,16098.6
359,16091.2
360,16093.25
361,16050.8
362,16094.9
363,16114.55
364,16179.55
365,16254.85
366,16315.8
