day_of_year,reservoir_storage
1,35654.0730263
2,35829.430519
3,35416.3005117
4,36409.464433
5,37446.0283542
6,38156.8172755
7,38848.0228634
8,39494.4992847
9,39482.1490393
10,39381.6008772
11,39498.2576754
12,39482.1073308
13,39383.1569862
14,39410.8983083
15,39322.2193922
16,39623.1654762
17,39842.0839286
18,40216.902381
19,40775.2738095
20,41009.5452381
21,41237.6166667
22,41055.6666667
23,41276.9166667
24,41706.325
25,42041.81875
26,42345.7875
27,42909.53125
28,42901.875
29,43090.01875
30,42969.8708333
31,43531.111553
32,43884.6272727
33,44568.1318182
34,44990.5363636
35,45644.8975758
36,46229.5587879
37,46850.7516667
38,47258.2445455
39,47859.5499242
40,48455.255303
41,49344.0273485
42,50427.9332576
43,51144.435
44,51059.1541667
45,51602.84
46,52197.6883333
47,52811.6533333
48,53570.5016667
49,54234.0666667
50,55395.0778571
51,56505.8307143
52,57986.1419048
53,58652.5030952
54,59727.097619
55,60802.3571429
56,62019.0625
57,62131.5433333
58,62521.8741667
59,62942.7825
60,63918.295
61,64866.4241667
62,65878.0433333
63,66846.625
64,68163.1166667
65,70062.9833333
66,71293.275
67,71784.05
68,72533.8555556
69,73312.5861111
70,74060.0916667
71,74951.6222222
72,76257.1944444
73,77406.9416667
74,78719.3888889
75,80438.3694444
76,82176.5
77,83092.625
78,83670.675
79,84581.225
80,85638.25
81,86834.3
82,87919.475
83,88856.7
84,89377.6083333
85,90106.5166667
86,90736.775
87,91396.0
88,92131.5
89,92972.45
90,93645.025
91,94839.425
92,95544.75
93,96608.65
94,97192.2
95,97662.825
96,98109.55
97,98662.675
98,99140.975
99,99542.5
100,100073.3
101,100844.4
102,101497.233333
103,102033.466667
104,102574.1
105,102563.15
106,102650.35
107,102737.125
108,103147.35
109,103618.6
110,103954.8
111,104365.55
112,104750.85
113,105101.716667
114,105399.183333
115,105563.375
116,105425.425
117,105234.15
118,105176.741667
119,105090.383333
120,104991.683333
121,105069.916667
122,105203.45
123,105155.65
124,105084.65
125,105015.8
126,104952.925
127,104795.525
128,104617.1
129,104374.85
130,103889.4
131,103434.6
132,102972.675
133,102564.2
134,102204.375
135,101848.15
136,101700.45
137,101637.2
138,101773.825
139,101912.9
140,101848.4
141,101791.15
142,101819.6
143,101916.25
144,101894.55
145,101844.825
146,101795.25
147,101743.225
148,101831.65
149,102010.125
150,101686.083333
151,101439.266667
152,101152.65
153,101077.916667
154,101033.383333
155,100789.325
156,100437.1
157,100110.325
158,100011.15
159,99895.65
160,99724.8
161,99556.2
162,99427.9
163,99281.85
164,99185.525
165,99052.9
166,98888.25
167,98688.325
168,98480.4
169,98282.625
170,98006.3
171,97675.025
172,97308.25
173,96916.9125
174,96485.125
175,95967.3375
176,95566.8
177,95166.95
178,94760.5
179,94386.0
180,93998.1
181,93675.9
182,93320.6
183,92938.375
184,92544.75
185,92145.45
186,91727.725
187,91279.7
188,90801.0
189,90326.3
190,89865.8
191,89418.4
192,88975.95
193,88529.65
194,88085.55
195,87655.65
196,87222.3
197,86770.14
198,86306.93
199,85825.82
200,85338.56
201,84855.7
202,84368.95
203,83898.5
204,83439.8
205,82989.8
206,82509.2
207,82027.45
208,81506.25
209,80933.125
210,80326.625
211,79682.475
212,79032.175
213,78375.625
214,77719.55
215,77052.6
216,76396.075
217,75722.2625
218,75031.425
219,74354.1041667
220,73678.3666667
221,73003.5
222,72333.3916667
223,71633.45
224,70939.7625
225,70279.15
226,69608.9375
227,68945.45
228,68293.25
229,67574.6
230,67016.2416667
231,66335.8333333
232,65812.16
233,65207.395
234,64517.23
235,63942.54
236,63230.625
237,62627.4166667
238,61977.9833333
239,61323.35
240,60606.75
241,60034.65
242,59375.6166667
243,58870.1333333
244,58202.55
245,57633.525
246,57041.9
247,56464.225
248,55838.5
249,55204.75
250,54598.4
251,53968.875
252,53468.38
253,52941.71
254,52408.065
255,51868.1033333
256,51359.1666667
257,50863.63
258,50388.5933333
259,49931.1316667
260,49490.345
261,49027.5833333
262,48544.7466667
263,48042.81
264,47531.3233333
265,46985.2366667
266,46444.875
267,45895.85
268,45387.7
269,44902.6
270,44475.3
271,43972.6
272,43510.625
273,43059.7
274,42600.5
275,42136.9
276,41703.4
277,41288.425
278,40891.2
279,40487.4
280,40053.5
281,39654.625
282,39225.125
283,38720.525
284,38241.05
285,37881.85
286,37540.2
287,37214.4
288,36890.65
289,36539.75
290,36199.175
291,35867.35
292,35584.275
293,35312.25
294,35010.575
295,34685.95
296,34368.15
297,34087.175
298,33825.0
299,33584.75
300,33379.4
301,33164.15
302,32959.0875
303,32726.6583333
304,32494.2291667
305,32269.6166667
306,32148.1833333
307,32036.175
308,31920.0
309,31821.6833333
310,31705.5166667
311,31623.05
312,31544.15
313,31455.25
314,31373.425
315,31327.6
316,31273.5
317,31217.0
318,31135.7583333
319,31061.2166667
320,30987.725
321,30888.45
322,30797.825
323,30728.45
324,30711.775
325,30708.6
326,30745.2
327,30804.7333333
328,30903.9166667
329,30936.8
330,31033.85
331,31079.6
332,31085.6
333,31186.73
334,31392.56
335,31722.14
336,31975.28
337,32138.4366667
338,32256.6688889
339,32394.3011111
340,32790.0166667
341,33105.0722222
342,33262.9277778
343,33795.5333333
344,34164.4246032
345,34215.665873
346,34170.1154762
347,34131.9452381
348,34529.725
349,34696.2964286
350,34543.1178571
351,34411.3785714
352,34399.222619
353,34559.4416667
354,34634.55
355,34589.325
356,34498.0083333
357,34475.7966667
358,34254.2766667
359,34319.4045833
360,34426.8825
361,34329.19375
362,34555.7166667
363,34560.8547149
364,34931.1260965
365,35384.9599781
366,37713.2333333
