day_of_year,reservoir_storage
1,35609.6
2,35949.4083333
3,35618.8166667
4,35456.075
5,35391.5333333
6,35361.8916667
7,35217.7
8,35050.45
9,34928.35
10,34812.95
11,34667.5875
12,34507.725
13,34392.0125
14,34411.7
15,34241.725
16,34147.525
17,34098.08
18,33990.56
19,33904.54
20,33832.52
21,33760.1
22,33710.4071429
23,33659.2642857
24,33647.1214286
25,33648.1785714
26,33579.9357143
27,33461.1428571
28,33327.65
29,33091.5714286
30,33094.9428571
31,32948.7642857
32,32820.7607143
33,32777.1571429
34,32734.0285714
35,32895.6
36,33025.7
37,33133.5
38,33146.9
39,33203.5772727
40,33287.7545455
41,33417.8318182
42,33439.4590909
43,33431.0363636
44,33484.9636364
45,33626.5909091
46,33678.5681818
47,33788.6954545
48,33925.5227273
49,33955.8
50,34160.7142857
51,34355.3785714
52,34438.9678571
53,34471.5821429
54,34561.2214286
55,34691.7190476
56,34783.5666667
57,34824.3
58,34953.6
59,35009.35
60,34922.9
61,35110.7
62,35284.5
63,35425.025
64,35833.8428571
65,36034.8857143
66,36196.4285714
67,36419.5464286
68,36681.5892857
69,37032.0071429
70,37454.5
71,37835.9428571
72,38186.8357143
73,38629.3035714
74,39101.0214286
75,39515.7392857
76,40051.8571429
77,40530.025
78,41000.75
79,41495.125
80,41936.75
81,42363.3875
82,42812.325
83,43455.7625
84,43953.5
85,44498.2
86,44981.95
87,45346.1
88,46084.35
89,46508.6375
90,46959.075
91,47440.3625
92,48112.8928571
93,48852.3857143
94,49501.7785714
95,50032.7714286
96,50653.3392857
97,51404.3071429
98,52168.75
99,52795.2
100,53328.95
101,53996.63
102,54373.61
103,55072.44
104,55684.22
105,56232.05
106,56701.8142857
107,57157.9285714
108,57718.6428571
109,58214.8071429
110,58754.0214286
111,59328.2357143
112,59931.15
113,60431.2642857
114,61119.3785714
115,61753.1428571
116,62324.4071429
117,62941.1214286
118,63497.8857143
119,63978.2
120,64360.0571429
121,64971.0142857
122,65540.0714286
123,66112.6785714
124,66602.3857143
125,67165.7928571
126,67765.5
127,68309.7857143
128,69039.7714286
129,69786.8571429
130,70330.4928571
131,70783.1785714
132,71299.8642857
133,71914.55
134,72532.1071429
135,73003.3642857
136,73467.8714286
137,73788.5285714
138,74114.1857143
139,74558.4928571
140,75013.1
141,75426.2
142,75901.85
143,76447.6
144,77058.0
145,77635.85
146,78058.05
147,78446.3
148,78832.6214286
149,79174.0928571
150,79421.9642857
151,79831.9857143
152,80249.5071429
153,80614.2785714
154,80801.8
155,81081.225
156,81365.2
157,81555.775
158,81780.75
159,81996.6166667
160,82238.8333333
161,82492.1
162,82769.2571429
163,83007.9642857
164,83210.9714286
165,83387.3285714
166,83568.9357143
167,83761.3428571
168,84118.6
169,84339.9
170,84570.65
171,84820.2333333
172,84931.4666667
173,85098.85
174,85129.7833333
175,85250.2166667
176,85328.9
177,85398.0
178,85387.75
179,85333.85
180,85354.85
181,85384.95
182,85339.7
183,85303.0
184,85305.675
185,85238.5
186,85173.55
187,85098.575
188,84947.6
189,84790.35
190,84653.95
191,84491.45
192,84326.5
193,84198.5
194,84100.2
195,84016.55
196,83893.15
197,83719.05
198,83614.1
199,83425.3
200,83234.35
201,83008.5833333
202,82763.0666667
203,82531.45
204,82394.4
205,82157.6
206,81935.9
207,81662.6
208,81427.75
209,81109.65
210,80808.55
211,80585.05
212,80345.55
213,80124.15
214,79853.8
215,79543.75
216,79196.2
217,78854.25
218,78512.4
219,78203.85
220,77944.6
221,77701.35
222,77427.15
223,77080.7
224,76857.35
225,76450.35
226,76104.5
227,75752.0
228,75454.55
229,75120.3
230,74744.75
231,74369.15
232,74086.95
233,73747.05
234,73454.05
235,73203.9
236,72898.75
237,72590.6
238,72315.55
239,72041.95
240,71775.4
241,71457.1
242,71117.3
243,70860.25
244,70574.15
245,70259.35
246,69952.0
247,69656.6
248,69327.15
249,69030.25
250,68686.825
251,68361.2
252,67924.0
253,67534.75
254,67135.6
255,66950.9
256,66468.55
257,66115.05
258,65699.775
259,65287.45
260,64941.75
261,64549.1
262,64220.05
263,63895.2
264,63483.5
265,63018.5
266,62612.675
267,62233.4
268,61882.4
269,61557.7
270,61171.7
271,60742.85
272,60396.0
273,60106.15
274,59824.35
275,59583.5
276,59247.35
277,58955.5
278,58625.85
279,58288.15
280,57981.55
281,57645.8
282,57340.95
283,57016.95
284,56774.0
285,56500.1
286,56201.6
287,55883.85
288,55552.95
289,55136.8
290,54721.0
291,54348.5
292,53939.8
293,53521.0
294,53183.8
295,52771.475
296,52356.4
297,51996.9
298,51626.6
299,51223.1
300,51114.0
301,50939.8
302,50718.75
303,50543.0
304,50416.8
305,50297.5
306,50201.7
307,50158.1
308,50111.35
309,50108.55
310,50166.05
311,50165.4
312,50259.67
313,50327.19
314,50407.46
315,50428.58
316,50450.4
317,50496.45
318,50484.75
319,50467.1
320,50421.7
321,50378.15
322,50256.6
323,50223.4
324,49727.4214286
325,49841.4428571
326,49626.247619
327,49350.702381
328,48987.8571429
329,48576.0785714
330,48158.1
331,47769.9071429
332,47335.4642857
333,46847.9214286
334,46397.9285714
335,45876.3107143
336,45401.3928571
337,44874.05
338,44348.2428571
339,43863.9607143
340,43418.3785714
341,42869.9214286
342,42328.5142857
343,41758.2571429
344,41255.45
345,40725.1428571
346,40412.8857143
347,40124.5785714
348,39759.8714286
349,39396.1642857
350,38977.4071429
351,38574.85
352,38208.4366667
353,37829.2733333
354,37450.86
355,37109.4466667
356,36799.0333333
357,36411.22
358,36053.7066667
359,35629.1433333
360,35258.43
361,34939.4166667
362,34732.8533333
363,34566.19
364,34404.7266667
365,34747.5133333
366,31449.8
