day_of_year,reservoir_storage
1,48002.5208333
2,49015.35
3,49620.85
4,49827.9
5,50072.55
6,50148.95
7,50275.925
8,50562.725
9,51010.775
10,51481.45
11,51905.45
12,52087.5
13,52427.0
14,53027.925
15,54046.9
16,54448.625
17,54700.85
18,55006.6
19,55292.35
20,55771.35
21,56092.65
22,56439.35
23,56731.35
24,57215.5
25,57638.05
26,58019.525
27,58409.625
28,58618.35
29,58684.9625
30,58694.35
31,58675.0875
32,58666.25
33,58693.25
34,59062.025
35,59270.95
36,59442.55
37,59512.2766667
38,59739.7533333
39,60125.58
40,60363.84
41,60461.775
42,60536.645
43,60687.99
44,60993.935
45,61662.58
46,62010.05
47,62378.25
48,62718.9
49,63058.9
50,63441.0
51,63967.4
52,64406.775
53,64964.95
54,65499.9
55,65942.55
56,66206.7
57,66532.4
58,67061.1
59,67594.6733333
60,67764.0966667
61,68009.27
62,68305.11
63,68645.8
64,69064.3
65,69559.45
66,70036.25
67,70259.7
68,70599.8
69,71538.95
70,72479.45
71,72896.9166667
72,73237.3583333
73,73514.95
74,73745.7
75,73956.3
76,74151.5
77,74410.9625
78,74691.025
79,74935.6875
80,75276.85
81,75722.5
82,76413.55
83,76753.15
84,77417.1791667
85,77729.975
86,77957.8208333
87,78196.6
88,78381.4
89,78452.0
90,78465.875
91,78665.625
92,78724.45
93,78961.7
94,79036.9583333
95,79120.8166667
96,78948.025
97,78768.45
98,78657.025
99,78569.05
100,78685.75
101,78808.375
102,78995.65
103,79174.65
104,79423.55
105,79674.7
106,79923.3
107,80236.975
108,80457.975
109,80698.325
110,80912.8
111,81098.75
112,81278.1
113,81447.625
114,81608.25
115,81729.775
116,81838.7
117,81923.525
118,82033.225
119,82114.8
120,82222.0416667
121,82263.1833333
122,82320.2
123,82358.4
124,82368.5
125,82425.8
126,82505.25
127,82586.875
128,82671.45
129,82774.3
130,82858.05
131,82913.05
132,82951.2
133,83009.5
134,83041.6
135,83069.05
136,83106.25
137,83120.425
138,83116.15
139,83105.9
140,83068.25
141,83024.95
142,82994.95
143,82934.725
144,82870.85
145,82819.925
146,82772.45
147,82710.3375
148,82656.625
149,82606.0875
150,82526.975
151,82428.4
152,82320.05
153,82216.175
154,82106.2
155,81957.45
156,81798.95
157,81656.25
158,81533.85
159,81417.25
160,81308.3
161,81156.25
162,80967.3333333
163,80780.6166667
164,80564.0
165,80309.775
166,80056.75
167,79790.425
168,79484.95
169,79135.15
170,78792.45
171,78447.6
172,78063.7833333
173,77673.0666667
174,77323.225
175,76953.0833333
176,76577.8916667
177,76196.5
178,75781.79375
179,75356.5875
180,74923.93125
181,74506.15
182,74061.99375
183,73563.3125
184,73050.40625
185,72573.05
186,72146.6416667
187,71730.7833333
188,71327.975
189,70909.8166667
190,70490.6583333
191,70070.425
192,69628.55
193,69185.9
194,68749.8
195,68309.175
196,67874.475
197,67427.085
198,66968.92
199,66485.33
200,66011.2275
201,65553.525
202,65103.6125
203,64652.975
204,64190.55
205,63730.275
206,63270.85
207,62814.15
208,62364.5166667
209,61933.0833333
210,61494.35
211,61039.175
212,60594.325
213,60147.575
214,59681.6
215,59217.55
216,58753.3
217,58309.275
218,57868.75
219,57439.2916667
220,56998.7083333
221,56586.1166667
222,56189.9
223,55806.0833333
224,55468.7
225,55157.725
226,54851.75
227,54565.25
228,54310.8
229,54074.5
230,53827.275
231,53574.575
232,53332.1166667
233,53095.6833333
234,52858.1
235,52639.975
236,52427.7
237,52225.05
238,52031.925
239,51849.1
240,51657.175
241,51485.1
242,51317.0
243,51149.075
244,50959.5
245,50780.725
246,50609.0
247,50433.5
248,50269.65
249,50116.35
250,49960.5
251,49832.125
252,49721.2183333
253,49617.9366667
254,49541.68
255,49484.64
256,49442.9
257,49403.235
258,49348.27
259,49287.255
260,49222.69
261,49165.7833333
262,49105.0516667
263,49041.945
264,48983.88
265,48923.6275
266,48870.85
267,48813.8125
268,48759.35
269,48697.9
270,48622.47
271,48481.365
272,48320.01
273,48175.305
274,48034.6
275,47904.4
276,47785.225
277,47672.35
278,47555.125
279,47432.85
280,47317.95
281,47193.2083333
282,47054.3166667
283,46912.9
284,46772.65
285,46627.05
286,46493.95
287,46381.0
288,46277.3
289,46162.65
290,46046.9
291,45935.05
292,45828.1
293,45717.8
294,45608.625
295,45508.85
296,45399.3
297,45292.625
298,45175.25
299,45061.85
300,44973.55
301,44897.875
302,44837.95
303,44809.6
304,44813.3
305,44792.2666667
306,44771.0833333
307,44773.4
308,44758.85
309,44743.7
310,44727.4
311,44712.5
312,44702.4
313,44712.05
314,44718.1916667
315,44716.4833333
316,44713.125
317,44712.0
318,44707.6
319,44700.9
320,44690.725
321,44695.525
322,44705.5
323,44721.45
324,44718.4333333
325,44711.9166667
326,44727.1
327,44863.25
328,44917.825
329,44922.35
330,44927.275
331,44930.5
332,44929.7
333,44937.75
334,44934.8125
335,44938.525
336,44950.3125
337,44992.2833333
338,45000.1666667
339,45016.45
340,45101.9
341,45177.625
342,45220.25
343,45252.95
344,45288.5
345,45731.975
346,46070.225
347,46277.1
348,46364.15
349,46381.7
350,46400.85
351,46464.05
352,46493.3
353,46511.6
354,46542.9416667
355,46572.0333333
356,46660.0083333
357,46698.8166667
358,47231.7
359,47240.6125
360,47230.275
361,47214.7375
362,47249.635
363,47229.895
364,47149.38
365,47634.1441667
366,45240.9
