day_of_year,reservoir_storage
1,588959.047619
2,591101.315789
3,593641.85
4,591037.85
5,588969.0
6,587723.35
7,587598.45
8,587737.571429
9,588879.4
10,590914.25
11,592200.25
12,593444.8
13,596510.95
14,599745.75
15,600833.571429
16,602789.75
17,604410.9
18,610776.368421
19,612218.526316
20,614532.631579
21,616904.0
22,617899.4
23,620938.105263
24,619488.238095
25,623562.8
26,621925.0
27,627838.5
28,620937.421053
29,629667.6
30,630850.105263
31,629591.35
32,629555.55
33,629920.5
34,626264.210526
35,632460.2
36,625878.55
37,627696.526316
38,628848.157895
39,636519.3
40,639439.315789
41,641068.105263
42,636540.722222
43,642069.95
44,643842.526316
45,645634.95
46,653907.421053
47,647825.0
48,649153.3
49,646528.473684
50,646617.5
51,650676.526316
52,649109.833333
53,651932.833333
54,653809.944444
55,659061.052632
56,656234.055556
57,656330.578947
58,662738.0
59,670196.95
60,665510.210526
61,667375.0
62,663251.444444
63,678926.35
64,680120.52381
65,682760.4
66,684188.65
67,680085.894737
68,688148.45
69,685766.210526
70,692020.157895
71,693534.047619
72,694438.2
73,696368.0
74,698557.0
75,700345.619048
76,703227.52381
77,705689.952381
78,708210.9
79,710367.7
80,712560.3
81,715042.45
82,714431.736842
83,717630.0
84,725536.1
85,728963.45
86,731003.85
87,733154.4
88,743175.315789
89,744853.631579
90,746839.4
91,738172.157895
92,743722.809524
93,745807.142857
94,748142.142857
95,749958.761905
96,752545.904762
97,755261.380952
98,759569.15
99,761127.8
100,763600.5
101,764707.619048
102,766480.333333
103,768898.380952
104,768906.55
105,770799.0
106,774064.947368
107,778242.75
108,778992.47619
109,781556.190476
110,783719.904762
111,786568.0
112,787716.4
113,791261.952381
114,793967.095238
115,795889.190476
116,793851.05
117,797212.0
118,803751.571429
119,806734.380952
120,808696.047619
121,810979.904762
122,813135.428571
123,815380.0
124,818032.761905
125,821363.047619
126,824378.952381
127,825709.857143
128,828222.142857
129,830588.619048
130,830876.7
131,832393.95
132,834089.5
133,838240.0
134,839404.285714
135,837244.55
136,839830.15
137,839734.578947
138,843128.263158
139,847204.222222
140,847095.333333
141,848170.444444
142,849054.388889
143,852809.526316
144,850372.894737
145,851513.055556
146,855540.2
147,853925.315789
148,854681.888889
149,855096.833333
150,859788.473684
151,858845.421053
152,862852.210526
153,865803.85
154,866512.55
155,867057.25
156,862693.210526
157,866436.4
158,857293.555556
159,862293.631579
160,862106.894737
161,861855.368421
162,861348.578947
163,860489.578947
164,863190.05
165,858386.368421
166,862684.1
167,858685.789474
168,855781.789474
169,859782.1
170,862093.238095
171,861033.333333
172,854830.25
173,853238.45
174,851619.8
175,850239.85
176,844600.157895
177,842761.052632
178,841848.210526
179,839889.789474
180,838286.578947
181,836163.789474
182,834325.631579
183,831316.421053
184,828920.105263
185,831046.45
186,828687.45
187,826303.6
188,824103.45
189,821683.85
190,824098.285714
191,816447.9
192,824475.263158
193,817036.235294
194,815893.277778
195,802809.315789
196,810741.5
197,802303.4
198,783496.882353
199,787163.052632
200,779450.5
201,790861.95
202,787979.9
203,784229.210526
204,782052.2
205,773341.052632
206,774540.45
207,766225.444444
208,764446.315789
209,761663.473684
210,758542.0
211,757534.157895
212,739117.705882
213,743712.777778
214,735408.058824
215,742193.055556
216,739834.789474
217,736583.894737
218,738352.55
219,735038.8
220,726607.315789
221,723322.052632
222,720452.526316
223,717373.368421
224,714057.842105
225,715518.2
226,707662.473684
227,709086.2
228,701508.631579
229,698557.526316
230,695627.052632
231,684471.333333
232,693718.55
233,686119.421053
234,687887.15
235,680551.0
236,677509.842105
237,675126.947368
238,672713.157895
239,669822.736842
240,667310.421053
241,669578.8
242,662532.684211
243,660297.210526
244,657085.157895
245,660898.65
246,662345.333333
247,651949.0
248,650519.157895
249,643719.277778
