day_of_year,lo,hi,mid,whoa
1,11011446.0,16379327.4857,14308468.4133,18747430.72
2,11197635.4421,16438552.9214,14482941.1991,18753620.66
3,11201795.4,16490509.7571,14535719.7726,18777871.0
4,11205936.0,16539591.7686,14583649.87,18802856.4
5,11204985.4,16548822.7834,14630605.5673,18826285.8
6,11211373.0,16559177.5981,14671924.6646,18842243.3
7,11252905.4,16575849.6262,14732354.1286,18864365.3
8,11319262.2,16595549.1686,14816476.931,18869966.15
9,11357774.3143,16624321.211,14918875.5335,18884439.3
10,11389122.8286,16647980.0551,15103168.1359,18897554.45
11,11413502.1429,16666226.4508,15239389.3923,18901336.6
12,11455384.4571,16677627.0466,15364413.963,18910359.48
13,11542918.3714,16691908.3423,15481924.3337,18922265.76
14,11610847.0857,16707824.338,15594930.7738,18939375.7067
15,11648915.7,16719230.7337,15752096.1147,18960698.5033
16,11682849.1143,16732950.1295,15884874.3223,19058061.5667
17,11705857.8286,16744876.2252,15968314.2632,19154722.7333
18,11745457.5242,16757740.4038,16033870.9027,19226940.2
19,11788640.4474,16768099.2324,16077480.1555,19280912.6
20,11858338.7707,16778011.6609,16083997.1881,19340194.2667
21,11941818.8606,16787900.4895,16103989.9905,19358885.6333
22,12016506.4171,16802593.5181,16114035.4095,19359379.5
23,12059409.6642,16832118.0467,16145710.7429,19353443.3
24,12104420.8179,16872239.5753,16239859.8714,19362304.6
25,12134553.2654,16905402.9039,16290244.2,19380451.6
26,12160272.7985,16930636.4324,16328834.2,19374466.7333
27,12185073.3317,16980412.5,16367023.0,19386964.0667
28,12210704.3899,17017053.85,16398395.8,19395293.9
29,12233659.0814,17041681.0,16425763.6,19382167.8
30,12260354.9063,17091069.4,16462948.6646,19371062.6
31,12287272.1311,17155278.9636,16502514.2831,19361023.2333
32,12307673.4893,17266591.9273,16538509.3015,19353328.2667
33,12319790.1045,17374646.4909,16567764.32,19358188.2545
34,12343571.9196,17436767.0545,16595804.4,19712037.7758
35,12373949.8282,17469552.9182,16622577.6,19829587.9747
36,12396365.4783,17487857.7818,16645004.2,19912263.9071
37,12420387.4446,17499233.7455,16672378.6,20029104.6182
38,12448285.8109,17503724.5091,16709790.4,20209321.2829
39,12482057.7278,17503372.8727,16750936.56,20342688.1477
40,12595320.1548,17481065.9364,16784424.32,20471002.4497
41,12698093.1596,17486058.3,16818522.48,20416752.5842
42,12806543.8778,17490709.9,16841949.64,20349515.1815
43,12898736.7959,17491794.6,16863113.0,20300277.5522
44,12982034.0426,17500139.6,16886891.0669,20239639.2682
45,13065206.756,17519625.2,16903636.7555,20287024.3843
46,13128666.2694,17542172.5,16927379.0441,20277867.3333
47,13186319.3028,17583094.1333,16963085.7551,20233856.4667
48,13248866.727,17761775.6167,17010817.4142,20234964.3333
49,13329397.7512,17901796.9667,17046021.5732,20190845.35
50,13517253.251,17950226.3167,17094545.2656,20153295.7667
51,13671101.8936,17970705.8667,17173584.758,20155481.7833
52,13805443.0163,17977101.4784,17232721.5171,20255825.4
53,13892525.8722,18007360.3,17271311.2589,20289084.3333
54,14003532.9282,18028866.4667,17291640.1645,20337639.6667
55,14091939.6575,18047063.8333,17295029.27,20314283.7
56,14153711.5868,18134853.6,17319528.9557,20260318.9333
57,14205431.2744,18230675.8,17353147.3355,20225131.8667
58,14264321.0859,18282696.2,17375539.3154,20327383.6667
59,14322553.374,18319137.8,17398638.8667,20353004.1
60,14364144.5288,18347922.6,17419968.8179,20371099.4
61,14417253.9335,18392282.2,17450976.1692,20374660.3533
62,14525862.145,18418552.4,17471672.547,20376664.8333
63,14620749.4136,18435218.2,17551453.8812,20381583.3333
64,14699256.9222,18463122.2,17651887.5154,20373873.6667
65,14780865.0974,18488045.6,17713517.3496,20387818.0
66,14870338.8727,18513443.8667,17761980.9838,20411193.0
67,14935182.8479,18544751.3333,17797825.5179,20416135.4222
68,15016046.4232,18680744.1502,17835673.3521,20417323.6444
69,15096493.7184,19060937.8169,17869161.2543,20414336.9667
70,15182529.1565,19273181.6,17908380.1515,20390923.5222
71,15269156.8137,19301211.4,17936354.4486,20378209.2194
72,15363062.4709,19344163.6,17960958.0889,20374432.0833
73,15432622.8667,19394773.6,18010435.1231,20374585.7139
74,15482806.8,19455549.8,18121506.7573,20397446.757
75,15532491.5333,19514440.2,18198764.3915,20406894.2553
76,15570448.8667,19583748.0,18249074.6256,20395368.4898
77,15601620.8,19639518.2,18307937.0598,20411126.4517
78,15628564.8,19680838.0,18361044.941,20446339.9817
79,15658647.6571,19717864.4,18416994.8923,20483412.6467
80,15694511.7143,19742553.16,18474068.4436,20521958.925
81,15729800.3714,19830795.92,18528850.5949,20549890.48
82,15764087.0286,19952619.3905,18598933.3462,20585571.8439
83,15787422.8857,20010764.0,18663059.4974,20639959.1803
84,15821042.9429,20069569.4429,18737256.2,20746913.5429
85,15856805.6,20128996.6857,18788219.8,20802389.7981
86,15895493.8,20183173.3286,18832056.0,20838038.2133
87,15930815.6,20241694.5714,18882450.8,20855982.601
88,15956934.0,20298488.3143,18934348.4,20859153.3286
89,15996646.0,20343427.9873,18978475.4,20861544.58
90,16019694.4,20375584.1062,19046914.6,20882776.3533
91,16036324.6,20413933.2919,19097053.3429,20905959.6267
92,16051473.04,20445491.0775,19142930.4857,20937270.0
93,16062194.88,20466391.5965,19182758.8857,20972324.8
94,16074383.92,20491474.7154,19233871.7143,20999004.4
95,16092827.76,20520314.8344,19285008.1429,21039122.8
96,16111409.0,20563212.3534,19329691.9714,21086141.2
97,16129637.6,20624151.4,19372743.8,21106978.9333
98,16149438.8,20680656.8,19420239.4,21119287.0667
99,16163694.2,20730802.3,19463221.6,21137848.9
100,16169863.6,20759110.2,19505376.8,21143110.8667
101,16166839.2,20784013.75,19547022.0,21151327.7619
102,16171079.4,20812543.7,19591720.6,21172744.3714
103,16180615.0,20846094.45,19634540.6,21203222.3143
104,16199176.8,20863862.4,19686012.8,21243083.3571
105,16217392.8,20878397.974,19739690.6,21270217.8
106,16236309.6,20886473.843,19775814.4,21275045.7
107,16250496.0,20893184.9786,19800465.8,21303889.2
108,16263366.48,20907974.5095,19819252.4,21330098.546
109,16280871.36,20934789.6904,19830437.9,21349492.6286
110,16293484.24,20979719.2568,19841919.6,21380588.6
111,16306075.52,20985833.0781,19855437.4,21421489.5
112,16340311.0,20985498.8994,19864017.8,21480699.3
113,16391596.2,20983309.3207,19870282.4,21546248.2267
114,16429610.0,20982553.142,19885277.2,21608636.5533
115,16447684.84,20991706.1205,19905913.6,21663441.68
116,16453726.08,21013995.8189,19932753.4,21706888.84
117,16452646.12,21031789.4116,19958782.2,21739080.3667
118,16460330.16,21050488.2106,19983561.2,21781166.5333
119,16460042.8,21114976.2095,20000896.6,21829132.1667
120,16461420.6,21417946.4889,20011995.0,21889266.8
121,16483877.0,21458839.5714,20024805.2,21958802.6
122,16600631.3,21461761.6286,20030155.2,22062958.5
123,16733430.4667,21462943.5571,20029446.8,22159979.7333
124,16840815.9333,21467072.8286,20025632.0667,22229627.7825
125,17003745.4,21461188.9,20029817.5333,22263731.7801
126,17109068.0,21456257.6,20041100.2,22281605.2
127,17197110.2,21443464.3,20050187.8,22304179.0
128,17275433.2,21437556.4,20066360.4,22339851.4
129,17345684.6,21430176.7,20083056.6,22381794.2
130,17410696.6,21434089.0667,20095309.7,22409789.8
131,17474418.6,21466510.8523,20115108.0261,22424303.4
132,17525882.8,21497033.7503,20151818.7742,22453585.9
133,17572376.6,21523958.9815,20183772.7222,22484229.6
134,17606446.6,21572494.2128,20202089.5053,22503058.4
135,17627893.1039,21610960.1641,20228970.9273,22530414.4
136,17628199.3554,21633314.5606,20264292.0494,22588978.2
137,17637014.2068,21658727.1642,20300564.3714,22626462.8
138,17644750.2583,21682525.5678,20345091.8934,22654102.4433
139,17652782.9764,21719592.1047,20360929.8,22684739.5014
140,17654255.5612,21753768.1205,20342750.0,22718025.4261
141,17655635.7959,21771209.6718,20318725.2,22762548.3508
142,17655341.2307,21793603.6231,20296441.0,22805459.1756
143,17650043.4655,21828765.7077,20273582.4,22870519.7547
144,17639643.9003,21866209.3923,20248970.4,22924917.1671
145,17628711.485,21897230.9846,20213280.4,22980608.1182
146,17614892.2031,21913995.7188,20179471.8,23017434.768
147,17606544.5213,21920783.453,20147178.2,23042605.1178
148,17596734.0394,21934347.4872,20108499.2,23072162.7342
149,17597822.3575,21958714.1214,20070785.2,23135245.1507
150,17587383.0756,21988231.9756,20042037.6,23177371.8338
151,17580084.1937,22031354.4297,20024657.0,23214379.8169
152,17565384.9118,22074057.5839,20003654.0,23245747.9
153,17528125.4299,22089722.9381,20053380.6,23296954.8
154,17504420.8814,22112780.6923,20028615.2,23351027.2333
155,17488400.3328,22135421.7265,19989685.6,23382265.3333
156,17470918.7843,22144833.7607,19946882.2,23415160.6
157,17434345.9024,22175205.339,19903171.6,23438410.64
158,17392922.6205,22195294.8617,19853993.4,23453925.3633
159,17345619.5386,22215776.1845,19800492.4,23470935.42
160,17297015.4567,22232088.9073,19745420.6,23488710.96
161,17245198.9748,22248823.73,19681589.6,23487788.9
162,17195449.0929,22274328.3528,19615565.0,23502249.1733
163,17145611.611,22288556.7756,19548601.2,23522398.1467
164,17082423.5291,22301019.5642,19483143.6,23548625.52
165,17008511.4472,22315100.0528,19408216.4,23571452.56
166,16939638.7654,22314326.7413,19335591.4,23593069.2667
167,16870364.0835,22310610.4299,19266470.8,23652124.5995
168,16792708.8682,22303557.7185,19190033.8,23676441.0041
169,16713825.453,22294882.8071,19116551.0,23682209.842
170,16641119.0378,22287826.8957,19039476.0,23693570.6133
171,16561727.1559,22280232.9843,18966394.8,23705958.8846
172,16479609.074,22261065.6728,18890033.2,23716683.2635
173,16398419.1921,22233084.8614,18813657.4,23735519.5558
174,16316107.3102,22198213.65,18736628.5,23780919.5147
175,16236541.7617,22167908.5886,18657441.4,23835552.1737
176,16155692.6215,22138399.2272,18571409.0,23887216.1326
177,16079823.0812,22105868.8438,18481012.0,23933157.4249
178,16012427.6077,22066192.0562,18381426.7143,23983284.6238
179,15928857.2008,22006163.92,18287270.5714,24025328.0228
180,15849611.7939,21934180.64,18189462.2286,24061164.7693
181,15772317.7203,21854731.36,18092767.2857,24028653.237
182,15686642.8468,21773256.48,17997820.1429,23996091.8975
183,15606668.1732,21691745.4,17904544.0,23943499.5446
184,15533185.9663,21618045.6,17811686.6,23883459.2917
185,15457401.7594,21532847.6,17722513.0,23825823.0388
186,15369052.1526,21444909.8,17637415.6,23787819.9576
187,15278010.9457,21359421.4,17546740.8,23731925.4745
188,15185754.9388,21270988.2,17454097.2,23680538.258
189,15093925.3319,21184159.8,17357939.0,23636414.3531
190,15000381.525,21086563.0,17257858.0,23564969.9838
191,14911314.0,20996833.8,17162598.8,23495544.7228
192,14817361.875,20900963.4,17062934.6,23418207.4618
193,14719136.15,20805733.4952,16973416.0,23338728.2008
194,14630250.025,20708912.1905,16883182.0,23254097.0064
195,14539967.9,20616155.2857,16797017.6,23179088.8121
196,14449540.1292,20517003.7143,16715174.0,23111129.0178
197,14359700.5585,20420214.3429,16627444.0,23032607.5568
198,14277362.3877,20326882.7714,16541506.6,22946190.7529
199,14186447.9614,20231304.0,16455498.8,22858189.949
200,14103252.1066,20135325.4571,16370888.6,22774439.5452
201,14020004.6518,20046770.1143,16283598.4,22682043.3413
202,13941012.797,19948547.7714,16198506.6,22602898.3375
203,13858417.8755,19849318.9619,16114887.0,22523464.3336
204,13780898.954,19753035.9524,16030553.0,22432866.7297
205,13706411.4326,19651320.9429,15944731.6,22340559.183
206,13624704.3778,19552921.8,15862805.8,22246405.0363
207,13547437.9515,19459143.3714,15781052.2,22149055.8896
208,13472402.8503,19368244.7429,15696809.4,22056769.5429
209,13398697.949,19270807.1143,15617998.8,21964596.7295
210,13328892.1811,19176344.8857,15538644.8,21884669.5161
211,13257292.0132,19078031.4571,15456588.4,21790272.3027
212,13199353.312,18981047.0286,15376960.0,21699127.756
213,13132043.6107,18890458.4,15300659.4,21608165.5939
214,13062447.7095,18802960.981,15222633.8,21516238.4984
215,12989234.9416,18716842.7219,15148108.8,21424018.203
216,12925114.1959,18629621.4629,15080957.4,21332518.3076
217,12853034.3702,18544516.4038,15007214.6,21259169.3455
218,12788171.9445,18455180.1448,14931666.4,21168740.9834
219,12730753.7188,18373063.4857,14859692.0,21073794.6498
220,12663095.7431,18300179.4,14792107.6,20982542.8163
221,12593746.8341,18224698.7143,14728867.6,20893206.6428
222,12525616.6051,18156801.0952,14665684.8,20800921.5692
223,12456441.3761,18084924.6762,14611156.6,20719335.717
224,12386705.1637,18018882.0905,14548396.4,20640727.2648
225,12329124.3958,17955778.6381,14480937.4,20557134.3126
226,12281799.6946,17889090.1857,14420754.4,20472512.5014
227,12216255.66,17818096.1333,14357944.0,20381970.1046
228,12154296.0254,17755249.3524,14304495.6,20291196.2944
229,12086212.0242,17695023.5714,14248373.6,20201808.4176
230,12018378.6229,17633661.4571,14202527.8,20120363.9407
231,11951239.1217,17571292.7429,14145283.0,20051118.3972
232,11892329.6205,17513403.6286,14092444.2,19969015.7204
233,11832581.1192,17455168.1143,14039853.4,19890042.1864
234,11780191.018,17396762.4,13993129.8,19814364.5381
235,11731302.7167,17336899.4286,13954626.6,19744175.4899
236,11683773.4155,17284762.4571,13919498.4,19674561.4416
237,11641291.1143,17233885.8857,13885617.4,19607180.1933
238,11595890.8797,17186843.1143,13850198.0,19552526.545
239,11550763.0451,17139059.3762,13811924.0,19482038.4968
240,11513249.6105,17093413.6381,13771875.8,19420481.8104
241,11470024.9093,17041472.2,13739046.4,19363461.724
242,11432597.008,16995124.5333,13702012.4,19303997.6377
243,11400823.9068,16948289.0667,13669066.4,19249642.1513
244,11367700.4056,16908577.9895,13636497.2,19202212.6649
245,11326780.1043,16874637.7789,13608760.0,19161791.7786
246,11296890.0697,16844464.7684,13577841.4,19123221.5913
247,11266809.2352,16820494.1579,13542942.0,19073847.3612
248,11236862.2006,16794803.8674,13510627.2,19024680.7977
249,11205685.4708,16760725.7768,13484122.2,18981815.3343
250,11178097.541,16729145.6863,13452338.0,18940225.4708
251,11147196.6112,16699913.8291,13426065.0,18902811.8073
252,11119140.748,16672676.5719,13393866.0,18879774.3439
253,11098195.8849,16644981.9547,13356308.8,18838449.2804
254,11085332.2217,16623557.9375,13325966.4,18801053.1408
255,11059423.0919,16594438.5204,13302630.6,18760495.2678
256,11040368.1907,16569134.1032,13281729.4,18714415.7948
257,11013053.0894,16543532.486,13253282.2,18686336.5218
258,10989573.1882,16516803.9088,13227678.0,18665838.0489
259,10968873.7324,16493755.5316,13205646.8,18647759.7759
260,10952760.2766,16466645.9544,13178525.2,18621018.5696
261,10944913.7208,16448724.3772,13152295.6,18596916.1823
262,10911961.765,16427174.9,13122932.0,18569347.395
263,10883671.8092,16403349.9029,13097208.7333,18545703.9078
264,10855175.0534,16384925.8057,13070040.2667,18517400.8205
265,10820646.6977,16359335.3086,13047081.4,18493134.2332
266,10793771.2752,16340005.4114,13033956.0,18475298.646
267,10769638.8528,16320056.1143,13007891.2,18445129.2587
268,10744825.6303,16295888.0571,12985599.4,18423865.5
269,10713852.5078,16270661.0,12958861.4,18402462.7413
270,10692490.3399,16249537.7333,12936927.2,18373295.7826
271,10680332.7387,16223844.4667,12915216.7333,18346924.4906
272,10671753.6708,16196006.0,12895434.4667,18323308.5986
273,10662969.3695,16170880.2,12869695.6,18301217.3065
274,10652786.2016,16150589.8,12844370.2,18276322.5478
275,10648449.2671,16129482.4,12821763.8,18254601.732
276,10629616.0658,16103201.2,12799455.4,18231421.5161
277,10623064.8646,16079868.2,12775509.4,18208954.7003
278,10620753.9633,16058497.8,12755063.6,18190923.0845
279,10608720.8221,16030680.2667,12729901.8,18170223.4686
