day_of_year,reservoir_storage
1,25355.8
2,25577.4
3,25805.9
4,25929.7
5,26118.05
6,26022.1
7,26065.15
8,26265.9
9,26353.95
10,26536.7
11,26613.15
12,26736.55
13,26605.15
14,26712.9
15,26863.9
16,27002.6
17,27151.85
18,27234.45
19,27210.85
20,27201.05
21,27154.75
22,27286.5
23,27503.95
24,27531.3
25,27456.35
26,27456.5
27,27516.1
28,27692.2
29,27904.0
30,28037.95
31,27975.15
32,27873.1
33,27776.2
34,27816.2
35,27943.8
36,28033.4
37,28074.35
38,28046.55
39,27957.45
40,27972.15
41,28096.1
42,28056.75
43,28048.0
44,28121.3
45,28021.85
46,27910.8
47,27935.0
48,28009.0
49,27963.75
50,28166.75
51,28315.75
52,28467.55
53,28601.4
54,28733.65
55,28881.0
56,28910.25
57,29173.45
58,29352.05
59,29374.25
60,29351.65
61,29420.9
62,29364.15
63,29397.4
64,29377.3
65,29486.0
66,29454.6
67,29346.15
68,29244.05
69,29281.6
70,29199.05
71,29204.45
72,29165.6
73,28998.65
74,28831.3
75,28668.7
76,28645.95
77,28584.25
78,28541.4
79,28467.7
80,28374.55
81,28293.0
82,28380.85
83,28372.45
84,28211.4
85,28169.5
86,28138.2
87,27965.6
88,27797.75
89,27626.45
90,27594.05
91,27506.7
92,27483.55
93,27412.95
94,27245.6
95,27088.85
96,27107.7
97,27038.45
98,27077.0
99,27152.45
100,27268.85
101,27306.95
102,27328.65
103,27249.35
104,27239.5
105,27071.25
106,27008.8
107,26953.6
108,27002.95
109,27000.55
110,26869.7
111,26800.35
112,26628.75
113,26787.95
114,26859.7
115,26921.8
116,26884.2
117,26844.25
118,26837.5
119,26912.8
120,41892.75
121,42081.025
122,42140.35
123,42222.475
124,42355.2
125,42455.525
126,42472.85
127,42768.175
128,43064.05
129,43116.575
130,43135.05
131,43085.525
132,42981.1
133,43059.125
134,43223.9
135,43261.175
136,43273.2
137,43242.375
138,43178.35
139,43300.825
140,43238.6
141,43357.775
142,43230.95
143,43190.225
144,43198.7
145,43171.325
146,43241.7
147,43327.825
148,43444.95
149,43398.9
150,43396.35
151,43285.2
152,43264.75
153,43255.75
154,43287.6
155,43343.3
156,43173.9
157,43182.85
158,43168.7
159,43071.85
160,42919.8
161,42739.45
162,42723.65
163,42856.95
164,42950.6
165,42970.85
166,42653.1
167,42482.1
168,42425.1
169,42286.75
170,42284.8
171,42349.0
172,42414.55
173,42154.7
174,41914.65
175,41916.3
176,41890.0
177,41746.6785714
178,41617.6071429
179,41363.0857143
180,41097.4642857
181,40948.2428571
182,41022.0714286
183,41102.6
184,41122.65
185,40873.75
186,40853.5
187,40656.85
188,40393.85
189,40235.4
190,40546.6
191,40693.65
192,40567.2
193,40457.1
194,40260.45
195,40183.65
196,40292.45
197,40431.65
198,40554.0
199,40446.4
200,40484.35
201,40336.0
202,40193.65
203,40162.6
204,40308.345
205,40461.99
206,40536.335
207,40526.38
208,40337.425
209,40286.87
210,40323.165
211,40344.61
212,40448.255
213,40484.7
214,40540.2
215,40475.15
216,40466.25
217,40397.25
218,40254.3
219,40369.45
220,40574.5
221,40529.4
222,40383.7
223,40410.0
224,40337.5
225,40279.85
226,40439.25
227,40602.15
228,40568.4
229,40448.25
230,40515.8
231,40409.05
232,40518.05
233,40677.45
234,40685.55
235,40681.8
236,40678.8
237,40471.2
238,40394.7
239,40390.05
240,40525.0
241,40530.85
242,40623.35
243,40478.85
244,40372.85
245,40257.95
246,40242.8
247,40384.7
248,40341.1
249,40349.5
250,40219.65
251,40161.5
252,40077.05
253,40104.25
254,40286.85
255,40220.9
256,40193.35
257,40144.05
258,40156.1
259,40050.8
260,39964.4
261,39840.65
262,39697.65
263,39635.55
264,39538.35
265,39479.9
266,39308.0
267,39153.3
268,39164.15
269,39152.15
270,39038.1
271,38929.3
272,38911.75
273,39016.75
274,39037.05
275,39013.35
276,38993.45
277,38953.2
278,38813.05
279,38672.4
280,38723.85
281,38804.4
282,38887.0
283,38823.9
284,38726.95
285,38528.9
286,38396.2
287,38313.3
288,38254.85
289,38272.45
290,38408.95
291,38282.05
292,38173.6
293,37933.0
294,37784.9
295,37735.1
296,37660.95
297,37528.4
298,37454.2
299,37317.0
300,37162.95
301,37031.6
302,36928.85
303,36883.8
304,36764.7
305,36653.5
306,36475.2
307,36375.2
308,36441.6
309,36595.05
310,36609.05
311,36499.25
312,36358.7
313,36248.35
314,36189.85
315,36177.35
316,36058.7
317,36036.4
318,35920.8
319,35848.0
320,35613.25
321,35535.6
322,35661.8
323,35648.7
324,35640.4
325,35640.85
326,35668.9
327,35588.0
328,35459.45
329,35632.65
330,35925.0
331,35994.55
332,36205.95
333,36318.8
334,36285.65
335,36187.35
336,36168.9
337,36270.05
338,36240.75
339,36095.55
340,36153.55
341,36197.15
342,36187.05
343,36317.4
344,36428.15
345,36399.95
346,36395.05
347,36505.45
348,36405.15
349,36367.3
350,36568.9
351,36751.65
352,36865.2
353,37110.0
354,37255.55
355,37200.45
356,37144.75
357,37186.0
358,37465.7
359,37641.15
360,37666.8
361,37849.95
362,37770.4
363,37767.65
364,37932.45
365,38111.5
366,49263.2
