day_of_year,reservoir_storage
1,31519.6
2,31556.9
3,31714.65
4,31753.65
5,31936.55
6,32026.15
7,32089.25
8,32111.65
9,32116.6
10,41626.3
11,41741.55
12,41769.1
13,41830.45
14,41982.4
15,41906.1
16,41746.45
17,41696.8
18,41695.8
19,41679.3
20,41675.2
21,41673.8
22,41663.625
23,41687.05
24,41874.725
25,41937.45
26,42290.95
27,42835.5
28,43899.45
29,44258.1
30,44384.65
31,44442.825
32,44471.2
33,44481.1
34,44488.25
35,44522.65
36,44545.1
37,44585.5
38,44644.05
39,44688.65
40,44722.45
41,44743.1
42,44776.7
43,44792.7
44,44800.9
45,44817.6
46,44776.675
47,44739.95
48,44770.2
49,44823.0
50,44891.3
51,44654.9
52,44762.0
53,44934.45
54,44773.7
55,44758.45
56,44842.5
57,44790.3
58,44761.5
59,44925.35
60,45082.55
61,45131.85
62,45144.75
63,45173.9
64,45207.45
65,45219.05
66,45271.95
67,45328.15
68,45373.8
69,45416.5
70,45456.35
71,45488.65
72,45509.25
73,45526.875
74,45544.4
75,45557.925
76,45569.95
77,45457.85
78,45352.8
79,45301.25
80,45309.25
81,45322.9
82,45463.7
83,45570.3
84,45567.4
85,45584.9
86,45599.225
87,45623.35
88,45704.75
89,45751.675
90,45797.3
91,45807.55
92,45822.5
93,45841.9
94,45926.0
95,45810.775
96,45517.0
97,45544.95
98,45511.95
99,45443.675
100,45371.2
101,45376.65
102,45428.05
103,45476.05
104,45524.55
105,45577.3
106,45634.95
107,45676.45
108,45710.85
109,45744.45
110,45782.9
111,45815.0
112,45841.3
113,45862.45
114,45875.1
115,45881.3
116,45891.95
117,45888.15
118,45879.775
119,45875.9
120,45862.1
121,45840.65
122,45827.075
123,45802.05
124,45780.75
125,45755.25
126,45744.9
127,45738.7
128,45726.35
129,45709.65
130,45687.55
131,45671.4
132,45649.4
133,45634.65
134,45609.2
135,45596.0
136,45571.4
137,45551.5
138,45525.75
139,45504.4
140,45486.3
141,45469.8
142,45458.3
143,45428.05
144,45403.65
145,45387.55
146,45364.85
147,45348.15
148,45328.6
149,45317.45
150,45460.05
151,45278.35
152,45255.15
153,45230.675
154,45204.65
155,45184.85
156,45163.4
157,45139.55
158,45118.25
159,45092.25
160,45069.65
161,45045.3
162,45021.2
163,44999.95
164,44977.2
165,44951.3
166,44933.8
167,44905.5
168,44877.0
169,44848.75
170,44823.15
171,44789.15
172,44760.4
173,44731.95
174,44693.35
175,44653.55
176,44615.3
177,44576.7
178,44542.65
179,44502.4
180,44462.15
181,44422.05
182,44383.75
183,44345.15
184,44308.3
185,44269.7
186,44228.65
187,44190.15
188,44145.75
189,44107.05
190,44064.5
191,44020.35
192,43977.1
193,43940.2
194,43900.15
195,43861.85
196,43820.65
197,43778.1
198,43737.0
199,43697.5
200,43654.95
201,43610.1
202,43568.7
203,43523.55
204,43485.025
205,43428.55
206,43366.85
207,43306.3
208,43248.7
209,43191.15
210,43134.95
211,43076.25
212,43021.4
213,42970.6
214,42920.6
215,42873.8
216,42824.75
217,42776.45
218,42726.9
219,42678.9
220,42634.95
221,42584.175
222,42538.55
223,42494.85
224,42443.65
225,42398.35
226,42354.7
227,42305.8
228,42262.4
229,42221.45
230,42176.4
231,42131.4
232,42090.45
233,42048.15
234,42006.05
235,41962.7
236,41917.5
237,41873.85
238,41831.45
239,41791.2
240,41747.75
241,41707.7
242,41663.35
243,41620.4
244,41573.85
245,41531.75
246,41492.9
247,41443.25
248,41398.0
249,41354.35
250,41314.7
251,41272.9
252,41230.3
253,41188.75
254,41145.2
255,41111.2
256,41071.45
257,41028.75
258,40984.5
259,40940.8
260,40901.95
261,40859.3
262,40819.85
263,40786.825
264,40750.05
265,40712.75
266,40676.3
267,40640.1
268,40600.4
269,40564.0
270,40525.9
271,40488.8
272,40458.3
273,40423.225
274,40387.8
275,40351.65
276,40309.95
277,40264.1
278,40223.7
279,40185.55
280,40146.25
281,40105.5
282,40068.5
283,40031.15
284,39999.375
285,39961.75
286,39932.4
287,39916.15
288,39881.75
289,39848.9
290,39819.85
291,39794.3
292,39759.0
293,39726.6
294,39694.35
295,39668.5
296,39642.725
297,39615.4
298,39580.3
299,39547.9
300,39515.55
301,39477.89
302,39447.43
303,39415.87
304,39383.21
305,39348.55
306,39316.0
307,39283.9
308,39254.5
309,39228.1
310,39204.7
311,39178.3
312,39157.75
313,39145.15
314,39127.25
315,39103.15
316,39075.05
317,39049.7
318,39022.65
319,39000.4
320,38972.55
321,38942.15
322,38917.6
323,38891.85
324,38866.55
325,38834.4
326,38807.2
327,38779.05
328,38753.95
329,38733.85
330,38713.85
331,38716.55
332,38706.7
333,38692.45
334,38674.9
335,38656.5
336,38584.2
337,38540.8
338,38539.45
339,38515.35
340,38489.8
341,38471.9
342,38452.35
343,38436.5
344,38430.2
345,38428.45
346,38417.8
347,38428.75
348,38418.95
349,38404.35
350,38404.1
351,38401.8
352,38388.65
353,38400.85
354,38389.8
355,38371.4
356,38354.8
357,38344.8
358,38331.85
359,38315.95
360,38299.85
361,38287.7
362,38272.5
363,38258.25
364,38246.85
365,38232.65
366,32935.6
