day_of_year,reservoir_storage
1,187478.6875
2,189104.984524
3,190629.627381
4,190860.703571
5,191007.929762
6,190914.789286
7,190717.215476
8,190558.566667
9,190491.636905
10,190403.157143
11,190189.069048
12,189929.329563
13,189759.740079
14,189628.042262
15,189461.269444
16,189296.048413
17,189250.227381
18,189406.143849
19,189333.926984
20,189222.026786
21,189165.019643
22,188985.658333
23,189235.3375
24,189559.416667
25,189573.216667
26,189397.133333
27,189242.383333
28,189076.4
29,188809.55
30,188538.402381
31,188225.396429
32,188050.902976
33,187709.284524
34,187405.932738
35,187190.293452
36,187239.741667
37,186990.610119
38,186834.178571
39,186655.480357
40,186397.04881
41,186074.567262
42,185760.152381
43,185476.145833
44,185130.463393
45,184814.089286
46,184446.165179
47,184062.141071
48,183902.491964
49,183686.917857
50,183422.727083
51,183189.795238
52,182967.032143
53,182968.135714
54,182765.522619
55,182579.742857
56,182276.538095
57,181954.85
58,181697.465476
59,181906.130952
60,181816.246429
61,181657.361905
62,181563.935714
63,181202.542857
64,180839.141667
65,180592.171429
66,180167.417857
67,179795.439286
68,179470.810714
69,179496.052143
70,179490.035238
71,179531.693333
72,179420.68
73,179228.35
74,179240.975
75,179154.925
76,179088.05
77,179101.178571
78,179130.43631
79,179328.269048
80,179459.401786
81,179646.092857
82,179898.096429
83,180298.816667
84,180435.347024
85,180760.777381
86,180938.941071
87,181030.871429
88,181044.614286
89,181153.519643
90,181259.925
91,181268.304167
92,181570.9
93,181755.783333
94,182097.045833
95,182569.791667
96,182897.229167
97,183424.95
98,183885.075
99,184196.2
100,184517.141667
101,184851.229167
102,185085.308333
103,185598.020833
104,186142.733333
105,186802.885833
106,187244.721667
107,187500.4825
108,187749.043333
109,188126.983333
110,188528.666667
111,188884.1
112,189352.416667
113,189594.341667
114,189930.583333
115,190411.825
116,191223.1975
117,192054.828333
118,193123.686753
119,194334.095768
120,195735.433949
121,197194.012131
122,198646.056979
123,199707.805993
124,200716.913342
125,201575.237356
126,202916.431609
127,203990.892529
128,205254.645448
129,206699.731701
130,208233.884621
131,209643.670874
132,210897.89046
133,212189.760046
134,213094.929632
135,214233.599218
136,215826.789638
137,217839.425891
138,219571.895477
139,221240.290063
140,222789.147149
141,223733.558402
142,224805.019655
143,225873.489241
144,227049.166328
145,228287.393414
146,229820.8955
147,231236.6325
148,232621.2195
149,233869.4365
150,235058.661833
151,236362.491333
152,237465.766667
153,238398.7
154,239734.916667
155,240864.766667
156,241796.708333
157,242432.55
158,242691.50625
159,243014.445833
160,243464.360417
161,243992.6625
162,244516.08125
163,245138.2
164,245459.635417
165,246130.158333
166,246498.833333
167,246697.5
168,246906.333333
169,247032.625
170,247173.383333
171,247244.55
172,247338.083333
173,247483.958333
174,247503.4
175,247560.233333
176,247656.75
177,247670.95
178,247644.516667
179,247775.9
180,247833.475
181,247803.643333
182,247716.9825
183,247590.738333
184,247380.394167
185,247216.65
186,246960.258333
187,246949.85
188,246826.933333
189,246555.433333
190,246142.766667
191,245723.347619
192,245282.753571
193,244978.109524
194,244498.99881
195,244106.671429
196,243682.052381
197,243155.383333
198,242799.545238
199,242117.707143
200,241616.610714
201,241159.714286
202,240709.905357
203,240275.763095
204,239785.654167
205,239256.580952
206,238644.045238
207,237996.809524
208,237417.37381
209,236793.238095
210,236101.802381
211,235410.75
212,234651.49881
213,234057.164286
214,233490.521429
215,232907.985238
216,232322.565714
217,231800.562857
218,231206.093333
219,230526.578571
220,229885.99881
221,229235.569048
222,228591.630952
223,227925.942857
224,227255.167262
225,226714.875
226,226002.480357
227,225359.335714
228,224776.595238
229,224049.071429
230,223490.797619
231,222627.007143
232,222004.45
233,221416.721429
234,220655.62619
235,220152.597619
236,219635.052381
237,219014.87381
238,218451.420238
239,217760.916667
240,217169.252381
241,216606.254762
242,216062.415476
243,215594.11369
244,215145.486905
245,214546.318452
246,214042.390833
247,213539.04
248,213014.696667
249,212530.4575
250,211942.311389
251,211384.391111
252,210901.233333
253,210358.759722
254,210029.694444
255,209446.45
256,209014.813889
257,208634.451111
258,208075.605
259,207561.642222
260,207145.691944
261,206516.641667
262,205945.651389
263,205367.794444
264,204844.625
265,204403.855556
266,203854.486111
267,203270.633333
268,202728.968571
269,202279.45381
270,201954.855714
271,201499.707619
272,201024.509524
273,200527.686429
274,200147.546667
275,199825.391429
276,199506.63619
277,199145.764286
278,198860.592381
279,198595.974643
280,198207.127738
281,197950.180833
282,197634.4525
283,197247.705
284,196745.7575
285,196409.26
286,196003.129167
287,196029.533333
288,195838.616667
289,195705.557143
290,195597.705952
291,195442.988095
292,195413.820238
293,195307.452381
294,195169.27619
295,194978.566667
296,194809.316667
297,194638.2
298,194445.366667
299,194232.366667
300,194135.925
301,193989.304167
302,193757.6125
303,193659.021786
304,193493.139405
305,193365.46119
306,193183.00381
307,193255.471429
308,193220.159524
309,193178.919286
310,193100.018333
311,192972.350714
312,193063.095595
313,193449.390476
314,193480.972024
315,193422.288095
316,193399.516667
317,193381.220238
318,193419.782143
319,193364.885714
320,193286.639286
321,193065.82619
322,193054.238095
323,192854.95
324,192784.278571
325,192852.570476
326,192860.779048
327,192868.945952
328,192964.829524
329,193042.438095
330,193049.516667
331,192982.925
332,193051.083333
333,193062.683333
334,193120.883333
335,193103.991667
336,193241.166667
337,193104.0
338,192908.333333
339,192752.016667
340,192666.416667
341,192644.266667
342,192527.233333
343,192425.916667
344,192312.0
345,192201.15
346,192431.4
347,192805.35
348,193000.516667
349,193062.801515
350,193123.236364
351,193191.837879
352,193214.639394
353,193174.357576
354,193247.942424
355,193170.837273
356,193013.945455
357,193053.98697
358,193124.758485
359,193040.08
360,192887.34
361,192763.778333
362,192472.65
363,192421.883333
364,192371.0375
365,192730.1
366,172136.333333
