day_of_year,reservoir_storage
1,1503854.575
2,1510068.4
3,1513185.8
4,1515392.725
5,1517172.9
6,1518737.175
7,1520395.8
8,1522440.55
9,1524725.55
10,1528888.35
11,1532651.25
12,1535785.2
13,1539495.25
14,1545550.7
15,1547870.95
16,1551254.75
17,1554328.9
18,1557640.55
19,1559602.25
20,1561673.5
21,1563136.45
22,1564536.15
23,1566422.65
24,1568205.325
25,1570239.0
26,1573067.05
27,1576199.9
28,1578508.55
29,1580255.9
30,1582423.6
31,1585247.3
32,1588887.95
33,1593008.2
34,1596760.15
35,1600863.45
36,1604529.15
37,1607886.3
38,1611578.85
39,1614884.45
40,1617258.55
41,1620004.45
42,1622128.1
43,1624220.85
44,1626078.9
45,1628918.85
46,1631828.75
47,1634188.5
48,1639054.6
49,1643814.5
50,1647734.9
51,1650420.025
52,1653999.125
53,1657589.25
54,1661028.6
55,1663941.4
56,1666440.45
57,1669236.0
58,1671918.15
59,1675321.75
60,1679283.825
61,1683181.5
62,1686780.15
63,1690189.85
64,1693223.4
65,1696002.5
66,1698534.1
67,1700996.675
68,1703548.95
69,1707778.55
70,1711966.9
71,1716027.8
72,1720129.3
73,1724432.05
74,1730383.75
75,1736704.7
76,1743035.45
77,1748119.4
78,1752727.7
79,1756982.65
80,1761138.3
81,1766774.95
82,1774417.05
83,1780676.55
84,1785445.05
85,1789209.9
86,1792429.7
87,1795876.2
88,1798795.3
89,1801551.875
90,1804688.45
91,1807636.5
92,1810741.9
93,1813669.0
94,1816865.55
95,1820492.9
96,1823556.7
97,1826872.45
98,1830218.65
99,1833424.8
100,1836694.4
101,1840180.25
102,1843980.7
103,1848007.8
104,1852323.05
105,1855888.2
106,1858955.55
107,1862253.25
108,1866833.1
109,1870679.8
110,1874370.2
111,1877630.6
112,1880527.0
113,1883574.25
114,1886611.35
115,1890116.0
116,1893515.25
117,1896693.35
118,1900216.25
119,1903777.7
120,1907030.7
121,1910155.15
122,1913099.9
123,1917077.4
124,1919734.35
125,1921950.65
126,1925256.25
127,1927798.7
128,1930174.0
129,1931995.35
130,1933554.75
131,1934812.55
132,1935872.1
133,1936711.5
134,1937201.65
135,1938159.7
136,1939180.9
137,1939823.05
138,1940790.15
139,1943570.3
140,1946294.2
141,1948327.9
142,1951495.575
143,1954616.3
144,1956828.35
145,1959539.15
146,1954192.2
147,1965457.95
148,1968462.1
149,1970768.8
150,1972199.675
151,1975421.4
152,1976738.1
153,1977218.1
154,1978010.3
155,1978956.85
156,1978681.95
157,1979274.85
158,1979140.9
159,1978776.65
160,1978089.7
161,1977005.55
162,1975717.3
163,1974339.35
164,1972704.95
165,1970774.25
166,1969440.55
167,1967434.4
168,1965333.2
169,1963034.4
170,1961068.8
171,1958755.0
172,1956212.15
173,1954062.0
174,1951620.25
175,1948991.15
176,1946242.95
177,1943533.6
178,1940704.95
179,1937850.75
180,1935046.85
181,1932395.45
182,1929347.2
183,1925926.95
184,1922275.125
185,1918525.4
186,1914722.35
187,1910707.05
188,1906795.65
189,1902707.9
190,1898630.55
191,1894115.6
192,1889595.45
193,1885256.55
194,1881088.0
195,1876838.1
196,1872644.7
197,1868157.35
198,1863551.25
199,1858901.15
200,1854203.7
201,1848651.65
202,1845395.0
203,1840671.35
204,1836189.9
205,1831552.2
206,1826680.65
207,1821917.7
208,1817070.4
209,1812405.225
210,1807347.95
211,1802347.1
212,1797315.35
213,1792285.55
214,1787249.6
215,1782346.35
216,1777349.2
217,1772295.95
218,1767190.75
219,1762273.05
220,1757620.75
221,1753025.7
222,1748391.05
223,1743715.95
224,1739166.0
225,1734621.85
226,1729863.95
227,1724803.45
228,1719712.3
229,1714760.98333
230,1710060.26667
231,1705452.4
232,1700896.75
233,1696282.55
234,1691587.575
235,1686861.95
236,1681734.8
237,1676644.65
238,1671466.75
239,1666365.35
240,1661089.45
241,1656002.475
242,1651046.55
243,1645992.5
244,1640903.4
245,1635950.25
246,1631101.2
