day_of_year,reservoir_storage
1,252786.444444
2,259548.388889
3,260364.0
4,267927.647059
5,269921.764706
6,266313.411765
7,262483.0625
8,254177.222222
9,262547.052632
10,261087.578947
11,267247.5
12,259379.277778
13,255567.944444
14,250171.9375
15,260807.947368
16,270168.833333
17,269783.722222
18,267366.277778
19,277479.3125
20,258195.25
21,250589.470588
22,263668.526316
23,268232.055556
24,258196.35
25,264674.789474
26,257862.117647
27,264014.705882
28,252880.526316
29,259262.105263
30,264553.421053
31,264458.888889
32,272997.944444
33,263595.0
34,257843.684211
35,258644.736842
36,265523.333333
37,261236.117647
38,268502.631579
39,275423.333333
40,272039.411765
41,260421.473684
42,289695.384615
43,260885.894737
44,264975.789474
45,273205.0
46,273411.666667
47,271872.117647
48,263347.058824
49,255128.235294
50,260418.75
51,260046.111111
52,262625.555556
53,269572.222222
54,267312.5
55,253962.222222
56,262237.647059
57,261284.444444
58,258292.105263
59,261695.789474
60,268193.277778
61,259661.944444
62,260964.411765
63,253614.5
64,256627.333333
65,257399.368421
66,261469.684211
67,268437.764706
68,260875.5
69,257066.352941
70,253775.0
71,255979.473684
72,260220.526316
73,271344.166667
74,271740.944444
75,265775.833333
76,259073.352941
77,257878.368421
78,259585.222222
79,268823.529412
80,264996.157895
81,272463.333333
82,271484.058824
83,260871.764706
84,259130.588235
85,263741.111111
86,263885.684211
87,273950.526316
88,274066.842105
89,276215.882353
90,266221.764706
91,261375.888889
92,264662.631579
93,270365.555556
94,284655.294118
95,282600.777778
96,280757.058824
97,270988.823529
98,265854.444444
99,267789.473684
100,268920.526316
101,276007.368421
102,280829.473684
103,288850.588235
104,271584.444444
105,265996.666667
106,267947.894737
107,268800.526316
108,273924.210526
109,281478.947368
110,280793.888889
111,271422.941176
112,266820.0
113,275095.0
114,266685.5
115,273725.5
116,285542.941176
117,288681.352941
118,280805.0
119,269147.058824
120,269142.222222
121,268341.052632
122,276475.0
123,283548.333333
124,282643.529412
125,273502.5
126,270115.555556
127,271330.0
128,270208.333333
129,277147.777778
130,286288.235294
131,285163.2
132,273283.133333
133,270728.555556
134,272938.421053
135,271087.0
136,279170.0
137,288390.25
138,286076.176471
139,276206.823529
140,277819.722222
141,288300.222222
142,274188.421053
143,296235.555556
144,293691.176471
145,300864.375
146,297396.25
147,291554.705882
148,288256.666667
149,279961.176471
150,291155.789474
151,303775.263158
152,296316.388889
153,285805.0
154,289987.368421
155,289009.473684
156,282523.611111
157,300797.0
158,306882.777778
159,301147.647059
160,292130.0
161,286730.588235
162,296153.333333
