day_of_year,reservoir_storage
1,64658.8095238
2,64771.0488095
3,64658.7047619
4,64796.2357143
5,64744.35
6,64515.05
7,65036.45
8,65361.175
9,66064.6
10,66415.65
11,67035.3
12,67617.8
13,67857.45
14,68103.775
15,67966.4416667
16,68286.2583333
17,68098.545
18,68350.84
19,68476.6385714
20,67984.6121429
21,68025.1482143
22,68116.6392857
23,68024.9553571
24,68159.8714286
25,68325.5
26,68298.75
27,68475.5
28,68386.25
29,68145.25
30,68294.15
31,68406.375
32,68347.4
33,68853.55
34,69390.0
35,69340.35
36,69583.2
37,69511.0233333
38,69786.2466667
39,69928.32
40,70113.8433333
41,70425.0166667
42,70669.265
43,70659.9871429
44,70834.7092857
45,70890.2480952
46,70649.7119048
47,71056.3857143
48,71273.5428571
49,71648.675
50,72158.6625
51,72521.375
52,72401.375
53,72313.275
54,72370.7625
55,71927.75
56,71773.4
57,71878.325
58,72371.2
59,72554.1066667
60,72671.1883333
61,72858.1616667
62,73129.8433333
63,73812.225
64,74655.8833333
65,75212.9666667
66,75395.8
67,75601.0
68,76491.25
69,77167.8
70,77764.2
71,78223.375
72,78947.25
73,79417.0625
74,79851.525
75,80323.8875
76,80786.6
77,80879.7625
78,80887.0
79,81329.6875
80,81652.15
81,82258.975
82,82895.0875
83,83359.825
84,83505.6125
85,83543.0
86,83754.4
87,83941.25
88,84027.9333333
89,84134.9166667
90,84207.2
91,84728.35
92,84979.95
93,85204.45
94,85169.05
95,85054.3833333
96,84950.5916667
97,84925.125
98,85038.525
99,85121.775
100,85142.525
101,85230.5333333
102,85571.6666667
103,85571.3
104,85299.65
105,85090.3
106,84981.2
107,84948.85
108,84940.8
109,84925.675
110,84912.9
111,84923.35
112,84962.4
113,84992.6333333
114,85084.7666667
115,85141.75
116,85099.35
117,85015.05
118,85012.225
119,85141.6
120,85200.1916667
121,85206.6833333
122,85067.075
123,84905.375
124,84742.5
125,84696.5
126,84706.05
127,84668.625
128,84595.75
129,84548.6
130,84496.35
131,84439.85
132,84398.3
133,84365.5
134,84312.5
135,84292.0
136,84260.575
137,84222.1
138,84351.9
139,84290.975
140,84210.65
141,84184.2
142,84128.4
143,84055.7083333
144,83967.1166667
145,83893.3
146,83937.85
147,83917.7
148,83942.9
149,83987.25
150,83939.0833333
151,83927.7083333
152,83873.4333333
153,83827.5333333
154,83788.0666667
155,83732.275
156,83679.5
157,83591.25
158,83486.05
159,83386.6
160,83282.45
161,83189.8
162,83078.6166667
163,82962.5833333
164,82836.75
165,82711.75
166,82577.325
167,82443.975
168,82291.0
169,82146.7
170,81993.0
171,81859.8
172,81686.3125
173,81495.7625
174,81296.8875
175,81073.7125
176,80884.625
177,80677.15
178,80477.6
179,80272.05
180,80080.5166667
181,79879.9458333
182,79676.725
183,79455.3375
184,79224.575
185,78988.0
186,78727.25
187,78467.9
188,78202.75
189,77930.2
190,77673.825
191,77393.0
192,77106.1
193,76812.0
194,76521.5
195,76215.1
196,75910.85
197,75612.14
198,75310.03
199,75001.27
200,74696.71
201,74394.35
202,74074.65
203,73764.0666667
204,73448.3833333
205,73152.05
206,72855.2
207,72539.95
208,72226.0
209,71919.7916667
210,71604.9333333
211,71296.55
212,71003.9
213,70707.175
214,70399.5
215,70080.75
216,69782.075
217,69484.0
218,69185.7
219,68896.6
220,68596.75
221,68279.9333333
222,67975.7791667
223,67672.775
224,67375.2875
225,67092.275
226,66807.775
227,66527.2
228,66234.75
229,65955.825
230,65648.25
231,65341.75
232,65043.85
233,64755.825
234,64483.725
235,64181.6
236,63901.05
237,63605.55
238,63314.975
239,63017.55
240,62717.05
241,62414.675
242,62102.7
243,61791.55
244,61490.15
245,61187.475
246,60888.45
247,60591.2
248,60311.75
249,60062.2
250,59824.65
251,59592.325
252,58275.7916667
253,56928.2833333
254,55623.25
255,55420.875
256,55211.9666667
257,55024.3708333
258,54862.225
259,54681.0465909
260,54504.5181818
261,54312.7772727
262,54802.7563636
263,55312.9104545
264,55813.7645455
265,56326.8769697
266,56848.4143939
267,56688.7318182
268,56528.2409091
269,56361.75
270,56206.63125
271,56047.5375
272,55899.54375
273,55776.85
274,55645.60625
275,55512.4875
276,55384.71875
277,55253.975
278,55125.6
279,54789.91
280,54870.47
281,54732.28
282,54625.19
283,54351.425
284,54238.525
285,54135.2
286,54062.3
287,54013.6375
288,53949.275
289,53876.8625
290,53780.55
291,53662.3357143
292,53512.1214286
293,53371.2571429
294,53212.5511905
295,53046.9952381
296,52874.1642857
297,52732.925
298,52586.4833333
299,52435.3166667
300,52291.0
301,52179.1333333
302,52068.6166667
303,51966.7666667
304,51853.8333333
305,51750.1125
306,51665.375
307,51584.1375
308,51502.4
309,51419.925
310,51361.15
311,51353.85
312,51361.45
313,51345.8277778
314,51366.7055556
315,51369.4333333
316,51360.9111111
317,51341.7388889
318,51324.7166667
319,51298.2444444
320,51321.6722222
321,51341.2
322,51342.65
323,51347.6
324,51386.9833333
325,51447.3166667
326,51501.45
327,51572.05
328,51701.0
329,51747.125
330,51832.925
331,51861.975
332,51915.45
333,52051.05
334,52152.325
335,52456.0
336,52519.55
337,52663.4166667
338,52613.6666667
339,52723.6666667
340,52774.55
341,52743.125
342,52874.775
343,53390.125
344,53782.6666667
345,54269.2333333
346,54606.7
347,54928.05
348,55700.55
349,56186.125
350,56609.6
351,56865.9
352,57072.15
353,57642.075
354,58261.375
355,58774.1
356,59240.3
357,59293.7
358,59278.0
359,59229.3
360,59450.35
361,60061.75
362,60302.765
363,61236.98
364,61813.7842857
365,62564.1719048
366,58866.5
