day_of_year,reservoir_storage
1,50745.0
2,50945.1904762
3,51019.3809524
4,51049.6190476
5,51047.8571429
6,51028.0952381
7,51027.5714286
8,51056.5238095
9,51044.3095238
10,51035.0
11,51029.8571429
12,51032.952381
13,51033.8571429
14,51048.6666667
15,51046.8095238
16,51062.2747253
17,51051.8827839
18,51101.1575092
19,51099.7655678
20,51100.7069597
21,51119.4102564
22,51127.1611722
23,51112.6739927
24,51135.3296703
25,51132.985348
26,51112.4981685
27,51053.2014652
28,50978.7619048
29,51148.2380952
30,51161.1904762
31,51157.5714286
32,51146.7142857
33,51181.9285714
34,51218.6190476
35,51288.1428571
36,51320.6190476
37,51340.8809524
38,51409.1428571
39,51438.047619
40,51375.0
41,51356.6666667
42,51463.3095238
43,51555.8095238
44,51578.8571429
45,51616.952381
46,51606.9047619
47,51677.8095238
48,51769.0
49,51829.4285714
50,51908.3809524
51,51960.0
52,51981.4761905
53,52011.1904762
54,52057.4285714
55,52058.3809524
56,52100.5238095
57,52136.3333333
58,52245.952381
59,52302.4761905
60,52327.3809524
61,52420.3333333
62,52504.0
63,52603.3809524
64,52646.1428571
65,52697.1904762
66,52702.8095238
67,52716.0
68,52862.7619048
69,53035.7142857
70,53117.4761905
71,53191.6666667
72,53274.6190476
73,53370.7619048
74,53477.6190476
75,53522.4761905
76,53693.7619048
77,53835.7142857
78,53969.8571429
79,54185.0
80,54330.8095238
81,54501.8095238
82,54664.7142857
83,54821.0
84,55004.7142857
85,55159.047619
86,55304.3571429
87,55425.8571429
88,55574.9047619
89,55715.0714286
90,55816.952381
91,55929.0
92,56158.3333333
93,56328.7619048
94,56450.8095238
95,56564.3809524
96,56693.6666667
97,56859.2380952
98,57009.6190476
99,57109.4761905
100,57174.7619048
101,57316.3809524
102,57446.7142857
103,57549.047619
104,57734.7857143
105,57780.1666667
106,57853.5714286
107,58195.6904762
108,58492.5714286
109,58601.1428571
110,58700.2857143
111,58799.0952381
112,58917.7619048
113,59028.6666667
114,59102.6190476
115,59213.8095238
116,59378.4761905
117,59512.2857143
118,59602.9047619
119,59821.4285714
120,59947.6190476
121,60095.6190476
122,60224.2857143
123,60360.4285714
124,60482.7142857
125,60568.7142857
126,60646.047619
127,60698.0952381
128,60741.8095238
129,60797.4285714
130,60829.4285714
131,60874.7142857
132,60890.6666667
133,60875.7142857
134,60853.1428571
135,60839.6190476
136,60900.7380952
137,60965.3809524
138,61001.7619048
139,61001.9047619
140,61008.1428571
141,61008.4761905
142,60989.0
143,60991.047619
144,60971.9047619
145,60982.3333333
146,60962.2380952
147,60963.2380952
148,60937.7619048
149,60909.047619
150,60894.952381
151,60895.6190476
152,60802.6190476
153,60736.1428571
154,60702.952381
155,60670.1904762
156,60618.7619048
157,60570.6190476
158,60564.7142857
159,60512.2380952
160,60477.3333333
161,60429.7142857
162,60393.5238095
163,60340.1904762
164,60292.5714286
165,60235.4285714
166,60198.2380952
167,60151.9047619
168,60087.9047619
169,60017.7142857
170,59965.6190476
171,59899.3333333
172,59829.5714286
173,59740.952381
174,59653.5714286
175,59567.952381
176,59501.4761905
177,59429.7142857
178,59363.6666667
179,59282.1428571
180,59212.1428571
181,59136.952381
182,59055.3333333
183,58975.5714286
184,58872.952381
185,58792.4285714
186,58703.952381
187,58610.0952381
188,58531.3809524
189,58461.3809524
190,58366.6190476
191,58291.3809524
192,58206.952381
193,58122.5714286
194,58043.7619048
195,57959.9047619
196,57864.6666667
197,57772.9047619
198,57695.4761905
199,57598.1904762
200,57527.8095238
201,57453.5238095
202,57371.9047619
203,57304.6190476
204,57204.0952381
205,57127.7142857
206,57039.1428571
207,56950.5714286
208,56861.8095238
209,56726.952381
210,56637.4285714
211,56539.8571429
212,56442.7619048
213,56353.0
214,56259.2380952
215,56165.4285714
216,56062.4285714
217,55966.9047619
218,55868.1428571
219,55759.4285714
220,55675.3809524
221,55591.4761905
222,55504.7619048
223,55410.5396825
224,55320.5079365
225,55233.1428571
226,55160.3809524
227,55108.5238095
228,55037.6190476
229,54938.0
230,54847.047619
231,54751.4761905
232,54666.5714286
233,54594.2857143
234,54516.2857143
235,54455.0952381
236,54375.7619048
237,54226.4285714
238,54126.3333333
239,53951.8571429
240,53850.7619048
241,53747.952381
242,53658.5555556
243,53646.9206349
244,53469.7619048
245,53361.3333333
246,53265.4761905
247,53167.0952381
248,53078.3333333
249,52983.4761905
250,52903.2380952
251,52811.9047619
252,52724.5238095
253,52633.2380952
254,52548.1904762
255,52469.2857143
