day_of_year,reservoir_storage
1,3503.15
2,3506.08333333
3,3444.8968254
4,3468.19047619
5,3478.29365079
6,3494.25396825
7,3491.16666667
8,3496.6031746
9,3500.51587302
10,3521.22619048
11,3519.20238095
12,3510.94047619
13,3524.86904762
14,3511.96825397
15,3512.77494331
16,3523.05782313
17,3520.57879819
18,3536.90929705
19,3541.01360544
20,3553.62585034
21,3562.66666667
22,3576.4138322
23,3584.98639456
24,3586.18820862
25,3588.56909014
26,3582.07695578
27,3576.29910714
28,3563.18792517
29,3546.7644983
30,3540.24583333
31,3538.88193027
32,3533.7085034
33,3545.24936224
34,3546.79022109
35,3579.42631803
36,3583.63384354
37,3589.50803571
38,3603.38222789
39,3607.2897534
40,3610.10204082
41,3606.53337585
42,3599.68693311
43,3583.88810941
44,3590.375
45,3587.52855726
46,3585.58687642
47,3608.45471939
48,3632.64795918
49,3631.69834184
50,3634.96697846
51,3631.66418651
52,3633.93282313
53,3638.10622166
54,3640.66057256
55,3639.88159014
56,3641.43594104
57,3642.93820862
58,3641.17261905
59,3636.52777778
60,3640.88293651
61,3672.11904762
62,3685.27579365
63,3702.78968254
64,3727.94642857
65,3740.8968254
66,3725.99603175
67,3719.73809524
68,3740.63492063
69,3770.96031746
70,3797.0952381
71,3832.84920635
72,3841.71031746
73,3863.66666667
74,3888.39285714
75,3909.2032967
76,3951.72802198
77,3980.96703297
78,4009.31318681
79,4052.94505495
80,4080.21978022
81,4145.20879121
82,4187.75392465
83,4217.0133438
84,4244.27276295
85,4274.24646782
86,4297.82731554
87,4319.5430839
88,4344.41269841
89,4362.07142857
90,4385.3015873
91,4409.03174603
92,4446.69047619
93,4475.76190476
94,4519.0
95,4558.53968254
96,4593.17460317
97,4634.16666667
98,4681.57142857
99,4719.28571429
100,4754.67195767
101,4787.72486772
102,4821.13125763
103,4883.63288563
104,4947.75356125
105,4987.82661783
106,5030.63776964
107,5082.11558812
108,5143.83150183
109,5221.94688645
110,5298.03846154
111,5393.82051282
112,5484.26923077
113,5587.24175824
114,5660.28571429
115,5769.47252747
116,5885.49267399
117,6023.98901099
118,6153.53296703
119,6292.21978022
120,6422.40659341
121,6576.54578755
122,6659.42307692
123,6747.58608059
124,6839.33638584
125,6960.22954823
126,7059.55128205
127,7182.14285714
128,7321.23809524
129,7470.23809524
130,7569.80952381
131,7669.85714286
132,7772.98809524
133,7857.21428571
134,7932.48809524
135,8031.57142857
136,8144.93809524
137,8222.68571429
138,8324.07619048
139,8397.41904762
140,8488.11904762
141,8517.57142857
142,8553.5
143,8599.06349206
144,8674.36507937
145,8732.16666667
146,8781.0952381
147,8821.52380952
148,8855.61904762
149,8877.88095238
150,8906.95238095
151,8958.25396825
152,9008.31746032
153,9041.42857143
154,9086.47619048
155,9143.63095238
156,9169.02380952
157,9179.41666667
158,9185.80952381
159,9195.72619048
160,9213.97619048
161,9235.13095238
162,9264.80952381
163,9282.8452381
164,9294.92857143
165,9306.08333333
166,9309.66666667
167,9313.84126984
168,9305.03968254
169,9307.0
170,9311.07142857
171,9318.23809524
172,9317.85714286
173,9324.71428571
174,9331.43650794
175,9338.49206349
176,9347.26190476
177,9351.48571429
178,9343.39047619
179,9337.1047619
180,9312.34285714
181,9305.94603175
182,9281.73015873
183,9267.28571429
184,9257.61904762
185,9251.66666667
186,9243.80952381
187,9235.85714286
188,9225.42857143
189,9207.14285714
190,9190.56190476
191,9171.17142857
192,9146.68571429
193,9129.1047619
194,9112.61904762
195,9097.9047619
196,9088.23809524
197,9078.52380952
198,9067.23809524
199,9051.57142857
200,9035.08465608
201,9022.35978836
202,9009.20634921
203,8990.98148148
204,8980.47089947
205,8966.87830688
206,8954.76190476
207,8941.67724868
208,8928.73544974
209,8914.13756614
210,8900.31746032
211,8881.73544974
212,8861.43915344
213,8838.23809524
214,8830.33333333
215,8814.04761905
216,8791.80952381
217,8770.0952381
218,8739.95238095
219,8717.0
220,8693.97619048
221,8667.76190476
222,8643.57142857
223,8618.85714286
224,8600.76190476
225,8579.64285714
226,8552.53968254
227,8528.6031746
228,8505.85714286
229,8478.08571429
230,8459.38571429
231,8429.68571429
232,8402.15238095
233,8377.33333333
234,8350.47619048
235,8328.23809524
236,8307.04761905
237,8296.82539683
238,8276.98412698
239,8252.0
240,8230.45238095
241,8210.58730159
242,8195.36507937
243,8166.04761905
244,8140.52255639
245,8116.02130326
246,8092.82957393
247,8054.51879699
248,8018.20802005
249,7979.42105263
250,7927.22932331
251,7871.60902256
252,7817.13157895
253,7751.93984962
254,7671.98621554
255,7588.48496241
256,7483.69799499
257,7378.22055138
258,7270.12406015
259,7163.93233083
260,7042.07393484
261,6930.59649123
262,6818.15079365
263,6704.44444444
264,6590.76190476
265,6470.22222222
266,6356.11111111
267,6241.85714286
268,6143.9047619
269,6050.21031746
270,5961.13492063
271,5874.25
272,5791.0952381
273,5710.19047619
274,5608.0952381
275,5516.26190476
276,5428.47619048
277,5346.0
278,5262.5
279,5180.80952381
280,5094.71428571
281,5026.71428571
282,4959.95238095
283,4900.80952381
284,4836.47619048
285,4778.52380952
286,4726.47619048
287,4657.57142857
288,4591.85714286
289,4524.57142857
290,4464.35714286
291,4418.9047619
292,4351.38095238
293,4304.80952381
294,4253.69047619
295,4201.12698413
296,4157.82539683
297,4151.23809524
298,4118.36507937
299,4081.92063492
300,4050.66666667
301,4012.57142857
302,3979.46031746
303,3948.73015873
304,3916.33333333
305,3880.02380952
306,3841.38095238
307,3801.61904762
308,3748.14285714
309,3690.0
310,3647.88492063
311,3624.96031746
312,3589.8452381
313,3546.57142857
314,3512.9047619
315,3478.72857143
316,3445.1
317,3416.25714286
318,3388.48571429
319,3358.38095238
320,3335.73650794
321,3312.73968254
322,3316.21904762
323,3318.88888889
324,3308.43968254
325,3308.91666667
326,3304.88095238
327,3316.70238095
328,3315.57142857
329,3307.69047619
330,3293.76190476
331,3292.88095238
332,3282.64285714
333,3278.53571429
334,3290.08333333
335,3269.50396825
336,3276.78174603
337,3275.52380952
338,3277.96825397
339,3286.81746032
340,3336.25
341,3343.97619048
342,3340.96428571
343,3342.57142857
344,3364.85714286
345,3392.28571429
346,3391.7845805
347,3400.52154195
348,3439.04421769
349,3449.9478458
350,3452.01814059
351,3457.68367347
352,3465.23809524
353,3462.07142857
354,3459.76190476
355,3463.33333333
356,3474.54761905
357,3489.0
358,3472.3877551
359,3447.20408163
360,3436.0085034
361,3434.52721088
362,3461.71258503
363,3457.94557823
364,3478.20238095
365,3507.51984127
366,3648.36666667
