day_of_year,reservoir_storage
1,1396428.40952
2,1400729.122
3,1403950.76304
4,1407207.28571
5,1407323.62585
6,1407051.37868
7,1406874.65533
8,1407264.7415
9,1407852.34694
10,1410082.12698
11,1412053.8254
12,1413917.17143
13,1415626.05714
14,1418322.72857
15,1421771.34048
16,1423406.93946
17,1424536.46224
18,1425869.61599
19,1427800.21814
20,1429817.97902
21,1431788.6542
22,1433965.50794
23,1437365.8254
24,1441298.11111
25,1446347.85714
26,1450558.26984
27,1453413.14286
28,1455679.49206
29,1457350.65873
30,1458573.30159
31,1459118.1746
32,1459640.34921
33,1460499.83333
34,1462888.88889
35,1464201.27778
36,1464935.15873
37,1465795.69841
38,1467689.84127
39,1469779.63492
40,1471621.02381
41,1472481.01587
42,1473398.98413
43,1473990.03571
44,1475045.2415
45,1477117.82823
46,1477919.93878
47,1478549.87075
48,1479393.23129
49,1480296.70295
50,1481653.1746
51,1483567.23129
52,1485307.08163
53,1486198.59864
54,1488083.44898
55,1489544.31519
56,1490508.86395
57,1491754.04762
58,1495188.04535
59,1497131.90023
60,1497950.18367
61,1499127.51474
62,1501234.73469
63,1503371.98639
64,1504962.88889
65,1507313.0771
66,1508544.29705
67,1509004.23129
68,1510712.68934
69,1513797.75374
70,1516388.02449
71,1519527.2
72,1520968.86984
73,1522637.64683
74,1523737.2619
75,1524666.54365
76,1525750.06349
77,1526412.68707
78,1527242.61224
79,1527896.9898
80,1529044.76417
81,1530432.02268
82,1533347.34467
83,1535272.39683
84,1538836.79989
85,1541007.56803
86,1542344.20918
87,1543994.19274
88,1544940.56916
89,1546004.47732
90,1546681.60771
91,1546890.68821
92,1546801.18141
93,1547620.60317
94,1550243.30238
95,1551711.89048
96,1552058.80397
97,1550924.19365
98,1552911.2619
99,1553358.95238
100,1554155.10317
101,1554638.05159
102,1555029.72222
103,1555425.40873
104,1556715.22222
105,1557310.66349
106,1557317.77143
107,1558189.41905
108,1558359.05079
109,1558506.42857
110,1558806.57143
111,1558849.06349
112,1559052.8254
113,1559368.31746
114,1559596.97619
115,1559344.15476
116,1560177.60476
117,1560648.99127
118,1562483.70317
119,1563611.72063
120,1564755.25397
121,1566895.34921
122,1569422.68254
123,1571626.22222
124,1573439.57143
125,1575240.61905
126,1576750.57143
127,1578226.13651
128,1579721.30476
129,1581038.13968
130,1582993.6254
131,1583787.96825
132,1585076.94603
133,1587203.92381
134,1589390.4254
135,1591772.08571
136,1595172.06349
137,1598301.3746
138,1603484.43175
139,1608025.08413
140,1612943.16508
141,1616790.78571
142,1619902.98571
143,1622419.34048
144,1625529.22143
145,1628681.34048
146,1631641.81667
147,1634595.06905
148,1637841.52381
149,1641125.13095
150,1644453.07937
151,1647193.36508
152,1650318.11111
153,1653230.28571
154,1656600.53968
155,1660484.85714
156,1663778.52381
157,1668392.55556
158,1672242.05754
159,1675531.08333
160,1678429.41071
161,1680829.39286
162,1683029.375
163,1685155.11905
164,1687346.04563
165,1688841.61905
166,1690579.7619
167,1692679.93651
168,1694442.88889
169,1695856.79365
170,1697279.31746
171,1698447.44444
172,1699142.9315
173,1699618.33124
174,1700342.09607
175,1700848.02757
176,1701013.71303
177,1700913.11278
178,1700635.0919
179,1700165.0472
180,1700089.42314
181,1699798.01972
182,1699435.46153
183,1698974.03033
184,1698125.75388
185,1697107.71554
186,1696144.9764
187,1695383.31662
188,1694246.26399
189,1693294.21136
190,1691585.68254
191,1689386.70295
192,1686979.2432
193,1683602.62472
194,1680834.86338
195,1678187.86395
196,1675117.38039
197,1671998.5
198,1668826.87812
199,1665498.25624
200,1662148.3288
201,1658506.63946
202,1655206.26361
203,1651674.95125
204,1648085.78968
205,1644448.77778
206,1640720.8254
207,1636842.84127
208,1632987.07143
209,1629464.26984
210,1625555.61905
211,1621176.45635
212,1616746.45238
213,1612738.4881
214,1608781.60317
215,1604250.4881
216,1599933.0873
217,1595401.84524
218,1590766.12698
219,1586400.64853
220,1582007.52324
221,1577810.23923
222,1573683.59807
223,1569497.2585
224,1565623.92687
225,1561132.02381
226,1557107.69898
227,1553120.29478
228,1549060.96599
229,1544568.73243
230,1540895.30839
231,1536325.0907
232,1532452.34921
233,1527963.36054
234,1524282.27664
235,1520383.54195
236,1517054.15646
237,1513424.02494
238,1509668.97676
239,1506351.84921
240,1503065.91667
241,1499638.46032
242,1496571.75794
243,1493154.24603
244,1489651.87302
245,1485955.16667
246,1482770.30556
247,1479564.15873
248,1476745.36667
249,1474003.42381
250,1471036.59928
251,1468062.35808
252,1465380.47403
253,1462483.07251
254,1459963.81045
255,1457659.5603
256,1455049.98475
257,1452478.87348
258,1449992.14317
259,1447462.77793
260,1445180.57143
261,1443035.59452
262,1440595.31602
263,1438641.79942
264,1436546.13997
265,1434375.78211
266,1432551.10678
267,1430547.2886
268,1428875.29582
269,1427246.19192
270,1425667.18326
271,1424150.98413
272,1422328.18182
273,1420523.66522
274,1418379.92641
275,1417059.22387
276,1414976.90229
277,1413044.08864
278,1411111.27499
279,1408987.48516
280,1406942.06437
281,1404900.19913
282,1402902.07404
283,1401547.65204
284,1400061.00782
285,1398328.69694
286,1396622.44955
287,1395008.86168
288,1393107.47619
289,1390862.65193
290,1389259.38322
291,1387786.46372
292,1385178.24263
293,1383022.13265
294,1381638.2449
295,1380252.52381
296,1378779.21769
297,1377615.99887
298,1377004.20862
299,1376213.75964
300,1375516.9932
301,1374955.35771
302,1374412.97619
303,1374090.23776
304,1373751.46757
305,1373524.40771
306,1373320.87166
307,1373291.43878
308,1373197.04082
309,1373230.30476
310,1373302.15374
311,1373228.6059
312,1373451.25363
313,1373904.47279
314,1374197.02211
315,1374506.13492
316,1374795.53741
317,1375222.6746
318,1375484.89116
319,1375752.43832
320,1376202.65215
321,1376762.01678
322,1376947.48458
323,1377460.80952
324,1377924.95918
325,1378491.86757
326,1378977.18231
327,1379406.99705
328,1379675.84592
329,1380384.29796
330,1380926.19762
331,1381486.75556
332,1381725.87302
333,1382258.80159
334,1382587.26984
335,1382871.90476
336,1383652.36508
337,1383906.65079
338,1384164.03175
339,1384172.68254
340,1385182.99206
341,1385445.1746
342,1385610.19048
343,1385871.20635
344,1386391.77778
345,1387987.38095
346,1389098.07937
347,1390247.85714
348,1391593.66667
349,1392118.45418
350,1393216.38456
351,1393908.56097
352,1395570.92785
353,1397384.91775
354,1398366.76479
355,1398915.35469
356,1400137.34935
357,1401260.83211
358,1402014.58153
359,1402671.09286
360,1403514.5381
361,1404216.30476
362,1405178.98413
363,1407419.44444
364,1408579.0
365,1413909.9381
366,1334778.08
