day_of_year,reservoir_storage
1,17651.1833333
2,17972.3666667
3,17780.4833333
4,17139.5714286
5,16892.6825397
6,16716.3650794
7,16592.9047619
8,16503.6547619
9,16413.1666667
10,16313.4166667
11,16249.1785714
12,16120.9781746
13,15962.3015873
14,15824.1488095
15,15715.2698413
16,15668.4265873
17,15607.9880952
18,15611.7876984
19,15611.015873
20,15616.8095238
21,15477.0952381
22,15397.4965986
23,15275.9217687
24,15291.7596372
25,15309.1689342
26,15244.4829932
27,15157.122449
28,15059.8809524
29,14883.2721088
30,14787.9251701
31,14738.6575964
32,14673.1900227
33,14580.6272109
34,14462.6834467
35,14363.9301587
36,14284.1746032
37,14131.7301587
38,14071.3809524
39,14010.0692641
40,13933.4242424
41,13753.0935065
42,13689.6675325
43,13607.8606061
44,13431.6727273
45,13376.4848485
46,13326.6969697
47,13258.2900433
48,13219.5974026
49,13160.047619
50,13128.9002268
51,13039.8004535
52,12940.8435374
53,12925.9183673
54,12899.0408163
55,12794.6235828
56,12712.3492063
57,12670.9863946
58,12567.3537415
59,12492.1972789
60,12438.0439909
61,12399.4145125
62,12360.2612245
63,12182.2904762
64,12033.9727891
65,11879.9455782
66,11767.8072562
67,11692.5313681
68,11560.4459562
69,11460.185941
70,11565.6447468
71,11567.1486206
72,11481.4620181
73,11414.6087491
74,11348.6046863
75,11310.7434807
76,11376.9880952
77,11350.8154762
78,11383.8809524
79,11473.6984127
80,11608.8253968
81,11779.2738095
82,12078.8269841
83,12329.9379819
84,12543.5061224
85,12729.7210884
86,12891.7931973
87,12978.6930839
88,12990.0136054
89,13135.0928571
90,13302.8642857
91,13407.6153061
92,13507.4996599
93,13605.4316327
94,13785.9612245
95,14051.6654195
96,14271.0600907
97,14466.0357143
98,14622.4365079
99,14851.1870748
100,15085.3741497
101,15338.3813303
102,15658.7694633
103,16049.2052154
104,16497.4504913
105,16907.3148148
106,17345.7777778
107,17800.3042328
108,18179.9068783
109,18647.6285714
110,19171.4825397
111,19743.2650794
112,20325.3809524
113,20940.3877551
114,21451.4739229
115,22045.093424
116,22848.4748299
117,23921.3959184
118,25123.8884354
119,26363.6428571
120,27764.0612245
121,29474.6462585
122,31084.707483
123,32400.0068027
124,34081.9727891
125,35421.7006803
126,36717.5238095
127,37984.2789116
128,39244.3673469
129,40620.5510204
130,41920.629932
131,43244.3278912
132,44506.8353741
133,45503.0571429
134,46204.0680272
135,46964.0884354
136,48129.6802721
137,49223.414966
138,50300.7687075
139,51440.6462585
140,52375.7142857
141,53028.8095238
142,53717.5238095
143,54445.3333333
144,55077.6190476
145,55772.5238095
146,56389.5714286
147,56887.047619
148,57482.0340136
149,58093.7823129
150,58765.0544218
151,59606.1360544
152,60056.7891156
153,60416.2993197
154,60700.4285714
155,60993.9404762
156,61299.5952381
157,61520.8214286
158,61681.8571429
159,61807.4444444
160,61918.8412698
161,61987.6666667
162,62022.9931973
163,62024.6530612
164,62105.5510204
165,62224.1156463
166,62218.4421769
167,62204.5306122
168,62192.047619
169,62233.3809524
170,62319.952381
171,62304.8174603
172,62312.4920635
173,62276.7857143
174,62234.2698413
175,62186.8015873
176,62131.6666667
177,61993.7142857
178,61852.4761905
179,61841.8571429
180,61793.3333333
181,61730.9206349
182,61668.984127
183,61613.952381
184,61482.6111111
185,61407.8412698
186,61334.047619
187,61295.8095238
188,61136.7619048
189,60953.2380952
190,60738.4285714
191,60494.1904762
192,60233.3333333
193,59980.5714286
194,59900.047619
195,59690.2380952
196,59526.8095238
197,59387.047619
198,59133.3333333
199,58879.1666667
200,58593.0952381
201,58366.968254
202,58113.6507937
203,57807.952381
204,57426.5238095
205,57122.8809524
206,56766.6904762
207,56412.6190476
208,56063.2857143
209,55779.7619048
210,55528.9047619
211,55168.8095238
212,54773.5714286
213,54374.4285714
214,54015.7142857
215,53704.8571429
216,53400.1904762
217,53093.2857143
218,52747.1904762
219,52377.5714286
220,51970.4285714
221,51551.2857143
222,51151.7619048
223,50818.6190476
224,50441.2380952
225,50067.0
226,49756.3333333
227,49406.4285714
228,48988.1428571
229,48645.6190476
230,48355.3809524
231,48002.1904762
232,47601.9047619
233,47280.2380952
234,46892.5238095
235,46466.6190476
236,46075.5714286
237,45672.952381
238,45252.3809524
239,44856.8095238
240,44412.6190476
241,44025.3809524
242,43600.6190476
243,43199.6190476
244,42747.1904762
245,42350.3809524
246,41950.9047619
247,41548.4285714
248,41190.0
249,40774.0
250,40407.1190476
251,39979.2380952
252,39745.0
253,39441.2380952
254,39146.0
255,38748.047619
256,38386.7142857
257,38075.6666667
258,37889.5714286
259,37464.3809524
260,37063.0
261,36842.7142857
262,36444.6904762
263,36121.1904762
264,35834.7619048
265,35655.2380952
266,35324.6666667
267,35045.5238095
268,34738.9047619
269,34429.0714286
270,34122.7142857
271,33865.9047619
272,33586.0952381
273,33304.5238095
274,32930.2857143
275,32717.5714286
276,32502.7142857
277,32258.5238095
278,32050.6666667
279,31852.8095238
280,31602.4761905
281,31381.1904762
282,31132.8095238
283,30893.0
284,30614.6666667
285,30342.6190476
286,30108.8571429
287,29903.0952381
288,29692.2857143
289,29538.1428571
290,29363.0952381
291,29164.6507937
292,28995.5873016
293,28822.8095238
294,28597.4761905
295,28402.2380952
296,28206.0
297,28082.1904762
298,28027.0
299,27828.5714286
300,27582.2380952
301,27295.9047619
302,27026.047619
303,26699.8571429
304,26405.8571429
305,26080.7619048
306,25789.4285714
307,25572.0952381
308,25337.2380952
309,25086.1904762
310,24882.6666667
311,24627.1428571
312,24362.8452381
313,24134.1190476
314,23883.202381
315,23609.9761905
316,23313.5595238
317,23060.3571429
318,22962.5357143
319,22561.1904762
320,22345.8452381
321,22114.547619
322,21934.5357143
323,21717.0952381
324,21530.8911565
325,21317.6870748
326,21110.5702948
327,20953.9297052
328,20798.170068
329,20672.8707483
330,20500.0952381
331,20355.4952381
332,20242.847619
333,20119.8190476
334,20033.7428571
335,19986.0
336,19945.6190476
337,19873.5714286
338,19792.2517007
339,19720.3741497
340,19750.4013605
341,19773.2460317
342,19703.0430839
343,19636.0496599
344,19565.199093
345,19511.2804989
346,19526.7292517
347,19543.9795918
348,19533.4489796
349,19409.9183673
350,19255.6734694
351,19159.9047619
352,19021.6603175
353,18970.5111111
354,18839.0761905
355,18670.4507937
356,18613.6349206
357,18519.1047619
358,18399.9555556
359,18353.2825397
360,18268.6571429
361,18133.9365079
362,18053.168254
363,17906.0190476
364,17866.7269841
365,18114.1253968
366,18391.6666667
