day_of_year,reservoir_storage
1,64174.5142857
2,63463.531746
3,63427.9142857
4,63583.7650794
5,63446.3111111
6,63076.6904762
7,63093.2261905
8,63458.2222222
9,63645.265873
10,63685.047619
11,64059.4013605
12,64758.2312925
13,65098.6802721
14,64944.6530612
15,64765.3560091
16,64676.9319728
17,64660.031746
18,65298.0666667
19,65552.3857143
20,65588.7563492
21,65433.8174603
22,65489.6880952
23,65482.2333333
24,65695.7285714
25,65719.6761905
26,65300.552381
27,65508.2857143
28,65423.5952381
29,65267.2063492
30,64928.0793651
31,64693.2857143
32,64742.952381
33,65025.8095238
34,65193.2380952
35,65509.6746032
36,65501.1428571
37,65491.9904762
38,65789.0920635
39,65890.6380952
40,65849.2714286
41,65917.952381
42,66164.5285714
43,66085.1285714
44,65967.0698413
45,65889.2730159
46,65762.9761905
47,65632.5793651
48,65730.7301587
49,65800.7619048
50,66080.0238095
51,66423.2380952
52,66214.3809524
53,66008.6666667
54,66370.8333333
55,66230.4285714
56,66308.2380952
57,66064.452381
58,66372.7142857
59,66394.5833333
60,66232.7142857
61,66430.6785714
62,66528.6825397
63,66305.3055556
64,66330.6666667
65,66369.4880952
66,66563.5952381
67,66378.5238095
68,66328.2142857
69,66187.8809524
70,66166.9047619
71,66176.7380952
72,66304.968254
73,66010.0793651
74,65798.5238095
75,65481.8095238
76,65443.8333333
77,65240.0595238
78,65293.952381
79,65471.3452381
80,65420.4285714
81,65677.2190476
82,65879.0333333
83,66001.6095238
84,66222.5269841
85,66096.1825397
86,65994.3809524
87,65807.1904762
88,65663.0952381
89,65366.7460317
90,65250.6587302
91,65038.5
92,64945.9047619
93,65215.2857143
94,64975.1904762
95,65095.968254
96,64970.3412698
97,65003.0
98,64824.3333333
99,64962.2142857
100,64864.3095238
101,64640.5952381
102,64834.1904762
103,64956.5238095
104,64911.7619048
105,64703.9047619
106,64930.6190476
107,64947.3571429
108,64954.3809524
109,65049.9285714
110,64801.2857143
111,64770.2857143
112,64915.6190476
113,65206.0952381
114,65224.1666667
115,65674.2857143
116,65690.3095238
117,65862.9047619
118,65963.207483
119,66213.1768707
120,66120.3287982
121,66230.861678
122,66313.3231293
123,66511.7210884
124,66621.0
125,66641.4285714
126,66577.3809524
127,66628.1904762
128,66594.9761905
129,66757.3809524
130,66810.4761905
131,66713.0952381
132,66436.9285714
133,66372.952381
134,66529.7380952
135,66468.1904762
136,66605.3809524
137,66885.6428571
138,66935.8571429
139,67178.7142857
140,67131.9285714
141,67180.25
142,67199.4047619
143,67199.8705837
144,67241.3840246
145,67164.4331797
146,67217.4188428
147,67060.2735535
148,66916.5092166
149,66900.2811609
150,66876.7118353
151,66921.725843
152,66621.1446127
153,66494.6744935
154,66574.3353266
155,66992.1866359
156,67275.0810292
157,67228.246851
158,67210.900768
159,67165.6023041
160,66952.5419355
161,66793.3387097
162,66651.5958013
163,66617.9243216
164,66574.5861751
165,66620.3353303
166,66535.9178187
167,66335.9907834
168,66111.3970814
169,66156.1843318
170,66051.328725
171,65947.3064516
172,66026.5460829
173,66132.6547619
174,65972.452381
175,65924.3214286
176,65963.6904762
177,65858.3809524
178,65867.1428571
179,65905.4285714
180,66003.3015873
181,65980.0436508
182,66057.6666667
183,66090.5595238
184,66270.4285714
185,65943.4285714
186,66135.5
187,66071.047619
188,66098.0952381
189,66116.0952381
190,66169.0952381
191,66270.6666667
192,66104.6666667
193,66157.7619048
194,65954.8809524
195,65721.0238095
196,65734.3333333
197,65743.1428571
198,65720.4047619
199,65806.5714286
200,65894.0277778
201,65867.6269841
202,65811.3690476
203,65812.2857143
204,65851.3809524
205,65879.4047619
206,65895.6666667
207,65860.1190476
208,66011.3809524
209,65845.4285714
210,65942.1666667
211,66049.1428571
212,66029.7142857
213,66143.547619
214,66148.2380952
215,65892.5714286
216,65908.3333333
217,65820.2936508
218,65756.7777778
219,65866.2301587
220,65976.5912698
221,66187.1571429
222,66248.2190476
223,66108.6142857
224,65933.747619
225,65887.0238095
226,65976.0119048
227,65895.6190476
228,65888.1666667
229,65724.5714286
230,65741.9285714
231,65963.6904762
232,66058.1428571
233,66170.1904762
234,66275.0952381
235,66234.9761905
236,66377.0714286
237,66147.4047619
238,66098.047619
239,66175.4920635
240,66091.984127
241,66002.6190476
242,66241.8571429
243,66386.6904762
244,66390.5
245,66466.5952381
246,66296.6666667
247,66226.4603175
248,66073.2063492
249,66227.0952381
250,66167.4285714
251,66129.8095238
252,65975.9015873
253,65840.5650794
254,65698.3714286
255,65817.1539683
256,65849.8174603
257,65863.0285714
258,65957.1206349
259,65910.3079365
260,65964.0428571
261,66009.7301587
262,66062.2031746
263,66028.5333333
264,66100.3873016
265,66112.8484127
266,66227.7857143
267,66387.297619
268,66269.9047619
269,66192.2380952
270,66199.7698413
271,66269.3253968
272,66148.7857143
273,66159.6666667
274,66180.2619048
275,66013.7142857
276,65930.0
277,65861.5952381
278,65767.3333333
279,65709.7857143
280,65653.1428571
281,65442.3492063
282,65337.3174603
283,65163.2619048
284,65102.2619048
285,65167.4761905
286,65040.2698413
287,65073.8253968
288,64870.3809524
289,64688.1428571
290,64715.4761905
291,64727.7142857
292,64837.3537415
293,64824.707483
294,64740.8707483
295,64675.8435374
296,64565.7687075
297,64791.0748299
298,64630.7857143
299,64592.1904762
300,64403.4761905
301,64339.8571429
302,64276.5952381
303,64153.4285714
304,64360.3968254
305,63930.9365079
306,63852.3333333
307,63615.7460317
308,63547.8492063
309,63226.7142857
310,62980.6428571
311,62799.6190476
312,62647.7619048
313,62506.9047619
314,62396.3571429
315,62451.0952381
316,62420.4761905
317,62392.531746
318,62199.4920635
319,62084.8888889
320,62053.7539683
321,61992.7380952
322,61986.5619048
323,61919.4952381
324,61916.8571429
325,61931.9809524
326,61870.6761905
327,62030.7619048
328,62283.6666667
329,62327.1428571
330,62413.8690476
331,62536.8809524
332,62414.6071429
333,62166.7619048
334,62371.8537415
335,62474.4217687
336,62606.2278912
337,62581.7641723
338,62584.9115646
339,62577.2494331
340,62790.2222222
341,62964.7222222
342,62832.3174603
343,62848.7619048
344,62960.4920635
345,63068.4603175
346,63494.6190476
347,63529.5079365
348,63718.7845805
349,63456.6326531
350,63208.6394558
351,62913.7891156
352,63049.2006803
353,63119.1043084
354,63139.7698413
355,63437.537415
356,63842.3446712
357,63794.4376417
358,63699.8004535
359,63480.0648526
360,63403.662585
361,63571.7047619
362,63832.5349206
363,63892.4365079
364,64264.6825397
365,64661.1539683
366,67449.7333333
