day_of_year,reservoir_storage
1,427720.447619
2,435367.182993
3,437776.323129
4,438771.353741
5,439657.939909
6,439929.319728
7,440468.199546
8,441585.603175
9,442933.00907
10,444744.748299
11,445394.598639
12,445923.020408
13,447302.267574
14,448503.676644
15,450753.94966
16,450503.485714
17,452042.45034
18,452943.399093
19,454127.336735
20,454373.099773
21,455375.759637
22,457145.285714
23,458821.095238
24,461651.952381
25,464040.714286
26,466538.904762
27,467765.111111
28,468971.880952
29,469545.015873
30,469763.287982
31,469882.060091
32,469994.800454
33,470975.85034
34,473060.789116
35,473606.585034
36,474572.492063
37,475163.739229
38,476028.811791
39,476388.868481
40,476988.877551
41,477035.886621
42,477355.64966
43,477646.84127
44,478233.047619
45,479961.714286
46,480218.619048
47,480564.761905
48,481081.22619
49,481542.246032
50,481990.384921
51,482799.292517
52,483850.02551
53,484931.5839
54,486231.856576
55,487512.06576
56,488465.040816
57,489535.047619
58,491800.444444
59,493583.190476
60,494314.047619
61,495053.650794
62,496200.468254
63,497754.079365
64,499331.111111
65,500723.761905
66,501476.063492
67,501798.230159
68,503477.015873
69,506289.704762
70,509090.44127
71,510002.653968
72,510720.834921
73,511540.527778
74,512269.18254
75,512929.440476
76,513692.0
77,514724.309524
78,515609.190476
79,517402.0
80,518804.444444
81,521593.777778
82,524460.793651
83,526552.079365
84,530205.801587
85,531640.698413
86,532442.833333
87,533746.948413
88,534762.753968
89,535566.329365
90,536636.873016
91,537594.912698
92,538654.111111
93,540658.404762
94,544120.545238
95,544904.090476
96,546222.461111
97,547369.926984
98,548589.126984
99,549894.095238
100,550919.31746
101,551881.638889
102,553152.690476
103,554716.757937
104,556366.269841
105,557932.453968
106,559289.606349
107,560333.195238
108,561242.450794
109,562333.888889
110,563417.238095
111,564422.642857
112,565397.952381
113,566342.595238
114,566849.507937
115,567626.154762
116,568953.169048
117,570997.984921
118,574111.652646
119,577040.887831
120,579644.833333
121,583161.026455
122,586359.338624
123,589172.825397
124,591816.915344
125,594384.410053
126,596907.190476
127,599822.580159
128,603074.319048
129,606625.915079
130,609708.352381
131,612723.027778
132,615885.94127
133,619127.029365
134,622671.498413
135,626343.364286
136,630792.992063
137,635052.540476
138,639095.009524
139,643566.272222
140,647919.280952
141,652181.392857
142,656306.6
143,659853.402381
144,663246.847619
145,667271.9
146,670949.404762
147,674473.761905
148,677658.988095
149,680839.916667
150,684217.186508
151,687844.0
152,691153.333333
153,694773.126984
154,698395.206349
155,701600.793651
156,704848.484127
157,707818.301587
158,710435.136508
159,712630.860317
160,714693.250794
161,716481.966667
162,718112.888889
163,719601.68254
164,720863.087302
165,722237.984127
166,723876.714286
167,724965.857143
168,725723.563492
169,726178.777778
170,726449.47619
171,726860.31746
172,727074.961571
173,727123.613617
174,727293.027569
175,727290.020886
176,727509.522139
177,727367.705931
178,727600.667502
179,727265.629073
180,727186.352548
181,726567.718881
182,725758.31934
183,724961.37218
184,723834.2901
185,722582.842941
186,721235.51086
187,719820.845447
188,718352.66416
189,716663.435255
190,714833.142857
191,712743.907029
192,710404.318027
193,707972.951247
194,705612.155896
195,703291.043084
196,700943.267574
197,698361.15873
198,696239.564626
199,694072.06576
200,691654.709751
201,689117.210884
202,686476.418367
203,683807.371882
204,680991.325397
205,678240.482993
206,675351.29932
207,672507.290249
208,669628.090703
209,666848.605442
210,663894.088435
211,660871.952381
212,658224.725624
213,654729.197279
214,651663.399093
215,648583.712018
216,645598.294785
217,642526.647392
218,639488.634921
219,636399.174603
220,633484.015873
221,630320.428571
222,627260.769841
223,624194.190476
224,621188.123016
225,618133.674603
226,615101.729592
227,611961.197279
228,609041.843537
229,606045.870748
230,602885.21542
231,599853.829932
232,596823.626984
233,593787.331066
234,590848.693878
235,587777.707483
236,585009.197279
237,582076.861678
238,579416.367347
239,576654.079365
240,573909.888889
241,571253.634921
242,568585.448413
243,565893.738095
244,563284.440476
245,560596.904762
246,557925.174603
247,555438.270975
248,552963.879252
249,550787.848639
250,548311.476757
251,545644.731859
252,543208.998866
253,540766.357143
254,538405.323129
255,535874.693878
256,533579.143991
257,531243.951247
258,528940.377551
259,526594.692744
260,524341.388889
261,522061.952381
262,519791.571429
263,517850.603175
264,515748.206349
265,513792.47619
266,511910.015873
267,510147.634921
268,508222.311565
269,506298.131066
270,504526.704535
271,502693.135147
272,500652.922902
273,498690.647166
274,496764.450794
275,494924.850794
276,493146.187302
277,491325.904762
278,489509.336508
279,487674.105556
280,485818.997619
281,483891.50873
282,481874.914626
283,479823.90068
284,478069.922449
285,475985.531519
286,474032.394558
287,472434.324263
288,470521.111111
289,468660.045351
290,466886.297052
291,465247.71542
292,463742.824263
293,462239.734694
294,460824.430839
295,459206.0
296,457581.133787
297,456096.204082
298,454940.496599
299,453568.947846
300,452187.621315
301,450867.37415
302,449593.833333
303,448582.65873
304,447913.255952
305,447400.646825
306,446823.371032
307,446610.468254
308,446608.025794
309,445940.496032
310,445577.481009
311,444959.418367
312,445241.710884
313,445204.598639
314,445032.414966
315,444755.921769
316,444345.031746
317,444516.611111
318,444406.0
319,444320.233333
320,443787.752381
321,443740.295238
322,443612.266667
323,443581.992063
324,443342.997732
325,443202.236735
326,442985.612245
327,442831.74966
328,442785.191837
329,442871.562585
330,442910.485714
331,442697.052381
332,442512.571429
333,442335.119048
334,442174.730159
335,442158.793651
336,442426.0
337,442537.936508
338,442530.825397
339,442354.126984
340,442681.515873
341,442908.444444
342,442975.571429
343,443099.222222
344,443060.555556
345,444405.587302
346,445420.619048
347,446174.571429
348,446478.47619
349,446434.324675
350,446302.33189
351,446492.910534
352,447135.965368
353,448041.718615
354,448192.662338
355,448111.539394
356,448876.102165
357,449247.807792
358,449079.561039
359,449012.838095
360,448718.857143
361,448303.444444
362,448598.888889
363,449392.119048
364,449809.047619
365,452359.228571
366,403890.72
