day_of_year,reservoir_storage
1,31204.6
2,31944.3
3,31488.3
4,31544.35
5,31635.5
6,31632.35
7,31061.9047619
8,31081.7619048
9,31102.3333333
10,31144.7619048
11,31164.9047619
12,31184.6666667
13,31186.6190476
14,31231.0952381
15,31255.4285714
16,31308.4761905
17,31322.3809524
18,31978.9
19,32014.45
20,32067.45
21,32097.15
22,32123.85
23,32158.5
24,32206.2
25,32235.65
26,32275.45
27,32322.6
28,31720.7619048
29,31732.8095238
30,31771.0
31,31804.0
32,31849.2380952
33,31900.6190476
34,31958.4285714
35,32014.3333333
36,32082.5238095
37,32114.4761905
38,32182.8571429
39,31664.85
40,31748.55
41,32368.6666667
42,32418.6666667
43,32466.3333333
44,31930.75
45,32555.4285714
46,30482.1904762
47,32631.9047619
48,32688.1428571
49,32753.1428571
50,32821.5714286
51,32873.1428571
52,32954.2857143
53,33006.6666667
54,33071.1904762
55,33146.0952381
56,33191.952381
57,33271.2857143
58,33369.3333333
59,33440.4285714
60,32932.65
61,33655.4285714
62,32839.6
63,33903.6666667
64,33996.0
65,34072.4285714
66,34127.1904762
67,34200.6666667
68,34330.7619048
69,34500.4761905
70,34666.9047619
71,34927.0526316
72,34890.952381
73,34978.5238095
74,35115.047619
75,35256.7619048
76,35423.4285714
77,35012.05
78,34566.6
79,35919.1428571
80,33790.2380952
81,36228.6190476
82,36377.1904762
83,36573.55
84,35918.7
85,36609.6666667
86,35651.45
87,36899.4761905
88,37026.8095238
89,37109.6190476
90,34870.952381
91,34960.3809524
92,37446.2380952
93,37572.1904762
94,37682.0
95,37768.5714286
96,37842.0952381
97,37859.8571429
98,37972.4761905
99,38200.5238095
100,38259.8095238
101,38352.952381
102,38474.2380952
103,38569.7619048
104,38674.1904762
105,38747.4761905
106,38845.1428571
107,39280.7619048
108,39368.5714286
109,39465.8571429
110,39534.8571429
111,39635.6190476
112,39721.1428571
113,39779.047619
114,39854.2857143
115,39921.3333333
116,39993.047619
117,40066.6666667
118,40128.7142857
119,40198.7142857
120,40258.7619048
121,40297.0
122,40309.047619
123,40336.7142857
124,40344.6666667
125,40356.8095238
126,40333.4761905
127,40489.85
128,40428.7
129,40379.1
130,40336.7
131,40292.0
132,40274.1
133,39293.9473684
134,40142.85
135,40082.9
136,39950.7
137,40007.35
138,39915.3809524
139,39856.6190476
140,39835.2380952
141,39796.7619048
142,39744.0
143,39657.1904762
144,39633.6190476
145,39569.4761905
146,39518.047619
147,39476.8571429
148,39423.952381
149,39360.6190476
150,39262.0952381
151,39198.6666667
152,39158.8571429
153,39074.0
154,39025.2857143
155,39008.047619
156,38914.95
157,38921.952381
158,38804.2380952
159,38750.952381
160,38694.2380952
161,38600.4285714
162,38551.6190476
163,38485.8095238
164,38400.3809524
165,38349.0
166,38263.1904762
167,38176.2857143
168,38095.1904762
169,38006.7619048
170,37905.1428571
171,37809.2857143
172,37712.4761905
173,37628.1428571
174,37534.4761905
175,37442.7619048
176,37322.6666667
177,37239.2380952
178,37153.6190476
179,37082.2380952
180,36161.9
181,36029.05
182,36841.047619
183,36768.6666667
184,36671.047619
185,36617.2380952
186,36551.3333333
187,36310.7142857
188,36372.7619048
189,36266.8571429
190,36183.4761905
191,36089.8571429
192,36006.6666667
