day_of_year,reservoir_storage
1,17991.2222222
2,18493.55
3,19491.2857143
4,20460.4
5,20047.2857143
6,20225.0952381
7,20030.8
8,21706.0
9,20741.55
10,21307.5714286
11,21718.7619048
12,21935.1
13,22223.5714286
14,22753.15
15,23917.45
16,25035.2222222
17,24827.3
18,24083.7142857
19,23964.4210526
20,24545.5238095
21,24547.0
22,24091.6
23,26614.1
24,25867.8571429
25,26152.7142857
26,26606.5714286
27,27509.3157895
28,26836.8095238
29,26776.2380952
30,26034.5789474
31,28997.1333333
32,26659.4285714
33,26584.2380952
34,26774.9047619
35,27740.1
36,26936.75
37,27070.9444444
38,27188.4444444
39,28005.5
40,28403.4210526
41,26463.75
42,26664.7368421
43,26743.1052632
44,28180.2777778
45,28656.8947368
46,29461.65
47,30282.3888889
48,29525.1578947
49,28614.25
50,30344.25
51,29688.952381
52,31036.3684211
53,30637.5238095
54,31089.7894737
55,32854.05
56,31760.1428571
57,31635.35
58,32473.7142857
59,35286.8333333
60,36508.7647059
61,34411.7894737
62,34689.9473684
63,33966.7142857
64,35698.95
65,36195.05
66,35297.1428571
67,35592.0
68,35913.2380952
69,38252.1
70,37296.25
71,39086.3684211
72,37656.15
73,38141.4761905
74,38248.2380952
75,37911.5
76,37001.6842105
77,36047.3333333
78,37921.5789474
79,38527.35
80,40003.6666667
81,41554.7
82,41263.1428571
83,41606.8571429
84,41614.85
85,41848.1
86,43726.95
87,42923.8095238
88,43154.6666667
89,43327.6666667
90,46506.0588235
91,44895.65
92,43563.95
93,43972.85
94,43539.7368421
95,45948.8823529
96,46393.6666667
97,45241.3333333
98,45412.0526316
99,45155.55
100,45294.7368421
101,45382.75
102,45886.5714286
103,46148.8571429
104,46157.0
105,46768.9047619
106,47051.1428571
107,48532.9
108,47017.2
109,46520.25
110,47297.15
111,48382.9047619
112,48514.9047619
113,47490.35
114,47564.4
115,48644.2105263
116,47778.9
117,47519.0
118,47946.3
119,48867.8
120,50224.5
121,50105.95
122,50273.1052632
123,49486.5238095
124,49573.4285714
125,49697.3333333
126,49853.1428571
127,47523.3684211
128,50003.8571429
129,50075.3809524
130,50128.2857143
131,50164.6190476
132,50196.4761905
133,50244.9047619
134,48672.0
135,50283.0
136,50318.6190476
137,51300.15
138,49390.5789474
139,50422.5714286
140,50444.8571429
141,50462.8095238
142,50454.1904762
143,50428.4761905
144,50326.05
145,50376.1904762
146,50350.7619048
147,49260.0526316
148,49473.1
149,49447.7
150,48409.3
151,47086.7222222
152,48212.95
153,48139.3684211
154,48395.3157895
155,50484.05
156,49544.4285714
157,49462.8571429
158,49398.0952381
159,49274.5714286
160,50049.7
161,48950.6190476
162,47964.6
163,47763.15
164,46478.05
165,48238.1428571
166,48042.952381
167,48545.15
168,47640.1428571
169,46572.1
170,47311.0
171,46918.0952381
172,44932.45
173,45337.6111111
174,45893.8421053
175,46631.1111111
176,43758.25
177,45176.4285714
178,43137.55
179,42845.3
180,42556.6
181,43364.7058824
182,43712.4444444
183,43041.4444444
184,41388.85
185,42497.45
186,43102.95
187,40485.5
188,40163.8
189,41214.4761905
190,39217.65
191,40516.7894737
192,40079.7142857
193,39028.75
194,38679.2
195,37335.95
196,39868.6
197,36187.1
198,35812.9
199,35421.75
200,35714.3157895
201,37411.25
202,37033.0
203,35530.4
204,35127.6
205,34607.55
206,34797.3333333
207,34401.9047619
208,34000.7142857
209,33411.5
210,34208.85
211,32059.2105263
212,33474.5
213,32713.5263158
214,29033.7894737
215,30742.5
