day_of_year,reservoir_storage
1,216084.27619
2,216095.342177
3,217350.495465
4,218428.017007
5,217819.562358
6,217054.004535
7,216438.970522
8,216170.698413
9,216120.986395
10,216142.226757
11,215977.403628
12,215543.818594
13,215215.836735
14,215000.680272
15,214782.678571
16,214388.513605
17,214139.681973
18,213943.088435
19,213656.451247
20,213205.512472
21,212848.764172
22,212402.444444
23,212163.126984
24,211826.047619
25,211240.904762
26,210623.984127
27,209692.849206
28,209132.825397
29,208396.571429
30,207713.827664
31,206901.639456
32,206089.935374
33,205447.278912
34,204861.344671
35,204235.839002
36,203829.222222
37,203403.10771
38,203130.294785
39,202516.378685
40,201991.764172
41,201389.229025
42,200728.741497
43,200201.77381
44,199697.985544
45,199209.244898
46,198608.647109
47,198042.739796
48,197566.880102
49,196888.036281
50,196317.03373
51,195777.968254
52,195251.809524
53,194681.238095
54,194111.412698
55,193483.444444
56,192647.190476
57,191972.539683
58,191358.160317
59,190934.24127
60,190111.973016
61,189413.27619
62,188772.142857
63,188094.0
64,187501.52381
65,186409.52381
66,186088.730159
67,185230.194444
68,184349.825397
69,183880.288095
70,183421.298413
71,182953.130159
72,182515.485714
73,181780.285714
74,181492.47619
75,181019.333333
76,180670.698413
77,180305.821995
78,180028.945578
79,180099.489796
80,180123.891156
81,180076.609977
82,180056.789116
83,180170.142857
84,180192.718821
85,180228.986848
86,180183.889796
87,180041.30068
88,179753.521088
89,179620.348639
90,179658.087302
91,179638.718254
92,179612.873016
93,179541.47619
94,179715.371429
95,179863.552381
96,180171.4
97,180504.533333
98,180900.365079
99,181257.952381
100,181426.761905
101,181639.051587
102,181911.611111
103,182404.202381
104,182997.793651
105,183782.47619
106,184571.952381
107,184836.738095
108,185356.492063
109,186340.222222
110,187190.666667
111,188547.333333
112,189472.285714
113,190293.357143
114,191098.52381
115,192172.619048
116,193546.147619
117,195263.263492
118,197629.527969
119,199948.855939
120,202799.707718
121,205733.340449
122,208192.449371
123,210612.320197
124,212999.603722
125,215427.093596
126,218279.075534
127,221539.930487
128,224598.706076
129,227468.799124
130,230674.177887
131,234148.096333
132,237469.459223
133,240318.615764
134,242758.343733
135,245111.785988
136,247946.05364
137,251509.368911
138,254299.731801
139,257173.189929
140,259774.743295
141,262596.129995
142,265671.516694
143,268492.351806
144,270950.963109
145,274129.41965
146,276199.828571
147,278967.76746
148,281811.003968
149,284675.571429
150,286996.424603
151,289704.761905
152,292892.873016
153,295875.730159
154,299032.539683
155,301482.444444
156,305348.190476
157,308335.507937
158,311024.113095
159,312727.543651
160,314621.132937
161,316300.488095
162,318010.732143
163,319561.452381
164,321089.982143
165,323635.253968
166,325821.126984
167,328203.079365
168,329621.619048
169,331092.015873
170,332197.285714
171,333196.888889
172,334138.815372
173,335093.011696
174,336055.473893
175,337160.336884
176,337976.0967
177,339069.523183
178,340463.120301
179,341252.356307
180,341898.592314
181,342131.166416
182,342672.617502
183,343012.044779
184,343513.591103
185,344081.550125
186,344525.151211
187,345041.371345
188,345504.496241
189,345445.819549
190,345218.857143
191,344920.496599
192,344358.017007
193,343816.489796
194,343506.20068
195,342742.133787
196,341892.765306
197,341036.539683
198,340954.261905
199,340929.904762
200,340877.011905
201,340716.166667
202,340331.309524
203,339951.547619
204,339477.242063
205,339216.650794
206,338532.269841
207,337999.444444
208,337366.396825
209,336850.293651
210,336178.650794
211,335482.944444
212,334734.761905
213,333864.52381
214,333058.126984
215,332358.174603
216,331622.206349
217,330823.888889
218,330226.904762
219,329451.9161
220,328709.498866
221,327873.113379
222,326967.696145
223,326129.358277
224,325144.10771
225,324216.650794
226,323352.173469
227,322334.997732
228,321392.496599
229,320466.535147
230,319502.795918
231,318559.120181
232,317592.650794
233,316689.38322
234,315683.845805
235,314815.641723
236,313815.247166
237,312767.995465
238,311793.29932
239,310778.507937
240,309732.272109
241,308752.734694
242,307722.494898
243,306715.112245
244,305853.047052
245,304884.743764
246,303906.339683
247,302968.398186
248,301975.525737
249,301090.946939
250,300154.003061
251,299143.616327
252,298174.884354
253,297191.134921
254,296180.746032
255,295251.174603
256,294131.015873
257,293180.904762
258,292127.047619
259,291132.222222
260,290103.126984
261,289024.698413
262,287760.825397
263,287009.52381
264,286111.793651
265,285105.873016
266,284086.68254
267,283096.015873
268,282132.601814
269,281182.775057
270,280185.472109
271,279237.692971
272,278247.37415
273,277230.991837
274,276369.768254
275,275432.383673
276,274494.66576
277,273529.058957
278,272715.690249
279,271779.408844
280,270884.536168
281,269921.838095
282,269097.330499
283,268118.72449
284,267156.408163
285,266421.568027
286,265530.997732
287,264715.975057
288,264000.952381
289,263193.598639
290,262355.070295
291,261461.192744
292,260692.93424
293,259793.755102
294,259000.996599
295,258124.746032
296,257448.315193
297,256590.503401
298,256992.802721
299,256781.086168
300,255976.988662
301,255169.391156
302,254493.97619
303,253738.264626
304,252959.822902
305,252292.111338
306,251627.979138
307,250910.767574
308,250361.061224
309,249742.97551
310,249163.073469
311,248603.480952
312,248129.769388
313,248061.022109
314,247565.789116
315,247099.247732
316,246601.714286
317,246115.529478
318,245720.455782
319,245125.634467
320,244926.622676
321,244355.944218
322,243879.805442
323,243406.912698
324,242944.0839
325,242610.066213
326,242022.502494
327,241563.748299
328,241206.613946
329,240809.25737
330,240338.510317
331,239803.114286
332,239234.920635
333,238718.515873
334,238247.218254
335,237670.0
336,237359.757937
337,236766.174603
338,236485.460317
339,236025.809524
340,235591.5
341,235355.428571
342,234884.190476
343,234479.634921
344,234000.52381
345,233788.555556
346,233641.190476
347,233502.126984
348,233100.444444
349,232557.880952
350,231801.761905
351,231151.484127
352,230637.063492
353,230430.809524
354,229688.349206
355,229175.974603
356,228526.619048
357,228100.168254
358,227484.431746
359,227011.409524
360,226347.666667
361,225642.444444
362,225133.190476
363,224714.412698
364,224268.535714
365,223705.242857
366,212276.49
