day_of_year,reservoir_storage
1,26086.6470588
2,25964.2941176
3,26178.3888889
4,26193.8888889
5,25954.4117647
6,25898.1176471
7,25829.2941176
8,25955.3333333
9,25892.5
10,25839.3333333
11,25770.0
12,25747.5
13,25654.6666667
14,25591.8888889
15,25567.9444444
16,25541.4444444
17,25488.0
18,25471.5555556
19,25430.5
20,25386.2222222
21,25217.5555556
22,25244.2222222
23,24945.5882353
24,25061.7058824
25,25046.8235294
26,24694.375
27,24666.0625
28,24934.5882353
29,25032.8888889
30,25216.6470588
31,24957.3888889
32,24457.8421053
33,24401.1578947
34,24404.7894737
35,24377.3684211
36,24375.0526316
37,24602.2352941
38,24741.6666667
39,24690.7777778
40,24642.3333333
41,24593.7222222
42,24530.1111111
43,23916.6470588
44,23884.3529412
45,23570.7647059
46,23818.3529412
47,23891.8421053
48,24362.3333333
49,23753.3529412
50,23727.9411765
51,23707.2352941
52,23697.2352941
53,23765.3529412
54,23332.6875
55,23256.625
56,23191.5625
57,23676.5625
58,23463.5882353
59,23119.9375
60,23408.9411765
61,23959.1666667
62,23907.0555556
63,23857.6111111
64,23798.8888889
65,23730.5555556
66,23658.2777778
67,23649.0
68,23596.7222222
69,23582.0555556
70,23189.2941176
71,23555.4444444
72,23548.8888889
73,23536.5
74,23592.0
75,23560.4444444
76,23593.6666667
77,23634.9444444
78,23675.7777778
79,23710.4444444
80,23760.7222222
81,23798.5
82,23897.2222222
83,24040.7777778
84,24156.2777778
85,24267.8888889
86,24880.3529412
87,23892.0588235
88,24075.0588235
89,24615.6111111
90,24719.2777778
91,24269.1764706
92,24542.7058824
93,23123.0555556
94,25016.8333333
95,25033.0555556
96,25120.9444444
97,25214.2777778
98,25301.7222222
99,25395.0
100,25482.2222222
101,42218.4444444
102,25613.5
103,25706.8333333
104,25829.1111111
105,25942.8333333
106,26006.0
107,26135.2222222
108,26237.8888889
109,26398.9444444
110,26571.0
111,26667.2222222
112,26318.8235294
113,26559.7647059
114,27290.8333333
115,26994.2352941
116,27791.7777778
117,28109.7222222
118,28790.2352941
119,29086.4705882
120,29408.8235294
121,29560.1666667
122,30021.6666667
123,30418.3333333
124,30770.8333333
125,31190.8333333
126,29450.7777778
127,31950.3333333
128,32373.1111111
129,32820.7222222
130,33190.1666667
131,33502.2222222
132,33776.4444444
133,34121.6666667
134,32750.3888889
135,34691.8888889
136,35172.4705882
137,35628.4444444
138,35983.6666667
139,36965.6470588
140,37372.8235294
141,37031.1666667
142,37325.7777778
143,37704.1111111
144,37999.9444444
145,38317.5555556
146,38655.4444444
147,38980.6666667
148,39321.4444444
149,39535.6666667
150,39815.7222222
151,40095.2222222
152,40286.2777778
153,40677.8333333
154,40969.0555556
155,41169.0
156,41346.8333333
157,41603.5555556
158,41716.7777778
159,41956.5
160,42133.7777778
161,42240.8333333
162,42350.0555556
163,42475.3333333
164,42649.0
165,42753.3529412
166,42937.5555556
167,42982.8888889
168,43019.2777778
169,43116.6111111
170,43139.5882353
171,43214.5882353
172,43256.0555556
173,43259.3888889
174,43252.8235294
175,43295.9411765
176,43446.5
177,43506.0555556
178,43307.5625
179,43420.7058824
180,43434.6470588
181,45070.1176471
182,45049.2222222
183,42771.3684211
184,42694.4736842
185,42706.8947368
186,42651.5263158
187,42708.4210526
188,42669.7894737
189,42508.5555556
190,42157.8421053
191,42233.45
192,42187.8
193,41958.6315789
194,41834.7894737
195,41773.1052632
196,41774.5789474
197,41706.6842105
198,41636.8947368
199,41849.8333333
200,41581.1176471
201,41471.5294118
202,41154.375
203,42031.0
204,42141.8125
205,42050.0
206,41798.8666667
207,41866.75
208,41751.375
209,40540.0625
210,40439.6875
211,40341.0
212,40229.0625
213,40523.1111111
214,40438.5
215,40314.3333333
216,41036.2941176
217,40016.6111111
218,39879.7222222
219,39759.8333333
220,39622.8888889
221,40341.3529412
222,40209.8823529
223,40089.2352941
224,39172.7777778
225,38988.5
226,38863.2777778
227,38742.5555556
228,38424.8823529
229,38283.0
230,38155.5882353
231,38018.5294118
232,37876.9411765
233,37740.1764706
234,37587.5882353
235,37425.1764706
236,37437.6111111
237,38048.7647059
238,37883.1176471
239,37472.625
240,37286.375
241,37099.125
242,37130.7058824
243,36998.2941176
244,36844.8235294
245,36676.4705882
246,36559.0588235
247,36395.0588235
248,36279.0
249,36155.5294118
250,35986.2352941
251,35837.0
252,35669.4117647
253,35547.3529412
254,35436.4705882
255,35190.3529412
256,35184.5
257,35029.8125
258,34831.5625
259,34677.4375
