day_of_year,reservoir_storage
1,13911.9076923
2,13910.0744658
3,13891.907906
4,13894.3163462
5,13884.5997863
6,13870.8290598
7,13865.1333333
8,13857.7709402
9,13841.608547
10,13826.6211538
11,13827.7004274
12,13824.5797009
13,13810.8589744
14,13815.5882479
15,13809.6496642
16,13812.9110806
17,13812.7474969
18,13820.75058
19,13817.628663
20,13821.181746
21,13821.7931624
22,13826.3295788
23,13828.4409951
24,13834.2274115
25,13838.9304945
26,13846.3252442
27,13854.2699939
28,13848.2959936
29,13836.1606838
30,13841.0539454
31,13840.5055403
32,13835.8571352
33,13841.0462302
34,13847.4103251
35,13858.47442
36,13867.0655983
37,13880.1482051
38,13900.655812
39,13917.0009188
40,13934.8710256
41,13947.8911325
42,13961.9402589
43,13963.6393854
44,13987.6635118
45,14000.8543049
46,14012.120098
47,14034.9683912
48,14063.6416843
49,14080.7649774
50,14101.1299372
51,14112.1032303
52,14134.4765234
53,14157.3581498
54,14168.7397763
55,14178.7464027
56,14197.0530292
57,14208.6313223
58,14215.2596154
59,14212.9879085
60,14209.3662016
61,14221.8569947
62,14235.0311212
63,14240.5195333
64,14251.4079455
65,14251.4755243
66,14243.3431031
67,14237.885682
68,14256.5157608
69,14280.2458396
70,14282.7366327
71,14287.2774258
72,14286.655719
73,14290.6840121
74,14297.8123052
75,14303.769765
76,14314.9772247
77,14325.0489702
78,14335.6707157
79,14359.6924612
80,14382.0642067
81,14416.5109522
82,14453.7326977
83,14488.0544432
84,14508.311903
85,14530.2776961
86,14556.8434892
87,14580.7801156
88,14596.8584087
89,14613.0367019
90,14636.714995
91,14661.1432881
92,14683.5965812
93,14718.2508547
94,14752.7501282
95,14780.082735
96,14801.0653419
97,14828.1979487
98,14855.0972222
99,14871.4014957
100,14872.3724359
101,14872.6183761
102,14873.0643162
103,14888.2852564
104,14904.7561966
105,14914.4521368
106,14927.3980769
107,14939.6690171
108,14951.9149573
109,14967.5692308
110,14978.8235043
111,14996.8527778
112,15012.4070513
113,15031.3113248
114,15035.1655983
115,15054.8448718
116,15076.2241453
117,15104.3284188
118,15147.6326923
119,15193.0286325
120,15241.0745726
121,15299.2455128
122,15366.0997863
123,15415.8790598
124,15463.275
125,15522.4959402
126,15547.6668803
127,15594.8461538
128,15648.7254274
129,15712.5880342
130,15751.700641
131,15814.7632479
132,15821.9925214
133,15889.4717949
134,15947.3510684
135,15987.8053419
136,16059.5179487
137,16131.0805556
138,16213.9681624
139,16272.5724359
140,16306.6017094
141,16331.8893162
142,16348.6269231
143,16374.4645299
144,16406.7771368
145,16435.6647436
146,16460.3773504
147,16476.9649573
148,16490.7775641
149,16505.2401709
150,16525.9194444
151,16553.3487179
152,16578.1279915
153,16597.757265
154,16602.1865385
155,16616.440812
156,16614.5450855
157,16607.074359
158,16604.8536325
159,16604.532906
160,16616.5121795
161,16631.291453
162,16650.0207265
163,16663.375
164,16672.8
165,16689.25
166,16702.35
167,16705.25
168,16720.825
169,16731.775
170,16744.625
171,16738.625
172,16747.5
173,16753.7
174,16763.0
175,16784.7916667
176,16808.9520833
177,16832.0625
178,16854.1979167
179,16876.6833333
180,16891.6770833
181,16900.2708333
182,16900.6645833
183,16898.7
184,16893.8854167
185,16886.9958333
186,16874.25625
187,16868.225
188,16864.4854167
189,16861.7458333
190,16862.38125
191,16862.65
192,16858.11875
193,16851.7875
194,16847.08125
195,16833.2375
196,16816.84375
197,16801.675
198,16791.78125
199,16789.7
200,16776.64375
201,16761.1721154
202,16745.5254808
203,16729.9538462
204,16712.1488782
205,16701.3189103
206,16683.6389423
207,16667.2923077
208,16649.2935897
209,16632.5448718
210,16615.7461538
211,16598.0974359
212,16579.7737179
213,16561.6
214,16541.8
215,16520.75
216,16496.6
217,16473.2
218,16449.2
219,16419.8
220,16399.125
221,16377.4
222,16318.95
223,16305.6208333
224,16287.4416667
225,16295.7125
226,16286.3333333
227,16260.9291667
228,16236.475
229,16213.6708333
230,16187.7166667
231,16162.3375
232,16137.0083333
233,16118.7541667
234,16097.9
235,16071.875
236,16021.125
237,15990.7833333
238,15959.3166667
239,15984.275
240,15963.15
241,15938.2
