day_of_year,reservoir_storage
1,143058.483835
2,144596.969568
3,145056.7168
4,145047.614031
5,145140.186263
6,145586.158495
7,145408.580726
8,146456.136291
9,147205.098999
10,148389.711707
11,148843.974415
12,150280.937123
13,150686.69983
14,151886.262538
15,152984.275246
16,153743.687954
17,154723.550662
18,155494.11337
19,156024.009411
20,156407.605452
21,157312.476493
22,158609.814201
23,159184.903099
24,159837.991998
25,160962.680896
26,161907.203128
27,162523.350359
28,163452.047591
29,164018.878156
30,163916.883721
31,164295.014286
32,164741.919851
33,165589.575416
34,166258.580981
35,166574.336546
36,167496.742111
37,168437.047676
38,169337.853241
39,169690.258806
40,169624.51437
41,169414.031047
42,168934.647723
43,168813.364399
44,169113.981075
45,169652.797751
46,170333.914427
47,171247.656103
48,172164.147779
49,172653.414455
50,173682.17002
51,174352.475585
52,175381.53115
53,175964.586715
54,176991.84228
55,177426.347845
56,177982.00341
57,178376.758975
58,178775.76454
59,179064.361375
60,179272.621711
61,179518.532047
62,179617.60905
63,179942.836053
64,180419.638056
65,180837.440059
66,181176.667062
67,181815.094065
68,182538.821068
69,182607.748071
70,183154.875074
71,183849.552077
72,184026.72908
73,184557.806083
74,184881.151836
75,185221.914256
76,185419.276675
77,185657.689095
78,185827.434848
79,186282.330601
80,186842.576354
81,187254.572107
82,187883.215776
83,188363.492779
84,188633.319782
85,188803.913452
86,189006.823788
87,189113.034125
88,189305.036128
89,189399.488131
90,189623.640134
91,189712.192136
92,189992.369139
93,190093.596142
94,190150.973145
95,190149.350148
96,190219.477151
97,190160.254154
98,190142.781157
99,190066.728994
100,189940.02683
101,189859.924666
102,189824.989169
103,189809.266172
104,189637.693175
105,189483.070178
106,189214.697181
107,189188.224184
108,189078.601187
109,188863.20319
110,188635.705193
111,188528.057196
112,188323.459199
113,188081.786202
114,187977.413205
115,187733.190208
116,187437.152211
117,187121.964214
118,186954.517883
119,186734.121553
120,186470.541889
121,186264.260559
122,186189.379228
123,185991.059803
124,185822.085114
125,185659.960425
126,185448.235737
127,185214.236048
128,185056.186359
129,184871.13667
130,184642.48341
131,184382.73015
132,184159.55189
133,183915.24863
134,183738.237036
135,183535.525443
136,183338.572182
137,183151.652255
138,183008.032329
139,182778.579068
140,182515.475808
141,182210.489215
142,181883.602621
143,181623.787957
144,181394.746627
145,181093.255297
146,180795.6098
147,180527.999303
148,180299.288806
149,180107.079975
150,179833.358645
151,179564.287315
152,179202.905984
153,178833.907987
154,178432.35999
155,178046.136993
156,177716.730663
157,177249.174332
158,176774.888835
159,176403.603338
160,176002.934508
161,175570.315678
162,175056.446847
163,174592.61135
164,174114.065853
165,173686.320356
166,173129.737359
167,172719.071029
168,172249.004698
169,171719.198368
170,171273.925371
171,170804.752374
172,170297.51485
173,169771.427326
174,169218.473135
175,168703.818944
176,168108.585587
177,167575.118896
178,167021.052205
179,166467.252181
180,165929.285491
181,165423.6188
182,164972.902109
183,164409.802085
184,163935.702061
185,163363.552037
186,162865.602013
187,162346.201989
188,161784.451965
189,161364.851941
190,160822.701917
191,160254.451893
192,159742.401869
193,159262.926845
194,158735.551821
195,158273.726796
196,157838.751772
197,157361.735082
198,156894.843391
199,156420.9017
200,155942.93739
201,155494.023081
