day_of_year,reservoir_storage
1,154579.968254
2,155390.047619
3,157279.714286
4,158158.904762
5,158878.0
6,159306.714286
7,159744.047619
8,160165.833333
9,160751.928571
10,161491.380952
11,162165.857143
12,162640.571429
13,162999.269841
14,163238.587302
15,163564.619048
16,163933.357143
17,164263.714286
18,164470.920635
19,164695.460317
20,164900.761905
21,165099.380952
22,165342.690476
23,165705.928571
24,166092.833333
25,166695.047619
26,167387.380952
27,167868.738095
28,168239.809524
29,168495.809524
30,168613.619048
31,168752.619048
32,168856.52381
33,169069.857143
34,169212.809524
35,169269.714286
36,169409.428571
37,169533.48254
38,169661.822222
39,169869.019048
40,170024.557143
41,170148.761905
42,170220.707937
43,170365.177778
44,170393.750794
45,170761.577778
46,171161.97619
47,171368.674603
48,171558.873016
49,171699.238095
50,171879.428571
51,172706.285714
52,173210.285714
53,173875.52381
54,174688.452381
55,175406.904762
56,175908.428571
57,176378.380952
58,176803.904762
59,177200.598413
60,177489.530159
61,177709.009524
62,177936.242857
63,178170.484127
64,178576.793651
65,179190.746032
66,179697.666667
67,179939.47619
68,180119.761905
69,180678.690476
70,181511.047619
71,182105.777778
72,182794.126984
73,183426.52381
74,184100.142857
75,184893.047619
76,185592.047619
77,186536.071429
78,187385.97619
79,188249.119048
80,189198.52381
81,190106.02381
82,191199.714286
83,192241.666667
84,193240.793651
85,194251.444444
86,195238.738095
87,196334.238095
88,197324.428571
89,198266.928571
90,199465.261905
91,200150.404762
92,201024.571429
93,201967.97619
94,203127.642857
95,204251.285714
96,205295.857143
97,206371.333333
98,207394.190476
99,208394.619048
100,209484.190476
101,210562.714286
102,211630.047619
103,212699.714286
104,213810.047619
105,214958.952381
106,216122.857143
107,217355.484127
108,218564.920635
109,219814.52381
110,221051.095238
111,222429.190476
112,223846.0
113,225241.777778
114,226596.984127
115,227919.968254
116,229306.769841
117,230861.785714
118,232549.595238
119,234429.714286
120,236518.746032
121,238735.206349
122,241009.97619
123,243207.285714
124,245386.0
125,247540.738095
126,249629.761905
127,251639.357143
128,253692.47619
129,255792.619048
130,257936.833333
131,260115.904762
132,262317.880952
133,264512.547619
134,266532.5
135,268679.380952
136,270927.571429
137,273310.380952
138,275593.97619
139,277856.02381
140,280111.571429
141,282262.857143
142,284386.333333
143,286381.142857
144,288404.460317
145,290291.301587
146,292112.309524
147,293933.416667
148,295707.214286
149,297413.559524
150,298993.904762
151,300470.293651
152,301905.063492
153,303337.269841
154,304795.896825
155,306413.809524
156,308081.333333
157,309687.357143
158,311057.0
159,312132.333333
160,312994.904762
161,313750.047619
162,314353.365079
163,314841.039683
164,315224.142857
165,315527.333333
166,315812.619048
167,316096.690476
168,316202.428571
169,316119.857143
170,316018.52381
171,315878.52381
172,315620.079365
173,315311.456349
174,314898.0
175,314398.615079
176,313946.992063
177,313595.111111
178,313219.706349
179,312738.253968
180,312166.102041
181,311492.454082
182,310757.44898
183,309907.181973
184,309016.986395
185,308132.802721
186,307135.333333
187,306054.880952
188,304978.166667
189,303814.857143
190,302713.238095
191,301619.190476
192,300441.380952
193,299158.095238
194,297854.238095
195,296475.809524
196,294990.095238
197,293473.27619
198,291958.838095
199,290559.352381
200,289089.600794
201,287523.849206
202,285906.107143
203,284248.761905
204,282572.52381
205,280898.785714
206,279195.333333
207,277398.761905
208,275524.952381
209,273636.428571
210,271711.571429
211,269717.761905
212,267708.714286
213,265828.785714
214,263794.547619
215,261730.214286
216,259676.47619
217,257642.492063
218,255501.746032
219,253279.214286
220,251111.285714
221,248960.168254
222,246781.312698
223,244552.457143
224,242323.014286
225,240219.619048
226,238087.0
227,235964.904762
228,233861.428571
229,231864.095238
230,229925.380952
231,227971.047619
232,226077.857143
233,224250.47619
234,222469.047619
235,220757.242857
236,219098.780952
237,217433.819048
238,215830.833333
239,214342.085714
240,212877.642857
241,211470.52381
242,209941.571429
243,208525.547619
244,207239.52381
245,206058.428571
246,204904.857143
247,203791.761905
248,202717.761905
249,201642.142857
250,200556.761905
251,199544.666667
252,198409.9
253,197324.085714
254,196292.771429
255,195267.949206
256,194255.02381
257,193191.419841
258,192133.696825
259,191093.481746
260,190084.695238
261,189111.555556
262,188175.606349
263,187257.432653
264,186357.290703
265,185476.124943
266,184602.554422
267,183759.282313
268,182940.176871
269,182121.571429
270,181286.611111
271,180463.34127
272,179669.190476
273,178902.619048
274,178117.214286
275,177344.285714
276,176631.952381
277,175981.380952
278,175344.857143
279,174711.52381
280,174093.904762
281,173489.142857
282,172892.666667
283,172283.5
284,171719.404762
285,171155.714286
286,170632.190476
287,170173.785714
288,169723.52381
289,169287.142857
290,168790.619048
291,168387.952381
292,167910.142857
293,167438.690476
294,166957.928571
295,166483.261905
296,166012.619048
297,165570.761905
298,165057.031746
299,164601.111111
300,164168.47619
301,161930.595238
302,159644.095238
303,159210.015873
304,158953.769841
305,158601.666667
306,158327.0
307,158006.952381
308,157963.251701
309,157884.479592
310,157825.493197
311,157770.816327
312,158497.734694
313,159385.510204
314,159665.428571
315,159764.513605
316,159813.122449
317,159803.136054
318,159837.840136
319,159887.639456
320,159864.343537
321,159865.5
322,159670.571429
323,159492.309524
324,159248.603175
325,158991.634921
326,158784.619048
327,158821.333333
328,158840.238095
329,158589.095238
330,158399.714286
331,158192.428571
332,157919.333333
333,157670.904762
334,157449.380952
335,157239.304762
336,157101.942857
337,157038.453968
338,156960.512698
339,156869.190476
340,156823.380952
341,156836.119048
342,156873.904762
343,156897.238095
344,156937.047619
345,157037.52381
346,157539.873016
347,157746.555556
348,157731.190476
349,157662.119048
350,157636.619048
351,157552.761905
352,157666.333333
353,158772.18254
354,159461.603175
355,159648.0
356,159799.5
357,159998.285714
358,160141.285714
359,160279.619048
360,160404.857143
361,160471.857143
362,160540.32381
363,160939.457143
364,161202.225397
365,161408.136508
366,134994.933333
