day_of_year,reservoir_storage
1,21421.952381
2,21138.4761905
3,21034.9047619
4,21237.9761905
5,21133.2380952
6,21228.6666667
7,21267.3809524
8,21349.047619
9,21564.7380952
10,21538.1904762
11,21435.047619
12,21420.2380952
13,21227.0
14,21336.6666667
15,21192.6666667
16,21079.952381
17,21075.7619048
18,21108.8095238
19,21314.952381
20,21181.3095238
21,21138.547619
22,21170.0952381
23,21235.1904762
24,21456.7619048
25,21415.7142857
26,21510.8095238
27,21257.7619048
28,21276.0714286
29,21240.047619
30,21032.0
31,21305.3333333
32,21560.2380952
33,21262.8571429
34,21140.8571429
35,21344.4761905
36,21399.1428571
37,21259.2761905
38,21219.3142857
39,21160.7333333
40,21281.2
41,21422.7142857
42,21384.3809524
43,21332.3333333
44,21428.7142857
45,21370.6666667
46,21239.3333333
47,21283.2380952
48,21130.6190476
49,20997.5714286
50,21367.0
51,21383.2619048
52,21317.047619
53,21116.3809524
54,20975.6190476
55,21131.1587302
56,21264.6984127
57,21220.6666667
58,21227.0952381
59,21342.2857143
60,21561.047619
61,21478.8571429
62,21348.7142857
63,21252.0
64,21222.3809524
65,21164.8095238
66,21076.7142857
67,21061.3571429
68,21135.5714286
69,21258.4285714
70,20979.6190476
71,20957.1428571
72,21056.9047619
73,21197.0
74,21438.0
75,21314.3015873
76,21633.6507937
77,21358.0
78,21450.3333333
79,21542.3571429
80,21509.2857143
81,21498.952381
82,21528.6031746
83,21455.9444444
84,21548.2698413
85,21617.9206349
86,21649.4761905
87,21506.6190476
88,21300.952381
89,21350.4444444
90,21283.5555556
91,21238.3333333
92,21196.0
93,21626.2380952
94,21499.047619
95,21570.2857143
96,21518.5952381
97,21492.5238095
98,21400.3095238
99,21363.2380952
100,21229.1904762
101,21292.5714286
102,21580.6190476
103,21983.047619
104,21863.4761905
105,21587.5238095
106,21547.2380952
107,21434.7142857
108,21605.4285714
109,21853.0952381
110,21836.1904762
111,21761.4285714
112,21554.0952381
113,21478.6666667
114,21671.3809524
115,21623.3333333
116,21494.8095238
117,21480.4285714
118,21478.047619
119,21553.4285714
120,21646.1904762
121,21543.0
122,21622.0952381
123,21720.8571429
124,21816.8571429
125,21830.1428571
126,21686.6190476
127,21705.7142857
128,21581.1269841
129,21509.3968254
130,21334.0714286
131,21168.8571429
132,21262.3333333
133,21710.7619048
134,21662.8095238
135,21407.8571429
136,21659.1428571
137,21604.6190476
138,21539.2142857
139,21380.9047619
140,21583.7857143
141,21445.5238095
142,21584.4285714
