day_of_year,reservoir_storage
1,13880.85
2,13902.3333333
3,13947.952381
4,13913.6
5,14001.9047619
6,14018.8571429
7,13979.8095238
8,13979.6190476
9,14023.8095238
10,14072.3333333
11,14024.5714286
12,13985.8571429
13,13961.6666667
14,14009.5238095
15,13977.9047619
16,13984.0
17,13939.9047619
18,13946.3333333
19,13939.8571429
20,13986.7142857
21,13964.8571429
22,13990.5714286
23,13993.3333333
24,13956.9047619
25,13992.5238095
26,13964.4761905
27,13986.4761905
28,14009.65
29,13995.047619
30,13969.8571429
31,13988.2857143
32,13995.45
33,14009.15
34,13954.6
35,13967.7619048
36,13957.4
37,13963.85
38,13897.5238095
39,13905.5
40,13976.45
41,14000.2
42,13873.0
43,13942.25
44,13989.5
45,13915.2
46,13964.45
47,13979.55
48,13991.4
49,13975.65
50,13988.85
51,14029.4736842
52,13978.7894737
53,13980.5789474
54,13995.65
55,83067.15
56,79580.5714286
57,13969.75
58,14029.65
59,13987.05
60,14088.5263158
61,13981.7
62,13940.0
63,14001.3333333
64,13948.75
65,13980.35
66,13951.3
67,14000.8421053
68,14003.5
69,14025.7
70,13958.1428571
71,13955.047619
72,13962.85
73,14038.1
74,14063.35
75,83496.75
76,83609.9
77,13962.3809524
78,13946.2380952
79,13953.6
80,13970.95
81,13970.8571429
82,78723.4285714
83,82141.05
84,13968.25
85,13985.9
86,13924.5238095
87,13920.7
88,13951.75
89,84738.9473684
90,81332.65
91,77972.8095238
92,81463.75
93,14017.85
94,14028.05
95,13987.3684211
96,82279.9
97,13974.2
98,13950.047619
99,13974.15
100,13918.6190476
101,13935.5
102,14040.4
103,13974.75
104,14021.45
105,14060.2857143
106,14029.8
107,14067.05
108,14068.05
109,13958.45
110,14021.3
111,14011.047619
112,13931.7619048
113,14012.45
114,13970.7
115,14018.0
116,13943.45
117,14013.8
118,14091.3
119,14034.4761905
120,14031.8
121,14014.6
122,14027.3
123,14118.25
124,14090.35
125,14074.65
126,14117.7619048
127,14091.1904762
128,14094.7368421
129,14122.6315789
130,14116.9473684
131,14074.45
132,14053.7
133,14073.2380952
134,14053.5
135,14017.35
136,14003.4
137,14044.75
138,14043.7
139,14067.65
140,14032.6190476
141,14089.3
142,14109.1
143,14073.5
144,14071.5263158
145,13933.75
146,13909.2105263
147,13949.1904762
148,13997.9
149,14072.2631579
150,13982.4285714
151,13892.6
152,13970.3157895
153,13868.6
154,13988.3333333
155,13977.35
156,14003.5
157,14138.05
158,14049.2380952
159,13948.1
160,14103.5
161,14105.9047619
162,14133.0
163,14085.15
164,13999.35
165,13994.6
166,13990.95
167,13996.85
168,13991.5714286
169,14010.4285714
170,13956.5714286
171,13915.6
172,13955.05
173,13874.85
174,13863.05
175,14031.9
176,13984.6190476
177,13918.9047619
178,13989.6190476
179,14079.1428571
180,13997.5238095
181,13961.8
182,14047.5
183,14019.5714286
184,13974.7894737
185,13992.05
186,14041.9047619
187,14057.0
188,14019.5714286
189,14070.1904762
190,14035.05
191,14036.3333333
192,13993.8095238
193,13966.1428571
194,13899.5714286
195,13898.952381
196,13889.1904762
197,13879.1904762
198,13938.8095238
199,14100.8
200,14065.8095238
201,14047.0
202,14079.1
203,13997.5238095
204,13974.047619
205,13959.6666667
206,13991.8
207,14070.5238095
208,14047.0952381
209,14029.5
210,14070.7142857
211,14064.3809524
212,14082.8571429
213,14061.4285714
214,14035.7142857
215,14013.9047619
216,14038.4285714
217,14038.047619
218,14055.9
219,14063.1428571
220,14110.6190476
221,14089.1428571
222,14064.7619048
223,14023.3
224,13980.4
225,13986.1904762
226,13988.6190476
227,14032.4761905
228,13980.9
229,14003.9047619
230,14029.7619048
231,14060.9047619
232,14140.5238095
233,14026.1904762
234,14022.4
235,14043.8571429
236,14092.8571429
237,14095.8571429
238,14056.25
239,14005.7619048
