day_of_year,reservoir_storage
1,40948.5294118
2,40536.8235294
3,41063.1111111
4,41125.2222222
5,40862.8235294
6,40888.4705882
7,40855.0588235
8,41029.5
9,40887.8888889
10,40852.1666667
11,40741.5
12,40376.8125
13,40533.7222222
14,40508.7222222
15,40448.1666667
16,40469.8333333
17,40510.2222222
18,40543.7777778
19,40400.1666667
20,40248.1666667
21,39972.7222222
22,39765.3333333
23,39080.5882353
24,39789.4705882
25,39723.4705882
26,39042.9375
27,38889.8125
28,39277.9411765
29,38695.3888889
30,38414.3529412
31,38236.7777778
32,37494.3684211
33,37463.7368421
34,37346.7894737
35,37319.0
36,37287.3157895
37,37978.4117647
38,37435.6111111
39,37285.8888889
40,37132.0
41,36945.1666667
42,36695.9444444
43,36420.8333333
44,36112.3888889
45,36047.7222222
46,34451.4117647
47,35238.5789474
48,35684.8888889
49,33952.7058824
50,33688.4117647
51,33416.7647059
52,33208.0588235
53,33058.8823529
54,32946.375
55,32643.25
56,32246.25
57,31962.2941176
58,31813.1176471
59,31545.0
60,31376.7647059
61,32976.7777778
62,32863.3333333
63,32738.8333333
64,32584.2777778
65,32420.8888889
66,33885.3888889
67,31940.0555556
68,31865.3333333
69,31816.3333333
70,31633.0588235
71,31680.3333333
72,31589.7222222
73,31540.6666667
74,31586.5
75,31610.2777778
76,31639.1111111
77,31685.8888889
78,31815.5
79,32003.0
80,32109.0555556
81,32273.3333333
82,32550.1666667
83,32918.3888889
84,33234.7777778
85,33521.2777778
86,34801.2352941
87,30175.4705882
88,33808.3888889
89,33924.6111111
90,33971.5555556
91,32464.2352941
92,33553.9411765
93,34267.0
94,34368.5555556
95,34493.0
96,34597.3888889
97,34822.8888889
98,35014.0
99,35120.7777778
100,35256.6666667
101,35409.3888889
102,35518.6111111
103,35775.3333333
104,52281.0
105,36370.3888889
106,36451.8888889
107,36760.1666667
108,36958.0555556
109,37128.9444444
110,37644.9444444
111,37934.1111111
112,36756.5294118
113,37121.4117647
114,38849.5555556
115,37932.8823529
116,39786.9444444
117,40432.0
118,41764.6470588
119,42340.7058824
120,42898.7647059
121,43166.0
122,44019.8333333
123,44764.0
124,45429.2222222
125,46180.5
126,46909.0555556
127,47620.7777778
128,48389.8888889
129,49299.9444444
130,50123.4444444
131,50765.3888889
132,49055.6666667
133,51855.0
134,52414.5
135,53070.5555556
136,54193.4117647
137,54718.1111111
138,55519.5
139,57246.2941176
140,58037.0
141,57696.8888889
142,58324.3333333
143,58956.3333333
144,59503.0555556
145,60168.1111111
146,60847.0555556
147,61432.7777778
148,61995.6666667
149,62560.8333333
150,63085.9444444
151,63715.7777778
152,64299.6666667
153,64990.5
154,65647.5
155,66328.6666667
156,66902.2222222
157,67479.2222222
158,67848.8333333
159,68408.8888889
160,68721.8333333
161,68916.8333333
162,69097.3888889
163,69288.1666667
164,69535.6666667
165,69553.7058824
166,70199.3333333
167,70378.3888889
168,70481.0555556
169,70696.2222222
170,70562.2941176
171,70661.9411765
172,71014.3888889
173,71121.2222222
174,71018.4705882
175,71226.5294118
176,71572.1111111
177,71712.5555556
178,71349.9375
179,71603.3529412
180,71512.0588235
181,71365.4375
182,71510.4117647
183,70592.2105263
184,70514.6315789
185,70465.3684211
186,70514.1578947
187,70521.7368421
188,70489.4736842
189,70239.7222222
190,69809.5789474
191,69869.2
192,69667.7
193,69173.6315789
194,68876.8947368
195,68704.8421053
196,68564.0526316
197,68392.5789474
198,68066.8947368
199,68209.0
200,67415.4705882
201,67029.2352941
202,66382.25
203,67358.4
204,67332.375
205,66978.1875
206,66376.0
207,66281.75
208,65924.8125
209,64024.8125
210,63686.25
211,63323.5
212,62917.6875
213,63554.6666667
214,63256.6666667
215,62908.3888889
216,63857.3529412
217,62228.9444444
218,61766.6111111
219,61449.1111111
220,61143.8888889
221,62150.5882353
222,61799.9411765
223,61467.0
224,59503.0
225,59246.0
226,58818.7777778
227,58475.4444444
228,58128.9411765
229,57751.1764706
230,58875.1875
231,56959.5882353
232,56662.1176471
233,56347.8235294
234,56041.5294118
235,55746.8823529
236,55346.2222222
237,54958.9444444
238,55938.1176471
239,55527.3125
240,55128.1875
241,54657.9375
242,54415.1764706
243,54084.5294118
244,53689.0588235
245,53295.6470588
246,52899.8235294
247,52615.5294118
248,52313.4705882
249,52060.9411765
250,51716.5294118
