day_of_year,reservoir_storage
1,257471.0
2,261467.52381
3,263192.539683
4,264426.269841
5,265972.785714
6,267313.52381
7,268656.539683
8,270233.412698
9,271590.52381
10,272709.031746
11,274273.730159
12,275664.547619
13,277044.761905
14,278868.884921
15,280784.055556
16,282598.483333
17,283934.228571
18,285158.67619
19,286650.361905
20,288045.714286
21,289729.968254
22,291316.936508
23,293400.190476
24,295574.809524
25,298153.285714
26,301521.47619
27,303481.47619
28,305320.944444
29,306982.031746
30,308506.428571
31,309791.460317
32,310882.992063
33,311828.47619
34,313457.02381
35,314962.865079
36,316231.619048
37,317173.920635
38,318105.031746
39,318921.079365
40,319578.960317
41,320162.309524
42,320954.660714
43,321638.892857
44,322505.625
45,323395.5
46,324215.470238
47,324870.821429
48,325350.505952
49,325317.103175
50,325496.433107
51,326459.286848
52,327458.108844
53,328269.367347
54,329448.721088
55,330860.979592
56,332169.126984
57,333643.460317
58,335327.460317
59,336731.904762
60,338484.65873
61,340018.936508
62,341657.285714
63,343590.269841
64,345680.478458
65,347629.877551
66,349560.863946
67,351433.231293
68,353265.598639
69,355422.823129
70,359059.412698
71,361469.492063
72,363683.457143
73,365322.834921
74,366398.974603
75,366765.92381
76,368154.761905
77,369329.095238
78,371050.52381
79,372469.142857
80,373867.531746
81,375904.349206
82,378362.47619
83,380755.619048
84,383228.714286
85,385686.634921
86,387857.555556
87,390167.209524
88,391821.609524
89,393387.104762
90,394958.171429
91,396148.571429
92,397457.160998
93,399050.131519
94,400696.562358
95,401786.937642
96,401888.408163
97,402259.394558
98,402213.369048
99,402179.690476
100,401970.25
101,401556.149206
102,401419.155556
103,401164.352381
104,401082.533333
105,400876.666667
106,400667.119048
107,400561.904762
108,400592.214286
109,400663.539683
110,400704.055556
111,401073.904762
112,401238.857143
113,401081.306122
114,400310.517007
115,399792.204082
116,399462.472109
117,399150.121088
118,399084.293878
119,398895.085714
120,399342.564626
121,400351.795918
122,401965.146259
123,402841.687075
124,403387.204082
125,404012.340136
126,404451.047619
127,404917.380952
128,405142.31746
129,405717.190476
130,406903.730159
131,408109.174603
132,409306.68254
133,410736.571429
134,410225.582766
135,413023.594104
136,414839.510204
137,417840.965986
138,419129.199546
139,420364.575964
140,421467.761905
141,422250.650794
142,423335.920635
143,423822.630952
144,424025.992063
145,424407.710317
146,425103.547619
147,426208.611111
148,426846.603175
149,427796.492063
150,428730.93254
151,429822.65873
152,431525.690476
153,432998.02381
154,434539.107143
155,436212.079365
156,438006.730159
157,439609.571429
158,440829.952381
159,441499.904762
160,442370.333333
161,443006.047619
162,444472.190476
163,443840.071429
164,443973.678571
165,444369.642857
166,445003.071429
167,445748.0
168,445624.369048
169,445191.809524
170,444644.97619
171,443911.492063
172,443558.793651
173,443245.666667
174,442965.095238
175,442538.095238
176,441802.174603
177,441202.206349
178,440596.309524
179,439851.309524
180,438742.095238
181,437620.984127
182,436162.015873
183,434871.47619
184,433243.515873
185,431433.365079
186,429235.380952
187,427017.797619
188,424467.928571
189,421600.369048
