day_of_year,reservoir_storage
1,7973.52380952
2,7957.57142857
3,7886.0
4,7855.47619048
5,7854.85714286
6,7853.57142857
7,7825.69047619
8,7840.9047619
9,7867.71428571
10,7870.5
11,7906.61904762
12,7851.66666667
13,7903.28571429
14,7891.0
15,7830.52380952
16,7802.33333333
17,7739.95238095
18,7855.88095238
19,7740.03174603
20,7684.63492063
21,7710.95238095
22,7762.38095238
23,7786.0952381
24,7793.6031746
25,7782.87301587
26,7782.61904762
27,7809.38095238
28,7870.33333333
29,7845.28571429
30,7815.42857143
31,7818.57142857
32,7822.61904762
33,7836.9047619
34,7835.0
35,7864.23809524
36,7795.52380952
37,7748.97619048
38,7824.61904762
39,7877.47619048
40,7847.80952381
41,7846.96428571
42,7941.83333333
43,7838.22619048
44,7774.0
45,7736.66666667
46,7708.95238095
47,7709.33333333
48,7790.19047619
49,7761.80952381
50,7742.0952381
51,7819.38095238
52,7761.42857143
53,7688.9047619
54,7720.85714286
55,7723.45238095
56,7729.23809524
57,7743.42857143
58,7873.80952381
59,7863.71428571
60,7920.66190476
61,8014.60952381
62,8011.15238095
63,7920.40952381
64,7938.52380952
65,7885.42857143
66,7854.83333333
67,7865.88095238
68,7828.23809524
69,7792.5
70,7825.52380952
71,7766.76190476
72,7848.66666667
73,7846.33333333
74,7887.19047619
75,7820.42857143
76,7781.04761905
77,7707.33333333
78,7706.95238095
79,7775.52380952
80,7835.73809524
81,7855.14285714
82,7771.6031746
83,7882.37301587
84,7855.33333333
85,7782.16666667
86,7736.19047619
87,7757.42857143
88,7746.71428571
89,7712.06349206
90,7781.22222222
91,7808.85714286
92,7914.33333333
93,7821.82142857
94,7827.45238095
95,7763.98809524
96,7780.38095238
97,7843.64285714
98,7864.23809524
99,7812.14285714
100,7864.95238095
101,7882.38095238
102,7905.35714286
103,7914.33333333
104,7902.0
105,7887.9047619
106,7858.61904762
107,7880.47619048
108,7888.95238095
109,7871.52380952
110,7953.85714286
111,7928.80952381
112,7803.19047619
113,7822.04761905
114,7898.52380952
115,7925.95238095
116,7905.23809524
117,7955.52380952
118,7858.95238095
119,7891.33333333
120,7910.0
121,7939.33333333
122,7999.38095238
123,8013.47619048
124,7968.71428571
125,8019.80952381
126,8001.0
127,7965.0952381
128,7949.66666667
129,7925.38095238
130,7914.4047619
131,7860.0952381
132,7773.85714286
133,7823.47619048
134,7825.85714286
135,7848.85714286
136,7988.71428571
137,7916.0
138,7904.0952381
139,7947.66666667
140,7960.52380952
141,7950.33333333
142,8067.47619048
143,7994.0
144,7938.28571429
145,7884.19047619
146,7867.04761905
147,7781.66666667
148,7854.0952381
149,7905.21428571
150,7857.0952381
151,7864.47619048
152,7840.33333333
153,7863.19047619
154,7811.14285714
155,7870.9047619
156,7849.0952381
157,7847.49206349
158,7819.81746032
159,7901.71428571
160,7970.80952381
161,8007.95238095
162,7993.9047619
163,8020.76190476
164,8035.26190476
165,8072.80952381
166,8122.53968254
167,8110.22222222
168,8081.28571429
169,8041.38095238
170,8033.0
171,8058.85714286
172,7993.61904762
173,7905.95238095
174,7996.23809524
175,7935.47619048
176,7910.42857143
177,8006.66666667
178,8063.71428571
179,7984.04761905
180,8086.85714286
181,8056.9047619
182,8073.52380952
183,8025.38095238
184,8015.0
185,7994.66666667
186,8006.95238095
187,8045.28571429
188,8085.14285714
189,8127.95238095
190,8121.45238095
191,8120.61904762
192,8115.66666667
193,8200.28571429
194,8200.42857143
195,8202.76190476
196,8239.97619048
197,8257.71428571
198,8211.0
199,8217.64285714
200,8159.71428571
201,8153.04761905
202,8068.42857143
203,8087.57142857
204,8235.23809524
205,8241.52380952
206,8283.9047619
207,8182.47619048
208,8134.92063492
209,8172.22222222
210,8161.95238095
211,8203.19047619
212,8155.85714286
213,8177.80952381
214,8165.28571429
215,8106.04761905
216,8074.61904762
217,8094.04761905
218,8150.23809524
219,8123.80952381
220,8125.42857143
221,8145.57142857
222,8120.38095238
223,8112.92857143
224,8089.30952381
225,8095.57142857
226,8009.52380952
227,8043.33333333
228,8143.52380952
229,8191.61904762
230,8198.04761905
231,8179.19047619
232,8177.71428571
233,8159.0952381
234,8131.95238095
235,8120.76190476
236,8131.71428571
237,8103.85714286
238,8091.14285714
239,8148.76190476
240,8141.23809524
241,8103.92857143
242,8103.52380952
243,8065.47619048
244,8060.47619048
245,8046.0
246,8043.57142857
247,8040.47619048
248,7962.57142857
249,7988.28571429
250,7996.14285714
251,8034.57142857
252,8089.97619048
253,8078.04761905
254,7985.0952381
255,7961.85714286
256,7976.52380952
257,7982.23809524
258,7999.16666667
259,8012.0
260,8044.23809524
261,8027.52380952
262,8033.52380952
263,8034.23809524
264,8028.76190476
265,8008.42857143
266,8025.71428571
267,7994.14285714
268,7955.04761905
269,7920.0
270,7849.04761905
271,7952.76190476
272,7961.47619048
273,7945.0
274,7990.42857143
275,8016.28571429
276,8017.19047619
277,7971.38095238
278,7989.71428571
279,7991.52380952
280,8052.95238095
281,8053.14285714
282,8015.19047619
283,8004.85714286
284,8005.0
285,7997.0952381
286,7938.23809524
287,7895.66666667
288,7975.14285714
289,8032.52380952
290,8064.14285714
291,8098.33333333
292,8046.47619048
293,8028.23809524
294,8032.35714286
295,8012.14285714
296,7967.42857143
297,8043.19047619
298,8022.38095238
299,8011.04761905
300,8013.38095238
301,8043.0
302,8034.78571429
303,7944.76190476
304,7873.14285714
305,7858.61904762
306,7885.38095238
307,7922.57142857
308,7915.28571429
309,7915.04761905
310,7894.23809524
311,7965.85714286
312,7969.14285714
313,7961.01190476
314,7890.64285714
315,7944.53571429
316,7976.76190476
317,8013.14285714
318,8052.61904762
319,8058.95238095
320,8014.85714286
321,7987.66666667
322,8009.47619048
323,7990.88095238
324,7977.0
325,7964.38095238
326,7938.85714286
327,7896.19047619
328,7917.33333333
329,7887.4952381
330,7910.41904762
331,7960.05714286
332,7989.98095238
333,8020.42857143
334,7956.33333333
335,7955.52380952
336,7984.47619048
337,7915.0
338,7906.86904762
339,7949.30952381
340,8025.1547619
341,8065.14285714
342,8010.04761905
343,7988.3015873
344,7990.79365079
345,7978.28571429
346,7980.0952381
347,7920.47619048
348,7887.42857143
349,7914.9047619
350,7913.19047619
351,7904.9047619
352,7950.80952381
353,7950.92857143
354,7917.61904762
355,8017.71428571
356,8039.28571429
357,8029.61904762
358,7994.76190476
359,7964.61904762
360,7897.80952381
361,7843.19047619
362,7893.42857143
363,7958.23809524
364,7912.28571429
365,7934.95238095
366,7649.8
