day_of_year,reservoir_storage
1,112809.157895
2,111213.380952
3,110203.15
4,115435.736842
5,110406.1
6,111931.095238
7,111514.75
8,113143.333333
9,111735.0
10,112158.238095
11,112718.761905
12,109520.105263
13,114206.47619
14,111880.7
15,114982.45
16,120823.578947
17,123541.368421
18,117047.4
19,121294.631579
20,121194.4
21,121759.380952
22,119886.6
23,127600.105263
24,124181.571429
25,126082.333333
26,127432.428571
27,135311.789474
28,129208.904762
29,129126.47619
30,126190.3
31,146992.933333
32,128686.52381
33,128523.380952
34,130664.428571
35,131132.952381
36,131301.857143
37,135984.277778
38,136441.888889
39,138796.3
40,139504.8
41,130761.7
42,134245.947368
43,134610.105263
44,141771.5
45,141460.894737
46,141452.6
47,146491.473684
48,141883.85
49,137816.052632
50,140082.526316
51,137746.0
52,144127.947368
53,139569.380952
54,138551.0
55,146965.4
56,141021.238095
57,138895.15
58,142638.571429
59,155810.722222
60,162790.117647
61,148505.631579
62,149548.684211
63,146359.142857
64,153653.9
65,149939.0
66,149748.3
67,151099.6
68,150699.904762
69,156301.210526
70,150417.5
71,160646.052632
72,161314.105263
73,153421.75
74,156011.952381
75,156266.857143
76,156597.238095
77,154913.15
78,152819.526316
79,155717.2
80,158452.857143
81,160465.578947
82,161306.238095
83,162093.666667
84,163002.8
85,163834.4
86,169530.105263
87,165890.619048
88,166177.761905
89,166398.857143
90,178122.5
91,171388.736842
92,167504.47619
93,167756.95
94,164413.052632
95,169574.111111
96,176127.777778
97,169760.761905
98,169088.157895
99,165399.25
100,168980.842105
101,168860.619048
102,169008.666667
103,169333.809524
104,169659.333333
105,166274.55
106,170025.714286
107,175140.65
108,164090.473684
109,165878.35
110,169150.75
111,170903.095238
112,171039.095238
113,167627.55
114,167661.35
115,173427.842105
116,167703.25
117,166364.35
118,176966.7
119,169473.0
120,178450.166667
121,174264.6
122,171311.263158
123,169153.5
124,171684.47619
125,171643.571429
126,169131.15
127,165987.894737
128,171275.380952
129,168794.0
130,171133.142857
131,169455.25
132,170873.095238
133,170818.809524
134,167308.6
135,170573.761905
136,170442.142857
137,173834.473684
138,166520.631579
139,170131.142857
140,168082.65
141,169814.714286
142,169649.0
143,169460.952381
144,169285.0
145,169097.380952
146,168892.142857
147,164915.157895
148,166740.05
149,166451.25
150,157778.736842
151,169680.789474
152,170212.25
153,161239.684211
154,157964.736842
155,165461.684211
156,164215.35
157,163895.1
158,165426.761905
159,165103.047619
160,167865.2
161,164407.47619
162,162216.05
163,161859.3
164,156915.2
165,156551.65
166,160776.05
167,167924.25
168,155360.4
169,159728.25
170,161116.238095
171,158856.75
172,153795.65
173,159507.157895
174,159109.473684
175,164518.555556
176,149365.894737
177,156433.4
178,151376.15
179,157428.52381
180,150574.15
181,153274.947368
182,165128.0
183,164857.0
184,148800.65
185,154781.095238
186,155566.944444
187,153885.0
188,153268.9
189,152992.714286
190,152518.238095
191,157386.65
192,151565.47619
193,151092.952381
194,148424.45
195,143834.2
196,155418.15
197,143031.789474
198,144660.2
199,144197.4
200,149068.789474
201,152577.0
202,145745.473684
203,137926.315789
204,139664.8
205,139221.5
206,145034.904762
207,142502.45
208,144122.52381
209,145105.666667
210,146810.611111
211,136556.85
212,148685.647059
213,146839.75
214,134432.722222
215,140888.857143
216,138454.6
217,143467.05
218,142988.2
219,146464.944444
220,136864.315789
221,139835.315789
222,132067.941176
223,130831.421053
224,138047.666667
225,129425.421053
226,133809.35
227,133290.4
228,130693.4
229,139542.3
230,125339.388889
231,120254.611111
232,128897.95
233,132098.684211
234,128022.7
235,127586.45
236,129212.65
237,126711.0
238,131134.947368
239,129735.809524
240,127490.25
241,129113.45
242,126615.2
243,124865.055556
244,127622.714286
245,132410.736842
246,126799.857143
247,124749.55
248,122154.05
249,125557.47619
250,125148.714286
251,120944.05
252,127942.666667
253,119184.5
254,126953.947368
255,118445.944444
256,137660.277778
257,127465.4
258,127099.9
259,125078.526316
260,123976.764706
261,126067.3
262,125753.9
263,125406.7
264,125093.5
265,119211.777778
266,110022.263158
267,115613.05
268,119008.047619
269,118945.55
270,118675.75
271,123076.789474
272,114193.0
273,116601.4
274,121761.8
275,117094.666667
276,111667.45
277,121421.55
278,114513.35
279,116130.333333
280,115940.857143
281,115929.947368
282,119405.05
283,120204.05
284,115271.714286
285,115118.52381
286,115000.380952
287,114867.380952
288,109629.35
289,112824.35
290,114468.666667
291,114335.857143
292,112424.5
293,114014.952381
294,106556.941176
295,108701.6
296,113503.380952
297,107675.368421
298,113178.142857
299,113014.952381
300,112853.333333
301,105837.631579
302,111699.8
303,114418.555556
304,121896.222222
305,114638.105263
306,121392.473684
307,107019.7
308,111408.047619
309,105428.368421
310,106936.333333
311,110811.952381
312,110611.285714
313,104550.421053
314,105853.6
315,106355.5
316,105606.05
317,109779.0
318,103092.684211
319,109464.857143
320,108491.9
321,103102.631579
322,106996.75
323,104903.9
324,104686.1
325,104479.1
326,108179.142857
327,106197.25
328,103796.315789
329,108070.52381
330,104134.45
331,108356.578947
332,107929.190476
333,107878.952381
334,116964.388889
335,112408.65
336,112413.15
337,112062.1
338,110121.421053
339,105623.15
340,107778.571429
341,116466.894737
342,107891.619048
343,111834.15
344,105909.0
345,106340.25
346,102560.684211
347,109024.952381
348,109153.380952
349,109937.894737
350,101365.684211
351,109214.666667
352,109529.619048
353,109729.904762
354,115007.315789
355,108149.315789
356,101860.625
357,110740.52381
358,111454.047619
359,111491.904762
360,109940.8
361,112061.85
362,116623.15
363,122019.315789
364,116179.631579
365,120601.25
366,93608.5
