day_of_year,reservoir_storage
1,1314520.4
2,1323015.1
3,1326574.6
4,1328011.55
5,1329457.0
6,1330323.75
7,1331485.65
8,1332398.75
9,1333362.35
10,1334518.5
11,1335700.85
12,1336769.05
13,1337892.0
14,1339462.05
15,1341098.8
16,1341964.25
17,1342642.15
18,1343746.9
19,1344940.9
20,1346403.6
21,1347868.15
22,1349374.95
23,1351080.65
24,1352977.75
25,1355645.2
26,1358433.5
27,1360887.3
28,1361629.5
29,1362180.95
30,1362680.15
31,1363355.2
32,1364270.5
33,1365177.15
34,1366755.05
35,1368169.65
36,1369104.05
37,1369925.35
38,1371889.25
39,1373696.0
40,1375634.1
41,1376685.95
42,1377771.8
43,1378748.1
44,1379658.0
45,1381759.15
46,1383229.55
47,1384253.35
48,1385479.05
49,1386300.2
50,1387698.45
51,1388667.3
52,1390106.25
53,1391694.0
54,1392553.15
55,1393686.9
56,1394774.85
57,1395802.4
58,1397126.85
59,1398571.9
60,1399669.25
61,1400507.9
62,1401743.85
63,1403108.3
64,1404195.55
65,1405843.55
66,1407312.2
67,1408443.9
68,1409523.65
69,1410776.6
70,1413528.25
71,1416017.6
72,1417392.15
73,1419169.05
74,1420618.6
75,1421740.95
76,1422711.75
77,1424092.1
78,1424952.5
79,1425351.8
80,1426295.95
81,1427266.6
82,1429006.7
83,1431277.95
84,1433657.65
85,1435562.4
86,1436847.5
87,1438294.35
88,1439327.0
89,1440318.55
90,1441217.5
91,1442691.4
92,1443094.8
93,1444348.6
94,1446839.4
95,1448337.35
96,1448934.75
97,1449137.4
98,1449775.75
99,1450189.45
100,1450379.0
101,1450504.85
102,1450602.85
103,1450738.2
104,1450905.45
105,1451060.15
106,1450775.55
107,1450690.25
108,1450359.75
109,1449835.5
110,1449382.25
111,1448664.7
112,1447973.05
113,1447447.1
114,1446554.25
115,1445867.8
116,1445088.85
117,1444675.3
118,1444121.8
119,1444287.95
120,1444379.7
121,1445086.3
122,1445723.15
123,1445832.95
124,1445481.05
125,1445225.95
126,1445297.95
127,1445147.5
128,1445017.1
129,1445531.15
130,1445553.4
131,1445613.9
132,1445514.35
133,1445329.05
134,1445068.2
135,1445123.35
136,1445926.05
137,1448319.5
138,1449283.75
139,1450365.25
140,1451241.5
141,1451911.7
142,1452855.55
143,1453377.85
144,1453983.15
145,1454953.5
146,1455877.1
147,1456603.45
148,1457312.85
149,1457994.4
150,1458895.05
151,1459474.45
152,1460487.45
153,1461514.7
154,1462901.85
155,1464202.3
156,1465414.85
157,1466605.15
158,1467633.75
159,1468722.7
160,1469276.05
161,1469648.45
162,1470139.9
163,1470924.7
164,1470950.75
165,1471629.95
166,1472095.15
167,1472239.65
168,1472711.1
169,1472903.5
170,1472562.45
171,1472382.6
172,1471813.4
173,1470407.45
174,1470988.05
175,1470208.75
176,1469519.2
177,1469149.15
178,1469101.45
179,1468193.6
180,1467312.65
181,1466692.45
182,1465598.0
183,1464544.7
184,1463280.25
185,1461470.25
186,1460040.05
187,1458713.275
188,1457627.45
189,1456602.1
190,1455175.85
191,1453775.25
192,1452321.45
193,1450456.1
194,1448616.3
195,1446674.7
196,1444840.7
197,1442857.5
198,1440683.25
199,1438787.025
200,1436588.95
201,1434257.6
202,1431867.9
203,1429410.75
204,1427474.2
205,1425244.55
206,1422726.6
207,1420440.95
208,1417762.45
209,1415230.85
210,1412731.3
211,1410557.3
212,1408143.2
213,1405543.85
214,1403240.15
215,1400910.35
216,1398263.7
217,1395898.95
218,1393357.4
219,1390916.05
220,1388638.95
221,1386134.3
222,1383582.55
223,1380951.15
224,1378391.95
225,1375912.7
226,1373374.25
227,1370609.95
228,1368097.65
229,1365644.5
230,1363116.05
231,1360693.6
232,1358163.45
233,1355863.65
234,1353482.4
235,1351077.9
236,1348996.4
237,1346970.35
238,1345014.45
239,1343010.05
240,1341031.85
241,1338895.05
242,1336966.5
243,1335129.7
244,1333503.25
245,1331171.85
246,1329259.45
247,1327214.6
248,1325492.1
249,1323952.75
250,1322215.75
251,1320699.7
252,1319231.55
253,1317007.45
254,1315781.4
255,1314107.75
256,1312861.35
257,1311727.75
258,1310145.25
259,1308984.85
260,1307645.5
261,1306611.05
262,1305492.75
263,1304540.2
264,1303460.5
265,1302510.2
266,1301473.35
267,1300226.95
268,1299236.45
269,1298308.2
270,1297235.9
271,1296363.5
272,1295398.8
273,1294850.3
274,1294388.25
275,1293899.6
276,1293645.7
277,1293321.3
278,1293343.7
279,1293214.45
280,1292960.3
281,1292507.0
282,1291722.2
283,1291224.85
284,1290776.7
285,1290110.6
286,1289197.75
287,1288892.3
288,1288747.6
289,1288605.75
290,1288609.7
291,1288250.55
292,1287950.15
293,1287561.0
294,1287171.0
295,1286958.5
296,1286871.05
297,1286960.45
298,1286915.65
299,1287084.15
300,1287418.95
301,1287751.35
302,1287949.3
303,1288382.2
304,1288856.45
305,1289591.05
306,1289668.95
307,1289382.25
308,1290293.25
309,1290222.25
310,1290214.1
311,1290696.8
312,1290801.0
313,1291060.4625
314,1291346.125
315,1291746.7875
316,1291864.6
317,1292076.1
318,1292309.8
319,1292500.2
320,1292537.2
321,1292786.95
322,1293295.95
323,1293426.2
324,1293968.75
325,1294233.05
326,1294692.35
327,1295068.1
328,1295705.6
329,1296291.7
330,1296967.8
331,1297264.2
332,1298219.55
333,1299168.85
334,1299848.9
335,1300587.65
336,1301540.0
337,1302331.5
338,1302702.9
339,1303406.65
340,1304550.25
341,1305029.65
342,1305848.6
343,1306783.5
344,1307839.0
345,1309253.5
346,1310553.5
347,1312354.5
348,1313386.45
349,1314378.65
350,1315429.4
351,1315990.2
352,1316845.75
353,1317442.4
354,1318335.3
355,1319093.7
356,1320381.4
357,1321823.85
358,1322289.4
359,1322955.95
360,1323675.3
361,1324101.85
362,1324649.2
363,1325510.85
364,1326065.65
365,1329400.4
366,1272652.0
