day_of_year,reservoir_storage
1,1931474.2381
2,1936418.04762
3,1933613.33333
4,1928673.38095
5,1924211.95238
6,1922120.42857
7,1922395.90476
8,1923548.71429
9,1927498.19048
10,1934619.38095
11,1941142.90476
12,1948541.19048
13,1961447.66667
14,1975119.19048
15,1984567.14286
16,1991731.71429
17,1998367.47619
18,2004645.33333
19,2010735.52381
20,2019168.2381
21,2026570.0
22,2034690.04762
23,2042151.95238
24,2047063.14286
25,2054790.38095
26,2064035.66667
27,2071252.14286
28,2077321.61905
29,2081025.95238
30,2084265.42857
31,2085553.95238
32,2088855.66667
33,2092331.95238
34,2097539.04762
35,2103125.66667
36,2107096.0
37,2109814.09524
38,2113297.14286
39,2115088.09524
40,2121013.90476
41,2126452.90476
42,2130970.38095
43,2133799.04762
44,2137185.0
45,2144930.28571
46,2149623.90476
47,2153983.47619
48,2162070.66667
49,2171281.47619
50,2152676.75
51,2188351.66667
52,2196463.09524
53,2201381.80952
54,2208790.14286
55,2215059.66667
56,2221207.19048
57,2225780.2381
58,2233082.14286
59,2239425.19048
60,2242707.33333
61,2249196.28571
62,2255866.52381
63,2265182.61905
64,2271577.04762
65,2278174.28571
66,2283359.47619
67,2286606.85714
68,2296551.85714
69,2307456.38095
70,2316947.42857
71,2320958.42857
72,2325255.09524
73,2330687.52381
74,2338427.85714
75,2345070.95238
76,2354599.95238
77,2364280.33333
78,2349063.0
79,2380869.61905
80,2389119.14286
81,2399262.52381
82,2409463.2381
83,2420297.90476
84,2430707.57143
85,2437319.95238
86,2421604.0
87,2450155.90476
88,2457317.42857
89,2465509.47619
90,2474282.28571
91,2482861.61905
92,2490035.71429
93,2499480.33333
94,2508399.33333
95,2515964.04762
96,2522268.04762
97,2529514.61905
98,2536824.2381
99,2541506.95238
100,2545867.95238
101,2549366.95238
102,2554146.85714
103,2559422.57143
104,2565095.04762
105,2571121.71429
106,2576778.0
107,2582825.47619
108,2589322.61905
109,2595492.71429
110,2601273.19048
111,2607036.85714
112,2613546.95238
113,2619865.71429
114,2628256.90476
115,2636571.2381
116,2644058.42857
117,2650742.85714
118,2659242.57143
119,2670291.04762
120,2679382.42857
121,2689973.28571
122,2697165.28571
123,2702933.0
124,2706782.57143
125,2711004.33333
126,2716699.0
127,2719760.2381
128,2725586.7619
129,2732171.52381
130,2738367.57143
131,2743412.52381
132,2747029.09524
133,2750126.19048
134,2751980.7619
135,2754395.95238
136,2757752.52381
137,2761542.66667
138,2769693.14286
139,2779295.57143
140,2784490.0
141,2787668.85714
142,2792456.28571
143,2797295.28571
144,2799888.19048
145,2802154.14286
146,2805183.42857
147,2807994.47619
148,2810523.61905
149,2812248.71429
150,2814476.09524
151,2817654.19048
152,2819452.71429
153,2819844.80952
154,2819915.47619
155,2819104.09524
156,2818167.95238
157,2817715.57143
158,2815723.85714
159,2813829.95238
160,2811600.71429
161,2808819.0
162,2805638.66667
163,2804286.33333
164,2801686.09524
165,2797322.61905
166,2795035.7619
167,2793099.80952
168,2789328.61905
169,2783850.14286
170,2780622.04762
171,2776236.2381
172,2771265.0
173,2766277.85714
174,2760813.19048
175,2755398.09524
176,2748033.71429
177,2741984.2381
178,2735848.42857
179,2729594.85714
180,2721730.04762
181,2713027.61905
182,2703459.04762
183,2692754.80952
184,2683169.66667
185,2676039.90476
186,2666919.61905
187,2656362.42857
188,2645188.14286
189,2634930.90476
190,2623006.95238
191,2611289.2381
192,2599170.19048
193,2586410.7619
194,2574125.66667
195,2563586.38095
196,2552527.33333
197,2540040.71429
198,2528034.2381
199,2515301.61905
200,2504010.47619
201,2494370.0
202,2483650.04762
203,2473519.42857
204,2462944.47619
205,2451905.52381
206,2441160.42857
207,2429097.71429
208,2418220.61905
209,2407743.47619
210,2397972.28571
211,2386566.47619
212,2375785.38095
213,2365773.80952
214,2355436.19048
215,2344971.09524
216,2334802.57143
217,2325842.66667
218,2316015.61905
219,2305685.19048
220,2295926.7619
221,2287047.38095
222,2278534.61905
223,2268692.47619
224,2258274.52381
225,2248613.90476
226,2240769.90476
227,2231637.71429
228,2222650.09524
229,2214096.71429
230,2205042.7619
231,2197029.90476
232,2188579.61905
233,2180805.19048
234,2172480.33333
235,2164465.33333
236,2155939.52381
237,2147665.42857
238,2140473.57143
239,2131922.95238
240,2124719.66667
241,2117758.14286
242,2109511.33333
243,2102649.33333
244,2097029.95238
245,2091318.90476
246,2086357.61905
247,2080808.09524
248,2074767.7619
249,2069159.71429
250,2062688.0
251,2056660.85714
252,2052281.71429
253,2047899.47619
254,2043608.57143
255,2039645.38095
256,2036351.2381
257,2031674.28571
258,2027691.38095
259,2024168.47619
260,2020621.04762
261,2017235.28571
262,2013694.38095
263,2010849.7619
264,2007244.09524
265,2003649.52381
266,2000495.57143
267,1998139.42857
268,2037028.2
269,1992221.47619
270,2031217.45
271,2028045.6
272,2024536.35
273,1979898.42857
274,1977173.57143
275,1974434.0
276,1971416.52381
277,1969134.42857
278,1964947.47619
279,1960537.61905
280,1957744.61905
281,1954561.28571
282,1952634.33333
283,1950887.95238
284,1948644.52381
285,1945923.47619
286,1943245.90476
287,1939980.85714
288,1937686.33333
289,1935918.33333
290,1934502.33333
291,1932772.33333
292,1930290.28571
293,1928045.38095
294,1925880.19048
295,1923666.09524
296,1921445.19048
297,1919583.28571
298,1916405.28571
299,1913749.09524
300,1910728.33333
301,1908237.52381
302,1906645.38095
303,1905978.33333
304,1903817.38095
305,1901255.52381
306,1898497.33333
307,1896230.42857
308,1893568.61905
309,1892106.42857
310,1869335.3
311,1887448.28571
312,1885766.38095
313,1883430.85714
314,1881328.28571
315,1879459.7619
