day_of_year,reservoir_storage
1,174151.05
2,174409.616667
3,174243.283333
4,174033.783333
5,174666.0
6,174386.666667
7,174499.833333
8,174671.083333
9,174839.833333
10,175418.7
11,175577.25
12,175726.05
13,175998.5
14,176144.775
15,176546.875
16,176850.740476
17,176934.155952
18,177083.971429
19,177323.461905
20,177512.319048
21,177676.72619
22,177669.333333
23,177870.766667
24,178199.666667
25,178867.683333
26,179386.633333
27,179513.583333
28,179340.166667
29,178937.0
30,178207.609524
31,177489.452381
32,176997.011905
33,176509.904762
34,176910.380952
35,176606.357143
36,176259.183333
37,175801.47381
38,175667.547619
39,175687.071429
40,176067.495238
41,176072.035714
42,176182.742857
43,176336.2
44,176454.971429
45,176839.717857
46,176980.539286
47,177096.235714
48,177431.107143
49,177590.886905
50,177828.208333
51,178283.690476
52,178738.214286
53,179445.071429
54,179961.928571
55,180154.452381
56,180322.809524
57,180515.833333
58,180727.690476
59,181117.714286
60,181327.838095
61,181630.045238
62,182208.269048
63,182484.742857
64,182634.433333
65,182836.607143
66,182733.147619
67,182572.029762
68,182494.861905
69,182499.477381
70,182502.70119
71,182509.8
72,182336.05
73,182199.208333
74,181987.316667
75,181754.791667
76,181779.85
77,181739.283333
78,181729.383333
79,181864.666667
80,182120.066667
81,182434.816667
82,182779.766667
83,183113.85
84,184224.125
85,184391.75
86,184569.675
87,184748.783333
88,184898.666667
89,184806.333333
90,184794.166667
91,184730.85
92,184564.033333
93,184594.466667
94,184681.491667
95,184551.483333
96,184375.358333
97,184416.533333
98,184368.583333
99,184428.333333
100,184407.083333
101,184286.708333
102,184450.75
103,184522.291667
104,184619.166667
105,184630.433333
106,184651.533333
107,184614.3
108,184687.566667
109,184942.5
110,185029.166667
111,185138.466667
112,185269.766667
113,185200.733333
114,185143.7
115,185117.5
116,185170.825
117,185151.966667
118,185472.086111
119,185790.522222
120,186139.666667
121,186515.277778
122,186654.888889
123,186962.666667
124,187114.444444
125,187218.944444
126,187226.444444
127,187310.7
128,187481.705556
129,187765.711111
130,187836.633333
131,187983.988889
132,188294.511111
133,187363.95
134,188764.766667
135,188933.8
136,189160.283333
137,189228.925
138,189408.466667
139,189695.475
140,190047.283333
141,190202.166667
142,190362.95
143,190519.65
144,190751.4
145,190965.65
146,191194.025
147,191549.95
148,191606.125
149,191855.0
150,192031.0
151,192437.333333
152,193010.65
153,193375.666667
154,193691.166667
155,193797.0
156,193432.333333
157,193772.0
158,193931.6
159,194026.2
160,194269.05
161,194393.608333
162,194422.166667
163,194564.125
164,194795.916667
165,194866.416667
166,194745.783333
167,194470.183333
168,194177.0
169,193646.166667
170,193307.933333
171,193137.516667
172,193126.921053
173,193245.342105
174,193469.388158
175,193436.967544
176,193419.713596
177,193376.142982
178,193359.364035
179,193357.368421
180,193382.622807
181,193264.210526
182,193232.006579
183,193077.469298
184,192987.132018
185,192907.394737
186,192797.315789
187,192579.570175
188,192411.282895
189,192187.995614
190,192062.875
191,191983.857143
192,191831.339286
193,191708.988095
194,191641.136905
195,191533.952381
196,191335.059524
197,191224.333333
198,190949.011905
199,190749.357143
200,190669.035714
201,190599.714286
202,190581.642857
203,190492.654762
204,190442.75
205,190379.809524
206,190288.785714
207,190273.461905
208,190288.138095
209,190341.980952
210,190237.990476
211,190263.0
212,190405.0
213,190522.383333
214,190573.833333
215,190515.833333
216,190380.0
217,190149.5
218,189934.333333
219,189685.595238
220,189449.757143
221,189288.752381
222,189079.414286
223,188884.592857
224,188590.988095
225,188415.666667
226,188190.4
227,188034.116667
228,188031.166667
229,187915.533333
230,187763.666667
231,187434.0
232,187270.916667
233,186997.457143
234,186694.797619
235,186403.321429
236,186037.428571
237,186342.569048
238,186010.642857
239,185738.066667
240,185482.766667
241,185239.166667
242,185228.583333
243,185104.0
244,185091.5
245,185087.75
246,185168.516667
247,185121.033333
248,185039.541667
249,184868.333333
250,184757.805556
251,184651.377778
252,184484.125
253,184334.972222
254,184179.384921
255,184023.047619
256,183924.876984
257,183812.581349
258,183712.535714
259,183531.323413
260,183398.861111
261,183340.666667
262,183325.055556
263,183398.944444
264,183502.333333
265,183600.455556
266,183534.444444
267,183443.25
268,183238.728571
269,183001.590476
270,182712.519048
271,182405.747619
272,182206.97619
273,181900.954762
274,181387.766667
275,180722.757143
276,180139.414286
277,179626.904762
278,179149.395238
279,178677.260714
280,178150.084524
281,177679.491667
282,177087.513095
283,176471.942857
284,175980.039286
285,175548.969048
286,175113.74881
287,174687.261905
288,174336.516667
289,173875.642857
290,173442.952381
291,173020.511905
292,172628.488095
293,172133.714286
294,171715.02381
295,171162.583333
296,170832.190476
297,170246.547619
298,169880.904762
299,169540.595238
300,169209.119048
301,169056.72619
302,168779.75
303,168375.964286
304,168053.011905
305,167881.809524
306,167735.357143
307,167578.738095
308,167399.119048
309,167203.733333
310,167179.970238
311,167335.607143
312,167530.660714
313,167798.214286
314,167972.142857
315,168154.904762
316,168375.5
317,168493.255952
318,168623.978571
319,168677.867857
320,168736.057143
321,168888.538095
322,169098.019048
323,169097.333333
324,169073.309524
325,169095.652381
326,168930.478571
327,168918.604762
328,168921.314286
329,168855.27381
330,168856.533333
331,168759.716667
332,168818.15
333,168699.133333
334,168611.65
335,168500.566667
336,168350.083333
337,168006.4
338,167666.1
339,167513.166667
340,167450.533333
341,167337.666667
342,167257.566667
343,167271.866667
344,167381.25
345,167543.528571
346,167788.27381
347,168077.502381
348,168244.047619
349,168398.712554
350,168554.110823
351,168794.509091
352,168908.893074
353,169049.36039
354,169213.861039
355,169296.611688
356,169584.062338
357,169808.587987
358,170041.113636
359,170371.375
360,170563.4
361,170626.133333
362,170672.183333
363,170905.983333
364,171019.9
365,171835.3
366,169183.2
