day_of_year,reservoir_storage
1,326089.31746
2,332512.261905
3,337587.428571
4,340514.333333
5,343274.761905
6,345212.238095
7,347060.849206
8,348750.793651
9,351007.357143
10,353042.857143
11,355180.857143
12,357172.571429
13,358693.142857
14,361235.0
15,363730.206349
16,365653.84127
17,367439.738095
18,369187.619048
19,370771.595238
20,372451.904762
21,373968.738095
22,375725.452381
23,377947.47619
24,380224.238095
25,383117.52381
26,385966.857143
27,387925.619048
28,389723.666667
29,391258.142857
30,392533.380952
31,393853.142857
32,395069.52381
33,396457.904762
34,398227.285714
35,399803.047619
36,401754.190476
37,403377.62381
38,405014.771429
39,406711.847619
40,408348.090476
41,409919.857143
42,411673.469841
43,413762.177778
44,415425.885714
45,417851.32381
46,419797.52381
47,421727.095238
48,423742.452381
49,425740.642857
50,428082.404762
51,431098.904762
52,433657.047619
53,436284.0
54,439198.642857
55,442140.690476
56,444674.952381
57,447162.214286
58,449803.666667
59,453098.5
60,455192.071429
61,457192.47619
62,459296.02381
63,461399.357143
64,463411.619048
65,465879.047619
66,468032.857143
67,469752.857143
68,471655.238095
69,475479.071429
70,479010.095238
71,481282.68254
72,483484.84127
73,485517.190476
74,487680.261905
75,489386.333333
76,491011.428571
77,492779.75
78,494724.97619
79,496798.77381
80,499271.142857
81,501941.714286
82,505108.0
83,507766.571429
84,511071.68254
85,513938.079365
86,516600.285714
87,519473.269841
88,522210.68254
89,524922.095238
90,525626.047619
91,529894.214286
92,532195.904762
93,535278.761905
94,538986.071429
95,541840.730159
96,543861.960317
97,545535.428571
98,547390.52381
99,548970.309524
100,550414.904762
101,551849.52381
102,553313.952381
103,554697.809524
104,556392.238095
105,558042.0
106,559587.571429
107,561233.97619
108,562840.380952
109,564554.0
110,566485.190476
111,568241.619048
112,570200.47619
113,571763.47619
114,573152.52381
115,574466.952381
116,576366.428571
117,578868.47619
118,582131.714286
119,585798.52381
120,590366.436508
121,594682.968254
122,598866.52381
123,602481.142857
124,606046.095238
125,609952.738095
126,613842.142857
127,617648.563492
128,621799.698413
129,626357.666667
130,630537.428571
131,634525.761905
132,638493.857143
133,642465.0
134,645997.333333
135,650027.095238
136,654700.428571
137,659828.880952
138,664121.380952
139,667883.52381
140,671760.095238
141,675889.761905
142,679599.904762
143,682697.190476
144,685723.761905
145,688878.904762
146,691810.857143
147,694696.595238
148,697657.0
149,700694.071429
150,703686.507937
151,706915.253968
152,709571.142857
153,711786.603175
154,713774.730159
155,715880.52381
156,718115.095238
157,720130.142857
158,721374.619048
159,721606.904762
160,721150.0
161,720246.857143
162,719170.904762
163,717835.333333
164,716179.47619
165,714629.095238
166,713245.666667
167,711885.880952
168,709769.809524
169,707245.833333
170,704647.809524
171,702002.714286
172,698932.047619
173,695837.690476
174,692525.380952
175,689337.97619
176,686292.428571
177,683076.428571
178,679517.111111
179,675777.793651
180,671605.095238
181,667126.857143
182,662600.714286
183,657913.119048
184,652919.52381
185,647521.0
186,641911.02381
187,636185.333333
188,630375.666667
189,624565.142857
190,618799.190476
191,612340.166667
192,605159.095238
193,598142.857143
194,591253.52381
195,583519.952381
196,576360.404762
197,569616.138095
198,563141.085714
199,556676.057143
200,549897.992857
201,543018.166667
202,536185.892857
203,529306.02381
204,522373.142857
205,515215.357143
206,508080.571429
207,500782.52381
208,493260.047619
209,485957.142857
210,478572.333333
211,471300.690476
212,464338.047619
213,458399.904762
214,452008.166667
215,445589.857143
216,439138.571429
217,432911.535714
218,426781.595238
219,420995.305556
220,415443.059524
221,409940.230159
222,404621.416667
223,399035.333333
224,393881.857143
225,389047.809524
226,384296.761905
227,379786.595238
228,375691.619048
229,371690.714286
230,367699.952381
231,363572.571429
232,359672.52381
233,355847.571429
234,352075.095238
235,348464.214286
236,344884.285714
237,341427.47619
238,338219.309524
239,335082.619048
240,332119.404762
241,329332.380952
242,326725.52381
243,324299.97619
244,322189.761905
245,320380.166667
246,318684.285714
247,317195.238095
248,315741.761905
249,314228.952381
250,312881.809524
251,311382.285714
252,309848.087302
253,308377.222222
254,306937.571429
255,305532.706349
256,304176.365079
257,302819.059524
258,301604.579365
259,300436.718254
260,299331.738095
261,298225.015873
262,297050.507937
263,295877.380952
264,294715.396825
265,293596.376984
266,292523.666667
267,291382.797619
268,290266.404762
269,289103.857143
270,287905.980952
271,286710.414286
272,285778.061905
273,285126.138095
274,284679.142857
275,284219.666667
276,283820.142857
277,283365.0
278,282850.333333
279,282390.380952
280,281855.52381
281,281326.428571
282,280853.619048
283,280268.928571
284,279581.738095
285,279068.666667
286,278564.0
287,278943.738095
288,278713.142857
289,278516.714286
290,278253.47619
291,278068.952381
292,277831.809524
293,277611.904762
294,277507.674603
295,277323.349206
296,277004.095238
297,276783.047619
298,276794.619048
299,276784.238095
300,276800.666667
301,276934.396825
302,277095.412698
303,277397.888889
304,277908.43254
305,278441.142857
306,278998.892857
307,279811.380952
308,280613.634921
309,281381.698413
310,282091.261905
311,282856.095238
312,284533.428571
313,286134.238095
314,287209.190476
315,288246.857143
316,289189.142857
317,290075.714286
318,290977.785714
319,291851.428571
320,292729.785714
321,293578.357143
322,294758.952381
323,295770.952381
324,296672.52381
325,297580.047619
326,298649.619048
327,300115.619048
328,301056.238095
329,301884.809524
330,302618.47619
331,303333.119048
332,303883.238095
333,304513.580952
334,305216.852381
335,306038.647619
336,307081.609524
337,307951.793651
338,308676.214286
339,309361.063492
340,310208.142857
341,311145.785714
342,311944.190476
343,312636.571429
344,313411.952381
345,314913.380952
346,316575.412698
347,317905.634921
348,319049.190476
349,320018.920635
350,321062.555556
351,322267.619048
352,324220.0
353,327682.261905
354,329894.071429
355,331654.015873
356,333322.269841
357,334696.571429
358,336643.238095
359,338174.285714
360,339637.047619
361,341008.285714
362,342671.457143
363,345266.580952
364,347160.196825
365,349716.495238
366,296908.2
