day_of_year,reservoir_storage
1,105862.8
2,105875.05
3,105966.65
4,106084.0
5,106221.8
6,106351.4
7,106614.05
8,106796.95
9,106935.3
10,107022.5
11,107098.55
12,107167.5
13,107164.8
14,107189.85
15,107178.95
16,107198.9
17,107227.7
18,107245.2
19,107215.8
20,107199.95
21,107125.25
22,107021.95
23,106943.1
24,106853.7
25,106816.25
26,106706.75
27,106660.15
28,106645.6
29,106515.05
30,106453.2
31,106396.9
32,106357.0
33,106332.45
34,106377.4
35,106345.7
36,106409.55
37,106538.25
38,106602.45
39,106728.35
40,106831.6
41,106870.5
42,106992.95
43,107043.1
44,107119.3
45,107171.05
46,107194.2
47,107210.05
48,107227.1
49,107304.9
50,107436.3
51,107452.05
52,107554.0
53,107624.25
54,107661.05
55,107611.55
56,107681.8
57,107853.55
58,107911.75
59,108081.7
60,108177.35
61,108283.35
62,108399.35
63,108480.05
64,108519.65
65,108687.65
66,108815.05
67,108887.55
68,108872.75
69,108866.8
70,108864.4
71,108836.2
72,108833.1
73,108910.25
74,108973.75
75,109090.45
76,109122.75
77,109128.25
78,109305.4
79,109412.9
80,109578.3
81,109615.85
82,109726.25
83,109819.4
84,109945.25
85,110001.1
86,110119.4
87,110147.6
88,110208.3
89,110245.35
90,110306.0
91,110281.9
92,110287.75
93,110285.85
94,110304.1
95,110275.65
96,110232.85
97,110244.5
98,110278.4
99,110268.05
100,110258.0
101,110281.85
102,110289.85
103,110260.95
104,110217.1
105,110176.65
106,110149.95
107,110096.2
108,110081.7
109,110002.5
110,109990.65
111,109957.1
112,109991.95
113,109979.25
114,110030.05
115,110000.7
116,110027.4
117,110051.65
118,110028.4
119,110009.0
120,110021.55
121,110029.05
122,110015.9
123,110029.0
124,110034.5
125,110057.15
126,110032.3
127,110048.05
128,110025.5
129,110070.85
130,110060.75
131,110010.25
132,109980.65
133,109981.95
134,109941.65
135,109925.95
136,109924.2
137,109917.45
138,109916.15
139,109912.15
140,109991.1
141,109845.7
142,109828.45
143,109782.15
144,109878.65
145,109882.85
146,109917.95
147,109940.7
148,109942.9
149,109889.95
150,109859.5
151,109847.3
152,109814.05
153,109786.6
154,109776.35
155,109766.8
156,109771.7
157,109753.45
158,109787.45
159,109750.2
160,109769.05
161,109733.7
162,109709.1
163,109737.05
164,109822.4
165,109854.15
166,109897.0
167,109951.05
168,109995.7
169,110027.5
170,110007.2
171,109960.05
172,109939.3
173,109908.5
174,109903.35
175,109874.85
176,109856.8
177,109856.6
178,109873.85
179,109848.85
180,109840.35
181,109857.1
182,109848.2
183,109828.4
184,109813.1
185,109793.75
186,109784.15
187,109759.85
188,109727.5
189,109709.6
190,109700.5
191,109670.6
192,109651.8
193,109656.1
194,109605.35
195,109544.6
196,109574.55
197,109533.9
198,109524.45
199,109522.95
200,109525.15
201,109520.45
202,109518.45
203,109490.7
204,109500.4
205,109423.6
206,109423.1
207,109459.25
208,109461.85
209,109425.2
210,109498.45
211,109486.25
212,109492.3
213,109443.9
214,109430.45
215,109390.85
216,109408.4
217,109407.05
218,109395.85
219,109378.75
220,109394.4
221,109364.75
222,109296.65
223,109263.25
224,109208.9
225,109155.95
226,109058.1
227,108988.4
228,108846.7
229,108732.4
230,108538.95
231,108455.45
232,108231.4
233,108413.0
234,108323.35
235,108240.9
236,108148.3
237,108047.3
238,107985.5
239,107878.95
240,107782.2
241,107694.15
242,107632.75
243,107582.0
244,107515.05
245,107441.4
246,107369.05
247,107264.2
248,107104.5
249,107011.9
250,106921.2
251,106818.05
252,106720.45
253,106622.8
254,106567.5
255,106396.7
256,106301.55
257,106264.2
258,106182.0
259,106099.35
260,106055.8
261,106022.45
262,105981.8
263,105951.35
264,105885.1
265,105819.4
266,105828.75
267,105811.05
268,105663.95
269,105640.25
270,105629.9
271,105641.3
272,105665.1
273,105661.45
274,105695.45
275,105679.3
276,105711.0
277,105677.4
278,105694.1
279,105663.05
280,105718.0
281,105669.0
282,105671.7
283,105586.35
284,105611.9
285,105654.9
286,105678.3
287,105610.75
288,105545.55
289,105555.95
290,105547.4
291,105630.3
292,105737.0
293,105677.05
294,105744.8
295,105759.65
296,105773.5
297,105782.45
298,105796.5
299,105680.15
300,105694.1
301,105708.75
302,105699.6
303,105760.95
304,105791.65
305,105802.6
306,105728.4
307,105734.95
308,105697.85
309,105635.55
310,105569.25
311,105538.85
312,105464.05
313,105417.75
314,105368.0
315,105322.65
316,105294.1
317,105331.65
318,105319.55
319,105287.5
320,105264.85
321,105302.4
322,105305.7
323,105249.2
324,105249.9
325,105290.5
326,105291.8
327,105236.15
328,105178.3
329,105245.55
330,105199.05
331,105175.85
332,105142.85
333,105148.95
334,105056.75
335,105039.95
336,105032.85
337,105038.6
338,104958.6
339,104987.1
340,104937.35
341,104844.35
342,104808.8
343,104710.45
344,104712.2
345,104622.15
346,104628.75
347,104602.7
348,104526.05
349,104429.35
350,104351.5
351,104270.7
352,104166.9
353,104078.5
354,103935.65
355,103859.0
356,103716.3
357,103648.25
358,103573.85
359,103480.2
360,103508.5
361,103443.9
362,103427.2
363,103470.3
364,103494.15
365,103500.2
366,108346.4
