day_of_year,reservoir_storage
1,164729.0
2,164620.333333
3,164289.666667
4,163753.0
5,164239.333333
6,164405.666667
7,163598.0
8,162876.0
9,163011.0
10,163827.333333
11,163511.666667
12,163793.666667
13,164358.666667
14,164349.666667
15,163442.666667
16,163909.666667
17,165066.0
18,165807.0
19,166334.666667
20,166672.666667
21,166853.666667
22,166880.333333
23,166358.666667
24,166568.666667
25,167289.666667
26,166219.0
27,166958.0
28,166400.333333
29,165481.333333
30,165369.0
31,165493.333333
32,165575.666667
33,165940.666667
34,166460.666667
35,165675.666667
36,165651.0
37,166285.333333
38,166831.666667
39,166822.333333
40,165825.666667
41,164920.666667
42,164922.666667
43,164186.333333
44,164387.0
45,165733.0
46,166508.0
47,166816.333333
48,166519.666667
49,166579.666667
50,165268.0
51,163803.666667
52,163334.333333
53,162028.666667
54,160999.0
55,160353.0
56,159437.0
57,158094.333333
58,157491.0
59,157668.0
60,156900.666667
61,156785.0
62,156598.666667
63,156437.333333
64,156768.333333
65,157492.333333
66,157730.666667
67,157970.333333
68,157207.666667
69,157083.666667
70,156836.0
71,156513.333333
72,156238.666667
73,156472.666667
74,157357.0
75,157129.333333
76,157367.666667
77,156720.333333
78,156154.333333
79,155752.0
80,156137.666667
81,156426.666667
82,156739.333333
83,158842.333333
84,159131.0
85,159541.0
86,159594.0
87,161164.666667
88,163219.666667
89,163531.0
90,164051.666667
91,163541.0
92,163866.333333
93,164769.333333
94,165679.666667
95,166875.0
96,167120.666667
97,167364.333333
98,166947.0
99,167161.0
100,166994.0
101,166636.333333
102,166232.0
103,166119.0
104,166044.0
105,165271.333333
106,165706.333333
107,166072.666667
108,166782.333333
109,166760.0
110,166376.0
111,166733.666667
112,166419.666667
113,166771.666667
114,166633.666667
115,166914.0
116,167298.333333
117,165716.666667
118,166578.333333
119,166783.0
120,166492.75
121,166063.333333
122,165472.666667
123,165593.666667
124,164817.333333
125,164982.666667
126,165233.333333
127,164956.333333
128,164809.0
129,165428.666667
130,165610.333333
131,167218.666667
132,167428.0
133,165821.666667
134,165101.666667
135,164949.333333
136,164765.0
137,166404.0
138,165078.333333
139,164633.0
140,163925.666667
141,164151.666667
142,163674.333333
143,164997.666667
144,165624.666667
145,166397.333333
146,165266.666667
147,165529.666667
148,164986.75
149,164536.0
150,164711.25
151,164796.5
152,164222.5
153,164144.25
154,163413.75
155,162109.5
156,162655.5
157,163231.75
158,162835.0
159,162422.0
160,164128.25
161,164726.5
162,163949.25
163,163619.75
164,163647.75
165,162550.25
166,162629.0
167,163671.0
168,164579.75
169,163220.0
170,163136.5
171,163144.5
172,163572.75
173,162891.0
174,162940.0
175,163129.5
176,163984.0
177,163060.333333
178,161991.0
179,161574.0
180,162895.0
181,164168.666667
182,163287.0
183,162050.75
184,162019.5
185,163090.75
186,163334.5
187,162975.5
188,165147.25
189,165282.0
190,164681.0
191,164654.0
192,164662.5
193,163870.5
194,162994.75
195,163567.0
196,163515.5
197,164412.25
198,162505.5
199,162836.75
200,163413.25
201,163755.0
202,165177.5
203,165116.0
204,164511.666667
205,164064.333333
206,163613.333333
207,163675.333333
208,164565.0
209,166031.333333
210,165015.0
211,164441.333333
212,165042.0
213,164231.5
214,164012.25
215,164120.5
216,164499.5
217,164700.25
218,164857.75
219,165844.0
220,165542.25
221,164743.25
222,164943.0
223,166030.25
224,165744.0
225,165091.5
226,164760.25
227,165654.75
228,165301.0
229,165279.25
230,165533.75
231,165768.0
232,165015.5
233,164428.25
234,165331.0
235,164911.75
236,163934.75
237,165225.5
238,165561.75
239,164508.75
240,164411.75
241,164892.25
242,164141.0
243,163539.0
244,164757.75
245,165370.0
246,164566.0
247,164235.25
248,165606.5
249,165276.25
250,165797.0
251,166453.5
252,165844.0
253,164570.5
254,164701.75
255,165729.5
256,165620.0
257,165411.25
258,165904.5
259,165469.5
260,164619.25
261,164804.5
262,165786.0
263,165801.0
264,165116.25
265,165254.75
266,165887.75
267,163882.25
268,163625.75
269,164002.25
270,163713.5
271,164772.75
272,165207.25
273,165198.25
274,164748.75
275,163480.5
276,163760.25
277,163661.25
278,164791.75
279,165247.75
280,165412.75
281,164918.25
282,163631.25
283,163638.5
284,164107.0
285,164174.25
286,165249.75
287,164818.75
288,164519.0
289,163668.0
290,163939.0
291,163486.5
292,163910.0
293,165035.75
294,164998.5
295,164996.75
296,165144.25
297,166002.75
298,165695.5
299,165342.0
300,165156.25
301,164842.0
302,164084.0
303,164262.0
304,164809.5
305,164440.75
306,163839.25
307,163555.5
308,162768.25
309,163000.25
310,162623.0
311,163388.5
312,163840.25
313,164062.5
314,163955.5
315,164748.5
316,164713.25
317,164263.5
318,164761.0
319,164093.0
320,163063.0
321,162516.5
322,163484.75
323,163824.0
324,163476.25
325,164534.5
326,165107.0
327,164083.25
328,164547.0
329,163718.25
330,162684.5
331,162182.0
332,162049.5
333,162006.5
334,161900.5
335,162175.5
336,161508.0
337,160167.75
338,159529.75
339,159620.25
340,159826.0
341,159446.25
342,160652.75
343,160430.75
344,159385.5
345,159022.25
346,159036.25
347,159917.25
348,160244.5
349,160341.75
350,160105.25
351,159089.25
352,158648.25
353,159414.0
354,159762.25
355,158823.0
356,158836.0
357,160654.5
358,160374.25
359,161597.25
360,162955.5
361,163369.0
362,163501.5
363,164405.0
364,165218.0
365,164523.0
366,167639.0
