day_of_year,reservoir_storage
1,10940.1833333
2,11632.7111111
3,12318.8222222
4,12962.4166667
5,13059.0111111
6,13113.2888889
7,13307.3416667
8,13464.0736111
9,13576.3055556
10,13591.7791667
11,13522.2333333
12,13441.5833333
13,13503.2
14,13463.1166667
15,13532.4533333
16,13648.0733333
17,13685.6933333
18,13685.58
19,13629.55
20,13595.75
21,13640.6583333
22,13689.1666667
23,13726.875
24,13729.63
25,13921.71
26,14082.97
27,14226.58
28,14420.09
29,14528.77
30,14613.55
31,14591.475
32,14572.0
33,14540.75
34,14572.825
35,14684.025
36,14828.5
37,14904.0833333
38,15024.6666667
39,15192.75
40,15372.625
41,15542.0
42,15699.385
43,15915.02
44,16099.8216667
45,16576.6233333
46,17048.1
47,17321.3166667
48,17677.5333333
49,17900.2
50,18129.6
51,18691.025
52,19187.575
53,19807.6333333
54,20442.3666667
55,21128.55
56,21502.35
57,21745.125
58,21968.6
59,22303.0466667
60,22484.9933333
61,22655.97
62,22787.98
63,22943.59
64,23098.1033333
65,23459.1166667
66,23776.7
67,23975.375
68,24169.7
69,24524.425
70,25109.7
71,25394.6583333
72,25618.9166667
73,25820.25
74,26041.4
75,26255.0
76,26440.4
77,26648.325
78,26866.4
79,27158.8535714
80,27566.4571429
81,27927.1357143
82,28563.2142857
83,29017.9928571
84,29518.4047619
85,30018.3666667
86,30471.175
87,31219.5
88,31810.3
89,32220.4
90,32609.925
91,33082.775
92,33449.75
93,33848.75
94,34434.7333333
95,35096.025
96,35575.8916667
97,35972.8833333
98,36301.1416667
99,36587.05
100,36843.525
101,37078.65
102,37328.0
103,37528.25
104,37790.4178571
105,38091.3357143
106,38333.7785714
107,38588.7964286
108,38862.7392857
109,39132.1571429
110,39407.3
111,39716.075
112,40046.55
113,40372.9
114,40686.35
115,40961.5
116,41238.9
117,41509.6
118,41804.2
119,42135.75
120,42576.225
121,42995.7
122,43440.75
123,43847.6
124,44283.2
125,44779.7
126,45211.6
127,45539.925
128,45852.825
129,46171.35
130,46460.05
131,46706.4
132,46965.2
133,47229.225
134,47448.35
135,47660.6
136,47897.6
137,48136.825
138,48340.575
139,48548.9
140,48761.9166667
141,48979.0833333
142,49175.1
143,49354.8
144,49527.9
145,49689.7333333
146,49813.9166667
147,49898.9
148,50006.65
149,50102.4
150,50158.9
151,50228.8
152,50205.95
153,50155.85
154,50051.7625
155,49953.75
156,49896.1708333
157,49854.9166667
158,49820.7
159,49750.95
160,49651.625
161,49558.25
162,49452.45
163,49304.175
164,49066.15
165,48801.0
166,48552.75
167,48283.85
168,47936.925
169,47572.5416667
170,47220.8833333
171,46830.9
172,46537.8
173,46262.8125
174,45952.375
175,45626.5375
176,45286.6
177,44921.7833333
178,44553.45
179,44177.9666667
180,43800.8166667
181,43427.9583333
182,43089.85
183,42727.775
184,42404.95
185,41973.45
186,41562.55
187,41150.2
188,40698.4
189,40192.9
190,39638.825
191,39061.3
192,38486.25
193,37919.1
194,37328.625
195,36741.7
196,36153.425
197,35560.08
198,34973.885
199,34416.09
200,33862.645
201,33306.6
202,32738.325
203,32154.625
204,31574.925
205,31010.475
206,30488.0
207,29969.45
208,29440.75
209,28917.1
210,28414.05
211,27923.35
212,27437.55
213,26939.6
214,26415.725
215,25901.72
216,25362.69
217,24786.7475
218,24211.155
