day_of_year,reservoir_storage
1,2708720.1
2,2729845.55
3,2738499.95
4,2745453.15
5,2747912.6
6,2749426.95
7,2750966.5
8,2752906.0
9,2758293.4
10,2769067.0
11,2778763.3
12,2788470.65
13,2801058.25
14,2826372.2
15,2834829.55
16,2846886.2
17,2857947.8
18,2868408.95
19,2877004.75
20,2888732.0
21,2894994.55
22,2900118.85
23,2904882.6
24,2912222.35
25,2920189.95
26,2932474.65
27,2943159.85
28,2949944.95
29,2955460.85
30,2959550.65
31,2963033.6
32,2971979.05
33,2983402.2
34,2994713.6
35,2998641.35
36,3008844.4
37,3021143.25
38,3033693.4
39,3041479.95
40,3047868.55
41,3052861.8
42,3061569.55
43,3069069.8
44,3076614.8
45,3088671.25
46,3094784.85
47,3101964.55
48,3118866.55
49,3130297.55
50,3143813.05
51,3157231.375
52,3174323.075
53,3186461.5
54,3198400.1
55,3205696.95
56,3214555.5
57,3223000.4
58,3230924.45
59,3237028.95
60,3244162.65
61,3251845.55
62,3259027.2
63,3265754.15
64,3273875.6
65,3281984.9
66,3288406.8
67,3294171.125
68,3300178.55
69,3313637.7
70,3326497.1
71,3337216.4
72,3346063.4
73,3356386.3
74,3374442.7
75,3392564.1
76,3409928.2
77,3421875.2
78,3430642.75
79,3435460.0
80,3442511.2
81,3453230.65
82,3469922.05
83,3486810.2
84,3497870.35
85,3506054.8
86,3512230.35
87,3518480.35
88,3525209.9
89,3532226.15
90,3539432.85
91,3547648.3
92,3556243.15
93,3564807.85
94,3574213.25
95,3580829.1
96,3589903.3
97,3600869.8
98,3609866.55
99,3617341.2
100,3623648.2
101,3630421.75
102,3639587.55
103,3646415.75
104,3652914.55
105,3659238.2
106,3666250.7
107,3673945.35
108,3682657.95
109,3689471.8
110,3696701.6
111,3704551.6
112,3711752.8
113,3719190.45
114,3725789.6
115,3732159.9
116,3736919.35
117,3741663.15
118,3745082.15
119,3749112.1
120,3752490.85
121,3756910.75
122,3760036.6
123,3763055.6
124,3765574.7
125,3768773.85
126,3771124.8
127,3772272.25
128,3774442.55
129,3778435.7
130,3780933.6
131,3782005.7
132,3781302.7
133,3780045.55
134,3778922.6
135,3777559.35
136,3777857.0
137,3776500.35
138,3778857.75
139,3782120.35
140,3782340.7
141,3781593.45
142,3780354.1
143,3778658.05
144,3776577.35
145,3774245.7
146,3771204.0
147,3770593.9
148,3769415.15
149,3768389.7
150,3766413.4
151,3765088.95
152,3761877.525
153,3757790.15
154,3753912.6
155,3748375.95
156,3743132.35
157,3736386.35
158,3728611.05
159,3721646.65
160,3714005.4
161,3706142.65
162,3698457.6
163,3690193.15
164,3681365.85
165,3672375.65
166,3662583.5
167,3653035.95
168,3642628.3
169,3632661.6
170,3622523.95
171,3612241.2
172,3600800.6
173,3588969.9
174,3576203.5
175,3563453.05
176,3551119.35
177,3539040.5
178,3527132.2
179,3514548.05
180,3501931.0
181,3489323.85
182,3475804.25
183,3462418.55
184,3449594.625
185,3436104.65
186,3422003.65
187,3407860.425
188,3393851.25
189,3379554.3
190,3365467.2
191,3351499.45
192,3337491.45
193,3322523.5
194,3306860.55
195,3291282.7
196,3276261.0
197,3260577.45
198,3245738.85
199,3231235.8
200,3216556.95
201,3201647.3
202,3186289.85
203,3170992.75
204,3155533.15
205,3139671.75
206,3124356.45
207,3109283.4
208,3093732.0
209,3078444.75
210,3063291.5
211,3049274.85
212,3034552.25
213,3020202.1
214,3005974.1
215,2991072.9
216,2977030.0
217,2962966.0
218,2948580.85
219,2934046.6
220,2920593.7
221,2907655.85
222,2895096.1
223,2882580.25
224,2869583.05
225,2856942.3
226,2844125.25
227,2832829.95
228,2821318.0
229,2809543.95
230,2797850.5
231,2785870.2
232,2775251.65
233,2764439.9
234,2754504.925
235,2744106.85
236,2734183.4
237,2724057.05
238,2713862.55
239,2704077.65
240,2694647.85
241,2685283.275
242,2676371.5
243,2667576.65
244,2658761.85
245,2650665.45
246,2642225.5
247,2635116.85
248,2628144.05
249,2619981.05
250,2612352.85
251,2605375.65
252,2597486.275
253,2589678.85
254,2583036.5
255,2575833.6
256,2568672.3
257,2562385.85
258,2556365.05
259,2550833.03333
260,2545098.41667
261,2539278.25
262,2533126.5
263,2527885.65
264,2521684.65
265,2516099.2
266,2510433.25
267,2504837.45
268,2499350.75
269,2494532.05
270,2489555.0
271,2485135.3
272,2481223.65
273,2477190.7
274,2473734.725
275,2470335.2
276,2466332.9
277,2462903.65
278,2459644.4
279,2456796.7
280,2454370.8
281,2452333.25
282,2450344.05
283,2448635.15
284,2446767.8
285,2444845.0
286,2443378.25
287,2443009.15
288,2441551.8
289,2439890.45
290,2439134.4
291,2437687.75
292,2436576.25
293,2436170.7
294,2434667.7
295,2432572.75
296,2431479.9
297,2430508.45
298,2428335.15
299,2426410.7
300,2424606.6
301,2423710.1
302,2423018.3
303,2422883.25
304,2422643.35
305,2421539.4
