day_of_year,reservoir_storage
1,1341761.18333
2,1351116.75
3,1361057.75
4,1372864.0
5,1382655.45
6,1392386.0
7,1402992.25
8,1412138.85
9,1422094.3
10,1431710.05
11,1441079.4
12,1451299.15
13,1461559.5
14,1472709.65
15,1479965.45
16,1488629.2
17,1497767.1
18,1505453.35
19,1512253.25
20,1518867.6
21,1526234.3
22,1533928.7
23,1542355.1
24,1549853.85
25,1557405.9
26,1565168.9
27,1574128.65
28,1581810.5
29,1587927.65
30,1594917.6
31,1601311.1
32,1606966.325
33,1612674.4
34,1617955.475
35,1624452.75
36,1629358.86071
37,1633771.07143
38,1639373.68214
39,1644406.59286
40,1648547.70357
41,1655114.86429
42,1659990.475
43,1664819.58571
44,1670743.74643
45,1675720.28214
46,1681557.96786
47,1687236.22857
48,1692580.33929
49,1697958.55
50,1703933.11429
51,1710804.92857
52,1716650.29286
53,1722740.70714
54,1728030.57143
55,1733336.18571
56,1738322.85
57,1743153.87857
58,1748122.30714
59,1753004.73571
60,1756859.78929
61,1761092.59286
62,1765434.62143
63,1770753.65
64,1775530.0
65,1780865.35
66,1786680.4
67,1791764.8
68,1796800.7
69,1801712.75
70,1806559.15
71,1810648.7
72,1815002.55
73,1819868.75
74,1823541.05
75,1827506.4
76,1831076.05
77,1835336.85
78,1837962.3
79,1841561.53333
80,1845674.81667
81,1847991.8
82,1850860.01667
83,1853100.83333
84,1855584.4
85,1857506.55714
86,1860768.91429
87,1864096.32143
88,1866205.02857
89,1869280.59821
90,1870555.56786
91,1871854.0375
92,1873171.6
93,1874868.85
94,1876791.1
95,1878868.8
96,1880970.275
97,1881868.85
98,1882678.8
99,1883416.65
100,1883845.5
101,1883961.45
102,1884037.0
103,1884513.65
104,1884231.65
105,1883435.9
106,1879818.27143
107,1875946.14286
108,1871361.66429
109,1866423.13571
110,1862055.00714
111,1856197.97857
112,1850554.2
113,1844154.15714
114,1838725.06429
115,1832404.62143
116,1825520.42857
117,1818998.43571
118,1810536.34286
119,1802998.4
120,1794477.25
121,1786278.55
122,1777498.4
123,1768976.7
124,1760130.25
125,1749922.7
126,1740554.35
127,1730578.54286
128,1721014.25238
129,1711967.3619
130,1702510.62143
131,1693026.86429
132,1682938.45714
133,1672808.05
134,1661166.87143
135,1649928.09286
136,1638283.01429
137,1627235.33571
138,1617491.15714
139,1607214.97857
140,1596256.9
141,1585769.62857
142,1575997.50714
143,1566648.73571
144,1557394.41429
145,1547945.84286
146,1538343.47143
147,1529425.35
148,1519838.89286
149,1510810.08571
150,1501229.57857
151,1491702.22143
152,1483299.93929
153,1473645.05714
154,1465015.05
155,1455036.5875
156,1444518.725
157,1432619.5125
158,1420538.1
159,1409110.55
160,1397383.55
161,1385350.6
162,1374446.08571
163,1361582.97143
164,1348496.15714
165,1335108.79286
166,1322333.72857
167,1308148.91429
168,1295616.7
169,1282504.2
170,1269172.2
171,1255468.26667
172,1241762.53333
173,1229359.35
174,1216022.96667
175,1203733.98333
176,1189967.2
177,1176206.6
178,1162682.65
179,1150033.1
180,1138721.6
181,1127221.85
182,1116867.55
183,1107826.7
184,1098657.66667
185,1090835.13333
186,1080686.0
187,1070103.75
188,1059506.1
189,1050025.1
190,1040207.4
191,1032116.1
192,1023469.5
193,1013514.2
194,1005505.7
195,996917.45
196,988391.3
197,979549.05
198,970705.6
199,962023.625
200,953548.7
201,944795.533333
202,936095.066667
203,927402.2
204,918311.45
205,909262.05
206,901548.0
207,892044.2
208,885863.5
209,877684.5
210,870457.4
211,862021.5
212,854048.9
213,846482.05
214,837770.1
215,830230.8
216,823042.45
217,816311.95
218,809354.95
219,803297.75
220,797664.7
221,791500.75
222,784630.35
223,777606.733333
224,770957.866667
225,765441.85
226,759182.9
227,753260.15
228,747736.95
229,741410.55
230,736082.55
231,730914.4
232,727605.9
233,722988.6
234,719735.075
235,717882.3
236,716763.175
237,716077.45
238,715729.0
239,716373.55
240,716965.05
241,718303.6
242,721217.6
243,723576.8
244,725878.4
245,729676.25
246,732906.0
247,735716.05
248,739178.35
249,742263.95
250,746133.975
251,750354.025
252,754814.4
253,759404.9
254,764370.6
