day_of_year,reservoir_storage
1,144115.5
2,144493.666667
3,144645.833333
4,144713.666667
5,144580.833333
6,144486.0
7,144464.666667
8,152478.8
9,152385.8
10,152326.4
11,152220.4
12,152135.4
13,152036.4
14,151963.2
15,151811.6
16,151653.4
17,151560.4
18,162399.25
19,151466.4
20,151366.4
21,151339.4
22,151239.4
23,151133.0
24,151020.0
25,150939.4
26,150833.0
27,150766.4
28,150678.6
29,150578.2
30,150530.6
31,150430.2
32,150349.2
33,142308.5
34,151954.4
35,151922.0
36,151885.4
37,142011.5
38,141895.666667
39,141851.5
40,141789.0
41,130831.0
42,141745.166667
43,141683.666667
44,141591.333333
45,141553.166667
46,128826.0
47,128714.4
48,128602.8
49,128487.2
50,128339.8
51,128228.2
52,128121.0
53,128025.2
54,128005.2
55,127945.2
56,127829.4
57,127793.6
58,127678.0
59,127546.4
60,127446.4
61,127415.0
62,127330.6
63,127182.0
64,127009.4
65,126813.6
66,126633.6
67,126482.0
68,126279.0
69,126117.0
70,125963.8
71,125879.0
72,125774.4
73,125661.2
74,125564.0
75,125482.6
76,125445.2
77,125376.6
78,125366.8
79,125388.6
80,125360.4
81,125348.6
82,108886.75
83,108849.75
84,108757.25
85,125196.2
86,125227.8
87,125235.2
88,125300.8
89,125263.0
90,125204.8
91,125146.6
92,129075.0
93,125101.6
94,125050.4
95,125007.8
96,125038.6
97,125164.8
98,125269.0
99,125311.4
100,125445.2
101,125597.2
102,125743.0
103,125886.8
104,126026.2
105,126235.0
106,126442.4
107,126657.8
108,126912.2
109,111949.5
110,127464.6
111,127720.6
112,128094.4
113,128350.0
114,128635.6
115,128876.8
116,129093.0
117,143182.166667
118,143439.0
119,143708.0
120,144032.333333
121,144373.833333
122,144823.666667
123,145246.5
124,145701.666667
125,146346.333333
126,146865.666667
127,147290.0
128,147793.833333
129,148355.666667
130,148780.666667
131,149158.5
132,149554.833333
133,149957.833333
134,150320.666667
135,150801.5
136,151540.333333
137,152277.5
138,153040.0
139,154130.0
140,151283.0
141,155713.833333
142,156174.5
143,156527.0
144,156864.666667
145,157240.166667
146,157667.0
147,158135.166667
148,158525.166667
149,158858.666667
150,159202.833333
151,159561.166667
152,159996.833333
153,156517.285714
154,157000.571429
155,157523.428571
156,158018.714286
157,158468.714286
158,158842.857143
159,159141.571429
160,159447.285714
161,159685.571429
162,163436.0
163,159949.428571
164,160072.142857
165,160215.285714
166,160342.0
167,160430.428571
168,160533.428571
169,160605.285714
170,160535.333333
171,160767.0
172,160844.0
173,160871.571429
174,160860.857143
175,160836.285714
176,160828.142857
177,160834.0
178,160835.857143
179,160865.285714
180,160839.142857
181,160830.285714
182,160769.428571
183,160692.142857
184,160574.285714
185,160393.142857
186,160192.428571
187,159943.857143
188,159683.857143
189,159390.714286
190,159101.285714
191,158767.142857
192,158440.142857
193,158082.285714
194,157733.428571
195,152364.833333
196,157068.571429
197,156783.142857
198,156491.142857
199,156017.714286
200,164734.0
201,155514.142857
202,155269.285714
203,155029.142857
204,154786.571429
205,154542.285714
206,154316.142857
207,153543.857143
208,153319.571429
209,152476.333333
210,152939.714286
211,152712.857143
212,152529.428571
213,152334.857143
214,152158.142857
215,151919.571429
216,151714.571429
217,151543.142857
218,151347.714286
219,151174.714286
220,151013.0
221,150847.857143
222,150667.142857
223,145121.666667
224,144933.166667
225,144737.166667
226,144491.666667
227,144310.333333
228,144142.0
229,150760.0
230,143688.666667
231,143490.666667
232,143250.0
233,143055.5
234,142861.333333
235,142626.5
236,142432.0
237,142200.666667
238,141969.5
239,141751.333333
240,141516.5
241,141292.5
242,141085.166667
243,140907.5
244,140646.666667
245,140402.166667
246,140154.333333
247,139869.5
248,139634.833333
249,125733.0
250,139136.833333
251,138925.833333
252,138731.666667
253,138550.5
254,138386.0
255,138212.166667
256,138081.0
257,124279.8
258,137802.0
259,137674.5
260,137587.5
261,137467.166667
262,137356.333333
263,137238.333333
264,137118.0
265,137047.666667
266,136971.666667
267,136907.166667
268,136842.666667
269,136782.0
270,136750.833333
271,136656.666667
272,137570.6
273,136498.166667
274,136524.166667
275,136483.666667
276,136476.5
277,136469.333333
278,136458.5
279,136434.666667
280,136357.166667
281,136166.666667
282,136289.333333
283,136245.0
284,136159.333333
285,136112.833333
286,136172.333333
287,136135.5
288,136105.666667
289,136092.666667
290,136018.833333
291,135949.833333
292,135920.0
293,135722.166667
294,135910.833333
295,135830.833333
296,135797.333333
297,135927.0
298,135910.333333
299,135854.5
300,135880.666667
301,135811.666667
302,135770.0
303,135735.666667
304,135704.833333
305,135683.5
306,135736.0
307,135745.666667
308,135756.333333
309,135732.5
310,142040.0
311,142060.0
312,142020.0
313,135624.5
314,140711.571429
315,140679.0
316,140676.0
317,140637.142857
318,140622.142857
319,140588.142857
320,140526.857143
321,140498.285714
322,140474.428571
323,140456.142857
324,140466.142857
325,140430.571429
326,146506.0
327,140357.857143
328,140331.285714
329,140292.714286
330,140249.714286
331,140224.285714
332,129879.166667
333,140136.142857
334,140071.0
335,140219.571429
336,139020.666667
337,140187.0
338,140165.571429
339,140156.0
340,140150.142857
341,140152.285714
342,140150.285714
343,140145.285714
344,140108.857143
345,140079.285714
346,140110.285714
347,140081.714286
348,140093.714286
349,140073.285714
350,140040.571429
351,140033.857143
352,146015.666667
353,140207.428571
354,140227.285714
355,140392.0
356,140735.428571
357,140961.285714
358,141042.428571
359,141127.857143
360,141236.714286
361,141306.0
362,141591.571429
363,141732.714286
364,142068.285714
365,143627.0
366,102747.0
