day_of_year,reservoir_storage
1,15144.1176471
2,17612.0
3,19181.0
4,19704.2631579
5,19609.15
6,19589.45
7,20201.6842105
8,21055.4705882
9,19772.8947368
10,18866.25
11,18584.85
12,18187.7
13,18359.0
14,17591.85
15,17326.6
16,18090.1111111
17,17458.6315789
18,16448.047619
19,16820.8421053
20,16198.952381
21,16184.7619048
22,16379.65
23,16925.3
24,16660.2857143
25,17204.3809524
26,18008.8571429
27,19910.7777778
28,18470.0952381
29,18582.2380952
30,18647.3809524
31,21505.5
32,18730.2857143
33,18840.0952381
34,19529.7
35,19189.5714286
36,19595.3809524
37,20768.9473684
38,21323.3333333
39,20696.7777778
40,20665.5263158
41,20383.3809524
42,21595.4210526
43,21582.6315789
44,22025.2777778
45,21629.1578947
46,20837.15
47,21344.4210526
48,21646.4444444
49,20270.9
50,20026.75
51,19902.8571429
52,21361.0
53,20195.2380952
54,21058.5789474
55,21475.3
56,21286.5714286
57,22212.0
58,22025.7619048
59,24634.5
60,25970.7058824
61,24242.9473684
62,22922.9444444
63,24231.0
64,24086.3157895
65,24510.5
66,25205.047619
67,25410.4761905
68,26204.95
69,26084.9
70,27560.1904762
71,28790.2222222
72,29590.1052632
73,29118.1904762
74,29842.3333333
75,31190.4210526
76,31303.9
77,31804.6
78,34086.6666667
79,33659.1
80,34843.952381
81,36889.8
82,37330.7619048
83,38494.4761905
84,39977.4
85,41173.8
86,43080.8421053
87,43600.5714286
88,44712.2857143
89,44316.3809524
90,46165.6111111
91,47636.1052632
92,45824.1578947
93,49854.5
94,50780.8947368
95,55578.3888889
96,56516.8823529
97,54864.952381
98,58565.2222222
99,57318.4761905
100,59770.7894737
101,59612.5238095
102,58505.7619048
103,61862.1
104,60615.25
105,62191.2857143
106,67721.3684211
107,68722.05
108,70149.3157895
109,70792.7
110,71263.6666667
111,70132.1904762
112,74230.8095238
113,74405.9
114,75788.8
115,78156.6
116,78786.65
117,83306.45
118,82462.8
119,85976.2
120,88701.5
121,90668.6
122,91909.8947368
123,93502.2380952
124,94737.4
125,97005.05
126,99841.952381
127,102173.894737
128,105170.8
129,106074.333333
130,107697.35
131,109610.45
132,111799.380952
133,114975.0
134,116321.3
135,116838.952381
136,118643.333333
137,122878.315789
138,124051.0
139,123355.095238
140,124708.0
141,126012.142857
142,127215.761905
143,128297.142857
144,129403.666667
145,129920.45
146,131472.190476
147,132349.368421
148,133022.684211
149,135252.947368
150,132593.7
151,137642.222222
152,136410.35
153,135993.95
154,136336.631579
155,136821.65
156,137578.571429
157,138077.3
158,137861.47619
159,137685.047619
160,137351.380952
161,136931.761905
162,136174.777778
163,135578.555556
164,135343.428571
165,134436.0
166,133872.190476
167,134501.631579
168,132642.5
169,130784.315789
170,130385.761905
171,129314.904762
172,128415.263158
173,129819.789474
174,128449.631579
175,131631.111111
176,122287.8
177,121692.428571
178,117637.578947
179,117259.55
180,115609.85
181,115335.647059
182,118559.157895
183,113045.210526
184,109360.428571
185,107256.190476
186,106007.2
187,102985.380952
188,100861.714286
189,98722.4285714
190,96652.0
191,95611.1
192,89752.4
193,89892.2857143
194,87110.6315789
195,85125.9047619
196,85398.05
197,77102.35
198,74872.35
199,72614.2
200,71875.7058824
201,73719.0
202,71108.45
203,67821.75
204,65369.2857143
205,62000.0
206,58513.4
207,59419.3333333
208,57414.7142857
209,56230.9473684
210,55628.8
211,48840.4
212,53272.5
213,49818.15
214,41433.5263158
215,46449.6315789
216,42745.7619048
217,39900.0555556
218,41643.0
219,41570.2941176
220,37337.9473684
221,35848.2105263
222,29493.7058824
223,24893.8333333
224,24705.6875
225,30068.85
226,28951.45
227,28442.8421053
228,24458.45
229,25932.3
230,24798.55
231,23372.3333333
232,22571.6666667
233,24255.2777778
234,21227.6190476
235,16443.75
236,19895.8095238
237,15321.1
238,15126.5789474
239,18081.3333333
240,17948.55
241,16980.4285714
242,16819.4
243,16407.7647059
244,15561.7619048
245,15833.7058824
246,15109.1
247,14635.15
248,14020.8095238
249,13667.6190476
250,13721.15
251,13056.047619
252,13488.8333333
253,12967.2777778
254,12729.0555556
255,9715.64705882
256,12973.4705882
257,12150.7777778
258,11774.6842105
259,11566.8421053
260,11402.0555556
261,10855.6
262,10655.45
263,10741.6666667
264,10411.5789474
265,8612.77777778
266,8650.44444444
267,8580.0
268,9940.94736842
269,9811.55
270,9711.88888889
271,9855.5
272,8512.33333333
273,9865.22222222
274,9680.05263158
275,9416.52380952
276,9421.4
277,9360.94444444
278,9297.57894737
279,9345.3
280,9303.76190476
281,9629.47368421
282,9524.7
283,9335.4
284,8734.36842105
285,9286.80952381
286,9295.80952381
287,10221.8
288,10150.5238095
289,10249.952381
290,10333.1904762
291,10408.047619
292,10479.6666667
293,10510.6190476
294,10901.0
295,10603.3
296,10519.4285714
297,10459.9047619
298,10430.6190476
299,10394.047619
300,10377.4761905
301,10329.2380952
302,10533.35
303,10567.5555556
304,10660.8888889
305,10381.3684211
306,10354.2105263
307,10516.8571429
308,10557.3333333
309,10027.35
310,10730.55
311,10701.7368421
312,11536.2857143
313,12186.952381
314,12295.6666667
315,12225.75
316,12883.6315789
317,12546.25
318,12794.8421053
319,12392.45
320,12321.55
321,12390.1578947
322,12168.65
323,12054.2
324,12195.6666667
325,12187.1111111
326,11573.4761905
327,11980.0952381
328,12375.1
329,12365.2857143
330,12474.1428571
331,12746.5
332,12671.047619
333,13035.7
334,13476.8235294
335,13178.3
336,13480.3684211
337,13503.0
338,13820.8333333
339,13624.6315789
340,13469.4
341,14032.5555556
342,13627.6
343,13826.8421053
344,13180.0
345,13384.4
346,13756.45
347,13683.75
348,13367.7
349,13184.6315789
350,12494.8095238
351,12066.25
352,12054.952381
353,13123.2
354,13575.2631579
355,12976.1428571
356,13412.1578947
357,13194.047619
358,13534.1
359,13797.3
360,13797.5238095
361,14153.7
362,14743.2105263
363,15730.6315789
364,16258.4210526
365,21516.25
366,17120.75
