day_of_year,reservoir_storage
1,50618.4285714
2,53541.45
3,53507.5
4,53589.1052632
5,53477.7
6,53356.7
7,53441.0952381
8,53444.2380952
9,53444.5714286
10,53726.9
11,53978.65
12,53983.9
13,53834.7
14,53800.4
15,54002.1
16,54055.2
17,54243.9
18,54275.15
19,54252.55
20,54202.65
21,54429.2380952
22,54533.05
23,54714.45
24,54744.0
25,55064.15
26,55131.8
27,54866.55
28,55118.9
29,55505.45
30,55396.45
31,55282.4
32,55088.55
33,54957.5
34,55165.4
35,54921.8095238
36,54994.65
37,55118.3
38,55014.4761905
39,54987.85
40,54947.95
41,54963.4761905
42,55030.1
43,55294.65
44,55301.4
45,55356.5
46,55305.5
47,54979.55
48,55026.45
49,54943.7619048
50,54756.2
51,55199.45
52,55125.8421053
53,54632.7894737
54,55222.6
55,55254.3157895
56,55204.6
57,55299.1
58,55551.55
59,55553.85
60,55206.4444444
61,55484.9
62,55429.05
63,55556.0952381
64,55822.5
65,55742.2
66,55539.55
67,55227.7368421
68,55238.0
69,55273.9473684
70,55428.1428571
71,55580.6666667
72,55647.85
73,55426.3
74,55430.7
75,55365.0526316
76,55771.5263158
77,55508.3333333
78,55612.047619
79,55974.8
80,55791.0
81,56087.75
82,56221.8421053
83,56227.9473684
84,56552.6666667
85,56648.5714286
86,56700.4761905
87,56528.6
88,56848.0
89,56870.2105263
90,57065.8947368
91,57108.15
92,57448.0
93,57644.95
94,57669.25
95,57622.45
96,57804.4210526
97,57978.6
98,58288.4285714
99,58354.05
100,58585.3809524
101,58694.55
102,58803.8
103,59050.3
104,59215.2
105,59028.952381
106,59378.15
107,59358.7
108,59512.9
109,59668.0
110,59762.95
111,59869.6666667
112,60116.5714286
113,60262.1
114,60382.15
115,60319.6
116,60620.05
117,60449.35
118,60616.6
119,60518.0952381
120,60801.75
121,60899.3
122,61008.2
123,61138.9
124,61529.75
125,61752.15
126,61707.7142857
127,61793.5714286
128,61892.35
129,61778.2
130,61932.75
131,62033.7
132,62271.7894737
133,62426.5714286
134,62849.25
135,62844.4736842
136,63003.3
137,62995.9
138,63395.7
139,63297.8
