day_of_year,reservoir_storage
1,134563.847938
2,143681.517326
3,143662.186715
4,143623.006103
5,143317.075491
6,143035.49488
7,143028.164268
8,142983.883657
9,142929.153045
10,143116.672434
11,143260.341822
12,143534.961211
13,143690.430599
14,144025.699987
15,144417.719376
16,144800.388764
17,145197.758153
18,145478.677541
19,145897.79693
20,146201.416318
21,146535.385707
22,146692.055095
23,147117.374483
24,147641.643872
25,148173.71326
26,148613.582649
27,148876.302037
28,149041.371426
29,149204.390814
30,149312.935202
31,149484.879591
32,149756.598979
33,150088.433368
34,150366.667756
35,150603.202145
36,151019.336533
37,151347.909558
38,151713.682583
39,152084.480608
40,152519.128632
41,152904.226657
42,153244.624682
43,153540.512707
44,153849.500732
45,154407.488756
46,154674.476781
47,154952.014806
48,155525.036104
49,155771.057402
50,155883.0287
51,156141.449998
52,156319.177833
53,156338.755668
54,156454.558502
55,156555.861337
56,156914.364172
57,157142.817007
58,157530.594842
59,157986.397677
60,158319.750512
61,158692.878347
62,159017.956182
63,159388.984017
64,159810.161852
65,160020.589687
66,160190.867522
67,160357.495357
68,160386.923192
69,160485.351027
70,160606.453862
71,160866.456697
72,160951.534532
73,161195.612367
74,161386.090202
75,161552.468037
76,161869.795872
77,162167.523707
78,162505.201542
79,163004.129377
80,163504.157212
81,164142.435047
82,164870.362882
83,165898.640717
84,166699.868552
85,167608.646387
86,168397.099222
87,169260.777057
88,169837.079892
89,170377.157727
90,170827.885562
91,171593.888397
92,172073.891232
93,172789.194067
94,173509.346902
95,174247.224737
96,175035.352572
97,175698.330407
98,176348.458242
99,177027.786077
100,177735.788912
101,178372.791747
102,179079.169582
103,179840.647417
104,180823.125252
105,181591.003087
106,182313.980922
107,183209.558757
108,184020.236592
109,184488.414427
110,185867.392262
111,186678.620097
112,187723.964599
113,188899.3091
114,189885.953602
115,190839.731437
116,191800.359272
117,192938.137107
118,194247.114942
119,195580.042777
120,196698.670612
121,198017.248447
122,199490.826282
123,201015.204117
124,202341.531952
125,204012.209787
126,205283.737622
127,206562.015457
128,207891.243292
129,209380.271127
130,210362.348962
131,211347.476797
132,212328.204632
133,213380.332467
134,214364.510302
135,215326.488137
136,216712.140972
137,217631.243807
