day_of_year,reservoir_storage
1,204458.421053
2,203435.190476
3,203278.571429
4,203158.05
5,202801.047619
6,202301.333333
7,202144.095238
8,202188.428571
9,202585.333333
10,203918.904762
11,203585.190476
12,203684.666667
13,203940.238095
14,201877.9
15,203616.190476
16,205693.95
17,203060.428571
18,202987.285714
19,203444.52381
20,204031.095238
21,204008.428571
22,203565.857143
23,203686.857143
24,203529.904762
25,204884.85
26,204350.285714
27,203706.4
28,203894.157895
29,203806.0
30,203067.190476
31,202696.857143
32,203223.05
33,202932.15
34,202888.4
35,202115.3
36,204074.0
37,205019.15
38,204504.52381
39,205282.25
40,205317.7
41,205611.157895
42,206249.6
43,206566.95
44,207023.5
45,207477.55
46,207318.894737
47,206997.3
48,207445.25
49,206224.333333
50,207914.75
51,208750.947368
52,209313.368421
53,209943.777778
54,209787.1
55,209610.25
56,208321.761905
57,209228.631579
58,208786.7
59,207804.45
60,207317.333333
61,207519.85
62,207552.5
63,207151.428571
64,208216.9
65,208772.75
66,208729.75
67,208058.157895
68,207933.85
69,208215.1
70,207809.285714
71,207994.047619
72,208273.95
73,208329.45
74,208879.4
75,209342.65
76,209475.55
77,208709.619048
78,208123.714286
79,208219.6
80,208299.0
81,209094.55
82,208939.761905
83,209544.714286
84,209764.35
85,209633.1
86,209326.095238
87,209436.65
88,209434.7
89,209172.2
90,209660.95
91,210289.75
92,303768.7
93,212028.55
94,212755.6
95,213617.526316
96,214380.0
97,215425.8
98,216151.047619
99,217227.45
100,217763.0
101,218787.9
102,220515.45
103,221598.45
104,222598.7
105,223107.095238
106,224299.55
107,224491.25
108,225855.3
109,226345.45
110,226892.0
111,227073.285714
112,228066.333333
113,229425.0
114,230115.95
115,230865.75
116,231825.7
117,232686.8
118,233407.2
119,234033.571429
120,235248.9
121,235516.85
122,235906.4
123,236052.95
124,236154.5
125,236122.6
126,235382.238095
127,235605.619048
128,236229.15
129,236355.8
130,236092.684211
131,236455.6
132,236820.736842
133,235887.857143
134,236664.2
135,236680.05
136,236889.8
137,237082.1
138,237406.65
139,237429.45
140,236775.619048
141,237524.7
142,237816.052632
143,237670.1
144,237825.85
145,237831.7
146,237920.315789
147,237392.47619
148,238115.45
149,237578.611111
150,236776.428571
151,237719.2
152,237571.473684
153,237684.9
154,236908.52381
155,237608.6
156,237632.0
157,237457.8
158,237312.0
159,237681.55
160,237683.35
161,237605.190476
162,237861.1
163,237931.3
164,238102.05
165,238119.9
166,237924.75
167,237690.7
168,237870.380952
169,238048.238095
170,238002.952381
171,237955.684211
172,238098.1
173,237994.15
174,238091.1
175,237934.55
176,238081.714286
177,238058.952381
178,238186.571429
179,238180.380952
180,238103.190476
181,238074.1
182,238088.2
183,237886.190476
184,237918.368421
185,237974.65
186,237830.190476
187,237858.95
188,237913.333333
189,237879.714286
190,237888.761905
191,237944.55
192,237893.904762
193,237815.095238
194,237793.47619
195,237821.0
196,237767.47619
197,237798.142857
198,237859.0
199,237794.95
200,237965.238095
201,237756.5
202,237711.8
203,237887.714286
204,237970.0
205,237821.7
206,238013.15
207,237985.904762
208,237869.047619
209,237512.7
210,237640.285714
211,237606.9
212,237795.05
213,237719.238095
214,237892.190476
215,237742.0
216,237820.809524
217,237889.52381
218,238003.47619
219,237983.0
220,237975.0
221,237978.571429
222,237842.25
223,237845.55
224,237855.25
225,238008.190476
226,237905.761905
227,237875.25
228,237879.3
229,237828.904762
230,237793.0
231,237726.380952
232,237853.904762
233,237846.190476
234,237755.2
235,237658.904762
236,237614.52381
237,237548.380952
238,237414.05
239,237462.571429
240,237597.714286
241,237563.05
242,237492.761905
243,237578.285714
244,237419.05
245,237395.85
246,237278.7
247,237199.142857
248,237043.333333
249,237051.761905
250,236926.263158
251,237614.6
252,236714.7
253,236645.95
254,236586.904762
255,236523.380952
256,236376.428571
257,236266.047619
258,236128.95
259,235997.35
260,235850.2
261,235853.15
262,235964.761905
263,235812.047619
264,235724.52381
265,235598.428571
266,235420.095238
267,235259.857143
268,235058.809524
269,234627.2
270,234479.3
271,234447.904762
272,234301.809524
273,233999.285714
274,233341.947368
275,233535.619048
276,233100.666667
277,232946.571429
278,232673.761905
279,232345.238095
280,231947.380952
281,231827.0
282,231748.666667
283,231320.761905
284,230765.428571
285,230018.428571
286,229430.809524
287,229203.619048
288,228561.904762
289,227772.380952
290,226990.761905
291,228274.3
292,227696.75
293,224686.380952
294,222953.85
295,225284.55
296,221859.857143
297,221131.0
298,220270.52381
299,219297.571429
300,218473.857143
301,217521.904762
302,215653.8
303,215889.52381
304,215354.095238
305,214633.333333
306,214114.952381
307,213203.333333
308,212314.047619
309,210746.35
310,209985.85
311,209803.904762
312,208940.5
313,207640.888889
314,207279.05
315,206443.75
316,205383.619048
317,205443.45
318,204848.7
319,204226.45
320,203872.7
321,203212.736842
322,203079.5
323,202039.0
324,202628.9
325,202474.15
326,205467.210526
327,205750.526316
328,202943.45
329,202985.75
330,202146.095238
331,202737.736842
332,202756.7
333,202738.95
334,202718.5
335,202814.6
336,202627.7
337,201744.666667
338,202420.2
339,205254.526316
340,202400.05
341,202565.9
342,202853.3
343,203031.7
344,202599.904762
345,203820.9
346,203851.55
347,203654.25
348,203502.45
349,203561.85
350,204053.8
351,202953.238095
352,203536.85
353,203427.421053
354,203723.6
355,203474.0
356,203193.15
357,202932.9
358,202596.55
359,202538.5
360,201991.631579
361,202208.25
362,202598.8
363,202381.85
364,202647.7
365,203185.1
366,208297.2
