day_of_year,reservoir_storage
1,221118.470588
2,217785.65
3,218378.4
4,223687.894737
5,218135.210526
6,219132.0
7,219498.578947
8,217453.470588
9,216489.55
10,215918.75
11,215598.6
12,215582.6
13,215622.85
14,223840.736842
15,221980.578947
16,224704.473684
17,226560.684211
18,221246.190476
19,220275.2
20,222978.380952
21,223977.6
22,222152.736842
23,229566.333333
24,225293.095238
25,227130.095238
26,228931.190476
27,232968.736842
28,229751.333333
29,232429.2
30,232044.75
31,236057.125
32,228396.714286
33,227262.75
34,229435.52381
35,230421.285714
36,232898.315789
37,241501.3125
38,238297.0
39,238801.4
40,238951.3
41,233581.428571
42,232934.894737
43,232855.631579
44,238589.888889
45,237636.421053
46,237827.4
47,240298.052632
48,239329.85
49,239362.894737
50,241507.7
51,237050.809524
52,239333.842105
53,238025.55
54,238595.421053
55,244907.105263
56,239096.619048
57,238621.2
58,239088.619048
59,247317.294118
60,248538.625
61,242159.789474
62,241580.7
63,241355.05
64,240896.105263
65,242438.3
66,237990.9
67,238360.619048
68,239541.619048
69,244916.666667
70,240200.761905
71,244038.833333
72,240733.85
73,241683.666667
74,241964.095238
75,245749.75
76,241795.238095
77,241071.05
78,239764.411765
79,240871.65
80,241075.7
81,241983.0
82,237297.263158
83,238230.45
84,242444.65
85,238047.842105
86,240753.578947
87,237840.210526
88,238230.55
89,240765.285714
90,246790.944444
91,238042.947368
92,237877.894737
93,239192.666667
94,237566.166667
95,237359.764706
96,237772.294118
97,238646.761905
98,237073.444444
99,237820.789474
100,237679.0
101,237296.555556
102,239040.842105
103,239928.380952
104,239645.047619
105,238811.85
106,238426.0
107,238068.947368
108,237199.277778
109,237845.45
110,237527.85
111,233876.1
112,236938.052632
113,236199.833333
114,234177.15
115,238690.166667
116,237035.5
117,236499.315789
118,236908.7
119,236750.0
120,238115.529412
121,236450.421053
122,236199.368421
123,236043.210526
124,236436.95
125,235895.210526
126,235675.210526
127,234985.277778
128,236419.952381
129,235014.666667
130,235950.45
131,235383.789474
132,236146.47619
133,235058.166667
134,235543.55
135,235634.0
136,235811.904762
137,237121.157895
138,235016.052632
139,235700.9
140,236854.176471
141,234619.777778
142,235173.15
143,234875.833333
144,234389.333333
145,235379.47619
146,234750.263158
147,234224.631579
148,234426.35
149,233708.555556
150,227711.777778
151,236045.333333
152,234804.526316
153,229286.5
154,235484.444444
155,236011.578947
156,234060.5
157,234220.52381
158,234042.142857
159,233520.65
160,233682.857143
161,233473.428571
162,232650.3
163,232431.25
164,232834.095238
165,232119.85
166,231511.0
167,233901.45
168,231439.7
169,230115.833333
170,231116.5
171,230781.05
172,230508.45
173,233653.684211
174,233380.555556
175,233037.888889
176,232486.764706
177,229047.684211
178,228993.95
179,228749.4
180,228520.85
181,228154.210526
182,229616.823529
183,229552.444444
184,227573.75
185,227322.45
186,229477.842105
187,226818.35
188,226577.4
189,226319.95
190,225642.166667
191,228144.95
192,225567.75
193,225504.1
194,224242.578947
195,225430.142857
196,227836.055556
197,227594.555556
198,223744.5
199,222977.210526
200,222325.947368
201,225570.4
202,225318.85
203,222247.263158
204,222494.8
205,222266.7
206,218922.578947
207,223642.684211
208,221532.7
209,220857.526316
210,220875.842105
211,220770.2
212,221435.8125
213,220741.05
214,219164.473684
215,220461.571429
216,219651.25
217,218133.529412
218,219225.105263
219,220581.176471
220,218830.176471
221,219143.277778
222,217963.277778
223,216819.210526
224,216107.352941
225,228655.588235
226,217129.75
227,214879.2
228,213779.947368
229,228356.7
230,213719.45
231,216314.095238
232,216079.904762
233,214923.315789
234,213982.0
235,216084.473684
236,214785.95
237,213826.4
238,212705.055556
239,214267.333333
240,214008.285714
241,213088.85
242,213489.714286
243,211608.722222
244,213187.85
245,214544.388889
246,211836.3
247,210960.736842
248,211455.3
249,211910.55
250,211923.210526
251,210404.052632
252,215993.294118
253,213728.833333
254,213340.117647
255,211807.470588
256,213452.666667
257,212486.777778
258,213123.052632
259,212487.944444
260,212245.631579
261,212138.55
262,211929.0
263,211704.85
264,211452.9
265,210362.315789
266,206262.421053
267,207743.047619
268,207546.952381
269,206694.8
270,207109.380952
271,206975.722222
272,205941.157895
273,207397.789474
274,205990.9
275,205764.75
276,201524.1
277,204756.5
278,201727.095238
279,201531.904762
280,205004.428571
281,204862.55
282,204004.736842
283,206897.263158
284,203755.45
285,204004.285714
286,203740.857143
287,203030.15
288,203303.714286
289,203196.52381
290,202972.0
291,202165.55
292,202562.571429
293,202403.52381
294,200782.444444
295,201411.5
296,201336.25
297,201631.882353
298,201544.47619
299,201363.666667
300,201182.952381
301,201000.666667
302,200321.25
303,201567.789474
304,205055.222222
305,199545.578947
306,202570.944444
307,199971.238095
308,199758.904762
309,198510.45
310,199035.526316
311,198729.4
312,199036.333333
313,198836.952381
314,198304.3
315,197613.7
316,198432.190476
317,199126.0
318,197764.842105
319,196856.7
320,197228.5
321,196009.263158
322,198243.684211
323,196707.9
