day_of_year,reservoir_storage
1,255564.0
2,256680.666667
3,257831.333333
4,258271.666667
5,259964.333333
6,260216.333333
7,261162.0
8,262876.666667
9,263041.0
10,263811.333333
11,263874.0
12,265268.666667
13,265350.333333
14,266912.333333
15,268272.333333
16,268797.0
17,269419.666667
18,269678.333333
19,269097.0
20,269396.0
21,269571.666667
22,270177.666667
23,271157.0
24,270942.666667
25,270648.0
26,271311.0
27,272000.666667
28,273367.666667
29,274407.333333
30,274982.0
31,274298.333333
32,273432.666667
33,273124.333333
34,274267.666667
35,275605.0
36,276122.333333
37,276342.0
38,276043.0
39,275903.333333
40,276972.666667
41,278472.0
42,278770.666667
43,278773.333333
44,279174.0
45,278409.333333
46,277506.666667
47,278121.666667
48,279676.0
49,279873.333333
50,281089.666667
51,281919.0
52,282821.666667
53,283577.333333
54,284978.333333
55,285796.666667
56,285827.666667
57,288102.333333
58,289265.666667
59,289276.666667
60,288989.0
61,290136.0
62,289593.0
63,289622.666667
64,290175.666667
65,290762.666667
66,290415.666667
67,289500.333333
68,289087.666667
69,289916.666667
70,289621.666667
71,289464.333333
72,288984.666667
73,287678.666667
74,286343.0
75,285534.0
76,285107.333333
77,284414.333333
78,283806.333333
79,283507.0
80,282557.0
81,281603.333333
82,281780.0
83,281914.666667
84,280568.666667
85,279746.0
86,278995.666667
87,277332.333333
88,275675.666667
89,273991.0
90,273802.0
91,273172.666667
92,272510.0
93,271499.333333
94,269858.666667
95,268330.0
96,268013.333333
97,267729.666667
98,268125.333333
99,268384.0
100,268929.333333
101,268999.0
102,268959.333333
103,269063.0
104,268839.0
105,267533.0
106,267717.0
107,267170.666667
108,267315.0
109,267114.333333
110,266057.666667
111,266036.666667
112,265243.0
113,266119.333333
114,266386.333333
115,266615.666667
116,266128.0
117,265625.0
118,265737.666667
119,266391.0
120,274436.5
121,267695.333333
122,267566.0
123,267589.666667
124,268858.333333
125,269604.333333
126,269143.0
127,270542.666667
128,271940.666667
129,271743.666667
130,271340.0
131,270981.0
132,270366.333333
133,270340.333333
134,270894.0
135,270746.666667
136,270309.333333
137,269593.666667
138,269233.333333
139,270122.666667
140,269550.0
141,270417.666667
142,269061.666667
143,268344.333333
144,267994.0
145,267596.333333
146,268880.333333
147,269637.0
148,279533.25
149,279125.0
150,278925.0
151,278177.25
152,278166.25
153,278510.25
154,278896.0
155,279198.5
156,278062.5
157,277833.5
158,277479.75
159,276856.75
160,276845.0
161,276082.75
162,275696.0
163,276132.0
164,276408.5
165,276318.5
166,275031.25
167,274353.75
168,274294.5
169,273800.0
170,273578.5
171,273707.25
172,273824.0
173,272424.25
174,271973.25
175,271885.25
176,272009.25
177,270235.666667
178,269323.0
179,267600.0
180,266590.666667
181,266268.666667
182,267550.666667
183,268691.5
184,268481.75
185,267005.25
186,266711.0
187,265819.25
188,264968.5
189,264545.0
190,266397.75
191,266899.25
192,266053.5
193,265192.75
194,264845.25
195,264675.5
196,265904.25
197,266958.75
198,267138.5
199,266223.5
200,266028.0
201,265009.0
202,264940.25
203,265215.75
204,267196.0
205,267558.0
206,267380.333333
207,266609.666667
208,265288.666667
209,265241.333333
210,265422.333333
211,265804.333333
212,265893.333333
213,265990.75
214,265928.0
215,265452.5
216,266186.25
217,266526.25
218,266013.0
219,266294.0
220,267045.0
221,266506.75
222,265636.75
223,266531.25
224,266798.25
225,266554.5
226,266957.5
227,267398.75
228,267544.25
229,267470.5
230,267675.0
231,267452.25
232,268572.25
233,269732.5
234,269355.25
235,268900.25
236,268939.75
237,268278.5
238,268134.5
239,268016.75
240,268215.25
241,267809.5
242,267819.0
243,267111.25
244,266975.0
245,266736.5
246,266804.25
247,267039.25
248,266329.0
249,265939.5
250,265246.25
251,265288.75
252,265377.75
253,266067.0
254,266688.25
255,265959.25
256,265880.5
257,266068.0
258,266385.5
259,265958.25
260,265273.5
261,264240.0
262,263111.75
263,262389.5
264,262016.0
265,262116.5
266,261512.75
267,260995.75
268,260641.0
269,260129.25
270,259416.75
271,258907.25
272,259256.0
273,260017.25
274,259985.75
275,259435.25
276,258924.75
277,258992.25
278,258684.0
279,258354.5
280,259046.25
281,259889.75
282,261074.5
283,260744.25
284,259920.25
285,259044.5
286,258820.5
287,258626.5
288,258199.0
289,257967.0
290,258325.25
291,257377.5
292,257367.75
293,257006.0
294,256969.75
295,257469.75
296,256941.75
297,256137.0
298,255538.25
299,255404.75
300,255465.25
301,255588.75
302,256234.0
303,256013.75
304,255252.0
305,254462.75
306,254007.25
307,253825.0
308,254485.75
309,255614.5
310,255365.0
311,254507.75
312,253534.0
313,253086.5
314,253190.5
315,253065.25
316,252117.25
317,251652.0
318,250721.5
319,250026.5
320,248481.5
321,248191.0
322,249173.0
323,249154.0
324,248864.5
325,248619.5
326,248492.25
327,247821.0
328,247419.25
329,248496.0
330,250205.0
331,250285.0
332,251033.75
333,251290.5
334,251283.5
335,251064.0
336,251234.0
337,251930.25
338,251454.25
339,250461.25
340,250464.25
341,250841.0
342,251124.25
343,252038.25
344,253051.25
345,252600.5
346,252282.5
347,252449.25
348,251983.5
349,252046.0
350,253605.25
351,255000.0
352,255978.0
353,257290.5
354,257955.75
355,258133.75
356,259094.0
357,259664.75
358,260957.5
359,261729.0
360,261746.5
361,262535.5
362,262518.0
363,262991.5
364,263688.25
365,264461.5
366,246316.0
