day_of_year,reservoir_storage
1,1515011.65
2,1481751.28571
3,1484780.04762
4,1492101.9
5,1488653.04762
6,1483886.71429
7,1491834.14286
8,1493869.61905
9,1496146.14286
10,1500174.90476
11,1503834.90476
12,1507121.90476
13,1511125.57143
14,1517125.0
15,1519498.38095
16,1522843.80952
17,1525940.19048
18,1529564.7619
19,1532140.7619
20,1534672.42857
21,1536472.0
22,1538055.71429
23,1540053.09524
24,1533733.45
25,1544129.09524
26,1547028.85714
27,1550176.7619
28,1552513.80952
29,1554303.38095
30,1556489.66667
31,1559300.66667
32,1562907.09524
33,1566953.47619
34,1570675.57143
35,1574934.52381
36,1579000.04762
37,1582615.66667
38,1586441.0
39,1589804.71429
40,1592259.33333
41,1595037.19048
42,1597222.38095
43,1599406.19048
44,1601371.33333
45,1604267.52381
46,1607221.90476
47,1609647.80952
48,1614470.90476
49,1619188.33333
50,1623106.80952
51,1664111.05
52,1613268.2
53,1632960.52381
54,1636399.33333
55,1639327.38095
56,1641866.61905
57,1644909.33333
58,1647865.42857
59,1651406.09524
60,1742984.73684
61,1659397.33333
62,1663126.66667
63,1666614.80952
64,1669721.0
65,1672551.95238
66,1683599.35
67,1725343.65
68,1680235.09524
69,1684395.0
70,1688506.0
71,1692540.42857
72,1696579.14286
73,1700799.71429
74,1706591.2381
75,1712744.57143
76,1718912.19048
77,1723917.19048
78,1728475.09524
79,1732711.42857
80,1736878.66667
81,1742457.2381
82,1749935.7619
83,1756134.19048
84,1747858.65
85,1751781.55
86,1767955.52381
87,1771426.09524
88,1774518.19048
89,1761599.7
90,1780794.0
91,1783915.71429
92,1786942.85714
93,1789907.09524
94,1793160.38095
95,1796776.90476
96,1799872.71429
97,1803177.85714
98,1806554.04762
99,1809781.28571
100,1813080.52381
101,1816686.33333
102,1820700.04762
103,1824882.90476
104,1829335.7619
105,1833022.33333
106,1836240.47619
107,1839668.66667
108,1844372.95238
109,1848402.04762
110,1852361.0
111,1855807.52381
112,1858864.09524
113,1862032.38095
114,1865246.85714
115,1868908.38095
116,1872514.95238
117,1876313.0
118,1880126.66667
119,1883796.7619
120,1887025.66667
121,1889898.90476
122,1892527.42857
123,1896162.19048
124,1898613.14286
125,1900610.42857
126,1903577.85714
127,1905875.0
128,1908063.7619
129,1909753.19048
130,1908228.75
131,1912351.52381
132,1913338.0
133,1914177.0
134,1914739.80952
135,1915878.14286
136,1917241.57143
137,1918250.7619
138,1919485.71429
139,1922356.04762
140,1925122.33333
141,1927173.90476
142,1944941.75
143,1933254.66667
144,1935476.09524
145,1938126.66667
146,1933195.71429
147,1944034.57143
148,1946987.95238
149,1958856.75
150,1944887.15
151,1954095.7619
152,1933487.0
153,1956679.04762
154,1957989.61905
155,1960011.38095
156,1960510.2381
157,1961738.90476
158,1962261.09524
159,1962434.0
160,1962338.47619
161,1961781.90476
162,1960898.0
163,1959947.57143
164,1958865.71429
165,1957565.38095
166,1956773.66667
167,1955211.90476
168,1953498.52381
169,1951497.0
170,1949781.47619
171,1947766.38095
172,1945489.2381
173,1943636.42857
174,1941525.14286
175,1939254.95238
176,1936884.0
177,1934531.7619
178,1932047.19048
179,1929500.2381
180,1926944.14286
181,1924482.7619
182,1921592.42857
183,1918373.28571
184,1953129.15
185,1911305.04762
186,1907702.2381
187,1942096.85
188,1900248.57143
189,1896374.61905
190,1892529.66667
191,1888274.33333
192,1884020.42857
193,1879875.38095
194,1875886.2381
195,1871794.09524
196,1867768.47619
197,1863443.85714
198,1858986.95238
199,1892396.55
200,1849893.47619
201,1882232.4
202,1841282.14286
203,1836713.66667
204,1832337.7619
205,1827844.7619
206,1823090.95238
207,1818422.14286
208,1813660.38095
209,1785909.05
210,1804122.95238
211,1799221.52381
212,1794291.04762
213,1789375.0
214,1784459.38095
215,1779676.42857
216,1774791.66667
217,1769847.57143
218,1764835.28571
219,1760039.09524
220,1755501.90476
221,1750982.0
222,1746387.38095
223,1741797.85714
224,1737321.28571
225,1732875.28571
226,1728232.38095
227,1723319.85714
228,1718341.0
229,1698575.6
230,1694099.25
231,1704265.47619
232,1699760.28571
233,1695224.0
234,1729327.9
235,1686000.09524
236,1680976.0
237,1675993.28571
238,1670896.33333
239,1665842.57143
240,1660659.2381
241,1693284.55
242,1650789.71429
243,1645818.47619
244,1640832.09524
245,1635987.33333
246,1631217.52381
247,1626470.57143
248,1622124.33333
249,1617117.42857
250,1612628.19048
251,1608199.7619
252,1620951.3
253,1599785.19048
254,1595732.0
255,1591724.90476
256,1587561.61905
257,1583171.95238
258,1578852.95238
259,1590796.0
260,1586567.0
261,1566385.28571
262,1562386.0
263,1558572.28571
264,1554880.71429
265,1551000.80952
266,1547174.28571
267,1543496.90476
268,1539757.80952
269,1536191.85714
270,1532271.28571
271,1528155.19048
272,1524071.95238
