day_of_year,reservoir_storage
1,451657.894737
2,470909.647059
3,459247.777778
4,483045.647059
5,506384.25
6,472600.588235
7,481758.388889
8,456436.15
9,474310.263158
10,476116.526316
11,499237.222222
12,473048.833333
13,458682.5
14,460035.888889
15,465733.947368
16,502164.176471
17,503293.588235
18,489173.4375
19,497767.642857
20,491828.25
21,465874.777778
22,487591.0
23,508377.166667
24,477142.95
25,501169.421053
26,495426.333333
27,487097.235294
28,449451.833333
29,470299.526316
30,496481.631579
31,493988.444444
32,528098.722222
33,499216.166667
34,478533.526316
35,482153.631579
36,474968.105263
37,489308.944444
38,510651.894737
39,542461.058824
40,515597.058824
41,492260.529412
42,518501.0
43,477479.526316
44,504274.789474
45,524979.722222
46,538888.722222
47,528577.058824
48,509789.352941
49,476192.882353
50,504162.705882
51,495957.666667
52,505137.388889
53,543306.666667
54,533283.705882
55,490702.888889
56,514550.764706
57,503702.0
58,515845.052632
59,527188.157895
60,553484.611111
61,524953.388889
62,518198.235294
63,505734.333333
64,499876.888889
65,524309.789474
66,535210.315789
67,550301.882353
68,533086.611111
69,512307.411765
70,526016.333333
71,507705.473684
72,534085.526316
73,570731.611111
74,571393.333333
75,543713.888889
76,515702.823529
77,508003.45
78,510455.842105
79,533167.833333
80,533813.7
81,558797.684211
82,555666.277778
83,535019.736842
84,521483.888889
85,522477.5
86,528916.526316
87,570588.842105
88,571529.263158
89,570741.882353
90,548144.111111
91,533418.631579
92,534347.684211
93,559853.631579
94,573454.0
95,573881.888889
96,580385.588235
97,548105.058824
98,524884.235294
99,546182.631579
100,531415.555556
101,547957.166667
102,588272.947368
103,603986.764706
104,556654.888889
105,545699.944444
106,556171.684211
107,550638.894737
108,576708.631579
109,596867.263158
110,592942.722222
111,566170.294118
112,554707.947368
113,578016.222222
114,567065.15
115,581130.05
116,591267.882353
117,611634.5
118,592999.2
119,553484.235294
120,568181.777778
121,571695.157895
122,588620.444444
123,624256.555556
124,621050.058824
125,579006.3125
126,586121.052632
127,596088.947368
128,589476.842105
129,612352.277778
130,637650.882353
131,640019.588235
132,612026.411765
133,605694.0
134,617211.210526
135,622652.45
136,641370.894737
137,648489.625
138,664443.411765
139,638948.941176
140,635197.5
141,662549.388889
142,636798.789474
143,670283.684211
144,695814.666667
145,713229.5
146,696418.941176
147,678300.647059
148,650372.411765
149,659709.166667
150,694272.736842
151,725420.157895
152,721817.388889
153,697910.166667
154,693090.947368
155,694941.157895
156,682971.473684
157,726049.6
158,736597.444444
159,743078.722222
160,717608.222222
161,679721.5625
162,702116.833333
163,696089.421053
164,753415.611111
165,760636.105263
166,754003.388889
167,727360.5
168,721134.388889
169,719557.947368
170,715465.25
171,736438.947368
172,754268.333333
173,746208.588235
174,719241.764706
175,708581.944444
176,706048.722222
177,701008.947368
178,736851.526316
179,743911.588235
180,759631.833333
181,712164.117647
182,704987.444444
183,704067.722222
184,767113.5
185,728003.294118
186,747992.6875
187,738267.941176
188,716006.055556
189,694604.5
190,707637.736842
191,685218.157895
192,720364.842105
193,726609.176471
194,756175.8125
195,700404.055556
196,703004.294118
197,714366.722222
198,690128.222222
199,714830.111111
200,750380.588235
201,713125.588235
202,701375.941176
203,661951.888889
204,656073.055556
205,650509.894737
206,684525.526316
207,700561.722222
208,679317.625
209,661102.722222
210,641508.222222
211,655487.421053
212,661166.611111
213,653609.5
214,679591.055556
215,680510.555556
216,638893.444444
217,605153.117647
218,634357.052632
219,609354.631579
220,642730.842105
221,658289.055556
222,623359.0625
223,616979.055556
224,580702.294118
225,613411.473684
226,588508.473684
227,621163.368421
228,636845.166667
229,629066.235294
230,584130.0
231,565533.176471
232,614231.722222
233,567601.157895
234,599963.105263
235,596680.823529
236,615810.111111
237,574515.277778
238,557688.111111
239,572690.842105
240,571709.333333
241,580349.157895
242,595885.722222
243,582307.941176
244,573869.294118
245,564109.705882
246,551036.529412
247,557547.0
248,542206.555556
249,591096.0
250,602502.411765
251,557787.733333
252,534825.9375
253,551049.882353
254,554175.411765
255,568720.888889
256,586614.764706
257,541241.705882
258,521063.277778
259,529724.352941
260,543974.5
261,530406.421053
262,551825.666667
263,577234.3125
264,549384.529412
265,506219.055556
266,515288.764706
267,507115.421053
268,504990.166667
269,537374.611111
270,543498.6875
271,530168.166667
272,493269.0
273,493953.1875
274,515164.111111
275,502280.736842
276,532279.631579
277,549273.111111
278,525549.789474
279,482732.944444
280,491711.941176
281,487187.294118
282,487360.058824
283,487394.947368
284,502664.444444
285,523704.823529
286,498073.5
287,466921.529412
288,468591.263158
289,446880.842105
290,474271.0
291,481467.625
292,507332.0625
293,478412.941176
294,466768.764706
295,457538.947368
296,436555.315789
297,463780.842105
298,488936.823529
299,478870.5
300,449278.944444
301,447491.529412
302,474039.823529
303,427640.529412
304,437594.058824
305,451720.875
306,471890.666667
307,444086.555556
308,426007.947368
309,437606.823529
310,415891.470588
311,456864.055556
312,479745.705882
313,459372.882353
314,449290.6
315,460760.866667
316,442460.736842
317,430823.058824
318,452438.473684
319,482164.25
320,468572.277778
321,441330.388889
322,460408.294118
323,432017.333333
324,421966.947368
325,469982.388889
326,468775.066667
327,455862.823529
328,436635.125
329,435240.5625
330,459423.222222
331,453391.764706
332,448163.736842
333,463896.388889
334,464794.611111
335,438250.0
336,441183.0
337,440566.526316
338,432192.4
339,459119.5
340,477787.588235
341,468876.833333
342,442809.777778
343,442103.157895
344,441151.473684
345,434258.2
346,462204.4
347,478910.0
348,480608.473684
349,455525.052632
350,445261.894737
351,450496.764706
352,426700.578947
353,455881.789474
354,472668.277778
355,474301.666667
356,458113.294118
357,477571.0625
358,501811.466667
359,466384.833333
360,465609.35
361,473138.555556
362,475302.333333
363,451352.0
364,438250.888889
365,506387.266667
366,475500.75
