day_of_year,reservoir_storage
1,261283.0
2,267779.105263
3,269943.526316
4,268223.1
5,266369.380952
6,261309.263158
7,269479.315789
8,269596.15
9,271590.52381
10,275610.8
11,276859.736842
12,278444.25
13,277044.761905
14,278672.578947
15,281204.777778
16,285818.105263
17,286969.65
18,288220.75
19,289752.45
20,285405.1
21,290070.65
22,290962.947368
23,292540.35
24,298935.85
25,301607.15
26,301521.47619
27,303481.47619
28,302437.631579
29,305446.0
30,299090.263158
31,311013.684211
32,321492.736842
33,318045.45
34,319875.7
35,309529.631579
36,320945.277778
37,321616.105263
38,322209.25
39,330491.473684
40,317367.611111
41,305466.888889
42,321900.526316
43,328783.2
44,329698.0
45,327620.0
46,335025.684211
47,339265.333333
48,332704.05
49,321497.157895
50,319983.222222
51,322998.833333
52,334914.5
53,329878.421053
54,330819.473684
55,338480.25
56,331253.684211
57,335065.411765
58,337627.578947
59,344400.75
60,349520.526316
61,347691.1
62,341657.285714
63,338711.1
64,348193.736842
65,355068.05
66,360014.684211
67,361793.842105
68,360591.85
69,362725.7
70,352708.15
71,352482.421053
72,368494.473684
73,375461.052632
74,376385.736842
75,373992.45
76,368154.761905
77,369329.095238
78,371050.52381
79,372469.142857
80,383099.555556
81,371718.105263
82,378362.47619
83,380755.619048
84,386626.5
85,387211.052632
86,385530.15
87,397417.947368
88,398882.684211
89,393334.473684
90,400230.6
91,396148.571429
92,396201.5
93,397697.388889
94,406579.105263
95,404954.333333
96,406229.55
97,406401.95
98,405586.35
99,407519.222222
100,403381.684211
101,405152.578947
102,404683.631579
103,403982.75
104,403723.25
105,400876.666667
106,402632.684211
107,402664.315789
108,402042.157895
109,401887.947368
110,402598.8
111,402289.95
112,405422.368421
113,405221.105263
114,401943.45
115,393517.388889
116,398981.473684
117,400032.2
118,403587.631579
119,401550.65
120,402724.736842
121,403867.210526
122,403762.277778
123,402173.578947
124,403408.833333
125,405474.15
126,406163.8
127,407304.95
128,409074.947368
129,404549.157895
130,405619.055556
131,409351.5
132,410545.55
133,410736.571429
134,413341.894737
135,416273.263158
136,414093.894737
137,417369.947368
138,418596.666667
139,418915.210526
140,421467.761905
141,424246.315789
142,425156.263158
143,423945.0
144,424202.263158
145,421607.166667
146,426625.736842
147,424854.315789
148,428409.8
149,428666.578947
150,428759.166667
151,430749.947368
152,432802.210526
153,437090.3
154,447419.333333
155,430366.722222
156,437065.2
157,445780.736842
158,447497.526316
159,446292.95
160,442370.333333
161,443006.047619
162,444472.190476
163,439979.75
164,449802.842105
165,448441.15
166,455458.947368
167,451862.666667
168,455316.789474
169,439004.473684
170,440231.611111
171,456164.736842
172,456123.263158
173,449022.15
174,448786.15
175,450147.263158
176,441418.210526
177,437581.85
178,445089.578947
179,454272.263158
180,438742.095238
181,443705.25
182,442250.6
183,430857.4
184,451808.611111
185,444058.555556
186,435418.947368
187,436184.105263
188,426434.157895
189,427851.95
190,410793.421053
191,410749.3
192,420559.3
193,419806.947368
194,413305.052632
195,406357.55
196,402343.8
197,388796.55
198,390589.052632
199,398179.631579
200,391244.35
201,388535.578947
202,385505.0
203,384597.526316
204,358932.0
205,364232.4
206,363559.368421
207,371840.315789
208,373464.222222
209,349807.947368
210,359673.894737
211,339387.833333
212,335684.421053
213,346980.8
214,351476.444444
215,340405.894737
216,329660.190476
217,326071.904762
218,323900.9
219,313762.631579
220,322876.631579
221,321986.444444
222,305743.764706
223,299450.666667
224,293222.05
225,299771.380952
226,296756.238095
227,289444.736842
228,286348.5
229,292229.947368
230,279826.842105
231,290993.789474
232,284368.526316
233,267749.789474
234,273405.722222
235,281712.111111
236,277188.894737
237,262614.578947
238,260579.736842
239,266055.2
240,264404.5
241,264916.15
242,261226.25
243,263449.555556
244,252534.277778
245,248068.105263
246,247452.684211
247,250169.52381
248,245407.947368
249,251185.65
250,245495.555556
251,248091.0
252,250418.421053
253,246738.7
254,242887.47619
255,245592.85
256,248155.789474
257,243651.15
258,242922.45
259,242796.1
260,245628.526316
261,248999.111111
262,240996.15
263,243264.421053
264,241856.578947
265,238221.4
266,240495.631579
267,240325.421053
268,240047.684211
269,231155.947368
270,238926.315789
271,237234.611111
272,233179.052632
273,235262.105263
274,234534.315789
275,231180.25
276,230978.85
277,233294.578947
278,235621.444444
279,227756.55
280,226885.85
281,226526.65
282,225572.2
283,225221.368421
284,227206.444444
285,229103.944444
286,224501.210526
287,220958.2
288,223567.888889
289,217024.238095
290,219913.6
291,222006.421053
292,220459.631579
293,217795.736842
294,218638.526316
295,221945.944444
296,217238.7
297,216738.4
298,219368.736842
299,218887.0
300,217096.157895
301,216979.210526
302,216893.052632
303,212746.904762
304,206250.105263
305,220704.111111
306,219003.833333
307,218168.736842
308,215663.95
309,212597.25
310,212924.714286
311,215424.3
312,221607.888889
313,216589.882353
314,219510.842105
315,220661.5
316,215263.904762
317,218804.25
318,219323.3
319,222453.894737
320,222708.157895
321,210500.947368
322,220760.35
323,218171.047619
324,222004.6
325,222575.6
326,225733.473684
327,226871.315789
328,212176.722222
329,224169.157895
330,226836.55
331,228447.166667
332,232349.157895
333,236146.111111
334,233281.842105
335,229119.631579
336,232667.85
337,229824.0
338,234565.05
339,238213.684211
340,239136.263158
341,240382.105263
342,238844.85
343,238225.105263
344,236953.388889
345,244946.0
346,248502.052632
347,253071.388889
348,249652.631579
349,246019.789474
350,251918.526316
351,251409.684211
352,254606.684211
353,259116.789474
354,264819.555556
355,261521.947368
356,259708.8
357,263990.833333
358,271868.555556
359,269430.894737
360,271043.263158
361,276265.277778
362,277806.055556
363,258911.722222
364,271636.55
365,276211.789474
366,315602.0
